,dist_ema_9_z,ema_slope_9_z,dist_ema_21_z,ema_slope_21_z,dist_ema_50_z,ema_slope_50_z,dist_ema_100_z,ema_slope_100_z,dist_ema_200_z,ema_slope_200_z,ema_spread_9_21_z,ema_spread_21_50_z,ema_spread_50_100_z,ema_spread_100_200_z,MOM_pct_14_z,ADX_14_scaled,RSI_14_bounded,MOM_pct_30_z,ADX_30_scaled,RSI_30_bounded,MOM_pct_72_z,ADX_72_scaled,RSI_72_bounded,MACD_hist_pct_z,NATR_14_z,bb_width_20_sqrt_z,bb_pos_20_norm,volatility_24_sqrt_z,volatility_72_sqrt_z,volatility_168_sqrt_z,log_ret_6_z,log_ret_24_z,log_ret_72_z,log_ret_168_z,ret_accel_6_24_z,ret_accel_24_72_z,ret_accel_72_168_z,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,range_sqrt_z,body_sqrt_z,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,dist_to_high_24_sqrt_z,dist_to_low_24_sqrt_z,price_pos_in_range_24_norm,dist_to_high_72_sqrt_z,dist_to_low_72_sqrt_z,price_pos_in_range_72_norm,dist_to_high_168_sqrt_z,dist_to_low_168_sqrt_z,price_pos_in_range_168_norm
dist_ema_9_z,1.0,0.7066477489386073,0.9182450540504253,0.5586993648451412,0.7626498055795434,0.4090073274235145,0.6670227431614869,0.32508986109790167,0.6109704046695664,0.2754212678840008,0.5771907069868204,0.22971200682309892,0.03657081653733409,0.023445755881375277,0.7199345242412823,0.008948370764028109,0.3805681202139455,0.41557894026978887,0.028316895069271496,0.15579515329118956,0.32737531185982466,0.03253904532587629,0.038231949149345426,0.7996390735600488,0.0916881778976357,0.02219700658253412,0.6436150977773951,0.04763203345862269,0.012592827454295945,0.03608400438785898,0.8932027425340063,0.5313221170692038,0.3271641993489483,0.40400292427474516,0.025826209296209962,0.17045331378358178,0.04985172854168116,0.002895284909987878,0.00782991716190411,0.012888513094609191,0.023787895094985564,0.016108341474247976,0.0255617608579013,0.02081093354437398,0.02568424412053424,0.6979164910900102,0.6815520771813108,0.45645725309072216,0.5806339855193953,0.5365538796869361,0.12188439983650866,0.5737075605136751,0.5527786987479643,0.05845235871574677
ema_slope_9_z,0.7066477489386073,1.0,0.8414391413320889,0.9191252022314329,0.7790056550794069,0.7577397471413407,0.6995350921478891,0.6545181657788158,0.645735335439361,0.5948555036162061,0.8549944933908066,0.49068748587621736,0.23332298441566784,0.1433377563235238,0.8284218280067568,0.004974965384784903,0.4282731897724068,0.5013337083109675,0.029088932382154212,0.21584282349850087,0.3539421088374697,0.0395124771854813,0.08327131726048152,0.9045424981151505,0.0650899133008746,0.021548816934930926,0.6457127631925906,0.07072330908320303,0.02252065131394066,0.0392397937141198,0.7295466317845234,0.6421030709524866,0.3537432519647323,0.42955360865713355,0.2166166042128499,0.23239156101254213,0.05605919153881126,0.02982870216115808,0.022704990553677428,0.016918368005119554,0.0007733926335164731,0.002155927682446339,0.0008282802008951111,0.004723374218948025,0.0014855599349511298,0.6580945323536039,0.6354237669497782,0.4864345546698576,0.5588796934143901,0.5198277854196601,0.14673589434998283,0.576966784269865,0.5443307738896327,0.08114468677240999
dist_ema_21_z,0.9182450540504253,0.8414391413320889,1.0,0.8009474175065092,0.9320390609665289,0.6859648317075641,0.8450900131931153,0.5944767417862794,0.7815660028653884,0.5330254554639856,0.8265514489208236,0.49947592739235275,0.2345855342827859,0.11044146934705407,0.8519433425130664,0.0039935500652059155,0.5090077001604548,0.6273158559846541,0.025686006042830417,0.2362118411120847,0.4175289292267859,0.03919614746408519,0.0631375810537795,0.8134236617509539,0.08992457928217053,0.023275611336411893,0.7623248623920981,0.06477030697037817,0.03309823736212258,0.03256599307860481,0.8079224334649141,0.7425577528399995,0.4173413624689952,0.4953743647355057,0.24938949250284972,0.2629979848550314,0.049511789538717633,0.009858864404020298,0.0004505708124334521,0.002358820495703986,0.019690975363639736,0.013929406120352369,0.01934086247733962,0.018731121218653612,0.021858235554989558,0.7852831032008173,0.7580768058714928,0.6072533153326981,0.6904083823166244,0.6513669567106182,0.16374647208725743,0.6937884142691804,0.6596676395498086,0.06905738459348441
ema_slope_21_z,0.5586993648451412,0.9191252022314329,0.8009474175065092,1.0,0.8482929254101137,0.9229314726637571,0.7955566592258694,0.8262500332533952,0.7431350704305559,0.7603295815414508,0.9759627817260541,0.6993061160278001,0.4043903427274314,0.257077469396742,0.8215833341165965,0.0014841633302694669,0.506119460573205,0.6706066937606869,0.027566539426037845,0.2695583075842956,0.405172615952708,0.047483571989051405,0.09311941406301529,0.7310603224046096,0.06137076260472563,0.020215348378886118,0.6853191002712957,0.07271216008002487,0.04160291460232716,0.028414726835548354,0.5362438835455403,0.7735717768336233,0.4050355898465149,0.46718052619524847,0.4801742862161957,0.28653560003926787,0.04364631303636616,0.03293469454613395,0.0205149103727045,0.01868072036797511,0.004418339540926421,0.004478531314690714,0.0005001240104295305,0.0037616943860481456,0.006527173321925191,0.6585209741846801,0.6239514221366794,0.5850813178390233,0.6051435369155943,0.5807590839232037,0.17006000054348808,0.6291225713967896,0.5887735838042647,0.07740353575980184
dist_ema_50_z,0.7626498055795434,0.7790056550794069,0.9320390609665289,0.8482929254101137,1.0,0.8464504460237979,0.9705351993860134,0.7936466690299684,0.9209432714215408,0.7390472863097424,0.9016706330942599,0.7244615393007511,0.4664347676312941,0.27471794846836534,0.7979167137611792,0.008188480703589547,0.6364107600672112,0.7529115225344931,0.011441399527500966,0.338066788719815,0.5283539136618929,0.03534924277430202,0.08973807777701963,0.6399193949404773,0.09794591724876653,0.014366968188699899,0.832668944883138,0.050662830904628836,0.05079816368812873,0.024211986921835425,0.6628132756163849,0.8072557916938019,0.528283614321553,0.5504437035174288,0.41008043465664906,0.21731353371323203,0.00792975744341515,0.009049575371392718,0.006640187912678647,0.0055831596896305695,0.03340960730203115,0.022946720338006925,0.023112171414996253,0.03543113323416448,0.035661032109480545,0.7534036120633288,0.7036790245783187,0.7303518412414839,0.7726815265313587,0.7465450875981,0.24907634904332665,0.7682721702803998,0.7375791084333437,0.07763368107645732
ema_slope_50_z,0.4090073274235145,0.7577397471413407,0.6859648317075641,0.9229314726637571,0.8464504460237979,1.0,0.8623761036958063,0.9636443588122429,0.8320128561711243,0.9079406868730919,0.9392604744389381,0.882279971294927,0.6047838716792087,0.3962313773658386,0.6962119451635632,0.011984572424742225,0.596111876999214,0.7383040893987612,0.011671539724294421,0.35005878760476994,0.5000740622514237,0.044752629511123174,0.10533251149528568,0.500145604622779,0.07552220209946553,0.011337286468067557,0.706230283618415,0.04993182650826093,0.05705779747596118,0.02001714365129526,0.38185251516192675,0.755877885482386,0.5000543356265494,0.4962947912124196,0.577898608529013,0.19464496439760953,0.007419726867048707,0.025577465114485082,0.007620009859752474,0.009276967305309308,0.02071548635210928,0.01093532492465011,0.006184925491181493,0.023242793295923787,0.022846318353306406,0.5780008504142767,0.5206745085768612,0.6632625495340239,0.6531558150243169,0.6428989952706958,0.24445915274617405,0.6609868600491648,0.6320654350031157,0.07401376202644179
dist_ema_100_z,0.6670227431614869,0.6995350921478891,0.8450900131931153,0.7955566592258694,0.9705351993860134,0.8623761036958063,1.0,0.8625857437859017,0.98226444554276,0.833083491132916,0.8554533733209174,0.8045176238739643,0.6071399696353165,0.40650161363562826,0.7198811459022968,0.023503168487157496,0.71777408905207,0.7516417716613208,0.0015722000502895732,0.4299448998265175,0.6039332961240639,0.02514870468401704,0.13097033657676185,0.527663405973123,0.09571617137240727,0.01176276910867505,0.8609480811808022,0.0428047127378864,0.05306799617495218,0.01210089766059361,0.5804870770149498,0.7689126664988096,0.6039774781253042,0.5826554787730812,0.4314103440990671,0.12563776307650776,0.022188297657716592,0.010046197315104137,0.00446846929782382,0.0023641808001511264,0.03547851519266581,0.024874880097010624,0.021327217401866536,0.037107531695846976,0.037245101309706964,0.6911547342138532,0.639291164031529,0.7910101327102949,0.7948435110184429,0.778914780453398,0.350085516643994,0.8023871006044432,0.776578511730375,0.10820927318707721
ema_slope_100_z,0.32508986109790167,0.6545181657788158,0.5944767417862794,0.8262500332533952,0.7936466690299684,0.9636443588122429,0.8625857437859017,1.0,0.8661010040039404,0.9781779240445319,0.8467138542708362,0.9364128090169868,0.7326432382243704,0.5133615634781239,0.6019193741112524,0.024390092107556015,0.6570380336932264,0.7012137580370357,0.0035194577008946844,0.4297225274469148,0.5622175277295725,0.03203983359635952,0.14085708352886187,0.38112296845491817,0.07083056049577209,0.005134182359154195,0.712376798519414,0.04148882760007268,0.05765414286806599,0.009558394828934448,0.30531885837239275,0.6852823187370439,0.5623144215592356,0.519239594028837,0.5611434850625633,0.09222230104291584,0.03617351008888742,0.025567801536043377,0.009995394038754974,0.012016030767123327,0.020176834357425635,0.011443626689007808,0.0030011485462399777,0.021841718591337905,0.02188514414270803,0.5023714284749461,0.4467032690790833,0.7005252618900206,0.65864515154738,0.6563646033355998,0.3404673451097926,0.6773475585912991,0.653347049872681,0.10234417605688208
dist_ema_200_z,0.6109704046695664,0.645735335439361,0.7815660028653884,0.7431350704305559,0.9209432714215408,0.8320128561711243,0.98226444554276,0.8661010040039404,1.0,0.8682517769966769,0.8018854832619283,0.8099797060741823,0.6739510355196885,0.5140763639798931,0.6666541544035759,0.034530602470925556,0.7826978069542754,0.7228949221378703,0.006643648493899067,0.5232071405805738,0.6344521695464648,0.010642648673358537,0.20369841216705717,0.4710358684480127,0.0908090291729104,0.014946112804407488,0.8857638472910718,0.04608378396782124,0.0582822726828941,0.0032810496438063466,0.5347095362619774,0.7251753053858834,0.6345591429014416,0.6163951764628376,0.4222139851219745,0.06790459706438061,0.016538191004479702,0.007458314506247765,0.004476474321329946,0.0005274713600863738,0.03544618051032976,0.026978243715319816,0.021957902175164745,0.03713494912630158,0.03651835754402112,0.6444734341722479,0.6020683549518222,0.8339208025016532,0.7881773400272359,0.7836883039211245,0.4495874902326707,0.827813796606992,0.8034007326852303,0.18097022989926226
ema_slope_200_z,0.2754212678840008,0.5948555036162061,0.5330254554639856,0.7603295815414508,0.7390472863097424,0.9079406868730919,0.833083491132916,0.9781779240445319,0.8682517769966769,1.0,0.7784755674961275,0.9165683552617944,0.790910024676833,0.6137780408294794,0.5452980712742885,0.034220639797479184,0.7085429964990686,0.6573830942760881,0.004088469207629869,0.5122928566533066,0.5835772278317993,0.014478973813356647,0.20803848267129776,0.3241227729713982,0.06599281884144072,0.005451400167305568,0.7247813792065946,0.04334650375799321,0.05858715154787508,0.0034844371654811227,0.26393415550957733,0.6319088595642225,0.5837204801424057,0.5448152151951702,0.5346674250204411,0.03399671180117212,0.029412440944395105,0.020524132417740263,0.008061183375230886,0.012107445182515556,0.020935315403635465,0.015223014593731382,0.005250154761924213,0.022436795474608407,0.02169328030593845,0.45478309677357215,0.4082342077926722,0.7305833054664657,0.6456578473586464,0.65215800471125,0.4347902468635647,0.6937779950921459,0.6684990529347224,0.17441455595257924
