,dist_ema_9_z,ema_slope_9_z,dist_ema_21_z,ema_slope_21_z,dist_ema_50_z,ema_slope_50_z,dist_ema_100_z,ema_slope_100_z,dist_ema_200_z,ema_slope_200_z,ema_spread_9_21_z,ema_spread_21_50_z,ema_spread_50_100_z,ema_spread_100_200_z,MOM_pct_14_z,ADX_14_scaled,RSI_14_bounded,MOM_pct_30_z,ADX_30_scaled,RSI_30_bounded,MOM_pct_72_z,ADX_72_scaled,RSI_72_bounded,MACD_hist_pct_z,NATR_14_z,bb_width_20_sqrt_z,bb_pos_20_norm,volatility_24_sqrt_z,volatility_72_sqrt_z,volatility_168_sqrt_z,log_ret_6_z,log_ret_24_z,log_ret_72_z,log_ret_168_z,ret_accel_6_24_z,ret_accel_24_72_z,ret_accel_72_168_z,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,range_sqrt_z,body_sqrt_z,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,dist_to_high_24_sqrt_z,dist_to_low_24_sqrt_z,price_pos_in_range_24_norm,dist_to_high_72_sqrt_z,dist_to_low_72_sqrt_z,price_pos_in_range_72_norm,dist_to_high_168_sqrt_z,dist_to_low_168_sqrt_z,price_pos_in_range_168_norm
dist_ema_9_z,1.0,0.707622962730778,0.8864545986249988,0.5713996724499888,0.6630690533269568,0.40772905188719966,0.5022815362051551,0.29513341652109387,0.38538208662847717,0.2070908746658197,0.559219141613705,0.2404885882782763,0.05669160698526273,0.045250911732203115,0.7178449635682651,0.009999540069777503,0.7408219507817209,0.4819990433488928,0.03232128499722017,0.4893698811240082,0.3054810232229208,0.06387805214605108,0.22013044950730126,0.7100547387672136,0.09283396872593748,0.038968325142209,0.8463282831261011,0.0285313376763605,0.0074274116384841675,0.024111166843598455,0.8706012686857253,0.5620678559114987,0.304850959740547,0.15507515059493537,0.16353315902416504,0.04356354611719802,0.11154150734423766,0.09665104221344396,0.09211713704004788,0.0789332146555612,0.005182034284332161,0.0017106250573463732,0.012172514594657267,0.016962304659249146,0.01715432487525135,0.6385028084473804,0.5579278199057577,0.7514144909481487,0.4528699978173001,0.4190432905499799,0.4467290003699761,0.36568991135832046,0.32816979941337854,0.21526272146313197
ema_slope_9_z,0.707622962730778,1.0,0.8596192213328298,0.8976613968589393,0.739974663650312,0.6785392920555887,0.5915205175472267,0.517629204371431,0.46664267164457074,0.39471856326248533,0.8198431665502839,0.4207172382339459,0.15056444278963288,0.0023813315207608754,0.8410333020415541,0.006432914587077616,0.7528612386352963,0.6066595992422614,0.03393434451074317,0.5565132524837634,0.3739703748141837,0.07818764530538415,0.27312039521992393,0.8141416183092804,0.0669537814448886,0.04007662342213844,0.795653258743789,0.018643190179620468,0.007710327589148479,0.0007463704310761917,0.6907086616729291,0.6911587948824424,0.3732712549644178,0.19950026213336575,0.38625894825088475,0.05007527617931605,0.12483839261055649,0.1394698973742047,0.14714662915003368,0.1308777668990615,0.06980082553940668,0.04849217556135577,0.09129076124986518,0.09307024915580353,0.08895606364268295,0.6214197702209235,0.5336558828178388,0.7351162667732387,0.48691446663175403,0.4569036993443966,0.49624636222525986,0.41245143433047693,0.37629312703490403,0.25549250780987964
dist_ema_21_z,0.8864545986249988,0.8596192213328298,1.0,0.8552971619647387,0.8929960260995283,0.7260182793365023,0.732843920818646,0.5838716667118675,0.5882013739189796,0.45511692272571636,0.8571612259884712,0.5368776462884491,0.24454240478602887,0.04912522948602575,0.8709524522387324,0.02277501297712093,0.8767774605327298,0.7501289242807262,0.023935555903657042,0.6749563316791447,0.49104917046667357,0.09056119914169432,0.3474357342386772,0.6703244631005577,0.06881685892060288,0.03085495142199101,0.876311432546914,0.020870787075288395,0.005595684980864773,0.004701000338433536,0.7479014875638295,0.8168161610411079,0.4903213390951423,0.26384680665792887,0.48487974211194096,0.007733576507903624,0.1582798012642593,0.1236160452327699,0.14784449429190705,0.13284769706075547,0.04645893164721194,0.025850446851485992,0.05744904266162655,0.06837913884756879,0.06735822021672569,0.6876326489031966,0.5918091081277538,0.8165977956897399,0.6066584442596977,0.542072052318196,0.6176826702367753,0.5159181727663813,0.4578368782013398,0.3248244769207649
ema_slope_21_z,0.5713996724499888,0.8976613968589393,0.8552971619647387,1.0,0.8820671180528,0.8950286301619822,0.7623041757794983,0.7369439145481984,0.6259023209394228,0.5902566256642783,0.9807592040238595,0.6845799493120049,0.340826636592074,0.10668472294230981,0.8431649112531284,0.03700498335651772,0.7942486274813828,0.817676698976644,0.017554708744117218,0.6803928685545918,0.5330439205423149,0.0959828299104745,0.3740660773905256,0.5671438182728504,0.03164257139493972,0.017910927425886205,0.7160483391307857,0.007079211374205907,0.003581022900384072,0.014990527628369494,0.48931915472428245,0.8626677761396776,0.5324555716593874,0.29409270935273263,0.6741467966769802,0.027919495361574953,0.16365541549767798,0.12997633432720992,0.17079151455199254,0.1562661997252448,0.09436049256970978,0.05381454106382723,0.10194198130885732,0.11459913713253828,0.11107057382901496,0.5905614454346091,0.49790777719754353,0.7022665700961609,0.6049243727903769,0.5343538153999029,0.6258534962511298,0.5304254436076311,0.47079839830876286,0.34387773086639956
dist_ema_50_z,0.6630690533269568,0.739974663650312,0.8929960260995283,0.8820671180528,1.0,0.9314889096611653,0.9390732582205973,0.8567506025887125,0.8138345780080233,0.7314802410476013,0.9254196955332205,0.8387597875469344,0.5615784415695474,0.2788537928859948,0.7637875112642296,0.08971746741758513,0.8469609867433397,0.8713124850038464,0.0357113749845911,0.7961815571712839,0.743168234948691,0.10260767760615011,0.48956301314261313,0.37689509082808637,0.00627927172235349,0.041963579917007776,0.7198329399616802,0.03347426110037792,0.006824929102696066,0.022106885386712107,0.5410451070738569,0.8601173360095244,0.7432208361450001,0.44564986769269854,0.6355836146236306,0.26339744904326595,0.16980720338659122,0.10773637280190362,0.18166182881512943,0.18945138175871626,0.09603532747330713,0.05063814882733596,0.06960386534715596,0.10133656067909626,0.11093213092333927,0.5360609613029036,0.4921655479898052,0.6726546105789747,0.7131187682263425,0.5907436036789333,0.7481108698856028,0.6861194483524541,0.5807337863820479,0.46398016537544773
ema_slope_50_z,0.40772905188719966,0.6785392920555887,0.7260182793365023,0.8950286301619822,0.9314889096611653,1.0,0.9225802524060706,0.9399649473946815,0.8180229453958967,0.8147483548371052,0.9325663780407522,0.9285444493140244,0.6438787369751843,0.3400371809904117,0.6689260953007761,0.10228644515104746,0.7309884188530226,0.8640500716570664,0.04661435398224139,0.761241651916666,0.7636184730967861,0.10132517668565777,0.49665306764306566,0.23716006131949569,0.04355612046522069,0.06281159892043918,0.5455430125790182,0.051095052919941826,0.015625812435570548,0.0396274793769513,0.3218371855060686,0.8261992075657721,0.7639157196062588,0.46866882389553555,0.7309418915346397,0.3088613021175289,0.1619446998942374,0.09835363532536537,0.18670893640747116,0.19917734291623246,0.12490709772452926,0.06598011660372896,0.08913645553491459,0.12527326612932044,0.13512734925594094,0.40809537412845975,0.3819860161461678,0.5298812737611603,0.6802771340433966,0.5519613091416258,0.7234346051057812,0.6776250438097532,0.5712152298147751,0.4687580197606617
dist_ema_100_z,0.5022815362051551,0.5915205175472267,0.732843920818646,0.7623041757794983,0.9390732582205973,0.9225802524060706,1.0,0.9598209503307181,0.9488702214268504,0.8984723780587363,0.8154579115453826,0.9232157313531517,0.7876292564920813,0.5242945988708595,0.615111021916117,0.13788764277388202,0.7656072092796883,0.789721612944127,0.1254143679175481,0.8267943766215136,0.8588197268425699,0.07153791111546266,0.6001737944332084,0.1988786761452332,0.07502779468756526,0.09587878159947119,0.5936710220638377,0.09152479244023687,0.04165936637634367,0.062292761415955605,0.40513983454712765,0.7466895019964824,0.8600542230302473,0.6436771372978903,0.5900432490151126,0.4641484664239668,0.03603027919206212,0.08298620019236402,0.17419410497385035,0.2122445448786199,0.12571529491591363,0.07212511341200331,0.06237391054939619,0.10416264771831245,0.12652308229159523,0.37842842960892176,0.4004947419307798,0.540663164383309,0.6808308998583021,0.542690959958471,0.7620778854522579,0.7807348649206202,0.6323646151311576,0.5852567323823407
ema_slope_100_z,0.29513341652109387,0.517629204371431,0.5838716667118675,0.7369439145481984,0.8567506025887125,0.9399649473946815,0.9598209503307181,1.0,0.9326599953826036,0.9479690884381807,0.7856473076206985,0.9683109984187986,0.8472267073690753,0.5754991396858778,0.5187239510140379,0.14405682218666313,0.653993643584132,0.7538610482172972,0.1348674859511349,0.7768579442645458,0.8573389066598384,0.06714945973064176,0.594050000706446,0.07785491756878851,0.10522113840173944,0.11174123187465851,0.44240628643896074,0.10574653674331246,0.04917872973797401,0.07575600509029368,0.22502517273644368,0.6923692485015374,0.8587973005845354,0.6575393061917428,0.6415196316180042,0.5010553047838272,0.019806865498114112,0.07255484420452352,0.17231900374688375,0.21503383474679008,0.14414392151421457,0.08148907907565575,0.07301511335190926,0.11764417330795546,0.14080884013658523,0.2631416395345544,0.30315250045193254,0.413261812105135,0.632461257246688,0.4942518180964887,0.7213275963680618,0.7593024660867863,0.6097603364797131,0.5797533727044543
dist_ema_200_z,0.38538208662847717,0.46664267164457074,0.5882013739189796,0.6259023209394228,0.8138345780080233,0.8180229453958967,0.9488702214268504,0.9326599953826036,1.0,0.9706900720701701,0.6767643355500595,0.8638537417565711,0.884189738764704,0.7291188127673761,0.4908287597926132,0.16180353400419126,0.7100645237570591,0.6654631924172434,0.20345839359240278,0.8377717024793835,0.8283498308602079,0.00668418452659519,0.7096728548357839,0.1116792092230067,0.13629976818224768,0.12582248942879698,0.5263959998232698,0.14254337751807653,0.10085521795285825,0.13163339531190427,0.3112270371595404,0.6177858917575465,0.830529880471674,0.7915735678721479,0.5024427071443385,0.5256975034632573,0.1519448408498875,0.06310541962704236,0.1442985576000106,0.1976016197225378,0.14599605932336218,0.09071347191461579,0.050573797747750275,0.08796990651892427,0.11831494468958687,0.2630781843093522,0.3449797747074533,0.4662503259142872,0.568232694611205,0.47821743611510836,0.7409076504277592,0.7692278709879766,0.6314238689457075,0.7019288362719439
ema_slope_200_z,0.2070908746658197,0.39471856326248533,0.45511692272571636,0.5902566256642783,0.7314802410476013,0.8147483548371052,0.8984723780587363,0.9479690884381807,0.9706900720701701,1.0,0.637023771316406,0.8839516646840951,0.9255885496012529,0.7714107162329298,0.4006046469608257,0.16544993270679606,0.6062630769761048,0.6224270840447749,0.21082827825373035,0.7838378968293199,0.8124050556514312,0.013385746602508956,0.6967478114126363,0.0064947469602795425,0.16137118111783413,0.13768956264133492,0.39193012028043245,0.1545296318193107,0.10642891340031982,0.1412923269203895,0.15550037753331244,0.5593412260075765,0.8147073387704893,0.7970173457269796,0.5343183128580872,0.5517437321213161,0.17025403989362226,0.05453634525552586,0.14134365562946963,0.19758522634290082,0.1603123212960851,0.09764098387582912,0.0591011172940162,0.0984795749846111,0.12893396693570153,0.1615401500012533,0.25763654606849234,0.3524647024101052,0.5160207146386026,0.4280526241997214,0.6948810266150861,0.7393090026068464,0.6020019513178613,0.6913846250260464
