,dist_ema_9_z,ema_slope_9_z,dist_ema_21_z,ema_slope_21_z,dist_ema_50_z,ema_slope_50_z,dist_ema_100_z,ema_slope_100_z,dist_ema_200_z,ema_slope_200_z,ema_spread_9_21_z,ema_spread_21_50_z,ema_spread_50_100_z,ema_spread_100_200_z,MOM_pct_14_z,ADX_14_scaled,RSI_14_bounded,MOM_pct_30_z,ADX_30_scaled,RSI_30_bounded,MOM_pct_72_z,ADX_72_scaled,RSI_72_bounded,MACD_hist_pct_z,NATR_14_z,bb_width_20_sqrt_z,bb_pos_20_norm,volatility_24_sqrt_z,volatility_72_sqrt_z,volatility_168_sqrt_z,log_ret_6_z,log_ret_24_z,log_ret_72_z,log_ret_168_z,ret_accel_6_24_z,ret_accel_24_72_z,ret_accel_72_168_z,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,range_sqrt_z,body_sqrt_z,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,dist_to_high_24_sqrt_z,dist_to_low_24_sqrt_z,price_pos_in_range_24_norm,dist_to_high_72_sqrt_z,dist_to_low_72_sqrt_z,price_pos_in_range_72_norm,dist_to_high_168_sqrt_z,dist_to_low_168_sqrt_z,price_pos_in_range_168_norm
dist_ema_9_z,1.0,0.7416001006937504,0.9031240097265322,0.6022374225518382,0.7029823042246917,0.43092337508894407,0.5660494073649531,0.3143821226410788,0.47062679375740335,0.2357534123041431,0.5903753175111667,0.23100035649674278,0.004172432301318656,0.10416195018526078,0.7487604729246603,0.0073818651678867215,0.6407879652864015,0.504206770930381,0.033348501690994306,0.35719587290002974,0.24828510562647885,0.0017100573384585445,0.12248989130515682,0.7656330236174343,0.11934926727183763,0.008045196701962262,0.8118473295529189,0.031735487424631614,0.01136392099552779,0.001267663654516403,0.8971388643309438,0.592894632749382,0.24784422072297405,0.24033269639652127,0.17377450371112727,0.20958197103627296,0.012922568035985505,0.05580431560308356,0.03901784810089581,0.04792629484160679,0.06438499911819133,0.03086993151204903,0.07460022628283718,0.06221971200703847,0.06615649963236193,0.7394849545846882,0.6708506826282759,0.7011031132092184,0.5054618194132015,0.4779088398727959,0.29044146363141643,0.42295712412645825,0.40130510727747243,0.10724553456801483
ema_slope_9_z,0.7416001006937504,1.0,0.8757438206544574,0.9095056759274118,0.7733933062992326,0.7134012150533576,0.6501208324474185,0.5708610760370868,0.5520546700835142,0.46909188554412634,0.8410696693985793,0.43350800634056835,0.13301236497191132,0.022266485525254502,0.8699897752550807,0.023676511826099218,0.6630790602841794,0.6267562176623513,0.02140834369934868,0.41533887550996273,0.3145029110318025,0.010776536333274503,0.16257164315479505,0.8472535457746616,0.13155285642089082,0.02910588951557644,0.7633309072996461,0.03667623671374051,0.01589012941945805,0.01131100688677675,0.7205695449332898,0.7093138617424396,0.31421879334953795,0.2804003719421669,0.3937836625265292,0.21396275770162018,0.04348496872439855,0.03873798694001803,0.0213265295141699,0.03122754959745558,0.05879842870123529,0.03499895657045471,0.06200125925138919,0.053532576639915785,0.05838507961912803,0.7186686743805206,0.6599964961534285,0.6960898792575296,0.5446621185997819,0.5146687646607795,0.32327938121193317,0.4695893227755249,0.4413545268028514,0.11874555205113303
dist_ema_21_z,0.9031240097265322,0.8757438206544574,1.0,0.8624003066345007,0.9111958987269254,0.7376184592083666,0.7851357293579571,0.6092042760215396,0.6741856325418707,0.5041613516105142,0.8650417293622079,0.5309279094900596,0.2154900007738828,0.030791957026370054,0.8886700969698251,0.046398853005586355,0.7745959360454409,0.7575456594704699,0.018374823811133593,0.5065635523288579,0.416989895637695,0.004369902944226807,0.21090731484270978,0.7242661931288685,0.15753497979642575,0.008941609847451031,0.8504749741111856,0.01728787976851011,0.01992139266886964,0.02209892540572205,0.7810662353829514,0.8282165444799762,0.4168163214951638,0.3393395519630191,0.48519779952109854,0.18010711700206283,0.09520364800110413,0.041667552526432255,0.028182609378673402,0.038936633038571075,0.07430277700356759,0.03995952092646465,0.06567736150624634,0.06783047448208046,0.07405918222574541,0.8242683965842501,0.733466844613569,0.8042439390146077,0.6737612246589721,0.631287489389678,0.4208257821704052,0.5783068852148662,0.5295319198771606,0.1551885275672695
ema_slope_21_z,0.6022374225518382,0.9095056759274118,0.8624003066345007,1.0,0.8937401511723894,0.9138743074635417,0.8025819924406835,0.7862998058882976,0.7004468717485948,0.6707208078134821,0.9831563118363748,0.6979347084514993,0.34625866438860664,0.12769215864107217,0.8643735681552899,0.06627446579888926,0.7198608424624351,0.8218774433190664,0.0016432803501513623,0.5205596220127935,0.4642283230667316,0.012690679848015522,0.23386863990975285,0.6196223116251706,0.16100663398128737,0.0194850157147932,0.7074191626096432,0.00664394210075747,0.022729235586247728,0.035041183070731965,0.5208661708864065,0.867232926436914,0.4642154990478677,0.35051307287130945,0.6769559612369452,0.14480907463883377,0.13397931697017643,0.027498484777078513,0.01674957604833581,0.028296495154345822,0.07161775473810746,0.044372115829654175,0.05099638450665132,0.061656821932133336,0.06923653144412031,0.7216051499100643,0.6432530255795611,0.7199503417993414,0.6650763782069777,0.6226606829725543,0.4281646041938267,0.5791901657991423,0.5266912058652391,0.15313510663697677
dist_ema_50_z,0.7029823042246917,0.7733933062992326,0.9111958987269254,0.8937401511723894,1.0,0.9212488126354527,0.9550172875365838,0.8527300205091104,0.8599063196134838,0.7504823874404563,0.933005146044222,0.8106643579990774,0.5066661026972357,0.25672102798015645,0.7984234644383885,0.08499993054451263,0.8179662687985696,0.8784090055100012,0.017339243512325186,0.6352046870665315,0.6513190923373146,0.0043359251254132345,0.30853202615039127,0.4621190139652621,0.1827319710541117,0.002424270352229174,0.7654327830424121,0.024606283768975445,0.03893525182585435,0.05764271504833431,0.5865874383531602,0.8773775670429395,0.6513827470496766,0.4243110717232143,0.6440191936986579,0.04613529103414726,0.23946867807825928,0.020130282535990442,0.007337791381854336,0.018514258010006602,0.0843108247323431,0.0494590618580973,0.0457246721329805,0.06358320574789077,0.07928313419231502,0.7452775522041934,0.6327214147301486,0.7764922249190557,0.8048787912625202,0.735468164703451,0.5717398007805101,0.7113551516496218,0.6305763461005741,0.2074451885660751
ema_slope_50_z,0.43092337508894407,0.7134012150533576,0.7376184592083666,0.9138743074635417,0.9212488126354527,1.0,0.9199122018190039,0.9534575508456336,0.8428794017117375,0.852645632381129,0.9449349028587525,0.9180457737710328,0.612867281698685,0.3439156284766989,0.7048211802868369,0.09997879372791953,0.7259915008554584,0.8723996792081568,0.03508013532978468,0.6169455840394938,0.6782235713537252,0.010429151223533991,0.31701319899503183,0.3160609491155965,0.17562297846168137,0.006492253726572166,0.5981893438451039,0.03628693803399224,0.04202851795802238,0.06782380012807125,0.3446970446285072,0.8429606471269828,0.6783615405315327,0.413918381614471,0.7529119784453772,0.10513446395970837,0.27318569199556386,0.006150249056119791,0.005068419073527074,0.006187352949981456,0.07792010123428211,0.049369472393371444,0.0297985262146063,0.05382205069193185,0.07093559072393178,0.6064574223706563,0.5092144049866207,0.656458425884844,0.7615839110137279,0.6914959285033182,0.5602123328576383,0.6798619323926073,0.5980483312013041,0.1986122032121139
dist_ema_100_z,0.5660494073649531,0.6501208324474185,0.7851357293579571,0.8025819924406835,0.9550172875365838,0.9199122018190039,1.0,0.9374303696087387,0.9613085462596086,0.8845450101649744,0.8522272141577576,0.8900127367470377,0.7021572983851958,0.45585076347859893,0.6773914565384668,0.0813117748636734,0.8254844518984751,0.8220769356216008,0.031951715685014585,0.7196036665134247,0.7690780686579178,0.021578980434137255,0.39347697202128884,0.30268856170950703,0.17139306563341009,0.011270296848939453,0.7075544324544198,0.030744639744502266,0.057801653061026054,0.08042540696310595,0.4668810065115154,0.7916191761030514,0.7692530715294459,0.5142101560585114,0.6164927540556012,0.23066531575358726,0.2661010107709801,0.010395401179117737,0.01021139854498657,0.002221318721005205,0.08022074721809697,0.048288675607956945,0.03296515562240127,0.046947313701642596,0.06965715618880369,0.6354606399568327,0.5272966721145135,0.7379348388908391,0.8178921506938059,0.7290470229936976,0.6850670882461607,0.7951388387558829,0.7009064767838252,0.2854661894548572
ema_slope_100_z,0.3143821226410788,0.5708610760370868,0.6092042760215396,0.7862998058882976,0.8527300205091104,0.9534575508456336,0.9374303696087387,1.0,0.9220199056617543,0.9577621499162464,0.8277069331890904,0.9595246293604535,0.7930155631925421,0.5334640225035724,0.5710184787852634,0.09121547725582724,0.7214625942750188,0.7855546851750762,0.045745159881544185,0.6856165673718403,0.7765331888023874,0.020748698269669567,0.3935163033801384,0.16026621779806788,0.1572415466661727,0.0169345477126249,0.5407365096538302,0.03645691626261337,0.058668888363731304,0.08792180435258565,0.24177443787883823,0.7328541513201691,0.7767566902367297,0.4970190352494743,0.6894538046978185,0.28672647361339354,0.28518764282023185,0.0005553198076649725,0.020014174191096235,0.012709963368580152,0.07244808550844045,0.04599484439467319,0.019046903029225074,0.03664606879314032,0.059978169975259885,0.49164808078705646,0.4007633024895146,0.611327847582664,0.7540709052784939,0.666526291564273,0.6618383582942247,0.7485704291705908,0.6555487146714413,0.2744575397894672
dist_ema_200_z,0.47062679375740335,0.5520546700835142,0.6741856325418707,0.7004468717485948,0.8599063196134838,0.8428794017117375,0.9613085462596086,0.9220199056617543,1.0,0.9463610750375477,0.7487019812866528,0.8506907098579511,0.8041409858439493,0.625662662105188,0.5805452338732011,0.059672721580821535,0.8432604313083375,0.7275077739393493,0.01266963956269149,0.8050705792861951,0.7670083728951071,0.06111819172466855,0.5085968556043369,0.22552763336407056,0.15374202234329676,0.020854231652542098,0.6853522269776756,0.023619887336677046,0.062318661474475186,0.08615099548880129,0.3867098726486186,0.6949680005177008,0.7673628539943819,0.6191342457035814,0.5519745757605615,0.3086915254429614,0.18456022199031075,0.010620083988737632,0.010421888021093884,0.004818141235678094,0.07492383424581772,0.04320827047374253,0.03033601043360528,0.04022623092182213,0.06167726851563261,0.5485908250388012,0.45419112918926124,0.7268106468678566,0.759845815250392,0.6712842556177923,0.788084893110329,0.8410154893503059,0.7598816389808797,0.42332803526737195
ema_slope_200_z,0.2357534123041431,0.46909188554412634,0.5041613516105142,0.6707208078134821,0.7504823874404563,0.852645632381129,0.8845450101649744,0.9577621499162464,0.9463610750375477,1.0,0.7108096124812292,0.8918823301906013,0.8804814131755468,0.6960803905286677,0.4743350380654981,0.06763450669041966,0.7360958492355749,0.6805526957748218,0.023285572928881355,0.7636062290090682,0.7535148494287485,0.0636687719201075,0.5055152384738597,0.09294275086268496,0.13872447456400588,0.026468795453631233,0.5232919199803947,0.02896892535741205,0.06255275734014074,0.0938925972148498,0.17572045005270998,0.6292677430696163,0.7539139309009519,0.5981033688583068,0.6085326231101561,0.3517252326247022,0.19022952641870658,0.000896894088371951,0.018976195963190584,0.01397924972366339,0.06612960556027649,0.03933886261516108,0.01595848485537228,0.029960736527079947,0.05130305968644258,0.4093949957275267,0.32982868406736565,0.601172043431657,0.6847202948517713,0.5991822483452196,0.758453889614505,0.7870644035062567,0.7082060698303552,0.4149561952781317
ema_spread_9_21_z,0.5903753175111667,0.8410696693985793,0.8650417293622079,0.9831563118363748,0.933005146044222,0.9449349028587525,0.8522272141577576,0.8277069331890904,0.7487019812866528,0.7108096124812292,1.0,0.7700012622523755,0.4087733859750598,0.17534019991800498,0.8464930210557454,0.07613266522410857,0.7413388640937439,0.8814729991307383,0.0030959203330850134,0.5558496179378251,0.5144278606530095,0.013746166061576252,0.25970209259235105,0.5344169800079901,0.1689960304146696,0.013555141267409025,0.6968904784719921,0.0030151320576639507,0.02432885731969976,0.043130500979651126,0.48344464590213604,0.9129928496495353,0.5144975613879448,0.3740357413062276,0.746298210986682,0.11770796204093095,0.16330390166609965,0.024957511451952998,0.01559341849949423,0.027804971846889286,0.07500778137350263,0.046587333612911674,0.047976489270705504,0.06360816797748221,0.07216730795808211,0.7241776505666647,0.6393458384326666,0.7293048123376246,0.7057987179475352,0.6620734946197119,0.4661563222839496,0.6168056844536122,0.5568151923907945,0.16902897357438987
ema_spread_21_50_z,0.23100035649674278,0.43350800634056835,0.5309279094900596,0.6979347084514993,0.8106643579990774,0.9180457737710328,0.8900127367470377,0.9595246293604535,0.8506907098579511,0.8918823301906013,0.7700012622523755,1.0,0.7869233211120205,0.4979248236044516,0.4664475119092693,0.11311550529774012,0.6307022728919516,0.8002522526606461,0.06719416584082907,0.6190466594669891,0.7887933147001759,0.013767775677985648,0.35566659675150175,0.0010865150584277831,0.15472110624546445,0.008662926697063828,0.41869620344263986,0.054331667353272536,0.053118521671158235,0.0811820356869245,0.14758845004634893,0.7124669814555853,0.7889702735063245,0.41749331644533344,0.7240395220777649,0.31365024666802377,0.35656420786969145,0.010655421037762586,0.026200977245253658,0.01704817974971612,0.0702555373110685,0.04782944203046774,0.010297355566621865,0.03618303944507603,0.059652215399998175,0.41484915236887765,0.3263893491166773,0.5095167181703834,0.7411629976132712,0.653901536116118,0.5994701716800482,0.6746910193333557,0.5752558290823687,0.21612346307271968
ema_spread_50_100_z,0.004172432301318656,0.13301236497191132,0.2154900007738828,0.34625866438860664,0.5066661026972357,0.612867281698685,0.7021572983851958,0.7930155631925421,0.8041409858439493,0.8804814131755468,0.4087733859750598,0.7869233211120205,1.0,0.7988960806474391,0.1645571970593309,0.05474660521945025,0.5247392651946573,0.4650705054551364,0.06898226680790659,0.6431677947703438,0.740410952785325,0.058993737520750884,0.45825400206724154,0.21484555357904836,0.08004748095772345,0.05949369969936024,0.2751963633606036,0.014399793195422051,0.06797078344235254,0.09321378177705952,0.034862228744796574,0.3697491117825849,0.7407751509771952,0.5139914358658075,0.43879263524772166,0.55777409950871,0.2299189564710754,0.0196652143140539,0.04637604494401509,0.045279027146988914,0.03590068289921464,0.01739865168463082,0.013211862576391361,0.011688947570459358,0.017330582736134734,0.1346150238047078,0.09868202315291952,0.35893265084927567,0.5272375446312213,0.43941263180410883,0.678312672006736,0.6717084656337932,0.5697478212323801,0.3611724532282887
ema_spread_100_200_z,0.10416195018526078,0.022266485525254502,0.030791957026370054,0.12769215864107217,0.25672102798015645,0.3439156284766989,0.45585076347859893,0.5334640225035724,0.625662662105188,0.6960803905286677,0.17534019991800498,0.4979248236044516,0.7988960806474391,1.0,0.007288881249362561,0.004589343360843245,0.4629884393686021,0.23110229569557478,0.031637019589241935,0.6628594984850833,0.4861227020494944,0.07639228011521965,0.6077101736534161,0.23754998854822773,0.03481834313496479,0.05221451334311597,0.21780951606990004,0.0056410336893265986,0.044786056667631184,0.13574127114012996,0.11601304582387545,0.15931902760653924,0.48640443601324973,0.5933005517232157,0.2353750381044642,0.4642726193755538,0.04390816872571696,0.01769341753314514,0.031514299060977545,0.03649640012073587,0.018236581371307053,0.006875155951185048,0.015748519321805154,0.0169582413276356,0.0038039984739939472,0.009130069332456291,0.01367897552736739,0.2943625514624029,0.28997810284965764,0.236615173246644,0.6810500843450024,0.5648883482452343,0.49384926232555637,0.5841713701437558
MOM_pct_14_z,0.7487604729246603,0.8699897752550807,0.8886700969698251,0.8643735681552899,0.7984234644383885,0.7048211802868369,0.6773914565384668,0.5710184787852634,0.5805452338732011,0.4743350380654981,0.8464930210557454,0.4664475119092693,0.1645571970593309,0.007288881249362561,1.0,0.016704728093053307,0.6838972200065386,0.6529524175160896,0.021135034963135183,0.4422779227068984,0.3388923693305323,0.010328827217829198,0.1850375220326081,0.7697187486915749,0.1287140934223235,0.04198369121194398,0.7781615551781285,0.044676324487246295,0.016270762144643448,0.010655230875379491,0.6166987414659381,0.7408826111405926,0.33856387331618576,0.3096648453563942,0.48052188756674086,0.2075592998687156,0.048699859687733625,0.04330512147112225,0.024513364086219208,0.034601485866385374,0.05497843347617249,0.03137254800202258,0.05898061845855971,0.05107147243882983,0.054850104217872495,0.7281768747572168,0.6786390653043087,0.7168145341720614,0.5615694792204672,0.5333168564014448,0.3485295558436618,0.4944669826283733,0.4649834398971237,0.13937869227636385
ADX_14_scaled,0.0073818651678867215,0.023676511826099218,0.046398853005586355,0.06627446579888926,0.08499993054451263,0.09997879372791953,0.0813117748636734,0.09121547725582724,0.059672721580821535,0.06763450669041966,0.07613266522410857,0.11311550529774012,0.05474660521945025,0.004589343360843245,0.016704728093053307,1.0,0.01854181540630619,0.07609339121601232,0.6313026183438689,0.03551063555534709,0.06647462575389429,0.18378023570225088,0.004334051976179271,0.04922224244053738,0.519622944452881,0.4791324040016206,0.009141100872640149,0.46288923474560284,0.32111194384617125,0.16482231200883077,0.0017403797022720205,0.061325137236829926,0.06684601920712505,0.00468916594586572,0.07813232612412183,0.028153345264921584,0.135370381619914,0.0487438261682623,0.07187808596071991,0.14630896133624785,0.24387014332692186,0.14205286492469268,0.004742896706189898,0.16880370556423813,0.22803116700614612,0.27528169568956085,0.28529636194281366,0.029519696102933875,0.3145400817242079,0.15954525731989036,0.02185889086139704,0.1423982735157656,0.11666574128640249,0.08255468973857821
RSI_14_bounded,0.6407879652864015,0.6630790602841794,0.7745959360454409,0.7198608424624351,0.8179662687985696,0.7259915008554584,0.8254844518984751,0.7214625942750188,0.8432604313083375,0.7360958492355749,0.7413388640937439,0.6307022728919516,0.5247392651946573,0.4629884393686021,0.6838972200065386,0.01854181540630619,1.0,0.6863285184422512,0.052606883571851566,0.9190378135593222,0.561506106875028,0.017537969623753823,0.7041460892037397,0.451542137552905,0.11550052530206116,0.02640680907050386,0.9015480675745312,0.029583387658862953,0.012921645100133187,0.02093755946510167,0.5487491178167241,0.7107491862519802,0.5615308322468938,0.588376205291988,0.481565481420816,0.09468151217127187,0.04718576700104782,0.04328914438255406,0.022133727847468452,0.01443139956552696,0.06114750582941615,0.03740331916450229,0.05870389419067336,0.05628269623665062,0.05901686605763588,0.6632002821585696,0.6196134196751178,0.9163100324683775,0.6602351747545819,0.6434484225689102,0.826373799845985,0.7546683732742235,0.731036238907092,0.6142434806197251
MOM_pct_30_z,0.504206770930381,0.6267562176623513,0.7575456594704699,0.8218774433190664,0.8784090055100012,0.8723996792081568,0.8220769356216008,0.7855546851750762,0.7275077739393493,0.6805526957748218,0.8814729991307383,0.8002522526606461,0.4650705054551364,0.23110229569557478,0.6529524175160896,0.07609339121601232,0.6863285184422512,1.0,0.006479065513081766,0.551889879017698,0.5263639638339533,0.011555991511241556,0.27853438772989514,0.2924936965289662,0.14894958203243724,0.00747537993551654,0.5670976799710006,0.002480999928475605,0.0019291986767219398,0.031058867284457375,0.39473150834725496,0.8684496680090215,0.5264748620529457,0.36079377680514124,0.7481521921572049,0.06564361869824265,0.18234593049153627,0.027312646785757053,0.023721773131536703,0.028928728485333764,0.0742043311735423,0.0494576870226364,0.04864387502879793,0.06920838401082303,0.07383007832762102,0.6083198978246813,0.5344492926768993,0.6299196981712476,0.6712531060733212,0.6623443355812287,0.46747203218601,0.5952901371587112,0.5414233449001042,0.18136977404473215
ADX_30_scaled,0.033348501690994306,0.02140834369934868,0.018374823811133593,0.0016432803501513623,0.017339243512325186,0.03508013532978468,0.031951715685014585,0.045745159881544185,0.01266963956269149,0.023285572928881355,0.0030959203330850134,0.06719416584082907,0.06898226680790659,0.031637019589241935,0.021135034963135183,0.6313026183438689,0.052606883571851566,0.006479065513081766,1.0,0.019626220784751378,0.07291314696538594,0.6341631840436948,0.020914139324059493,0.05245273750284592,0.4036744294900945,0.14230450247469908,0.05838828746791977,0.3113271733618817,0.42754711255135625,0.3201771751328467,0.028758148453177614,0.015588387402686981,0.07332155254562474,0.04934934983404072,0.00971499786072947,0.07476991690403442,0.15282080190535002,0.07079647195655143,0.0686221732795426,0.005385419809519047,0.1455896284984061,0.07916034323074624,0.0512511278271432,0.00014617127605001066,0.08952258331306324,0.118123939448604,0.17943730314334957,0.0793525174676495,0.2469737990299293,0.2013660480687534,0.03597476409081217,0.20891269787951197,0.2438562449148435,0.1208096959160225
