,dist_ema_9_z,ema_slope_9_z,dist_ema_21_z,ema_slope_21_z,dist_ema_50_z,ema_slope_50_z,dist_ema_100_z,ema_slope_100_z,dist_ema_200_z,ema_slope_200_z,ema_spread_9_21_z,ema_spread_21_50_z,ema_spread_50_100_z,ema_spread_100_200_z,MOM_pct_14_z,ADX_14_scaled,RSI_14_bounded,MOM_pct_30_z,ADX_30_scaled,RSI_30_bounded,MOM_pct_72_z,ADX_72_scaled,RSI_72_bounded,MACD_hist_pct_z,NATR_14_z,bb_width_20_sqrt_z,bb_pos_20_norm,volatility_24_sqrt_z,volatility_72_sqrt_z,volatility_168_sqrt_z,log_ret_6_z,log_ret_24_z,log_ret_72_z,log_ret_168_z,ret_accel_6_24_z,ret_accel_24_72_z,ret_accel_72_168_z,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,range_sqrt_z,body_sqrt_z,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,dist_to_high_24_sqrt_z,dist_to_low_24_sqrt_z,price_pos_in_range_24_norm,dist_to_high_72_sqrt_z,dist_to_low_72_sqrt_z,price_pos_in_range_72_norm,dist_to_high_168_sqrt_z,dist_to_low_168_sqrt_z,price_pos_in_range_168_norm
dist_ema_9_z,1.0,0.7367575374191838,0.8965224539961292,0.6093615534457957,0.6861234602506021,0.4507827650938821,0.5286540796431003,0.33404139248059395,0.40520810104849003,0.24077497224386338,0.5978709195705212,0.279933106591298,0.08247576918897365,0.03609147114912816,0.7497217192242982,0.005348863057829094,0.7421884143412166,0.5284497346232683,0.011867980336029572,0.49542654214723864,0.3042479856950446,0.036005302865738296,0.2154108188126576,0.7214124264665893,0.09457788657980389,0.05819316921260707,0.8570339998809249,0.05438595541949346,0.027037396039951995,0.028569923468104833,0.8910023181378459,0.6026393853821235,0.30458813882932045,0.1810446902390022,0.22084286158424218,0.08171201828113805,0.1136870260895983,0.030861203327575002,0.034837679533092844,0.03628436187863825,0.012613767011340192,0.00900104724155011,0.03642282191226589,0.029482323541955454,0.021511277410412276,0.7189270222598297,0.6327426903755492,0.7583904264991254,0.521462283610824,0.4530971637286592,0.45954360566376046,0.3816044623249595,0.3721535089546745,0.21794924756007641
ema_slope_9_z,0.7367575374191838,1.0,0.8797721484015397,0.908233238484919,0.7682748348115649,0.7042500111985281,0.6192923276516455,0.5430302171567155,0.48688688186257806,0.4142769418676927,0.8416285948237052,0.4532371815976982,0.17567917497771593,0.009545063970406203,0.8784668455753869,0.00877905700499041,0.7663704389206314,0.6581285358619617,0.01970065970916676,0.5668061474306284,0.3760924731386662,0.046277281458116507,0.2673250244039536,0.8008910570358823,0.08025720402769836,0.06214509463856241,0.8115131028927729,0.07262787638558281,0.04049956180117439,0.04171644378458415,0.719742807618035,0.7311095587436112,0.3768803393771216,0.2327877417045201,0.4414885071477835,0.08283052111060309,0.11856517220972053,0.05149969571915017,0.05807558726146593,0.05823906617316048,0.020776150025361807,0.0054962043912498895,0.009115546499312763,0.002834524004651423,0.006337682143784702,0.7189777835599366,0.624676629108363,0.7559856108631775,0.5735930961767571,0.4918930809454689,0.5076191312327982,0.4249775796892521,0.4198918689476544,0.24929416649973216
dist_ema_21_z,0.8965224539961292,0.8797721484015397,1.0,0.8754994739536767,0.9036055131410387,0.7553896094586732,0.7527823473609685,0.6151632910004062,0.6050383214787164,0.48314229835666783,0.8764270351385827,0.5699815205988744,0.27735954255535633,0.07223016276068636,0.8905906255855901,0.02430125059362825,0.8717293305885392,0.7881195747829662,0.010472032885014337,0.6742987033221439,0.49950842912537535,0.04847451765931246,0.3371185388991874,0.663062934216959,0.08418046369246915,0.06229876674115278,0.881692131699828,0.07615653377481203,0.04980975606370516,0.04652184411697195,0.7740330515582702,0.8443667772209723,0.5002905549129104,0.3051732168943197,0.5349641784018472,0.012777678107000583,0.15177846352654303,0.042955812004672925,0.056687300148004584,0.05666908901232474,0.0038530089048672846,0.004945553618758014,0.024131110918018565,0.020786180194929695,0.012226737897372388,0.7982244103831103,0.6842048570114331,0.8416716300592739,0.6981017439523722,0.5878075831297178,0.6240165566775016,0.5326873029237917,0.5035224523032554,0.31878035228932133
ema_slope_21_z,0.6093615534457957,0.908233238484919,0.8754994739536767,1.0,0.901159781647356,0.9068292157814284,0.7853254778357409,0.7560220518263018,0.6447212553568316,0.606774888030752,0.9846744291803913,0.7080953021066423,0.371542878041946,0.13016963210965357,0.8666671483954155,0.03319670423272942,0.8058887902549009,0.8523404207904507,0.009017898214146582,0.6855556512613883,0.5517658254470481,0.04933840246663117,0.364449510963302,0.5554551484146105,0.060138716713494994,0.05919355677648377,0.7329681598079311,0.08563409535942222,0.0601428442986172,0.05502728426425671,0.5276580045963097,0.8889377088965197,0.5526594902451484,0.3394206226634867,0.7165944573609407,0.0210701670082952,0.15170694058930426,0.05008383142558443,0.06682465480375845,0.06727816288495242,0.02661851502416597,0.003323151311818198,0.001180944939515209,0.000652802441920912,0.007460349160292317,0.7133484874326309,0.601519005889591,0.7496513537121018,0.7037809837617326,0.5856992374680307,0.6310828523204527,0.5446418793371557,0.516712197114488,0.3303565048581127
dist_ema_50_z,0.6861234602506021,0.7682748348115649,0.9036055131410387,0.901159781647356,1.0,0.9424332760151554,0.9422778922950492,0.8682755239614212,0.814359997841201,0.739872071329013,0.938971975645966,0.8522570468486251,0.576986370339102,0.29536096280212965,0.7848414896332107,0.04911179429194596,0.8538892694023609,0.900798163043137,0.02242574498509393,0.7922940101563148,0.7555580369587431,0.03744572094758493,0.47251451350506896,0.3703857840605309,0.037348723564072206,0.06607290612227838,0.7387877194003922,0.08316726304010563,0.07295751121313813,0.06175690546832677,0.5706351227420932,0.8860930045734171,0.7561305016274412,0.4817496324283389,0.6860070075589181,0.2539702654865717,0.15974616303433967,0.039918125354882886,0.06673868541832682,0.0676736399551101,0.025150579784039864,0.003280003270239869,0.0019095118269201964,0.0023145560031392867,0.004442526066646531,0.6912934241787725,0.5762159751850842,0.7417610606480611,0.8168807861466008,0.6741882113873122,0.7575749654115221,0.6890842888634238,0.6369330086124642,0.4460761384899002
ema_slope_50_z,0.4507827650938821,0.7042500111985281,0.7553896094586732,0.9068292157814284,0.9424332760151554,1.0,0.9299785843711844,0.942130491150863,0.8211468069983753,0.8137450406093811,0.9414906897060712,0.9334797233136064,0.6549495121657646,0.3538168074222946,0.6953882978610358,0.05438998401930515,0.7547055442083676,0.894317716639615,0.028257634818451643,0.7648674265819569,0.7853834964506375,0.03250661438942835,0.4812716015075182,0.22882286059717796,0.009442943891836466,0.06645200512043932,0.5772517019752202,0.08558456214411149,0.07973777763416251,0.0663693863381595,0.3601147606911085,0.8544748033471625,0.785832493182157,0.5028359904343663,0.7747693999264805,0.3089994739097672,0.15289852829227749,0.040519371408197336,0.06943810511766137,0.07102771505640856,0.04115599177320742,0.007233660990737398,0.01386049910102778,0.017696299748484103,0.01882817722400323,0.5729887133078738,0.47218946047253096,0.6203861372760798,0.7861043786056628,0.6459755024001115,0.7368747331342824,0.6776544444313819,0.6288810625968676,0.44638060311517647
dist_ema_100_z,0.5286540796431003,0.6192923276516455,0.7527823473609685,0.7853254778357409,0.9422778922950492,0.9299785843711844,1.0,0.9651059554381056,0.94886751389075,0.904037117243477,0.8351901536102991,0.9280746624100074,0.7964821076693013,0.5323275069478118,0.6351831962058049,0.06210050012461846,0.7757158389512051,0.8252047637321709,0.0738873916559543,0.815065986794181,0.8677580268040551,0.006192224599607109,0.5638583546998379,0.18467873797438727,0.008784733129200365,0.06554845011422925,0.6131272397354564,0.07624696452105369,0.08657475370291702,0.06863692461720117,0.4325538644320723,0.775707261407186,0.8677519843309901,0.6707627738873871,0.6389208174120922,0.4547075893989183,0.030683120552529978,0.028491225309968792,0.05327272145015775,0.05889812090480848,0.03849618887860819,0.0094157950348046,0.009507698539937156,0.018131081664143248,0.02070018280388404,0.5509722182214153,0.451530903505237,0.6215652394419572,0.782381305773401,0.6473476046759498,0.779787243993592,0.778589984199306,0.7058851171786765,0.5520528562304716
ema_slope_100_z,0.33404139248059395,0.5430302171567155,0.6151632910004062,0.7560220518263018,0.8682755239614212,0.942130491150863,0.9651059554381056,1.0,0.9372913921351741,0.9484797024241265,0.8032955356989117,0.9683194923160596,0.854353249594378,0.5830627753983175,0.5408287838636947,0.062325666734070334,0.6762684602551676,0.7903952688958057,0.07865719582097455,0.7734813220770462,0.8751261255320825,0.0005966827844738682,0.5621733429996763,0.06075804834591927,0.03416096310135319,0.06628380770061462,0.4694882851986711,0.07607534389866386,0.09169784365913763,0.07167181948147008,0.2574513024397073,0.7219440278949251,0.8749881092480497,0.6831875464598374,0.6815909437404811,0.5009531124225999,0.015908807621257567,0.02559148850284705,0.05066142424276167,0.05749344399106511,0.0494450673988105,0.011891493169658826,0.019404788929634927,0.028012146062164914,0.030763718581630375,0.43820659438055265,0.3542629366313422,0.5072773757222732,0.7338401346663636,0.6066878399577226,0.7446074347969204,0.7547559776580643,0.6860092368919509,0.5455164217088048
dist_ema_200_z,0.40520810104849003,0.48688688186257806,0.6050383214787164,0.6447212553568316,0.814359997841201,0.8211468069983753,0.94886751389075,0.9372913921351741,1.0,0.9760207657531123,0.6930047308856212,0.8637386080226186,0.8934412780631062,0.7364234035896445,0.5013331675746809,0.06765724847553968,0.7055751142433736,0.6954544322126477,0.11500633561311137,0.8095460372759008,0.8343592122334337,0.04365376733398061,0.6469914702373156,0.08864433958613745,0.031106359846899485,0.05476032647218935,0.5276027374045806,0.06565888301100554,0.0978332560816243,0.0702415712508106,0.32874981787122437,0.6388895133580692,0.8338434326049549,0.8136045331060514,0.5404239877904969,0.513601424475488,0.15822727433750058,0.014461061283018687,0.0254631964855006,0.03413084402447408,0.03576226653144086,0.008359185088512595,0.008001689415621481,0.012023014538658429,0.021816775179222193,0.43271317489813704,0.34638941498615927,0.5343461981542464,0.6700337795857116,0.5561996185252259,0.7562107523033225,0.7873816540891302,0.707342958011241,0.6491032253037179
ema_slope_200_z,0.24077497224386338,0.4142769418676927,0.48314229835666783,0.606774888030752,0.739872071329013,0.8137450406093811,0.904037117243477,0.9484797024241265,0.9760207657531123,1.0,0.6523369172701596,0.8799816839498964,0.9321309951362056,0.7776034400910363,0.41415408316233576,0.06617323668463548,0.61384789555606,0.6535565854398986,0.11855567360910012,0.7642218471506272,0.826532555806942,0.05179504104180419,0.6393284177581628,0.01617901505724755,0.04976807110546256,0.05309434809280947,0.40253762835770657,0.06294740100165053,0.10022885618954055,0.070827544605566,0.18089553908269332,0.582260195394667,0.8258936676738681,0.8170529452280777,0.5631808121623935,0.5459339309603476,0.1735952822518411,0.009854704501522033,0.020293869546309528,0.029710174540283085,0.041950182862310816,0.008797622871211979,0.014707270067411321,0.017566401831512837,0.027510552635713798,0.33331619958973463,0.2596114486680924,0.43273481366980165,0.6173871054712287,0.5109819462602329,0.7154338838059168,0.7570116872656907,0.6800283965182315,0.6382205094809311
