,dist_ema_9_z,ema_slope_9_z,dist_ema_21_z,ema_slope_21_z,dist_ema_50_z,ema_slope_50_z,dist_ema_100_z,ema_slope_100_z,dist_ema_200_z,ema_slope_200_z,ema_spread_9_21_z,ema_spread_21_50_z,ema_spread_50_100_z,ema_spread_100_200_z,MOM_pct_14_z,ADX_14_scaled,RSI_14_bounded,MOM_pct_30_z,ADX_30_scaled,RSI_30_bounded,MOM_pct_72_z,ADX_72_scaled,RSI_72_bounded,MACD_hist_pct_z,NATR_14_z,bb_width_20_sqrt_z,bb_pos_20_norm,volatility_24_sqrt_z,volatility_72_sqrt_z,volatility_168_sqrt_z,log_ret_6_z,log_ret_24_z,log_ret_72_z,log_ret_168_z,ret_accel_6_24_z,ret_accel_24_72_z,ret_accel_72_168_z,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,range_sqrt_z,body_sqrt_z,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,dist_to_high_24_sqrt_z,dist_to_low_24_sqrt_z,price_pos_in_range_24_norm,dist_to_high_72_sqrt_z,dist_to_low_72_sqrt_z,price_pos_in_range_72_norm,dist_to_high_168_sqrt_z,dist_to_low_168_sqrt_z,price_pos_in_range_168_norm
dist_ema_9_z,1.0,0.7175689728256031,0.8990657681336154,0.5750303461514155,0.6911116334211651,0.40144232382827577,0.5439461775568595,0.285136972705497,0.4442593522508835,0.20577026188245795,0.563317458119542,0.20365542253192792,0.0039003436672008637,0.06499024581643588,0.7157831363155467,0.012235549922755922,0.6746280174419883,0.48725649552606776,0.08734098633764473,0.3798216701603309,0.20752017295057426,0.06328354972457129,0.13456211840973395,0.7519074453904255,0.11630470202750565,0.019532430058778104,0.8241716220417258,0.01677500857228517,0.01251643428872847,0.0016120820621208407,0.8754688036009841,0.5579431645236634,0.2077095763442278,0.22812138959186706,0.12824274761902021,0.2469751578652679,0.014409549581628179,0.03133075105548984,0.03360044415836245,0.0298993916852134,0.05151743013356314,0.02708652290115848,0.038349202438738975,0.048902850076741805,0.04053659318245362,0.6870390915298105,0.577663189892246,0.7120687039248809,0.45041860542727524,0.4537594759383344,0.30965656806363806,0.4144675085296359,0.34945410948621636,0.1078805426192515
ema_slope_9_z,0.7175689728256031,1.0,0.8643323922182518,0.9052063690351456,0.7582520466408602,0.6969696788784299,0.6216370468853446,0.541700753004433,0.5164446651146626,0.4348021545207331,0.8315870770481769,0.40240212449156354,0.10911256319554294,0.013082666759525716,0.8509799665973203,0.010994096955829891,0.6869572841235454,0.6069850672332295,0.08449318768148407,0.4328950483763206,0.26539093541262093,0.06694380567750703,0.17423663037664763,0.8562111791984115,0.09551146590662071,0.016611141178282055,0.7822233530154828,0.00010277491713519895,0.0009500151836840266,0.020139941195485234,0.7099493969951992,0.6913297885976448,0.26576556871436813,0.26386476271989523,0.3564552342905374,0.2786102312997171,0.001625762457199935,0.018106706493352182,0.009339924521672052,0.01700489089279456,0.002767298927794353,0.008326689236252209,0.01850496085749298,0.0017225466823437405,0.012820367487803918,0.6647566320170385,0.555308263573432,0.7023786294413464,0.48225488643185427,0.4840311671007793,0.34776878997673927,0.45043124512449884,0.3882120931109356,0.12902237340715736
dist_ema_21_z,0.8990657681336154,0.8643323922182518,1.0,0.8497833953886734,0.9049400650808107,0.7186738464745058,0.764356820336169,0.5818905263179107,0.6460400656585246,0.47228921988999717,0.8522639145273703,0.504070743089271,0.19524850652902956,0.0643904719174797,0.8674169602120763,0.050387670317464696,0.8070592734566475,0.7460392396616066,0.07421201531661235,0.5260929083361213,0.37007993645552856,0.07413809549814014,0.2167621918346059,0.7296139901670938,0.11583726769000487,0.022309767700329095,0.8703850119490213,0.015404026407862417,0.007170382574720461,0.020411722973506883,0.7692517674351342,0.8064804916928661,0.37071520860639473,0.3291477034693884,0.44615728624243306,0.25328200336285245,0.02914242259299762,0.006258504812460447,0.013916976219824649,0.008808414380749065,0.030321168091368058,0.024872365715190862,0.006662068684709156,0.027731089282236585,0.017990981068424047,0.7498062894459498,0.6140163706951978,0.7962057444922049,0.6086058377698383,0.5822359621230272,0.44639801197473533,0.5670890104933489,0.4739653022431061,0.16121026145114623
ema_slope_21_z,0.5750303461514155,0.9052063690351456,0.8497833953886734,1.0,0.8829114989299283,0.9060844939521718,0.7792190996161551,0.7630615211481399,0.6692855887268628,0.6414776181730162,0.9817947618510744,0.6747100747838932,0.3187209532063622,0.1564815367311858,0.8522164246340737,0.08552076637239532,0.7356832014447398,0.8113950553064637,0.052223538034339566,0.5330994935496621,0.41511932428287285,0.06866247015366918,0.23960973625884915,0.6299447455760931,0.0849823796174325,0.017909096554839004,0.721934670169339,0.001541523740953457,0.0004823975834714671,0.040049238994829976,0.5056278370185144,0.8602143940715836,0.4158865641287364,0.33985437334027435,0.6512955481357293,0.23302706622163183,0.04859129111755056,0.028977410308156693,0.01788841724239182,0.02496264592018385,0.011210686585823275,0.011647797382660594,0.035819596135915066,0.011658024526343954,0.02191953255107703,0.6404861412682199,0.5175425702387083,0.694893926675584,0.6034440757850456,0.5634817017001272,0.45546720351553643,0.564671369303041,0.47263492709129606,0.16916388437477708
dist_ema_50_z,0.6911116334211651,0.7582520466408602,0.9049400650808107,0.8829114989299283,1.0,0.9144869576873897,0.9485240962495625,0.8420061460374662,0.8481152444087692,0.7376753077526659,0.92463337427124,0.7991158070607128,0.5009365049033382,0.2861082468173019,0.7775406659507236,0.12660096154191697,0.8345408094755387,0.8732291606937349,0.03708983740179281,0.646366361128492,0.6169432049616905,0.08248556540340098,0.2982598033265151,0.46359032395257704,0.09639334065465571,0.01818526936541103,0.7738272332306771,0.021883769435042576,0.00996065850135287,0.05560079800704959,0.5725864931031124,0.866333791816205,0.6174865886945443,0.4505389582036193,0.6144004987445741,0.03613435161832756,0.1166928747253327,0.00919419159483835,0.005759423432270706,0.005586099567291199,0.01416229582511696,0.021595692342515852,0.014053035286935262,0.007974004797509487,0.004432380741796638,0.6453775642274941,0.5137034463207245,0.7330787561541103,0.739075467138644,0.642290086725252,0.6016079537778628,0.717872054890466,0.5800110279241115,0.22415713248564664
ema_slope_50_z,0.40144232382827577,0.6969696788784299,0.7186738464745058,0.9060844939521718,0.9144869576873897,1.0,0.9109788170344338,0.9465909064605885,0.8298426121819904,0.8437340236060683,0.9399112704368573,0.9110855324564524,0.6057178421408491,0.3688894664573117,0.6862546563735301,0.1517055444604135,0.7235199008887246,0.8663264319157249,0.010508550237891405,0.6196436000131225,0.643137283088363,0.07431860315915222,0.3059135794276628,0.31553009421679895,0.0626179727293409,0.010030126545658945,0.5964487023503088,0.00956214692284401,0.0054335987082643755,0.07243439825987555,0.326371019139579,0.8374718104768477,0.6437387179570906,0.4454162874179643,0.7312698145380513,0.019563183973592992,0.13369073792819317,0.03026974077421104,0.028311470741632743,0.027595249307138324,0.015549139236965636,0.01141120842476629,0.04178062140055737,0.02188220970627789,0.023080278498995174,0.4990741088708962,0.392849799049509,0.5936995351618565,0.6997364675799402,0.5894669011617389,0.5858303166160532,0.6847768680491926,0.5515699753503277,0.22230274058639504
dist_ema_100_z,0.5439461775568595,0.6216370468853446,0.764356820336169,0.7792190996161551,0.9485240962495625,0.9109788170344338,1.0,0.9362836579858892,0.9601504489565351,0.8845487638048206,0.8331359590428177,0.8877357629653561,0.7122965246126646,0.48793929592165386,0.6445915975693013,0.14493174024769423,0.8198279262411478,0.814852715181604,0.005657512389367675,0.7213972264651235,0.7454389299187799,0.08712200603122215,0.37202252183381945,0.2913142077457199,0.07170884642330219,0.009958127082546177,0.6949271307503341,0.014436883190508927,0.003232040964368693,0.08514529327832042,0.446927746456085,0.7751975533053723,0.7460578411198161,0.5718037056489212,0.5848386674398429,0.16181226283534964,0.10123623621247568,0.0072214231272542916,0.009367199841416068,0.006022581926583187,0.005341681404056208,0.017290457885973477,0.015944254060697775,0.0005285747724405722,0.001236249953122548,0.5231921052681836,0.4176631291017551,0.6638599406180815,0.7363362567004293,0.6118899846214826,0.6992974784799749,0.7912384829000071,0.6429298930583711,0.3193388208109136
ema_slope_100_z,0.285136972705497,0.541700753004433,0.5818905263179107,0.7630615211481399,0.8420061460374662,0.9465909064605885,0.9362836579858892,1.0,0.9202405145040669,0.9583479637459439,0.8094268148708268,0.9590910027904742,0.8000403840665559,0.5591345060827599,0.5406122324830217,0.16064759905156184,0.7005884097539798,0.7768057042303169,0.020564812611224177,0.6793193118040476,0.7521874333289996,0.07606640939516815,0.3712119463106434,0.15012660739227104,0.03919773004939709,0.0009489604970944527,0.5217841748280364,0.0038266829514220307,0.008996608234032472,0.09972552328779714,0.22539993628339977,0.7195626028978862,0.7529147749278856,0.5591036605515962,0.6586557116712949,0.21697882033938148,0.10957343230141547,0.024874443713910434,0.027946152022081516,0.024273878624553748,0.019293039416450927,0.009172984651685973,0.03780195544386233,0.02351682633340773,0.020822563496730742,0.37904633673121807,0.29826832508252693,0.522925207869011,0.6775110223538454,0.5453512034421487,0.669956483909447,0.7421310083189618,0.6041226600457653,0.3129448965275809
dist_ema_200_z,0.4442593522508835,0.5164446651146626,0.6460400656585246,0.6692855887268628,0.8481152444087692,0.8298426121819904,0.9601504489565351,0.9202405145040669,1.0,0.946235608391882,0.7231615246788956,0.8502771162331445,0.8130490196257548,0.6598625661576095,0.5422278300457068,0.1419157262699355,0.8175336400242627,0.7179106426081829,0.029921594921846296,0.7978065211452647,0.7495748299776475,0.06892484163111307,0.4786446975638472,0.20646061433253995,0.03917826497482863,0.0070071452885843225,0.6541833838212533,0.010630041618756114,0.034248039793152905,0.12043407714160091,0.36605010545318456,0.6732506937266907,0.7504181703244072,0.6767069484189169,0.5159772972854073,0.25282748073240535,0.0037453232986017155,0.003638113139252824,0.0021503155240385555,0.0015790374910382757,0.0008239219306486953,0.01607607361221003,0.007968863658665164,0.001999381852999842,0.0034194837261379923,0.42557191422560825,0.3629188036115533,0.6247054000107334,0.6583687247298106,0.5514103787911063,0.7669701933447877,0.8064638515696867,0.679622756817142,0.4639171697403287
ema_slope_200_z,0.20577026188245795,0.4348021545207331,0.47228921988999717,0.6414776181730162,0.7376753077526659,0.8437340236060683,0.8845487638048206,0.9583479637459439,0.946235608391882,1.0,0.6877319520378927,0.894589471569493,0.884694938244497,0.7226647207740508,0.4389225331933018,0.15486707834164248,0.6962868198919534,0.670010821709111,0.053540310581284875,0.7469440924475239,0.7397836306097627,0.05951795809692182,0.4726980765593796,0.07591672352719304,0.010223197062399238,0.013341135908105156,0.48668396169921385,0.018103307665803953,0.03983798026475051,0.13327271272560015,0.16136897396907074,0.6114256443616186,0.7406955717139801,0.659663710488212,0.5718951779682255,0.29781174447530817,0.004972226202392055,0.013619749338865566,0.018952832495759634,0.014935432765778665,0.023226707454502175,0.008182196947528732,0.028047689644009027,0.019196686842575077,0.016197491996228695,0.2893485642860872,0.24705498241277613,0.4864117568773745,0.5905934541864678,0.47922965349351765,0.7289081569319138,0.7498361060817308,0.6330271951940284,0.4568365509078616
