symbol,z_window,feature,target,corr_method,raw_corr,abs_corr
BTCUSDT,24,dist_ema_9_z,target_log_ret_horizon_1,spearman,-0.035460525095807535,0.035460525095807535
BTCUSDT,24,dist_ema_21_z,target_log_ret_horizon_1,spearman,-0.028190833387389754,0.028190833387389754
BTCUSDT,24,log_ret_6_z,target_log_ret_horizon_1,spearman,-0.027833379034747734,0.027833379034747734
BTCUSDT,24,dist_to_high_72_sqrt_z,target_log_ret_horizon_1,spearman,0.026936425786018674,0.026936425786018674
BTCUSDT,24,ret_accel_6_24_z,target_log_ret_horizon_1,spearman,-0.025469603347844573,0.025469603347844573
BTCUSDT,24,dist_to_high_24_sqrt_z,target_log_ret_horizon_1,spearman,0.02380769012132509,0.02380769012132509
BTCUSDT,24,dist_to_low_168_sqrt_z,target_log_ret_horizon_1,spearman,-0.023560481449039168,0.023560481449039168
BTCUSDT,24,bb_pos_20_norm,target_log_ret_horizon_1,spearman,-0.02335870682940167,0.02335870682940167
BTCUSDT,24,price_pos_in_range_24_norm,target_log_ret_horizon_1,spearman,-0.023044937754014765,0.023044937754014765
BTCUSDT,24,dist_to_high_168_sqrt_z,target_log_ret_horizon_1,spearman,0.022252020222272274,0.022252020222272274
BTCUSDT,24,dist_to_low_72_sqrt_z,target_log_ret_horizon_1,spearman,-0.020635047434875146,0.020635047434875146
BTCUSDT,24,body_sqrt_z,target_log_ret_horizon_1,spearman,0.020540505403635955,0.020540505403635955
BTCUSDT,24,log_ret_72_z,target_log_ret_horizon_1,spearman,-0.020505234123933486,0.020505234123933486
BTCUSDT,24,MOM_pct_72_z,target_log_ret_horizon_1,spearman,-0.02035667127104157,0.02035667127104157
BTCUSDT,24,MOM_pct_14_z,target_log_ret_horizon_1,spearman,-0.019645711524497737,0.019645711524497737
BTCUSDT,24,dist_ema_50_z,target_log_ret_horizon_1,spearman,-0.019563827374891745,0.019563827374891745
BTCUSDT,24,ret_accel_24_72_z,target_log_ret_horizon_1,spearman,0.019534095581248186,0.019534095581248186
BTCUSDT,24,dist_to_low_24_sqrt_z,target_log_ret_horizon_1,spearman,-0.01928147107781363,0.01928147107781363
BTCUSDT,24,volatility_72_sqrt_z,target_log_ret_horizon_1,spearman,0.018015876574778322,0.018015876574778322
BTCUSDT,24,ema_slope_9_z,target_log_ret_horizon_1,spearman,-0.01731806175294457,0.01731806175294457
BTCUSDT,24,dist_ema_100_z,target_log_ret_horizon_1,spearman,-0.015921471865939667,0.015921471865939667
BTCUSDT,24,NATR_14_z,target_log_ret_horizon_1,spearman,0.01554172765013517,0.01554172765013517
BTCUSDT,24,dist_ema_200_z,target_log_ret_horizon_1,spearman,-0.014995395671473441,0.014995395671473441
BTCUSDT,24,volatility_168_sqrt_z,target_log_ret_horizon_1,spearman,0.014965051315609297,0.014965051315609297
BTCUSDT,24,ret_accel_72_168_z,target_log_ret_horizon_1,spearman,-0.014030375494861759,0.014030375494861759
BTCUSDT,24,RSI_72_bounded,target_log_ret_horizon_1,spearman,0.01375475687731277,0.01375475687731277
BTCUSDT,24,range_sqrt_z,target_log_ret_horizon_1,spearman,0.012312310297576007,0.012312310297576007
BTCUSDT,24,ADX_14_scaled,target_log_ret_horizon_1,spearman,0.01199367810197994,0.01199367810197994
BTCUSDT,24,bb_width_20_sqrt_z,target_log_ret_horizon_1,spearman,0.011913063815953391,0.011913063815953391
BTCUSDT,24,vol_expansion_168_log1p_z,target_log_ret_horizon_1,spearman,0.011902580416264102,0.011902580416264102
BTCUSDT,24,ADX_72_scaled,target_log_ret_horizon_1,spearman,0.011716281201310802,0.011716281201310802
BTCUSDT,24,RSI_14_bounded,target_log_ret_horizon_1,spearman,-0.010738527107891686,0.010738527107891686
BTCUSDT,24,vol_expansion_72_log1p_z,target_log_ret_horizon_1,spearman,0.010384035424767494,0.010384035424767494
BTCUSDT,24,vol_expansion_24_log1p_z,target_log_ret_horizon_1,spearman,0.01020931738539801,0.01020931738539801
BTCUSDT,24,MACD_hist_pct_z,target_log_ret_horizon_1,spearman,-0.010125770723744407,0.010125770723744407
BTCUSDT,24,ema_slope_21_z,target_log_ret_horizon_1,spearman,-0.009821509211425787,0.009821509211425787
BTCUSDT,24,volatility_24_sqrt_z,target_log_ret_horizon_1,spearman,0.00903873221794584,0.00903873221794584
BTCUSDT,24,log_ret_24_z,target_log_ret_horizon_1,spearman,0.00896422163937167,0.00896422163937167
BTCUSDT,24,ema_slope_50_z,target_log_ret_horizon_1,spearman,-0.007785633775997247,0.007785633775997247
BTCUSDT,24,ADX_30_scaled,target_log_ret_horizon_1,spearman,0.007745253833503746,0.007745253833503746
BTCUSDT,24,price_pos_in_range_72_norm,target_log_ret_horizon_1,spearman,-0.00681575140288117,0.00681575140288117
BTCUSDT,24,vol_ratio_168_log1p_z,target_log_ret_horizon_1,spearman,0.006287080182344271,0.006287080182344271
BTCUSDT,24,vol_ratio_24_log1p_z,target_log_ret_horizon_1,spearman,0.005864509164454729,0.005864509164454729
BTCUSDT,24,ema_spread_9_21_z,target_log_ret_horizon_1,spearman,-0.005195013295424364,0.005195013295424364
BTCUSDT,24,ema_slope_100_z,target_log_ret_horizon_1,spearman,-0.004407011081178112,0.004407011081178112
BTCUSDT,24,vol_ratio_72_log1p_z,target_log_ret_horizon_1,spearman,0.004252476906618371,0.004252476906618371
