symbol,z_window,feature_1,feature_2,corr_method,abs_corr
BTCUSDT,24,MOM_pct_72_z,log_ret_72_z,spearman,0.9999682880278615
BTCUSDT,24,range_sqrt_z,vol_expansion_168_log1p_z,spearman,0.9977113136083348
BTCUSDT,24,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,spearman,0.991871346701502
BTCUSDT,24,range_sqrt_z,vol_expansion_72_log1p_z,spearman,0.9902463557338861
BTCUSDT,24,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,spearman,0.990064611779375
BTCUSDT,24,dist_ema_100_z,dist_ema_200_z,spearman,0.98226444554276
BTCUSDT,24,ema_slope_100_z,ema_slope_200_z,spearman,0.9781779240445319
BTCUSDT,24,ema_slope_21_z,ema_spread_9_21_z,spearman,0.9759627817260541
BTCUSDT,24,dist_ema_50_z,dist_ema_100_z,spearman,0.9705351993860134
BTCUSDT,24,ema_slope_50_z,ema_slope_100_z,spearman,0.9636443588122429
BTCUSDT,24,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,spearman,0.9525117550231531
BTCUSDT,24,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,spearman,0.9438161554546842
BTCUSDT,24,ema_slope_50_z,ema_spread_9_21_z,spearman,0.9392604744389381
BTCUSDT,24,vol_expansion_24_log1p_z,vol_expansion_168_log1p_z,spearman,0.9392109647151393
BTCUSDT,24,range_sqrt_z,vol_expansion_24_log1p_z,spearman,0.9376189447662003
BTCUSDT,24,ema_slope_100_z,ema_spread_21_50_z,spearman,0.9364128090169868
BTCUSDT,24,RSI_30_bounded,price_pos_in_range_72_norm,spearman,0.9328455544703748
BTCUSDT,24,dist_ema_21_z,dist_ema_50_z,spearman,0.9320390609665289
BTCUSDT,24,vol_ratio_24_log1p_z,vol_ratio_168_log1p_z,spearman,0.9279437487812098
BTCUSDT,24,RSI_72_bounded,price_pos_in_range_168_norm,spearman,0.927289553288898
BTCUSDT,24,ema_slope_21_z,ema_slope_50_z,spearman,0.9229314726637571
BTCUSDT,24,dist_ema_50_z,dist_ema_200_z,spearman,0.9209432714215408
BTCUSDT,24,ema_slope_9_z,ema_slope_21_z,spearman,0.9191252022314329
BTCUSDT,24,RSI_14_bounded,RSI_30_bounded,spearman,0.9188906706152057
BTCUSDT,24,dist_ema_9_z,dist_ema_21_z,spearman,0.9182450540504253
BTCUSDT,24,ema_slope_200_z,ema_spread_21_50_z,spearman,0.9165683552617944
BTCUSDT,24,RSI_14_bounded,price_pos_in_range_24_norm,spearman,0.9135642226320886
BTCUSDT,24,ema_slope_50_z,ema_slope_200_z,spearman,0.9079406868730919
BTCUSDT,24,ema_slope_9_z,MACD_hist_pct_z,spearman,0.9045424981151505
BTCUSDT,24,bb_pos_20_norm,price_pos_in_range_24_norm,spearman,0.9019880421056772
BTCUSDT,24,dist_ema_50_z,ema_spread_9_21_z,spearman,0.9016706330942599
BTCUSDT,24,RSI_14_bounded,bb_pos_20_norm,spearman,0.899075404507732
BTCUSDT,24,RSI_30_bounded,RSI_72_bounded,spearman,0.8933360297209249
BTCUSDT,24,dist_ema_9_z,log_ret_6_z,spearman,0.8932027425340063
BTCUSDT,24,dist_ema_200_z,bb_pos_20_norm,spearman,0.8857638472910718
BTCUSDT,24,ema_slope_50_z,ema_spread_21_50_z,spearman,0.882279971294927
BTCUSDT,24,dist_ema_200_z,ema_slope_200_z,spearman,0.8682517769966769
BTCUSDT,24,ema_slope_100_z,dist_ema_200_z,spearman,0.8661010040039404
BTCUSDT,24,dist_ema_100_z,ema_slope_100_z,spearman,0.8625857437859017
BTCUSDT,24,ema_slope_50_z,dist_ema_100_z,spearman,0.8623761036958063
BTCUSDT,24,dist_ema_100_z,bb_pos_20_norm,spearman,0.8609480811808022
BTCUSDT,24,dist_ema_100_z,ema_spread_9_21_z,spearman,0.8554533733209174
BTCUSDT,24,ema_slope_9_z,ema_spread_9_21_z,spearman,0.8549944933908066
BTCUSDT,24,dist_ema_21_z,MOM_pct_14_z,spearman,0.8519433425130664
DOGEUSDT,24,MOM_pct_72_z,log_ret_72_z,spearman,0.9999092254959971
DOGEUSDT,24,range_sqrt_z,vol_expansion_168_log1p_z,spearman,0.9952137707408798
DOGEUSDT,24,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,spearman,0.9886251477766003
DOGEUSDT,24,range_sqrt_z,vol_expansion_72_log1p_z,spearman,0.9834872057958375
DOGEUSDT,24,dist_ema_100_z,dist_ema_200_z,spearman,0.9832640555082047
DOGEUSDT,24,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,spearman,0.9817368185433857
DOGEUSDT,24,ema_slope_100_z,ema_slope_200_z,spearman,0.9768392685966061
DOGEUSDT,24,dist_ema_50_z,dist_ema_100_z,spearman,0.9756844766013143
DOGEUSDT,24,ema_slope_21_z,ema_spread_9_21_z,spearman,0.9749698644368857
DOGEUSDT,24,ema_slope_50_z,ema_slope_100_z,spearman,0.9720114196064996
DOGEUSDT,24,ema_slope_50_z,ema_spread_9_21_z,spearman,0.9432064129999812
DOGEUSDT,24,dist_ema_21_z,dist_ema_50_z,spearman,0.9340981032984005
DOGEUSDT,24,dist_ema_50_z,dist_ema_200_z,spearman,0.9315341159053836
DOGEUSDT,24,dist_ema_200_z,bb_pos_20_norm,spearman,0.9315246809493327
DOGEUSDT,24,ema_slope_100_z,ema_spread_21_50_z,spearman,0.9302558803911312
DOGEUSDT,24,ema_slope_21_z,ema_slope_50_z,spearman,0.927547218710079
DOGEUSDT,24,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,spearman,0.9253969355209106
DOGEUSDT,24,ema_slope_50_z,ema_slope_200_z,spearman,0.9185060256944095
DOGEUSDT,24,dist_ema_9_z,dist_ema_21_z,spearman,0.9173951376868932
DOGEUSDT,24,ema_slope_9_z,ema_slope_21_z,spearman,0.9171676400369397
DOGEUSDT,24,vol_expansion_24_log1p_z,vol_expansion_168_log1p_z,spearman,0.9166236460404982
DOGEUSDT,24,RSI_14_bounded,bb_pos_20_norm,spearman,0.9140505669458285
DOGEUSDT,24,ema_slope_200_z,ema_spread_21_50_z,spearman,0.9132515134592076
DOGEUSDT,24,RSI_14_bounded,RSI_30_bounded,spearman,0.909281159756008
DOGEUSDT,24,dist_ema_100_z,bb_pos_20_norm,spearman,0.908117880607141
DOGEUSDT,24,range_sqrt_z,vol_expansion_24_log1p_z,spearman,0.9080497876149282
DOGEUSDT,24,ema_slope_9_z,MACD_hist_pct_z,spearman,0.9056181152786632
DOGEUSDT,24,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,spearman,0.900762934669864
DOGEUSDT,24,dist_ema_50_z,ema_spread_9_21_z,spearman,0.8999523063996987
DOGEUSDT,24,bb_pos_20_norm,price_pos_in_range_24_norm,spearman,0.8960662942608435
DOGEUSDT,24,RSI_30_bounded,RSI_72_bounded,spearman,0.8905003880131995
DOGEUSDT,24,vol_ratio_24_log1p_z,vol_ratio_168_log1p_z,spearman,0.8885068222299748
DOGEUSDT,24,dist_ema_9_z,log_ret_6_z,spearman,0.8859706724919529
DOGEUSDT,24,ema_slope_50_z,ema_spread_21_50_z,spearman,0.8809931576163267
DOGEUSDT,24,RSI_72_bounded,price_pos_in_range_168_norm,spearman,0.8780012730189235
DOGEUSDT,24,dist_ema_50_z,bb_pos_20_norm,spearman,0.8775342564595202
DOGEUSDT,24,dist_ema_200_z,price_pos_in_range_24_norm,spearman,0.8767255913143183
DOGEUSDT,24,ema_slope_100_z,ema_spread_9_21_z,spearman,0.8688182252380131
DOGEUSDT,24,dist_ema_100_z,ema_spread_9_21_z,spearman,0.8679102209731621
DOGEUSDT,24,RSI_30_bounded,price_pos_in_range_72_norm,spearman,0.863648932525248
DOGEUSDT,24,ema_slope_50_z,dist_ema_100_z,spearman,0.862238237070516
DOGEUSDT,24,dist_ema_200_z,ema_slope_200_z,spearman,0.8616076628142759
DOGEUSDT,24,ema_slope_100_z,dist_ema_200_z,spearman,0.8597334741833578
DOGEUSDT,24,dist_ema_21_z,dist_ema_100_z,spearman,0.8587817438454108
DOGEUSDT,24,RSI_14_bounded,price_pos_in_range_24_norm,spearman,0.857464403705266
DOGEUSDT,24,dist_ema_100_z,ema_slope_100_z,spearman,0.8560169859796675
DOGEUSDT,24,dist_ema_200_z,RSI_14_bounded,spearman,0.8558197083721593
DOGEUSDT,24,dist_ema_100_z,price_pos_in_range_24_norm,spearman,0.8536533786737217
DOGEUSDT,24,dist_ema_21_z,MOM_pct_14_z,spearman,0.8517442203468205
ETHUSDT,24,MOM_pct_72_z,log_ret_72_z,spearman,0.9999492304463077
ETHUSDT,24,range_sqrt_z,vol_expansion_168_log1p_z,spearman,0.9975035581534862
ETHUSDT,24,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,spearman,0.9914669941986679
ETHUSDT,24,range_sqrt_z,vol_expansion_72_log1p_z,spearman,0.9897173350913534
ETHUSDT,24,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,spearman,0.9891683492376635
ETHUSDT,24,dist_ema_100_z,dist_ema_200_z,spearman,0.982400017545237
ETHUSDT,24,ema_slope_100_z,ema_slope_200_z,spearman,0.9773489222405832
ETHUSDT,24,ema_slope_21_z,ema_spread_9_21_z,spearman,0.9762877824505145
ETHUSDT,24,dist_ema_50_z,dist_ema_100_z,spearman,0.973188966395216
ETHUSDT,24,ema_slope_50_z,ema_slope_100_z,spearman,0.9671722095972639
ETHUSDT,24,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,spearman,0.9546006943649618
ETHUSDT,24,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,spearman,0.9441404147495779
ETHUSDT,24,vol_expansion_24_log1p_z,vol_expansion_168_log1p_z,spearman,0.9441100867248635
ETHUSDT,24,ema_slope_50_z,ema_spread_9_21_z,spearman,0.9434608520143994
ETHUSDT,24,range_sqrt_z,vol_expansion_24_log1p_z,spearman,0.9414427968642782
ETHUSDT,24,ema_slope_100_z,ema_spread_21_50_z,spearman,0.9375277636864957
ETHUSDT,24,dist_ema_21_z,dist_ema_50_z,spearman,0.9361464258679922
ETHUSDT,24,RSI_30_bounded,price_pos_in_range_72_norm,spearman,0.9311736952029611
ETHUSDT,24,vol_ratio_24_log1p_z,vol_ratio_168_log1p_z,spearman,0.9295171651265387
ETHUSDT,24,ema_slope_21_z,ema_slope_50_z,spearman,0.9265330927825689
ETHUSDT,24,dist_ema_50_z,dist_ema_200_z,spearman,0.9261654795058941
ETHUSDT,24,dist_ema_9_z,dist_ema_21_z,spearman,0.9218359192329593
ETHUSDT,24,ema_slope_200_z,ema_spread_21_50_z,spearman,0.9199221188184883
ETHUSDT,24,RSI_14_bounded,RSI_30_bounded,spearman,0.9192730849569197
ETHUSDT,24,dist_ema_200_z,bb_pos_20_norm,spearman,0.9183264640700506
ETHUSDT,24,ema_slope_9_z,ema_slope_21_z,spearman,0.9181898791092752
ETHUSDT,24,RSI_14_bounded,price_pos_in_range_24_norm,spearman,0.916056906867906
ETHUSDT,24,ema_slope_50_z,ema_slope_200_z,spearman,0.9127399518330068
ETHUSDT,24,ema_slope_9_z,MACD_hist_pct_z,spearman,0.9103746665778979
ETHUSDT,24,bb_pos_20_norm,price_pos_in_range_24_norm,spearman,0.908533057844307
ETHUSDT,24,RSI_72_bounded,price_pos_in_range_168_norm,spearman,0.9055788229925862
ETHUSDT,24,dist_ema_50_z,ema_spread_9_21_z,spearman,0.9052002002679875
ETHUSDT,24,RSI_14_bounded,bb_pos_20_norm,spearman,0.9018654737039646
ETHUSDT,24,dist_ema_9_z,log_ret_6_z,spearman,0.8999480012997603
ETHUSDT,24,RSI_30_bounded,RSI_72_bounded,spearman,0.8948685895313824
ETHUSDT,24,dist_ema_100_z,bb_pos_20_norm,spearman,0.886258895934449
ETHUSDT,24,ema_slope_50_z,ema_spread_21_50_z,spearman,0.8828342885567475
ETHUSDT,24,dist_ema_200_z,price_pos_in_range_24_norm,spearman,0.8682299402132372
ETHUSDT,24,ema_slope_50_z,dist_ema_100_z,spearman,0.8672176863424431
ETHUSDT,24,dist_ema_100_z,ema_spread_9_21_z,spearman,0.8669996673185694
ETHUSDT,24,ema_slope_100_z,dist_ema_200_z,spearman,0.8666751277270756
ETHUSDT,24,dist_ema_200_z,ema_slope_200_z,spearman,0.8649090757198773
ETHUSDT,24,dist_ema_100_z,ema_slope_100_z,spearman,0.8623248986486706
ETHUSDT,24,dist_ema_21_z,MOM_pct_14_z,spearman,0.8607579032274004
ETHUSDT,24,dist_ema_200_z,dist_to_high_168_sqrt_z,spearman,0.8592908376368968
ETHUSDT,24,ema_slope_100_z,ema_spread_9_21_z,spearman,0.857995219081625
ETHUSDT,24,dist_ema_21_z,dist_ema_100_z,spearman,0.8557664336942127
ETHUSDT,24,bb_pos_20_norm,dist_to_low_168_sqrt_z,spearman,0.8545343214245253
ETHUSDT,24,ema_slope_21_z,dist_ema_50_z,spearman,0.8531802481352696
ETHUSDT,24,bb_pos_20_norm,dist_to_high_168_sqrt_z,spearman,0.8528370307710861
ETHUSDT,24,dist_ema_50_z,bb_pos_20_norm,spearman,0.8527483617866672
ETHUSDT,24,ema_slope_9_z,ema_spread_9_21_z,spearman,0.8527225411717191
SOLUSDT,24,MOM_pct_72_z,log_ret_72_z,spearman,0.9998832176342459
SOLUSDT,24,range_sqrt_z,vol_expansion_168_log1p_z,spearman,0.9959534800382858
SOLUSDT,24,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,spearman,0.9881262607609572
SOLUSDT,24,range_sqrt_z,vol_expansion_72_log1p_z,spearman,0.9852975491794211
SOLUSDT,24,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,spearman,0.982195862502926
SOLUSDT,24,dist_ema_100_z,dist_ema_200_z,spearman,0.9790283147058635
