interval_minutes,interval_label,symbol,z_window,n_rows_after_targets,n_features,timestamp_min,timestamp_max,max_indicator_period_used
30,30m,BTCUSDT,192,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,1600
30,30m,DOGEUSDT,192,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,1600
30,30m,ETHUSDT,192,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,1600
30,30m,SOLUSDT,192,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,1600
30,30m,XRPUSDT,192,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,1600
60,60m,BTCUSDT,96,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,800
60,60m,DOGEUSDT,96,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,800
60,60m,ETHUSDT,96,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,800
60,60m,SOLUSDT,96,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,800
60,60m,XRPUSDT,96,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,800
240,240m,BTCUSDT,24,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,200
240,240m,DOGEUSDT,24,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,200
240,240m,ETHUSDT,24,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,200
240,240m,SOLUSDT,24,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,200
240,240m,XRPUSDT,24,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,200
