interval_minutes,interval_label,symbol,z_window,use_calendar_scaled_indicators,target,horizon_bars,horizon_hours,mean_abs_corr,median_abs_corr,max_abs_corr,top5_mean_abs_corr,top10_mean_abs_corr,features_abs_corr_gt_001,features_abs_corr_gt_002,features_abs_corr_gt_005,n_rows,n_features,timestamp_min,timestamp_max
30,30m,BTCUSDT,192,True,target_log_ret_horizon_1,1,0.5,0.010903077081468045,0.008366018991020982,0.06482821112203566,0.03527240402245946,0.027093569705000802,24,6,1,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,BTCUSDT,192,True,target_log_ret_horizon_3,3,1.5,0.015285997860023739,0.010747057120480845,0.07468899707223364,0.04396270423629079,0.0352278708857323,29,17,1,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,BTCUSDT,192,True,target_log_ret_horizon_5,5,2.5,0.015764573894817755,0.013008630286753588,0.0708858262627826,0.04255368129875163,0.035340665268458506,33,19,1,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,BTCUSDT,192,True,target_log_ret_horizon_10,10,5.0,0.016480023822450188,0.014330154455313143,0.06116694098748305,0.038328311664601405,0.03313572536054024,37,19,1,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,BTCUSDT,192,True,target_log_ret_horizon_24,24,12.0,0.01371446500785445,0.010596659250661805,0.04410437855926824,0.03722113573337571,0.03105474224292889,28,12,0,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,ETHUSDT,192,True,target_log_ret_horizon_1,1,0.5,0.01246901885424018,0.011804165314721785,0.06140187063549073,0.03632633351526237,0.0290293148645761,28,9,1,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,ETHUSDT,192,True,target_log_ret_horizon_3,3,1.5,0.016079166068499587,0.014317287572839416,0.06180073037380335,0.04042137023538062,0.033994543005306056,34,20,1,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,ETHUSDT,192,True,target_log_ret_horizon_5,5,2.5,0.01510949805856869,0.013616508390787305,0.05231414324965426,0.036104705360512454,0.03129160889262981,33,16,1,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,ETHUSDT,192,True,target_log_ret_horizon_10,10,5.0,0.013291985591478282,0.012877939265329603,0.0366206268289649,0.02987556953798176,0.025546420821443882,32,8,0,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,ETHUSDT,192,True,target_log_ret_horizon_24,24,12.0,0.013235418104411457,0.011992729507661223,0.03088408807413398,0.028748901348866884,0.02667638269179487,31,13,0,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,SOLUSDT,192,True,target_log_ret_horizon_1,1,0.5,0.00902117959543827,0.006473906646514651,0.04371547756982702,0.027689138593252095,0.02196767671132988,20,3,0,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,SOLUSDT,192,True,target_log_ret_horizon_3,3,1.5,0.011242613093957635,0.01038815577271047,0.042989340690501705,0.028608980934402905,0.023710345302658135,28,4,0,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,SOLUSDT,192,True,target_log_ret_horizon_5,5,2.5,0.010072552934178025,0.009182628913104854,0.036704969938266385,0.02561824086672016,0.02105824042608397,24,3,0,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,SOLUSDT,192,True,target_log_ret_horizon_10,10,5.0,0.0097617912038347,0.007551405596653911,0.03213155322786774,0.02737000502053259,0.02318702898663067,22,6,0,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
30,30m,SOLUSDT,192,True,target_log_ret_horizon_24,24,12.0,0.016625839927951178,0.015254412527001368,0.046887308291670544,0.04028814352408512,0.032559902184845106,41,14,0,45073,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,BTCUSDT,96,True,target_log_ret_horizon_1,1,1.0,0.015451149268457042,0.011299319707759669,0.059031317676948844,0.04219038835058613,0.03517945112179789,29,19,1,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,BTCUSDT,96,True,target_log_ret_horizon_3,3,3.0,0.015369802680971378,0.013164823259946605,0.048267721699433726,0.03657227939416827,0.03209111705999361,35,17,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,BTCUSDT,96,True,target_log_ret_horizon_5,5,5.0,0.015603705399797356,0.015078347801605533,0.042706151897190195,0.034153602882356575,0.03070902567761366,35,19,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,BTCUSDT,96,True,target_log_ret_horizon_10,10,10.0,0.01444017115355931,0.01143998481815801,0.03608883522563182,0.03414585779754241,0.02959450842131301,30,17,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,BTCUSDT,96,True,target_log_ret_horizon_24,24,24.0,0.021195944111932322,0.020080884872438066,0.0549525827726121,0.049831951303611496,0.043106510583244814,43,27,2,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,ETHUSDT,96,True,target_log_ret_horizon_1,1,1.0,0.015258484591710994,0.01046141588437318,0.052351551927588065,0.03968825108278022,0.03445236542558109,28,19,1,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,ETHUSDT,96,True,target_log_ret_horizon_3,3,3.0,0.015817625554097006,0.013853685551122675,0.037670049470240656,0.0328057909835285,0.029227663778815492,39,17,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,ETHUSDT,96,True,target_log_ret_horizon_5,5,5.0,0.0142268014881479,0.01444946762822983,0.03245219429091732,0.028810137249207286,0.02625206575757725,35,11,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,ETHUSDT,96,True,target_log_ret_horizon_10,10,10.0,0.013378600580551328,0.012608357004375187,0.042749729324452666,0.03233570765593873,0.02840122906580724,31,14,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,ETHUSDT,96,True,target_log_ret_horizon_24,24,24.0,0.021504678450736513,0.02082418518196509,0.05631011815672269,0.04671808615761415,0.04146384417773107,42,29,2,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,SOLUSDT,96,True,target_log_ret_horizon_1,1,1.0,0.010346793627949602,0.008170734492757974,0.035227224533056156,0.02599777726151185,0.022892777199085796,23,8,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,SOLUSDT,96,True,target_log_ret_horizon_3,3,3.0,0.010801009546524035,0.010753328891063497,0.030213195779403262,0.024922022308133084,0.021227986543377448,28,4,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,SOLUSDT,96,True,target_log_ret_horizon_5,5,5.0,0.009486863486205113,0.007336368002325518,0.034487877054314456,0.026095557882268444,0.022221255437840166,19,6,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,SOLUSDT,96,True,target_log_ret_horizon_10,10,10.0,0.01397442230608855,0.012041956648182563,0.04406250481049767,0.034541636948258334,0.028570196713526,37,10,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
60,60m,SOLUSDT,96,True,target_log_ret_horizon_24,24,24.0,0.018946002316452555,0.015800195641181555,0.04941266039521138,0.03876958269741301,0.035827171631338264,40,24,0,22537,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,BTCUSDT,24,True,target_log_ret_horizon_1,1,4.0,0.013612083834250645,0.011904460822416769,0.035433521342431655,0.02896475698137669,0.025897061396835556,33,15,0,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,BTCUSDT,24,True,target_log_ret_horizon_3,3,12.0,0.01397596358278789,0.011827245648716067,0.04337943373220226,0.03411198046287392,0.029010440425235713,30,12,0,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,BTCUSDT,24,True,target_log_ret_horizon_5,5,20.0,0.01798887737674179,0.018463558381214662,0.04612782827700616,0.04048029249195205,0.035084871195826796,39,25,0,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,BTCUSDT,24,True,target_log_ret_horizon_10,10,40.0,0.018188827296120418,0.01780071489658158,0.06743227834853538,0.04574529211858839,0.03843361962564144,34,23,1,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,BTCUSDT,24,True,target_log_ret_horizon_24,24,96.0,0.02056838555240213,0.01469052885319068,0.07101905917836625,0.058168642280248616,0.051103985911152595,34,22,4,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,ETHUSDT,24,True,target_log_ret_horizon_1,1,4.0,0.014087657571045097,0.013411722016815748,0.032222038042030346,0.02798669950439499,0.02539987085866676,36,13,0,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,ETHUSDT,24,True,target_log_ret_horizon_3,3,12.0,0.015234580766874502,0.013837695083255809,0.058386026723119676,0.0385981565308748,0.032052601474201685,36,15,1,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,ETHUSDT,24,True,target_log_ret_horizon_5,5,20.0,0.01912246442946446,0.018560358384035525,0.06063545071560842,0.04595441930218768,0.03965758581560042,37,26,1,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,ETHUSDT,24,True,target_log_ret_horizon_10,10,40.0,0.020128274993765467,0.017552071026491152,0.05829347471695817,0.05150090054213535,0.042912914736147056,37,22,2,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
240,240m,ETHUSDT,24,True,target_log_ret_horizon_24,24,96.0,0.023138442332844098,0.018681547025102024,0.10238150074243209,0.0687606457353498,0.05509837119604645,40,23,5,5635,54,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00
