series_name,n_tests,both_stationary_rate,adf_reject_unit_root_rate,kpss_reject_stationarity_rate,median_adf_pvalue,median_kpss_pvalue
RSI_30_bounded,9,0.0,1.0,1.0,8.815434965707712e-14,0.01
RSI_72_bounded,9,0.0,1.0,1.0,1.7507798284789172e-06,0.01
price_pos_in_range_168_norm,9,0.0,1.0,1.0,3.79710066886294e-06,0.01
price_pos_in_range_72_norm,9,0.0,1.0,1.0,6.162132521304106e-14,0.01
RSI_14_bounded,9,0.3333333333333333,1.0,0.6666666666666666,3.026533337448933e-22,0.016999556699627362
price_pos_in_range_24_norm,9,0.3333333333333333,1.0,0.6666666666666666,3.1012312832898065e-23,0.026065621963466862
ADX_72_scaled,9,0.6666666666666666,1.0,0.3333333333333333,5.936158188104599e-06,0.1
bb_pos_20_norm,9,0.6666666666666666,1.0,0.3333333333333333,0.0,0.06345272896470294
ADX_14_scaled,9,1.0,1.0,0.0,4.600150700111311e-20,0.1
ADX_30_scaled,9,1.0,1.0,0.0,4.2858340783025624e-13,0.1
MACD_hist_pct_z,9,1.0,1.0,0.0,3.0422192095528983e-29,0.1
MOM_pct_14_z,9,1.0,1.0,0.0,2.061921879908675e-26,0.1
MOM_pct_30_z,9,1.0,1.0,0.0,3.0135364092019656e-24,0.1
MOM_pct_72_z,9,1.0,1.0,0.0,2.9487765290141155e-19,0.1
NATR_14_z,9,1.0,1.0,0.0,1.21201906827194e-19,0.1
bb_width_20_sqrt_z,9,1.0,1.0,0.0,6.802027925823816e-28,0.1
body_sqrt_z,9,1.0,1.0,0.0,0.0,0.1
dist_ema_100_z,9,1.0,1.0,0.0,7.761177406109815e-23,0.1
dist_ema_200_z,9,1.0,1.0,0.0,2.9598890425909587e-21,0.1
dist_ema_21_z,9,1.0,1.0,0.0,1.5883954992127384e-27,0.1
dist_ema_50_z,9,1.0,1.0,0.0,5.239652459168573e-25,0.1
dist_ema_9_z,9,1.0,1.0,0.0,2.1610944608378932e-30,0.1
dist_to_high_168_sqrt_z,9,1.0,1.0,0.0,1.1862882143858312e-21,0.1
dist_to_high_24_sqrt_z,9,1.0,1.0,0.0,4.377062060985384e-28,0.1
dist_to_high_72_sqrt_z,9,1.0,1.0,0.0,4.436922749955502e-22,0.1
dist_to_low_168_sqrt_z,9,1.0,1.0,0.0,9.973259909606145e-21,0.1
dist_to_low_24_sqrt_z,9,1.0,1.0,0.0,5.954217009257152e-27,0.1
dist_to_low_72_sqrt_z,9,1.0,1.0,0.0,1.989029457496584e-22,0.1
ema_slope_100_z,9,1.0,1.0,0.0,3.484665304986629e-21,0.1
ema_slope_200_z,9,1.0,1.0,0.0,8.178812336105809e-19,0.1
ema_slope_21_z,9,1.0,1.0,0.0,3.767918938036426e-27,0.1
ema_slope_50_z,9,1.0,1.0,0.0,5.346699346357994e-24,0.1
ema_slope_9_z,9,1.0,1.0,0.0,7.126989149078069e-28,0.1
ema_spread_100_200_z,9,1.0,1.0,0.0,1.2631929231293258e-13,0.1
ema_spread_21_50_z,9,1.0,1.0,0.0,1.054364564089569e-23,0.1
ema_spread_50_100_z,9,1.0,1.0,0.0,1.2488224797524838e-18,0.1
ema_spread_9_21_z,9,1.0,1.0,0.0,9.582257725947843e-27,0.1
log_ret_168_z,9,1.0,1.0,0.0,6.7056315277371076e-21,0.1
log_ret_24_z,9,1.0,1.0,0.0,8.336755788030135e-26,0.1
log_ret_6_z,9,1.0,1.0,0.0,3.0685586439638075e-27,0.1
log_ret_72_z,9,1.0,1.0,0.0,2.911678509654445e-19,0.1
range_sqrt_z,9,1.0,1.0,0.0,2.592829601036822e-26,0.1
ret_accel_24_72_z,9,1.0,1.0,0.0,1.3160675239511507e-24,0.1
ret_accel_6_24_z,9,1.0,1.0,0.0,1.5857383862585981e-29,0.1
ret_accel_72_168_z,9,1.0,1.0,0.0,1.2939251907502166e-20,0.1
vol_expansion_168_log1p_z,9,1.0,1.0,0.0,1.694691450791978e-25,0.1
vol_expansion_24_log1p_z,9,1.0,1.0,0.0,0.0,0.1
vol_expansion_72_log1p_z,9,1.0,1.0,0.0,2.70889215238068e-27,0.1
vol_ratio_168_log1p_z,9,1.0,1.0,0.0,2.5815854034575237e-25,0.1
vol_ratio_24_log1p_z,9,1.0,1.0,0.0,0.0,0.1
vol_ratio_72_log1p_z,9,1.0,1.0,0.0,6.462718032332908e-27,0.1
volatility_168_sqrt_z,9,1.0,1.0,0.0,1.101242416968272e-18,0.1
volatility_24_sqrt_z,9,1.0,1.0,0.0,2.7102493149889548e-21,0.1
volatility_72_sqrt_z,9,1.0,1.0,0.0,3.1696160901725987e-21,0.1
