feature,decision,reason,max_abs_corr_with_selected,most_correlated_selected_feature,z_window
volatility_72_sqrt_z,selected,first_feature,,,24
ret_accel_6_24_z,selected,below_threshold,0.03864122613638403,volatility_72_sqrt_z,24
MOM_pct_30_z,selected,below_threshold,0.5766772543298888,ret_accel_6_24_z,24
MOM_pct_14_z,selected,below_threshold,0.5379781754879804,MOM_pct_30_z,24
ema_spread_9_21_z,selected,below_threshold,0.8290524309037588,MOM_pct_14_z,24
log_ret_24_z,selected,below_threshold,0.8430398417016604,ema_spread_9_21_z,24
range_sqrt_z,selected,below_threshold,0.10363279389426426,volatility_72_sqrt_z,24
ema_slope_21_z,dropped,too_correlated,0.9770929087244624,ema_spread_9_21_z,24
vol_expansion_168_log1p_z,dropped,too_correlated,0.9970685035660565,range_sqrt_z,24
vol_expansion_72_log1p_z,dropped,too_correlated,0.988442852534345,range_sqrt_z,24
vol_ratio_168_log1p_z,selected,below_threshold,0.7895867688997525,range_sqrt_z,24
vol_ratio_72_log1p_z,dropped,too_correlated,0.9871600550755362,vol_ratio_168_log1p_z,24
body_sqrt_z,selected,below_threshold,0.6822609118682665,range_sqrt_z,24
ret_accel_24_72_z,selected,below_threshold,0.45909517711449005,log_ret_24_z,24
NATR_14_z,selected,below_threshold,0.4742931681813901,range_sqrt_z,24
ema_slope_50_z,dropped,too_correlated,0.9426303426849961,ema_spread_9_21_z,24
dist_to_low_24_sqrt_z,selected,below_threshold,0.6702793031680246,MOM_pct_14_z,24
ema_spread_21_50_z,selected,below_threshold,0.7554692959979938,ema_spread_9_21_z,24
MACD_hist_pct_z,selected,below_threshold,0.8188753195207792,MOM_pct_14_z,24
price_pos_in_range_168_norm,selected,below_threshold,0.12464804808029897,ema_spread_21_50_z,24
vol_ratio_24_log1p_z,dropped,too_correlated,0.9203288990839046,vol_ratio_168_log1p_z,24
ADX_14_scaled,selected,below_threshold,0.3265787718956246,volatility_72_sqrt_z,24
ema_slope_100_z,dropped,too_correlated,0.9359528458568769,ema_spread_21_50_z,24
ADX_30_scaled,selected,below_threshold,0.6588616762227192,ADX_14_scaled,24
vol_expansion_24_log1p_z,dropped,too_correlated,0.9336124162755537,range_sqrt_z,24
RSI_72_bounded,dropped,too_correlated,0.9220048258104147,price_pos_in_range_168_norm,24
volatility_168_sqrt_z,selected,below_threshold,0.3852349284725612,volatility_72_sqrt_z,24
dist_to_high_24_sqrt_z,selected,below_threshold,0.7175545043681824,ema_spread_9_21_z,24
dist_ema_50_z,dropped,too_correlated,0.9042255077959988,ema_spread_9_21_z,24
ema_slope_9_z,dropped,too_correlated,0.9069546622005354,MACD_hist_pct_z,24
dist_ema_21_z,dropped,too_correlated,0.8593163434801026,MOM_pct_14_z,24
bb_width_20_sqrt_z,selected,below_threshold,0.5567035296817786,NATR_14_z,24
volatility_24_sqrt_z,selected,below_threshold,0.6692780472949791,NATR_14_z,24
dist_to_low_72_sqrt_z,selected,below_threshold,0.6748532442811335,dist_to_low_24_sqrt_z,24
ADX_72_scaled,selected,below_threshold,0.6186927554416188,ADX_30_scaled,24
dist_ema_100_z,dropped,too_correlated,0.8618263138120424,ema_spread_9_21_z,24
RSI_14_bounded,selected,below_threshold,0.6655352121328111,ema_spread_21_50_z,24
ema_slope_200_z,dropped,too_correlated,0.9145920784973722,ema_spread_21_50_z,24
RSI_30_bounded,dropped,too_correlated,0.9191707342373674,RSI_14_bounded,24
dist_ema_200_z,selected,below_threshold,0.8137161717005238,RSI_14_bounded,24
bb_pos_20_norm,dropped,too_correlated,0.9091009845345075,dist_ema_200_z,24
price_pos_in_range_72_norm,selected,below_threshold,0.8336730824673044,RSI_14_bounded,24
ret_accel_72_168_z,selected,below_threshold,0.4679647695235744,ret_accel_24_72_z,24
price_pos_in_range_24_norm,dropped,too_correlated,0.914841427747319,RSI_14_bounded,24
dist_to_high_72_sqrt_z,selected,below_threshold,0.7996639937871141,dist_ema_200_z,24
log_ret_72_z,selected,below_threshold,0.6397504556716418,dist_ema_200_z,24
MOM_pct_72_z,dropped,too_correlated,0.9999306068569248,log_ret_72_z,24
ema_spread_100_200_z,selected,below_threshold,0.7092017753824328,price_pos_in_range_72_norm,24
