feature,spearman_corr,abs_spearman_corr,n_obs,corr_rank,z_window
MOM_pct_14_z,0.05031945171528455,0.05031945171528455,16890,1,48
MACD_hist_pct_z,0.04632483341178885,0.04632483341178885,16890,2,48
ema_spread_9_21_z,0.044598568584402726,0.044598568584402726,16890,3,48
dist_to_low_24_sqrt_z,0.04428642839524721,0.04428642839524721,16890,4,48
ema_slope_21_z,0.04314130218574462,0.04314130218574462,16890,5,48
MOM_pct_30_z,0.041853161547755466,0.041853161547755466,16890,6,48
log_ret_24_z,0.0400527764086122,0.0400527764086122,16890,7,48
range_sqrt_z,0.03809410703373902,0.03809410703373902,16890,8,48
bb_width_20_sqrt_z,0.03689419556816529,0.03689419556816529,16890,9,48
vol_expansion_72_log1p_z,0.03635040270130998,0.03635040270130998,16890,10,48
vol_expansion_168_log1p_z,0.03570705194954492,0.03570705194954492,16890,11,48
vol_ratio_72_log1p_z,0.034306615389882236,0.034306615389882236,16890,12,48
ema_slope_9_z,0.03360595311933643,0.03360595311933643,16890,13,48
dist_ema_21_z,0.03224897341536545,0.03224897341536545,16890,14,48
body_sqrt_z,0.03200709001038988,0.03200709001038988,16890,15,48
ret_accel_6_24_z,-0.031901552011441306,0.031901552011441306,16890,16,48
NATR_14_z,0.03164711100585702,0.03164711100585702,16890,17,48
vol_ratio_168_log1p_z,0.030773209883276878,0.030773209883276878,16890,18,48
ema_slope_50_z,0.028614472138610295,0.028614472138610295,16890,19,48
dist_ema_50_z,0.028204944315861152,0.028204944315861152,16890,20,48
price_pos_in_range_168_norm,0.028091852856920112,0.028091852856920112,16890,21,48
ret_accel_24_72_z,0.026818081654531332,0.026818081654531332,16890,22,48
vol_ratio_24_log1p_z,0.026174749082666753,0.026174749082666753,16890,23,48
RSI_72_bounded,0.024831989551216332,0.024831989551216332,16890,24,48
ADX_14_scaled,0.024773978217665638,0.024773978217665638,16890,25,48
volatility_24_sqrt_z,0.024773403699718376,0.024773403699718376,16890,26,48
ADX_30_scaled,0.024078991243147656,0.024078991243147656,16890,27,48
vol_expansion_24_log1p_z,0.023309180185410408,0.023309180185410408,16890,28,48
ADX_72_scaled,0.02147600576590504,0.02147600576590504,16890,29,48
RSI_30_bounded,0.01939371632857693,0.01939371632857693,16890,30,48
RSI_14_bounded,0.01890575352801517,0.01890575352801517,16890,31,48
ema_slope_100_z,0.017570015019509284,0.017570015019509284,16890,32,48
dist_ema_100_z,0.017403924878245595,0.017403924878245595,16890,33,48
price_pos_in_range_72_norm,0.017321610969015584,0.017321610969015584,16890,34,48
dist_to_low_72_sqrt_z,0.01624758685649488,0.01624758685649488,16890,35,48
bb_pos_20_norm,0.016040535075319502,0.016040535075319502,16890,36,48
dist_to_high_72_sqrt_z,-0.01565115062518894,0.01565115062518894,16890,37,48
ema_slope_200_z,0.015604378041526557,0.015604378041526557,16890,38,48
volatility_72_sqrt_z,0.015320373175359378,0.015320373175359378,16890,39,48
price_pos_in_range_24_norm,0.015118247427944527,0.015118247427944527,16890,40,48
dist_to_high_24_sqrt_z,-0.01420170256900352,0.01420170256900352,16890,41,48
dist_ema_200_z,0.014085238968412019,0.014085238968412019,16890,42,48
log_ret_168_z,0.013965471140123703,0.013965471140123703,16890,43,48
dist_ema_9_z,0.01392577508499761,0.01392577508499761,16890,44,48
dist_to_low_168_sqrt_z,0.013212102183684907,0.013212102183684907,16890,45,48
ema_spread_21_50_z,0.012448990255237987,0.012448990255237987,16890,46,48
ret_accel_72_168_z,-0.011761636825503314,0.011761636825503314,16890,47,48
ema_spread_100_200_z,0.011237564321012238,0.011237564321012238,16890,48,48
dist_to_high_168_sqrt_z,0.01025150020164472,0.01025150020164472,16890,49,48
volatility_168_sqrt_z,0.0029928621984297425,0.0029928621984297425,16890,50,48
ema_spread_50_100_z,0.0016172831667542326,0.0016172831667542326,16890,51,48
MOM_pct_72_z,-0.0010507445693592743,0.0010507445693592743,16890,52,48
log_ret_72_z,-0.000847509989578588,0.000847509989578588,16890,53,48
log_ret_6_z,0.0008264823511757502,0.0008264823511757502,16890,54,48
