feature,n_z_windows_seen,z_windows_seen,n_z_windows_stable,mean_frequency,max_frequency,mean_best_hie_norm_global,median_union_rank_global,is_global_stable_ge1_z,is_global_stable_ge2_z,global_stable_hie_rank,main_top_k,pi_threshold
ADX_72_scaled,3,24|48|72,3,0.9133333333333334,0.98,0.022639503994438648,2.0,True,True,1,14,0.6
ema_spread_100_200_z,3,24|48|72,3,0.7933333333333333,0.9,0.020832087840628486,3.0,True,True,2,14,0.6
ADX_30_scaled,3,24|48|72,3,0.7933333333333333,0.82,0.0195653947231423,4.0,True,True,3,14,0.6
ema_spread_50_100_z,3,24|48|72,3,0.7466666666666667,0.84,0.01703231743242474,6.0,True,True,4,14,0.6
RSI_72_bounded,3,24|48|72,3,0.6733333333333333,0.7,0.018306205262921916,6.5,True,True,5,14,0.6
volatility_168_sqrt_z,3,24|48|72,2,0.6866666666666666,0.86,0.01921429174413593,5.0,True,True,6,14,0.6
volatility_72_sqrt_z,3,24|48|72,2,0.66,0.76,0.017858875088297695,6.0,True,True,7,14,0.6
RSI_14_bounded,3,24|48|72,1,0.54,0.7,0.01565515919031703,9.0,True,False,8,14,0.6
RSI_30_bounded,3,24|48|72,1,0.5,0.66,0.016554405395395915,9.0,True,False,9,14,0.6
bb_width_20_sqrt_z,3,24|48|72,1,0.4066666666666667,0.6,0.01424909015580548,7.0,True,False,10,14,0.6
dist_to_high_168_sqrt_z,3,24|48|72,1,0.37333333333333335,0.76,0.015522160243268725,9.5,True,False,11,14,0.6
ema_spread_9_21_z,3,24|48|72,1,0.31333333333333335,0.68,0.014621582229787952,12.0,True,False,12,14,0.6
ema_slope_50_z,3,24|48|72,1,0.26,0.64,0.015106130712866317,8.0,True,False,13,14,0.6
price_pos_in_range_168_norm,3,24|48|72,0,0.48666666666666664,0.58,0.016238383394454343,7.0,False,False,14,14,0.6
ema_spread_21_50_z,3,24|48|72,0,0.38666666666666666,0.58,0.016840882005920415,8.0,False,False,15,14,0.6
price_pos_in_range_72_norm,3,24|48|72,0,0.38000000000000006,0.52,0.014539269153553872,8.5,False,False,16,14,0.6
NATR_14_z,3,24|48|72,0,0.38000000000000006,0.44,0.014170503835978919,8.5,False,False,17,14,0.6
volatility_24_sqrt_z,3,24|48|72,0,0.3666666666666667,0.56,0.014732737074712116,8.0,False,False,18,14,0.6
dist_ema_200_z,3,24|48|72,0,0.3333333333333333,0.42,0.014458740623222539,9.0,False,False,19,14,0.6
ret_accel_24_72_z,3,24|48|72,0,0.32666666666666666,0.46,0.01647703271001005,7.0,False,False,20,14,0.6
ema_slope_200_z,3,24|48|72,0,0.32666666666666666,0.5,0.015491981860864444,8.5,False,False,21,14,0.6
ret_accel_72_168_z,3,24|48|72,0,0.3,0.52,0.015372611342387979,8.0,False,False,22,14,0.6
dist_to_low_24_sqrt_z,3,24|48|72,0,0.2933333333333334,0.46,0.016884020903683836,7.0,False,False,23,14,0.6
ADX_14_scaled,3,24|48|72,0,0.2733333333333334,0.34,0.016598597218236175,10.0,False,False,24,14,0.6
ema_slope_21_z,3,24|48|72,0,0.25333333333333335,0.54,0.014678910831166467,11.0,False,False,25,14,0.6
dist_ema_100_z,3,24|48|72,0,0.21333333333333335,0.4,0.015088152305086366,10.0,False,False,26,14,0.6
ema_slope_100_z,3,24|48|72,0,0.19999999999999998,0.3,0.016553562606865784,9.0,False,False,27,14,0.6
ret_accel_6_24_z,3,24|48|72,0,0.19333333333333336,0.26,0.014066947778753709,12.0,False,False,28,14,0.6
dist_to_low_72_sqrt_z,3,24|48|72,0,0.17333333333333334,0.42,0.014023064379198572,12.0,False,False,29,14,0.6
dist_ema_50_z,3,24|48|72,0,0.14,0.3,0.014452497335861507,11.0,False,False,30,14,0.6
MOM_pct_14_z,3,24|48|72,0,0.13333333333333333,0.2,0.01182669331742879,13.0,False,False,31,14,0.6
dist_to_high_72_sqrt_z,3,24|48|72,0,0.12666666666666668,0.14,0.01345327987231617,13.0,False,False,32,14,0.6
MOM_pct_72_z,3,24|48|72,0,0.11333333333333334,0.14,0.01479903690684737,9.0,False,False,33,14,0.6
log_ret_168_z,3,24|48|72,0,0.11333333333333333,0.22,0.014738907984725094,12.0,False,False,34,14,0.6
dist_to_low_168_sqrt_z,3,24|48|72,0,0.10000000000000002,0.16,0.014331020601096764,11.5,False,False,35,14,0.6
log_ret_6_z,3,24|48|72,0,0.09333333333333334,0.22,0.01232196431244422,9.0,False,False,36,14,0.6
log_ret_72_z,3,24|48|72,0,0.08666666666666667,0.12,0.014440502520468065,10.0,False,False,37,14,0.6
MACD_hist_pct_z,3,24|48|72,0,0.08,0.14,0.01683115243684068,11.0,False,False,38,14,0.6
log_ret_24_z,3,24|48|72,0,0.08,0.22,0.013746825974112278,10.5,False,False,39,14,0.6
bb_pos_20_norm,3,24|48|72,0,0.08,0.1,0.0125896890018369,11.0,False,False,40,14,0.6
ema_slope_9_z,3,24|48|72,0,0.06666666666666667,0.12,0.014336629564702176,8.0,False,False,41,14,0.6
dist_ema_9_z,3,24|48|72,0,0.06666666666666667,0.18,0.01207684145884878,12.0,False,False,42,14,0.6
dist_to_high_24_sqrt_z,3,24|48|72,0,0.03333333333333333,0.08,0.013680619448987158,11.75,False,False,43,14,0.6
MOM_pct_30_z,3,24|48|72,0,0.02666666666666667,0.06,0.0097101508119877,13.5,False,False,44,14,0.6
