feature,entry_rank,entry_hie_norm,entry_p_value,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_rank,exit_hie_norm,exit_p_value,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank
ADX_30_scaled,1.0,0.013914654775435298,0.0,33924,15,2260,1130,ok,4.0,0.00512292294948824,0.0,33924,15,2260,1130,ok,1.0,2.5,0.013914654775435298,0.0,2,entry,1
ADX_72_scaled,2.0,0.010269728778136478,0.0,33924,15,2260,1130,ok,1.0,0.006961376125476482,0.0,33924,15,2260,1130,ok,1.0,1.5,0.010269728778136478,0.0,2,exit,2
volatility_24_sqrt_z,43.0,0.0012299618010175317,0.0,33924,15,2260,1130,ok,2.0,0.006020666500065108,0.0,33924,15,2260,1130,ok,2.0,22.5,0.006020666500065108,0.0,1,exit,3
RSI_72_bounded,3.0,0.010188900906671239,0.0,33924,15,2260,1130,ok,14.0,0.0024283334060739015,0.0,33924,15,2260,1130,ok,3.0,8.5,0.010188900906671239,0.0,2,entry,4
RSI_14_bounded,6.0,0.009056652314616165,0.0,33924,15,2260,1130,ok,3.0,0.0053212449232513115,0.0,33924,15,2260,1130,ok,3.0,4.5,0.009056652314616165,0.0,2,exit,5
RSI_30_bounded,4.0,0.009687239372627166,0.0,33924,15,2260,1130,ok,22.0,0.0013269618688363516,0.0,33924,15,2260,1130,ok,4.0,13.0,0.009687239372627166,0.0,1,entry,6
volatility_72_sqrt_z,10.0,0.006870051010062106,0.0,33924,15,2260,1130,ok,5.0,0.004831982455769657,0.0,33924,15,2260,1130,ok,5.0,7.5,0.006870051010062106,0.0,2,exit,7
ema_slope_21_z,5.0,0.009240040251844217,0.0,33924,15,2260,1130,ok,28.0,0.0009603812148721302,0.0,33924,15,2260,1130,ok,5.0,16.5,0.009240040251844217,0.0,1,entry,8
ema_spread_50_100_z,31.0,0.0023267127093029583,0.0,33924,15,2260,1130,ok,6.0,0.004270006828416495,0.0,33924,15,2260,1130,ok,6.0,18.5,0.004270006828416495,0.0,1,exit,9
ema_spread_9_21_z,7.0,0.009055470481561523,0.0,33924,15,2260,1130,ok,25.0,0.0010204158870946722,0.0,33924,15,2260,1130,ok,7.0,16.0,0.009055470481561523,0.0,1,entry,10
price_pos_in_range_72_norm,37.0,0.0019269731721697214,0.0,33924,15,2260,1130,ok,7.0,0.0036517095352029405,0.0,33924,15,2260,1130,ok,7.0,22.0,0.0036517095352029405,0.0,1,exit,11
ema_slope_50_z,8.0,0.008515195208158688,0.0,33924,15,2260,1130,ok,9.0,0.003111034512943367,0.0,33924,15,2260,1130,ok,8.0,8.5,0.008515195208158688,0.0,2,entry,12
bb_width_20_sqrt_z,32.0,0.002323628143109824,0.0,33924,15,2260,1130,ok,8.0,0.0034173297256631097,0.0,33924,15,2260,1130,ok,8.0,20.0,0.0034173297256631097,0.0,1,exit,13
volatility_168_sqrt_z,9.0,0.008482699366316515,0.0,33924,15,2260,1130,ok,31.0,0.0008383030384199741,0.0,33924,15,2260,1130,ok,9.0,20.0,0.008482699366316515,0.0,1,entry,14
NATR_14_z,19.0,0.004442031383588341,0.0,33924,15,2260,1130,ok,10.0,0.002755998343586863,0.0,33924,15,2260,1130,ok,10.0,14.5,0.004442031383588341,0.0,1,exit,15
ema_spread_100_200_z,11.0,0.006801073623294518,0.0,33924,15,2260,1130,ok,16.0,0.0021211404547237245,0.0,33924,15,2260,1130,ok,11.0,13.5,0.006801073623294518,0.0,1,entry,16
price_pos_in_range_168_norm,27.0,0.003118294866407023,0.0,33924,15,2260,1130,ok,11.0,0.002672205688888596,0.0,33924,15,2260,1130,ok,11.0,19.0,0.003118294866407023,0.0,1,exit,17
ret_accel_6_24_z,12.0,0.0064350360268909945,0.0,33924,15,2260,1130,ok,21.0,0.0013495326587333323,0.0,33924,15,2260,1130,ok,12.0,16.5,0.0064350360268909945,0.0,1,entry,18
log_ret_168_z,54.0,-6.0569021518408483e-05,0.43333333333333335,33924,15,2260,1130,ok,12.0,0.00249067471002945,0.0,33924,15,2260,1130,ok,12.0,33.0,0.00249067471002945,0.0,1,exit,19
ema_spread_21_50_z,13.0,0.005888183446111639,0.0,33924,15,2260,1130,ok,43.0,9.92776171565568e-06,0.43333333333333335,33924,15,2260,1130,ok,13.0,28.0,0.005888183446111639,0.0,1,entry,20
ADX_14_scaled,26.0,0.003273527852149627,0.0,33924,15,2260,1130,ok,13.0,0.0024648298371454103,0.0,33924,15,2260,1130,ok,13.0,19.5,0.003273527852149627,0.0,1,exit,21
ret_accel_24_72_z,14.0,0.0053487708604818,0.0,33924,15,2260,1130,ok,26.0,0.001012635289890318,0.0,33924,15,2260,1130,ok,14.0,20.0,0.0053487708604818,0.0,1,entry,22
vol_expansion_168_log1p_z,15.0,0.004778882575765087,0.0,33924,15,2260,1130,ok,40.0,1.2412127796956884e-05,0.5,33924,15,2260,1130,ok,15.0,27.5,0.004778882575765087,0.0,0,entry,23
bb_pos_20_norm,17.0,0.004578282499798525,0.0,33924,15,2260,1130,ok,15.0,0.002420990223866326,0.0,33924,15,2260,1130,ok,15.0,16.0,0.004578282499798525,0.0,0,exit,24
dist_to_high_72_sqrt_z,16.0,0.004659152502963559,0.0,33924,15,2260,1130,ok,48.0,-1.4103610346816176e-06,0.4666666666666667,33924,15,2260,1130,ok,16.0,32.0,0.004659152502963559,0.0,0,entry,25
vol_ratio_168_log1p_z,34.0,0.002171655479323076,0.0,33924,15,2260,1130,ok,17.0,0.0018183453909406677,0.0,33924,15,2260,1130,ok,17.0,25.5,0.002171655479323076,0.0,0,exit,26
range_sqrt_z,18.0,0.0045740252209273136,0.0,33924,15,2260,1130,ok,38.0,1.9159164655391248e-05,0.4,33924,15,2260,1130,ok,18.0,28.0,0.0045740252209273136,0.0,0,entry,27
dist_to_high_168_sqrt_z,36.0,0.0019354207822119829,0.0,33924,15,2260,1130,ok,18.0,0.0017224535917407247,0.0,33924,15,2260,1130,ok,18.0,27.0,0.0019354207822119829,0.0,0,exit,28
vol_expansion_72_log1p_z,28.0,0.003072543943254291,0.0,33924,15,2260,1130,ok,19.0,0.001583079145404287,0.0,33924,15,2260,1130,ok,19.0,23.5,0.003072543943254291,0.0,0,exit,29
dist_ema_9_z,20.0,0.004161539055190677,0.0,33924,15,2260,1130,ok,37.0,2.2615354544675004e-05,0.4,33924,15,2260,1130,ok,20.0,28.5,0.004161539055190677,0.0,0,entry,30
dist_to_high_24_sqrt_z,52.0,2.1333369146558923e-05,0.16666666666666666,33924,15,2260,1130,ok,20.0,0.0014924013735659325,0.0,33924,15,2260,1130,ok,20.0,36.0,0.0014924013735659325,0.0,0,exit,31
dist_ema_200_z,21.0,0.004001114811580386,0.0,33924,15,2260,1130,ok,23.0,0.0012779681334040838,0.0,33924,15,2260,1130,ok,21.0,22.0,0.004001114811580386,0.0,0,entry,32
body_sqrt_z,22.0,0.003938944601224015,0.0,33924,15,2260,1130,ok,49.0,-2.151577555287165e-06,0.4666666666666667,33924,15,2260,1130,ok,22.0,35.5,0.003938944601224015,0.0,0,entry,33
ema_slope_200_z,23.0,0.0035408650328200286,0.0,33924,15,2260,1130,ok,46.0,6.0180292967837445e-06,0.43333333333333335,33924,15,2260,1130,ok,23.0,34.5,0.0035408650328200286,0.0,0,entry,34
dist_ema_100_z,24.0,0.0035270505848261635,0.0,33924,15,2260,1130,ok,44.0,8.583086497093717e-06,0.43333333333333335,33924,15,2260,1130,ok,24.0,34.0,0.0035270505848261635,0.0,0,entry,35
MOM_pct_14_z,41.0,0.0015099460473139148,0.0,33924,15,2260,1130,ok,24.0,0.0011237135750329363,0.0,33924,15,2260,1130,ok,24.0,32.5,0.0015099460473139148,0.0,0,exit,36
MOM_pct_30_z,25.0,0.003383489431018849,0.0,33924,15,2260,1130,ok,50.0,-3.04825167968259e-06,0.4666666666666667,33924,15,2260,1130,ok,25.0,37.5,0.003383489431018849,0.0,0,entry,37
dist_to_low_24_sqrt_z,30.0,0.0029680995686302003,0.0,33924,15,2260,1130,ok,27.0,0.001002440446250974,0.0,33924,15,2260,1130,ok,27.0,28.5,0.0029680995686302003,0.0,0,exit,38
ema_slope_100_z,29.0,0.003014392196713067,0.0,33924,15,2260,1130,ok,36.0,6.36962246077788e-05,0.23333333333333334,33924,15,2260,1130,ok,29.0,32.5,0.003014392196713067,0.0,0,entry,39
MOM_pct_72_z,46.0,0.0009920180159611602,0.0,33924,15,2260,1130,ok,29.0,0.0008886713203848928,0.0,33924,15,2260,1130,ok,29.0,37.5,0.0009920180159611602,0.0,0,exit,40
vol_ratio_72_log1p_z,50.0,0.0007513897022995986,0.03333333333333333,33924,15,2260,1130,ok,30.0,0.0008670619813794245,0.0,33924,15,2260,1130,ok,30.0,40.0,0.0008670619813794245,0.0,0,exit,41
vol_expansion_24_log1p_z,48.0,0.0008521539071510986,0.0,33924,15,2260,1130,ok,32.0,0.0007977835125119737,0.0,33924,15,2260,1130,ok,32.0,40.0,0.0008521539071510986,0.0,0,exit,42
ret_accel_72_168_z,33.0,0.002179041781009583,0.0,33924,15,2260,1130,ok,51.0,-8.573920882104513e-06,0.5,33924,15,2260,1130,ok,33.0,42.0,0.002179041781009583,0.0,0,entry,43
MACD_hist_pct_z,39.0,0.0015902394577308465,0.0,33924,15,2260,1130,ok,33.0,0.0007891422406826609,0.0,33924,15,2260,1130,ok,33.0,36.0,0.0015902394577308465,0.0,0,exit,44
dist_to_low_168_sqrt_z,42.0,0.0012376211343705368,0.03333333333333333,33924,15,2260,1130,ok,34.0,0.0005327369893510792,0.0,33924,15,2260,1130,ok,34.0,38.0,0.0012376211343705368,0.0,0,exit,45
vol_ratio_24_log1p_z,35.0,0.002065060117550588,0.0,33924,15,2260,1130,ok,41.0,1.2161039141367347e-05,0.36666666666666664,33924,15,2260,1130,ok,35.0,38.0,0.002065060117550588,0.0,0,entry,46
log_ret_72_z,44.0,0.0011592851871100596,0.0,33924,15,2260,1130,ok,35.0,0.00030522787336195734,0.0,33924,15,2260,1130,ok,35.0,39.5,0.0011592851871100596,0.0,0,exit,47
price_pos_in_range_24_norm,38.0,0.0018503313863480475,0.0,33924,15,2260,1130,ok,53.0,-1.7009755138908123e-05,0.6333333333333333,33924,15,2260,1130,ok,38.0,45.5,0.0018503313863480475,0.0,0,entry,48
log_ret_24_z,40.0,0.0015143205585770314,0.0,33924,15,2260,1130,ok,39.0,1.5427669412038103e-05,0.36666666666666664,33924,15,2260,1130,ok,39.0,39.5,0.0015143205585770314,0.0,0,exit,49
dist_ema_50_z,45.0,0.0011098022456434986,0.0,33924,15,2260,1130,ok,42.0,1.023785542175748e-05,0.4666666666666667,33924,15,2260,1130,ok,42.0,43.5,0.0011098022456434986,0.0,0,exit,50
dist_ema_21_z,53.0,-2.158923687056724e-05,0.43333333333333335,33924,15,2260,1130,ok,45.0,6.833471489886556e-06,0.5666666666666667,33924,15,2260,1130,ok,45.0,49.0,6.833471489886556e-06,0.43333333333333335,0,exit,51
ema_slope_9_z,47.0,0.0009144887370844401,0.0,33924,15,2260,1130,ok,47.0,3.162759313224406e-06,0.4666666666666667,33924,15,2260,1130,ok,47.0,47.0,0.0009144887370844401,0.0,0,both_tie,52
log_ret_6_z,49.0,0.0007631523197039192,0.0,33924,15,2260,1130,ok,54.0,-3.0047496586471656e-05,0.6,33924,15,2260,1130,ok,49.0,51.5,0.0007631523197039192,0.0,0,entry,53
dist_to_low_72_sqrt_z,51.0,0.0004083535581522746,0.0,33924,15,2260,1130,ok,52.0,-9.453747177645688e-06,0.43333333333333335,33924,15,2260,1130,ok,51.0,51.5,0.0004083535581522746,0.0,0,entry,54
