,volatility_72_sqrt_z,ret_accel_6_24_z,MOM_pct_30_z,MOM_pct_14_z,ema_spread_9_21_z,log_ret_24_z,range_sqrt_z,vol_ratio_168_log1p_z,body_sqrt_z,ret_accel_24_72_z
volatility_72_sqrt_z,1.0,0.03864122613638403,0.045089197414575524,0.020477017443121134,0.047608397404217954,0.041248769451948115,0.10363279389426426,0.08112993473913502,0.07733660361735761,0.004399910856398567
ret_accel_6_24_z,0.03864122613638403,1.0,0.5766772543298888,0.32226329735233616,0.5583243025956638,0.7340139543809158,0.009985969310002518,0.010533932039684356,0.009369209033573262,0.4105491307778484
MOM_pct_30_z,0.045089197414575524,0.5766772543298888,1.0,0.5379781754879804,0.7489705083351802,0.7498535357407846,0.03619392192264527,0.0005820117582992764,0.029809568229506464,0.26028376781080953
MOM_pct_14_z,0.020477017443121134,0.32226329735233616,0.5379781754879804,1.0,0.8290524309037588,0.672978798020498,0.02395798673316268,0.0005339755070303703,0.00818338885158976,0.2325447327592125
ema_spread_9_21_z,0.047608397404217954,0.5583243025956638,0.7489705083351802,0.8290524309037588,1.0,0.8430398417016604,0.030754893517741248,0.0068348028572799485,0.015899915429164257,0.3010661774833554
log_ret_24_z,0.041248769451948115,0.7340139543809158,0.7498535357407846,0.672978798020498,0.8430398417016604,1.0,0.027305778805519036,0.006368533913829314,0.017634102619167612,0.45909517711449005
range_sqrt_z,0.10363279389426426,0.009985969310002518,0.03619392192264527,0.02395798673316268,0.030754893517741248,0.027305778805519036,1.0,0.7895867688997525,0.6822609118682665,0.01080697850406961
vol_ratio_168_log1p_z,0.08112993473913502,0.010533932039684356,0.0005820117582992764,0.0005339755070303703,0.0068348028572799485,0.006368533913829314,0.7895867688997525,1.0,0.4718837871714447,0.007491651892626478
body_sqrt_z,0.07733660361735761,0.009369209033573262,0.029809568229506464,0.00818338885158976,0.015899915429164257,0.017634102619167612,0.6822609118682665,0.4718837871714447,1.0,0.010858642114846497
ret_accel_24_72_z,0.004399910856398567,0.4105491307778484,0.26028376781080953,0.2325447327592125,0.3010661774833554,0.45909517711449005,0.01080697850406961,0.007491651892626478,0.010858642114846497,1.0
