,MOM_pct_14_z,MACD_hist_pct_z,dist_to_low_24_sqrt_z,MOM_pct_30_z,range_sqrt_z,ADX_72_scaled,ema_spread_100_200_z,volatility_168_sqrt_z,ADX_30_scaled,volatility_72_sqrt_z
MOM_pct_14_z,1.0,0.7888824635124754,0.6841677985398045,0.6634527968161782,0.031200328044891198,0.008616926910750234,0.05661255743081353,0.024229082849857534,0.012087487402080176,0.009523093777215897
MACD_hist_pct_z,0.7888824635124754,1.0,0.6063413456018738,0.3541661793798258,0.015211349856931329,0.021815171248127627,0.17039829469416806,0.015586169252862181,0.002019402948158384,0.0040765265622734834
dist_to_low_24_sqrt_z,0.6841677985398045,0.6063413456018738,1.0,0.5670015839985596,0.11529244098171577,0.007011267555782297,0.01509019199515204,0.14727774731897753,0.11081044193073192,0.18144287709542603
MOM_pct_30_z,0.6634527968161782,0.3541661793798258,0.5670015839985596,1.0,0.04048302955608501,0.0023224986946135014,0.2780773210232402,0.02499407379291536,0.021750512680079524,0.022417137868670663
range_sqrt_z,0.031200328044891198,0.015211349856931329,0.11529244098171577,0.04048302955608501,1.0,0.0041115894578285465,0.013433037715768896,0.13008173002945234,0.08783993289551487,0.16338907039778047
ADX_72_scaled,0.008616926910750234,0.021815171248127627,0.007011267555782297,0.0023224986946135014,0.0041115894578285465,1.0,0.03027706352030578,0.31939317739239703,0.6187534536727253,0.1601196190200469
ema_spread_100_200_z,0.05661255743081353,0.17039829469416806,0.01509019199515204,0.2780773210232402,0.013433037715768896,0.03027706352030578,1.0,0.06247929627091914,0.02317741082646895,0.017120447529130046
volatility_168_sqrt_z,0.024229082849857534,0.015586169252862181,0.14727774731897753,0.02499407379291536,0.13008173002945234,0.31939317739239703,0.06247929627091914,1.0,0.3675868696096064,0.3818734983743534
ADX_30_scaled,0.012087487402080176,0.002019402948158384,0.11081044193073192,0.021750512680079524,0.08783993289551487,0.6187534536727253,0.02317741082646895,0.3675868696096064,1.0,0.408203400811709
volatility_72_sqrt_z,0.009523093777215897,0.0040765265622734834,0.18144287709542603,0.022417137868670663,0.16338907039778047,0.1601196190200469,0.017120447529130046,0.3818734983743534,0.408203400811709,1.0
