,MOM_pct_14_z,vol_expansion_72_log1p_z,MACD_hist_pct_z,vol_ratio_72_log1p_z,ema_spread_9_21_z,bb_width_20_sqrt_z,body_sqrt_z,dist_to_low_24_sqrt_z,price_pos_in_range_168_norm,volatility_24_sqrt_z
MOM_pct_14_z,1.0,0.018480960685770875,0.7681925702610555,0.021573032777933866,0.8480127400748149,0.06218048613938665,0.013152755641436215,0.6781153185622711,0.14140466199544985,0.06244835626117822
vol_expansion_72_log1p_z,0.018480960685770875,1.0,0.00811683250719693,0.7860689064749138,0.023062003617354967,0.26609344629291193,0.6731518603681667,0.09333224578742481,0.012654789922720473,0.21095941741020272
MACD_hist_pct_z,0.7681925702610555,0.00811683250719693,1.0,0.003984990288643421,0.5364177789438009,0.04616152842715003,0.0029371561060853968,0.5777572839858389,0.05647128946780904,0.07078833600177827
vol_ratio_72_log1p_z,0.021573032777933866,0.7860689064749138,0.003984990288643421,1.0,0.03490094854169129,0.27036152125619634,0.45343867183700387,0.10432561790707796,0.010161079291152685,0.15815602703149806
ema_spread_9_21_z,0.8480127400748149,0.023062003617354967,0.5364177789438009,0.03490094854169129,1.0,0.05440797355305222,0.0250936251163763,0.6478407353530979,0.18175675018149734,0.04561134249357074
bb_width_20_sqrt_z,0.06218048613938665,0.26609344629291193,0.04616152842715003,0.27036152125619634,0.05440797355305222,1.0,0.16618333204145364,0.41695106343391836,0.04717981405895207,0.6031221584216503
body_sqrt_z,0.013152755641436215,0.6731518603681667,0.0029371561060853968,0.45343867183700387,0.0250936251163763,0.16618333204145364,1.0,0.066364020424906,0.0015161252176828337,0.20474230222107642
dist_to_low_24_sqrt_z,0.6781153185622711,0.09333224578742481,0.5777572839858389,0.10432561790707796,0.6478407353530979,0.41695106343391836,0.066364020424906,1.0,0.15754130302796618,0.4392476439237011
price_pos_in_range_168_norm,0.14140466199544985,0.012654789922720473,0.05647128946780904,0.010161079291152685,0.18175675018149734,0.04717981405895207,0.0015161252176828337,0.15754130302796618,1.0,0.04560778254132157
volatility_24_sqrt_z,0.06244835626117822,0.21095941741020272,0.07078833600177827,0.15815602703149806,0.04561134249357074,0.6031221584216503,0.20474230222107642,0.4392476439237011,0.04560778254132157,1.0
