,MOM_pct_14_z,vol_expansion_72_log1p_z,MACD_hist_pct_z,vol_ratio_72_log1p_z,ema_spread_9_21_z,ema_spread_100_200_z,ADX_72_scaled,ema_spread_50_100_z,ADX_30_scaled,dist_to_high_168_sqrt_z
MOM_pct_14_z,1.0,0.018480960685770875,0.7681925702610555,0.021573032777933866,0.8480127400748149,0.016756731191629553,0.000993534593322118,0.15890945826932118,0.022419756977299376,0.48568820880193225
vol_expansion_72_log1p_z,0.018480960685770875,1.0,0.00811683250719693,0.7860689064749138,0.023062003617354967,0.0017602955462396393,0.039869512067136334,0.011203552954240201,0.012854643807229454,0.015108611971751186
MACD_hist_pct_z,0.7681925702610555,0.00811683250719693,1.0,0.003984990288643421,0.5364177789438009,0.23290450861574388,0.010942489261991655,0.2251049667198985,0.016482967831339197,0.21058697760554018
vol_ratio_72_log1p_z,0.021573032777933866,0.7860689064749138,0.003984990288643421,1.0,0.03490094854169129,0.007356184243693459,0.0409171481965815,0.04522550137098119,0.030834600507138838,0.028873849967507
ema_spread_9_21_z,0.8480127400748149,0.023062003617354967,0.5364177789438009,0.03490094854169129,1.0,0.19235800779214518,0.0017938619637255836,0.4080155974614257,0.01651973084268434,0.6054086527111955
ema_spread_100_200_z,0.016756731191629553,0.0017602955462396393,0.23290450861574388,0.007356184243693459,0.19235800779214518,1.0,0.010879359940198242,0.8000260292097551,0.04016274024371469,0.5500845112734356
ADX_72_scaled,0.000993534593322118,0.039869512067136334,0.010942489261991655,0.0409171481965815,0.0017938619637255836,0.010879359940198242,1.0,0.04039180113588744,0.6186332126459386,0.08177800952603465
ema_spread_50_100_z,0.15890945826932118,0.011203552954240201,0.2251049667198985,0.04522550137098119,0.4080155974614257,0.8000260292097551,0.04039180113588744,1.0,0.029892515566880676,0.6438508566901467
ADX_30_scaled,0.022419756977299376,0.012854643807229454,0.016482967831339197,0.030834600507138838,0.01651973084268434,0.04016274024371469,0.6186332126459386,0.029892515566880676,1.0,0.2106702547604538
dist_to_high_168_sqrt_z,0.48568820880193225,0.015108611971751186,0.21058697760554018,0.028873849967507,0.6054086527111955,0.5500845112734356,0.08177800952603465,0.6438508566901467,0.2106702547604538,1.0
