z_window,set_name,algorithm,seed,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_val_full,mean_symbol_val_h1,mean_symbol_val_h2,median_symbol_val_full,median_symbol_val_h1,median_symbol_val_h2,median_symbol_per_symbol_min_half,median_exposure_bars_val,median_exposure_ratio_val,median_n_trade_events_val,mean_constraint_applied_ratio,mean_min_hold_ratio,mean_cooldown_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,discounted_lints,166,-5.886372739519115,0.5,-6.701565200005071,-9.853352459185343,-3.440795358061248,-6.701565200005071,-7.7381521979133066,-3.4500460443840475,-4.441334229429561,-4.441334229429561,1131.0,0.5655,430.0,0.42983333333333335,0.3225,0.10733333333333334,0.0,0.0,0.0,0.42983333333333335,0.5701666666666666,0.5701666666666666,0.5675
24,z24_a0p5_corr_pruned_top10,discounted_lints,266,-6.477309989159196,0.5,-7.506919690539505,-10.621094518354921,-3.388480885018271,-7.506919690539505,-10.444019991277354,-3.1970900636038357,-7.486272811876294,-7.486272811876294,1161.0,0.5805,410.0,0.40399999999999997,0.30316666666666664,0.10083333333333333,0.0,0.0,0.0,0.40399999999999997,0.596,0.596,0.5935
24,z24_a0p5_corr_pruned_top10,discounted_lints,366,-3.2123192829773117,0.5,-3.3602268229046217,-6.038300972953388,-2.7685966631953813,-3.3602268229046217,-6.695712113544672,-2.0329768128637626,-3.189149982909245,-4.451094075965911,1180.0,0.59,377.0,0.39233333333333337,0.29433333333333334,0.09799999999999999,0.0,0.0,0.0,0.39233333333333337,0.6076666666666667,0.6076666666666667,0.6041666666666666
24,z24_a0p5_corr_pruned_top10,discounted_lints,466,-3.205336698660423,0.5,-3.818775263612228,-5.130856119668085,-1.3650210038050077,-3.818775263612228,-4.698525219316929,-1.0207282203754886,-4.141936374111543,-4.141936374111543,1137.0,0.5685,423.0,0.4253333333333333,0.31916666666666665,0.10616666666666667,0.0,0.0,0.0,0.4253333333333333,0.5746666666666668,0.5746666666666668,0.5723333333333334
24,z24_a0p5_corr_pruned_top10,discounted_lints,566,-5.0412094571474,0.5,-5.943889031576133,-8.094449371700012,-2.3331707338612007,-5.943889031576133,-6.289003171253138,-2.6724256060165485,-5.019009212201853,-5.019009212201853,1120.0,0.56,421.0,0.40700000000000003,0.30533333333333335,0.10166666666666667,0.0,0.0,0.0,0.40700000000000003,0.593,0.593,0.5903333333333334
24,z24_a0p5_corr_pruned_top10,discounted_lints,666,-5.794746227177577,0.5,-6.8869460130606655,-9.230548732412823,-2.5181468695283113,-6.8869460130606655,-10.276914554458227,-2.6658445446831824,-6.442824333045838,-6.442824333045838,1148.0,0.574,411.0,0.40499999999999997,0.304,0.10099999999999999,0.0,0.0,0.0,0.40499999999999997,0.595,0.595,0.5931666666666666
24,z24_a0p5_corr_pruned_top10,discounted_lints,766,-6.346674141356527,0.5,-8.193586939672825,-8.954125041987337,-0.8059357464076303,-8.193586939672825,-9.067306176238244,-0.8876543404476855,-8.782336907312239,-8.782336907312239,1164.0,0.582,392.0,0.3898333333333333,0.2925,0.09733333333333334,0.0,0.0,0.0,0.3898333333333333,0.6101666666666667,0.6101666666666667,0.6068333333333333
24,z24_a0p5_corr_pruned_top10,discounted_lints,866,-4.654772003077968,0.5,-5.297631280025224,-7.878047292182263,-2.7261941722362,-5.297631280025224,-7.990280507380287,-2.6554685233738162,-5.0378746887467685,-5.0378746887467685,1144.0,0.572,420.0,0.42249999999999993,0.317,0.1055,0.0,0.0,0.0,0.42249999999999993,0.5775,0.5775,0.5756666666666667
24,z24_a0p5_corr_pruned_top10,discounted_lints,966,-5.288571754508585,0.5,-5.993488985801203,-9.003586345054408,-3.173820060630728,-5.993488985801203,-6.983540481667094,-0.8769818891790626,-6.074240704258993,-6.8670372944109825,1180.0,0.59,393.0,0.3915,0.2936666666666667,0.09783333333333333,0.0,0.0,0.0,0.3915,0.6084999999999999,0.6084999999999999,0.6051666666666666
24,z24_a0p5_corr_pruned_top10,discounted_lints,1066,-3.751165483041267,0.5,-4.1732422592288,-6.558493895226703,-2.484935154478666,-4.1732422592288,-6.13981235049067,-2.173575619119872,-3.408372875314347,-3.408372875314347,1143.0,0.5715,406.0,0.40149999999999997,0.3013333333333334,0.10016666666666667,0.0,0.0,0.0,0.40149999999999997,0.5985,0.5985,0.5950000000000001
