algorithm,z_window,corr_dro,hybrid_dro,hybrid_minus_corr
discounted_lints,24,-4.825890487274005,-5.019969144801412,-0.19407865752740694
discounted_lints,48,-5.1932038948893915,-5.294630875550096,-0.10142698066070466
discounted_lints,72,-5.163511582741644,-4.722411970766435,0.44109961197520864
discounted_linucb,24,-4.313726568942774,-5.296975508292068,-0.983248939349294
discounted_linucb,48,-5.926966998163879,-4.933273348847857,0.9936936493160218
discounted_linucb,72,-5.139299580829871,-4.015739433676508,1.1235601471533627
sw_lints,24,-5.143023887746866,-5.47319451605748,-0.33017062831061406
sw_lints,48,-4.764873923675696,-5.326950050174037,-0.5620761264983418
sw_lints,72,-5.752466037085463,-4.53208082123925,1.2203852158462132
sw_linucb,24,-4.30814470840185,-5.431864329350844,-1.1237196209489948
sw_linucb,48,-4.29650281762491,-4.797183970377609,-0.5006811527526986
sw_linucb,72,-4.304662831354863,-4.205368956975946,0.09929387437891712
