z_window,set_name,algorithm,n_seeds,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_q25,dro_minimax_q75,pure_min_half_median,pure_min_half_mean,full_mean_aggregate,h1_mean_aggregate,h2_mean_aggregate,full_median,h1_median,h2_median,per_symbol_minhalf_median,median_exposure_bars,median_exposure_ratio,median_n_trade_events,mean_constraint_applied_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,30,-4.722411970766435,-4.767457454327233,1.0342990915358163,-5.296907524361826,-4.23894802009643,-5.69303878553532,-5.650391839362895,-7.5014225214732875,-2.178931012694627,-5.69303878553532,-7.526118741143717,-2.32856870599612,-5.307688758306384,-5.380405278560818,1031.0,0.5155,387.5,0.3820777777777778,0.0,0.0,0.0,0.3820777777777778,0.6179222222222223,0.6179222222222223,0.6155777777777778
24,z24_a0p5_corr_pruned_top10,discounted_lints,30,-4.825890487274005,-4.817834594505763,1.1743909976914944,-5.533940351497938,-3.98920473984792,-5.64936565202923,-5.571402271130458,-8.163884081096285,-2.7237911562793613,-5.64936565202923,-7.818935174195246,-2.531462038865201,-5.073067516313512,-5.260045564535847,1151.5,0.57575,408.5,0.4077722222222222,0.0,0.0,0.0,0.4077722222222222,0.5922277777777778,0.5922277777777778,0.5895777777777779
24,z24_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,30,-5.019969144801412,-5.031146978852244,1.0490309838432548,-5.669147430487027,-4.3591705744940965,-5.792393228523206,-5.748596706576858,-8.276067782968667,-2.931320039645804,-5.792393228523206,-7.381781822487915,-2.8968105262758836,-4.924575499481221,-5.162803484936052,1050.0,0.525,382.0,0.38539999999999996,0.0,0.0,0.0,0.38539999999999996,0.6145999999999999,0.6145999999999999,0.6120777777777777
72,z72_a0p5_corr_pruned_top10,discounted_lints,30,-5.163511582741644,-5.086699247445874,0.9414865548913633,-5.8101946546065015,-4.425375562515313,-6.136071291379141,-6.03111168593293,-8.1164522869893,-2.37992456712288,-6.136071291379141,-7.804905785353233,-2.295969413617438,-5.711402545783301,-5.711402545783301,1131.0,0.5654999999999999,418.0,0.41060555555555556,0.0,0.0,0.0,0.41060555555555556,0.5893944444444444,0.5893944444444444,0.5867444444444445
48,z48_a0p5_corr_pruned_top10,discounted_lints,30,-5.1932038948893915,-5.243631543877821,0.8783675390631669,-5.801437491315513,-4.6134857114683685,-6.223570429239074,-6.333192165855848,-8.337795150188093,-2.100126581998239,-6.223570429239074,-7.743533244144918,-1.9745331908425812,-6.428430672691881,-6.428430672691881,1128.5,0.5642499999999999,404.5,0.40588888888888885,0.0,0.0,0.0,0.40588888888888885,0.5941111111111111,0.5941111111111111,0.5913777777777778
48,z48_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,30,-5.294630875550096,-5.176444285458674,1.0762454662193317,-5.902075275795736,-4.18087392738124,-6.175967415890684,-6.1929111730107875,-8.428855673438296,-2.2980018405113527,-6.175967415890684,-8.532030403559126,-2.2206478464083745,-6.284445434290975,-6.284445434290975,1137.5,0.56875,381.5,0.3866777777777778,0.0,0.0,0.0,0.3866777777777778,0.6133222222222223,0.6133222222222223,0.6108833333333333
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,1,-4.015739433676508,-4.015739433676508,,-4.015739433676508,-4.015739433676508,-4.835319826065269,-4.835319826065269,-6.358071805536954,-1.5569982565102265,-4.835319826065269,-5.965031633928364,-1.68316561104066,-4.3551707594122195,-4.419609750545462,1042.0,0.521,300.0,0.3156666666666666,0.0,0.0,0.0,0.3156666666666666,0.6843333333333333,0.6843333333333333,0.6823333333333332
24,z24_a0p5_corr_pruned_top10,discounted_linucb,1,-4.313726568942774,-4.313726568942774,,-4.313726568942774,-4.313726568942774,-4.913518418278126,-4.913518418278126,-7.305285931571966,-2.5143510209367186,-4.913518418278126,-7.001192921189315,-2.7121751737494426,-5.591486420167612,-5.591486420167612,1118.0,0.559,390.0,0.3861666666666667,0.0,0.0,0.0,0.3861666666666667,0.6138333333333333,0.6138333333333333,0.6108333333333333
48,z48_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,1,-4.933273348847857,-4.933273348847857,,-4.933273348847857,-4.933273348847857,-6.406199822024679,-6.406199822024679,-6.888205484752675,-0.5144939293173908,-6.406199822024679,-6.921998715797429,-0.36036157821657255,-5.706307648421705,-5.706307648421705,1031.0,0.5155,323.0,0.29316666666666663,0.0,0.0,0.0,0.29316666666666663,0.7068333333333333,0.7068333333333333,0.7040000000000001
72,z72_a0p5_corr_pruned_top10,discounted_linucb,1,-5.139299580829871,-5.139299580829871,,-5.139299580829871,-5.139299580829871,-6.018353647321621,-6.018353647321621,-8.361010775443548,-2.502137381354619,-6.018353647321621,-7.816198967800803,-2.8247128899234752,-4.533012202292774,-4.533012202292774,1055.0,0.5275,324.0,0.3315,0.0,0.0,0.0,0.3315,0.6685,0.6685,0.6665
