z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,discounted_lints,166,BTCUSDT,-7.7381521979133066,-3.4500460443840475,-4.441334229429561,-4.441334229429561,2000,1162,0.581,393,197,196,0.392,0.294,0.098,0.0,0.0,0.0,0.392,0.608,0.608,0.605
24,z24_a0p5_corr_pruned_top10,discounted_lints,166,ETHUSDT,-5.05036707649098,-1.2110139850333934,-3.8864181588784907,-3.8864181588784907,2000,1131,0.5655,467,234,233,0.4675,0.351,0.1165,0.0,0.0,0.0,0.4675,0.5325,0.5325,0.531
24,z24_a0p5_corr_pruned_top10,discounted_lints,166,SOLUSDT,-16.77153810315174,-5.661326044766302,-11.776943211707158,-11.776943211707158,2000,1070,0.535,430,215,215,0.43,0.3225,0.1075,0.0,0.0,0.0,0.43,0.57,0.57,0.5665
24,z24_a0p5_corr_pruned_top10,discounted_lints,266,BTCUSDT,-7.339527694488357,-2.1117233546321446,-5.340582671401628,-5.340582671401628,2000,1198,0.599,377,189,188,0.3765,0.2825,0.094,0.0,0.0,0.0,0.3765,0.6235,0.6235,0.6215
24,z24_a0p5_corr_pruned_top10,discounted_lints,266,ETHUSDT,-10.444019991277354,-3.1970900636038357,-7.486272811876294,-7.486272811876294,2000,1161,0.5805,410,205,205,0.41,0.3075,0.1025,0.0,0.0,0.0,0.41,0.59,0.59,0.588
24,z24_a0p5_corr_pruned_top10,discounted_lints,266,SOLUSDT,-14.079735869299048,-4.856629236818833,-9.693903588340591,-9.693903588340591,2000,1131,0.5655,426,213,213,0.4255,0.3195,0.106,0.0,0.0,0.0,0.4255,0.5745,0.5745,0.571
24,z24_a0p5_corr_pruned_top10,discounted_lints,366,BTCUSDT,-3.920898812403284,-2.0329768128637626,-1.927099485235162,-2.0329768128637626,2000,1261,0.6305,372,186,186,0.372,0.279,0.093,0.0,0.0,0.0,0.372,0.628,0.628,0.625
24,z24_a0p5_corr_pruned_top10,discounted_lints,366,ETHUSDT,-7.498291992912209,-4.451094075965911,-3.189149982909245,-4.451094075965911,2000,1180,0.59,377,189,188,0.3765,0.2825,0.094,0.0,0.0,0.0,0.3765,0.6235,0.6235,0.6205
24,z24_a0p5_corr_pruned_top10,discounted_lints,366,SOLUSDT,-6.695712113544672,-1.8217191007564693,-4.9644310005694585,-4.9644310005694585,2000,1120,0.56,429,215,214,0.4285,0.3215,0.107,0.0,0.0,0.0,0.4285,0.5715,0.5715,0.567
24,z24_a0p5_corr_pruned_top10,discounted_lints,466,BTCUSDT,-4.0116974321177885,-1.0207282203754886,-3.0218137171201143,-3.0218137171201143,2000,1168,0.584,421,211,210,0.4215,0.3165,0.105,0.0,0.0,0.0,0.4215,0.5785,0.5785,0.577
24,z24_a0p5_corr_pruned_top10,discounted_lints,466,ETHUSDT,-6.682345707569537,-2.6501780208836867,-4.141936374111543,-4.141936374111543,2000,1137,0.5685,432,216,216,0.432,0.324,0.108,0.0,0.0,0.0,0.432,0.568,0.568,0.5655
24,z24_a0p5_corr_pruned_top10,discounted_lints,466,SOLUSDT,-4.698525219316929,-0.42415677015584796,-4.2925756996050275,-4.2925756996050275,2000,1090,0.545,423,212,211,0.4225,0.317,0.1055,0.0,0.0,0.0,0.4225,0.5775,0.5775,0.5745
24,z24_a0p5_corr_pruned_top10,discounted_lints,566,BTCUSDT,-3.7402184354093926,1.3463649580677473,-5.019009212201853,-5.019009212201853,2000,1204,0.602,375,188,187,0.3745,0.281,0.0935,0.0,0.0,0.0,0.3745,0.6255,0.6255,0.6235
24,z24_a0p5_corr_pruned_top10,discounted_lints,566,ETHUSDT,-14.254126508437503,-5.6734515536348,-9.096776142171404,-9.096776142171404,2000,1120,0.56,426,213,213,0.426,0.3195,0.1065,0.0,0.0,0.0,0.426,0.574,0.574,0.571
24,z24_a0p5_corr_pruned_top10,discounted_lints,566,SOLUSDT,-6.289003171253138,-2.6724256060165485,-3.7158817403551425,-3.7158817403551425,2000,1117,0.5585,421,211,210,0.4205,0.3155,0.105,0.0,0.0,0.0,0.4205,0.5795,0.5795,0.5765
24,z24_a0p5_corr_pruned_top10,discounted_lints,666,BTCUSDT,-10.276914554458227,-2.6658445446831824,-7.8195264284889765,-7.8195264284889765,2000,1226,0.613,383,192,191,0.3835,0.288,0.0955,0.0,0.0,0.0,0.3835,0.6165,0.6165,0.615
24,z24_a0p5_corr_pruned_top10,discounted_lints,666,ETHUSDT,-11.464596813959849,-5.367597349016351,-6.442824333045838,-6.442824333045838,2000,1148,0.574,420,210,210,0.42,0.315,0.105,0.0,0.0,0.0,0.42,0.58,0.58,0.5775
24,z24_a0p5_corr_pruned_top10,discounted_lints,666,SOLUSDT,-5.9501348288203975,0.4790012851145997,-6.39848727764718,-6.39848727764718,2000,1075,0.5375,411,206,205,0.4115,0.309,0.1025,0.0,0.0,0.0,0.4115,0.5885,0.5885,0.587
24,z24_a0p5_corr_pruned_top10,discounted_lints,766,BTCUSDT,-9.067306176238244,-3.1501234739702566,-6.1096440331317,-6.1096440331317,2000,1272,0.636,344,172,172,0.344,0.258,0.086,0.0,0.0,0.0,0.344,0.656,0.656,0.653
24,z24_a0p5_corr_pruned_top10,discounted_lints,766,ETHUSDT,-10.490431343893636,-0.8876543404476855,-9.688779878574538,-9.688779878574538,2000,1164,0.582,434,217,217,0.4335,0.3255,0.108,0.0,0.0,0.0,0.4335,0.5665,0.5665,0.5645
24,z24_a0p5_corr_pruned_top10,discounted_lints,766,SOLUSDT,-7.304637605830133,1.619970575195051,-8.782336907312239,-8.782336907312239,2000,1163,0.5815,392,196,196,0.392,0.294,0.098,0.0,0.0,0.0,0.392,0.608,0.608,0.603
24,z24_a0p5_corr_pruned_top10,discounted_lints,866,BTCUSDT,-5.46485300487376,-2.4140788817505032,-3.1262441222709714,-3.1262441222709714,2000,1144,0.572,418,209,209,0.4175,0.3135,0.104,0.0,0.0,0.0,0.4175,0.5825,0.5825,0.581
24,z24_a0p5_corr_pruned_top10,discounted_lints,866,ETHUSDT,-10.179008364292741,-2.6554685233738162,-7.728775029057933,-7.728775029057933,2000,1159,0.5795,430,215,215,0.43,0.3225,0.1075,0.0,0.0,0.0,0.43,0.57,0.57,0.5675
24,z24_a0p5_corr_pruned_top10,discounted_lints,866,SOLUSDT,-7.990280507380287,-3.1090351115842796,-5.0378746887467685,-5.0378746887467685,2000,1109,0.5545,420,210,210,0.42,0.315,0.105,0.0,0.0,0.0,0.42,0.58,0.58,0.5785
24,z24_a0p5_corr_pruned_top10,discounted_lints,966,BTCUSDT,-6.983540481667094,-0.12509339751640702,-6.8670372944109825,-6.8670372944109825,2000,1180,0.59,364,182,182,0.364,0.273,0.091,0.0,0.0,0.0,0.364,0.636,0.636,0.6335
24,z24_a0p5_corr_pruned_top10,discounted_lints,966,ETHUSDT,-13.129265950939573,-8.519384895196714,-5.039188958733631,-8.519384895196714,2000,1192,0.596,418,209,209,0.418,0.3135,0.1045,0.0,0.0,0.0,0.418,0.582,0.582,0.579
24,z24_a0p5_corr_pruned_top10,discounted_lints,966,SOLUSDT,-6.897952602556556,-0.8769818891790626,-6.074240704258993,-6.074240704258993,2000,1112,0.556,393,197,196,0.3925,0.2945,0.098,0.0,0.0,0.0,0.3925,0.6075,0.6075,0.603
24,z24_a0p5_corr_pruned_top10,discounted_lints,1066,BTCUSDT,-5.3466263618019205,-2.006647516130544,-3.408372875314347,-3.408372875314347,2000,1177,0.5885,406,203,203,0.4055,0.3045,0.101,0.0,0.0,0.0,0.4055,0.5945,0.5945,0.5915
24,z24_a0p5_corr_pruned_top10,discounted_lints,1066,ETHUSDT,-6.13981235049067,-3.2745823281855824,-2.962230705507729,-3.2745823281855824,2000,1143,0.5715,445,223,222,0.445,0.334,0.111,0.0,0.0,0.0,0.445,0.555,0.555,0.5525
24,z24_a0p5_corr_pruned_top10,discounted_lints,1066,SOLUSDT,-8.189042973387517,-2.173575619119872,-6.149123196864325,-6.149123196864325,2000,1121,0.5605,354,177,177,0.354,0.2655,0.0885,0.0,0.0,0.0,0.354,0.646,0.646,0.641
24,z24_a0p5_corr_pruned_top10,discounted_lints,1166,BTCUSDT,-6.844598943746149,-2.9508911516582303,-4.012100511064565,-4.012100511064565,2000,1255,0.6275,362,181,181,0.3615,0.2715,0.09,0.0,0.0,0.0,0.3615,0.6385,0.6385,0.6355
24,z24_a0p5_corr_pruned_top10,discounted_lints,1166,ETHUSDT,-8.680416540373859,-1.9673958402028124,-6.8477429093167235,-6.8477429093167235,2000,1142,0.571,430,215,215,0.43,0.3225,0.1075,0.0,0.0,0.0,0.43,0.57,0.57,0.5665
24,z24_a0p5_corr_pruned_top10,discounted_lints,1166,SOLUSDT,-10.055438877472856,-1.8443753260761642,-8.365352040368656,-8.365352040368656,2000,1121,0.5605,418,209,209,0.418,0.3135,0.1045,0.0,0.0,0.0,0.418,0.582,0.582,0.579
24,z24_a0p5_corr_pruned_top10,discounted_lints,1266,BTCUSDT,-5.389638492298721,1.8583359584349424,-7.115740093860678,-7.115740093860678,2000,1216,0.608,388,194,194,0.388,0.291,0.097,0.0,0.0,0.0,0.388,0.612,0.612,0.6095
24,z24_a0p5_corr_pruned_top10,discounted_lints,1266,ETHUSDT,-5.258731326519806,-2.5939668086104706,-2.73572840470101,-2.73572840470101,2000,1111,0.5555,392,196,196,0.392,0.294,0.098,0.0,0.0,0.0,0.392,0.608,0.608,0.606
24,z24_a0p5_corr_pruned_top10,discounted_lints,1266,SOLUSDT,-10.206720010101023,-3.56882631650004,-6.883555846149337,-6.883555846149337,2000,1136,0.568,407,204,203,0.407,0.3055,0.1015,0.0,0.0,0.0,0.407,0.593,0.593,0.591
24,z24_a0p5_corr_pruned_top10,discounted_lints,1366,BTCUSDT,-4.7617240209448575,-1.126868434773698,-3.676282452703794,-3.676282452703794,2000,1151,0.5755,427,214,213,0.4275,0.321,0.1065,0.0,0.0,0.0,0.4275,0.5725,0.5725,0.571
24,z24_a0p5_corr_pruned_top10,discounted_lints,1366,ETHUSDT,-8.668694741224158,-5.0120089605602764,-3.8496295591151086,-5.0120089605602764,2000,1195,0.5975,396,198,198,0.396,0.297,0.099,0.0,0.0,0.0,0.396,0.604,0.604,0.6005
24,z24_a0p5_corr_pruned_top10,discounted_lints,1366,SOLUSDT,-4.781498574345111,-2.025287025633593,-2.8131866530016203,-2.8131866530016203,2000,1133,0.5665,390,195,195,0.39,0.2925,0.0975,0.0,0.0,0.0,0.39,0.61,0.61,0.605
24,z24_a0p5_corr_pruned_top10,discounted_lints,1466,BTCUSDT,-5.213687905845066,-1.2916789646492233,-3.973331630057042,-3.973331630057042,2000,1179,0.5895,379,190,189,0.378,0.2835,0.0945,0.0,0.0,0.0,0.378,0.622,0.622,0.619
24,z24_a0p5_corr_pruned_top10,discounted_lints,1466,ETHUSDT,-10.354906742027193,-4.8221237926597045,-5.813097717493287,-5.813097717493287,2000,1203,0.6015,433,217,216,0.4335,0.3255,0.108,0.0,0.0,0.0,0.4335,0.5665,0.5665,0.5625
24,z24_a0p5_corr_pruned_top10,discounted_lints,1466,SOLUSDT,-8.668032528330338,-2.6540679218435947,-6.177931093883105,-6.177931093883105,2000,1147,0.5735,410,205,205,0.41,0.3075,0.1025,0.0,0.0,0.0,0.41,0.59,0.59,0.5885
24,z24_a0p5_corr_pruned_top10,discounted_lints,1566,BTCUSDT,-7.899718150477186,-3.5575921202216865,-4.502299481850603,-4.502299481850603,2000,1253,0.6265,409,205,204,0.4095,0.3075,0.102,0.0,0.0,0.0,0.4095,0.5905,0.5905,0.589
24,z24_a0p5_corr_pruned_top10,discounted_lints,1566,ETHUSDT,-7.1634986839781085,-3.872887002405212,-3.4231878800471516,-3.872887002405212,2000,1157,0.5785,442,221,221,0.442,0.3315,0.1105,0.0,0.0,0.0,0.442,0.558,0.558,0.5555
24,z24_a0p5_corr_pruned_top10,discounted_lints,1566,SOLUSDT,-9.85313222387254,-3.152371886798133,-6.918868812400969,-6.918868812400969,2000,1154,0.577,370,185,185,0.3695,0.2775,0.092,0.0,0.0,0.0,0.3695,0.6305,0.6305,0.629
24,z24_a0p5_corr_pruned_top10,discounted_lints,1666,BTCUSDT,-4.389580618266365,-0.43734601818334884,-3.969595467799425,-3.969595467799425,2000,1198,0.599,394,197,197,0.394,0.2955,0.0985,0.0,0.0,0.0,0.394,0.606,0.606,0.6035
24,z24_a0p5_corr_pruned_top10,discounted_lints,1666,ETHUSDT,-9.141286732242204,-4.912174258825431,-4.447585629866291,-4.912174258825431,2000,1146,0.573,428,214,214,0.428,0.321,0.107,0.0,0.0,0.0,0.428,0.572,0.572,0.5685
24,z24_a0p5_corr_pruned_top10,discounted_lints,1666,SOLUSDT,-7.097622675760162,-3.0178288768320516,-4.206746200543132,-4.206746200543132,2000,1109,0.5545,379,190,189,0.379,0.2845,0.0945,0.0,0.0,0.0,0.379,0.621,0.621,0.619
24,z24_a0p5_corr_pruned_top10,discounted_lints,1766,BTCUSDT,-5.19786716656675,-1.0981966268926113,-4.145192908372075,-4.145192908372075,2000,1185,0.5925,418,209,209,0.418,0.3135,0.1045,0.0,0.0,0.0,0.418,0.582,0.582,0.579
24,z24_a0p5_corr_pruned_top10,discounted_lints,1766,ETHUSDT,-7.437675499730423,-5.917300163978156,-1.6159988376206802,-5.917300163978156,2000,1094,0.547,432,216,216,0.4315,0.324,0.1075,0.0,0.0,0.0,0.4315,0.5685,0.5685,0.567
24,z24_a0p5_corr_pruned_top10,discounted_lints,1766,SOLUSDT,-5.751307531892225,-0.5268094382696709,-5.252167005119213,-5.252167005119213,2000,1073,0.5365,420,210,210,0.42,0.315,0.105,0.0,0.0,0.0,0.42,0.58,0.58,0.5765
24,z24_a0p5_corr_pruned_top10,discounted_lints,1866,BTCUSDT,-3.2266738003303597,-1.9742330649930584,-1.2776648166065274,-1.9742330649930584,2000,1137,0.5685,398,199,199,0.398,0.2985,0.0995,0.0,0.0,0.0,0.398,0.602,0.602,0.599
24,z24_a0p5_corr_pruned_top10,discounted_lints,1866,ETHUSDT,-1.8610494370616237,-1.0006094593101866,-0.8691366411975987,-1.0006094593101866,2000,1157,0.5785,398,199,199,0.3975,0.2985,0.099,0.0,0.0,0.0,0.3975,0.6025,0.6025,0.6
24,z24_a0p5_corr_pruned_top10,discounted_lints,1866,SOLUSDT,-5.953794181697846,-0.2917114943362109,-5.678647956172678,-5.678647956172678,2000,1152,0.576,427,214,213,0.4265,0.32,0.1065,0.0,0.0,0.0,0.4265,0.5735,0.5735,0.571
24,z24_a0p5_corr_pruned_top10,discounted_lints,1966,BTCUSDT,-5.4291175344707625,-0.9876917655874617,-4.485730964243551,-4.485730964243551,2000,1140,0.57,411,206,205,0.4105,0.308,0.1025,0.0,0.0,0.0,0.4105,0.5895,0.5895,0.587
24,z24_a0p5_corr_pruned_top10,discounted_lints,1966,ETHUSDT,-5.045465955061401,-0.09470883765394511,-4.955450366850423,-4.955450366850423,2000,1079,0.5395,451,226,225,0.4505,0.338,0.1125,0.0,0.0,0.0,0.4505,0.5495,0.5495,0.5475
24,z24_a0p5_corr_pruned_top10,discounted_lints,1966,SOLUSDT,-12.84524388828272,1.5970249283704163,-14.215247766197347,-14.215247766197347,2000,1190,0.595,377,189,188,0.3775,0.2835,0.094,0.0,0.0,0.0,0.3775,0.6225,0.6225,0.62
