algorithm,z_window,corr_dro,hybrid_dro,hybrid_minus_corr
discounted_lints,24,-5.211569457000553,-5.0822014317408,0.12936802525975288
discounted_lints,48,-4.393236573463853,-5.776965489150262,-1.383728915686409
discounted_lints,72,-5.081817484714653,-4.0295191382526205,1.0522983464620328
discounted_linucb,24,-5.262623573553276,-5.024396825931623,0.23822674762165263
discounted_linucb,48,-3.0694005489383773,-5.159083117980673,-2.0896825690422958
discounted_linucb,72,-4.495127869956754,-2.98220116926996,1.5129267006867937
sw_lints,24,-5.683074176876595,-4.9397776020653765,0.7432965748112181
sw_lints,48,-5.0401728868430435,-4.118215761312678,0.9219571255303656
sw_lints,72,-5.309540649418189,-3.242449583710635,2.0670910657075536
sw_linucb,24,-4.928418440817095,-4.567051646161694,0.36136679465540045
sw_linucb,48,-4.454814762881322,-3.7043443854065927,0.7504703774747297
sw_linucb,72,-3.6405071239195532,-2.245920323846331,1.3945868000732222
