z_window,set_name,algorithm,n_seeds,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_q25,dro_minimax_q75,pure_min_half_median,pure_min_half_mean,full_mean_aggregate,h1_mean_aggregate,h2_mean_aggregate,full_median,h1_median,h2_median,per_symbol_minhalf_median,median_exposure_bars,median_exposure_ratio,median_n_trade_events,mean_constraint_applied_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,30,-4.0295191382526205,-4.129874569594138,1.072793058667554,-5.026629204319767,-3.4973147830475155,-5.07071964459656,-5.03209610915832,-6.423998779121081,-1.3062682589670953,-5.07071964459656,-6.3224321081636115,-1.2220888287642173,-5.178348296414331,-5.31832435496804,994.5,0.49724999999999997,325.0,0.16960555555555556,0.16960555555555556,0.13471666666666668,0.034888888888888886,0.31551666666666667,0.6844833333333333,1.0,0.995
48,z48_a0p5_corr_pruned_top10,discounted_lints,30,-4.393236573463853,-4.512359802550214,0.8251124900868498,-5.053759189233207,-3.9991522109932207,-5.377495291180562,-5.460456449875391,-7.034739781503541,-1.5124545850506044,-5.377495291180562,-6.759939888367878,-2.038624817379897,-5.530754297228918,-5.530754297228918,1091.5,0.54575,372.0,0.19911666666666666,0.19911666666666666,0.15443333333333334,0.04468333333333333,0.3718,0.6282,1.0,0.995
72,z72_a0p5_corr_pruned_top10,discounted_lints,30,-5.081817484714653,-5.154509103307716,0.7732453563993099,-5.631772255387647,-4.583083897468315,-6.16299434079504,-6.149559006952623,-8.057621987242083,-2.046652006679863,-6.16299434079504,-7.8452891612045,-2.3512814583641184,-5.693193733717422,-5.718545208255743,1070.5,0.53525,375.0,0.20271666666666668,0.20271666666666668,0.15660555555555555,0.04611111111111112,0.37440555555555555,0.6255944444444445,1.0,0.995
24,z24_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,30,-5.0822014317408,-4.979470197714449,0.7684402353106491,-5.58671524860309,-4.388780858607618,-5.938092028547784,-5.779134101904481,-8.256470930787948,-2.5298576221448377,-5.938092028547784,-7.8350447707464195,-2.3850406773460398,-5.3895133794317545,-5.502655830703568,976.0,0.488,323.0,0.1880388888888889,0.1880388888888889,0.15106111111111112,0.036977777777777776,0.33390555555555557,0.6660944444444444,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,30,-5.211569457000553,-5.226792011140604,0.9735133866408178,-6.0955737026905545,-4.486365797441506,-6.534097199229752,-6.38343058269211,-8.005952070094292,-1.8077291604221521,-6.534097199229752,-7.545410264399626,-1.7373320289583993,-6.558840951171458,-6.558840951171458,1122.5,0.56125,373.5,0.19343333333333332,0.19343333333333332,0.14964999999999998,0.043783333333333334,0.38003888888888887,0.6199611111111111,1.0,0.995
48,z48_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,30,-5.776965489150262,-5.834503674542241,0.9852954398197687,-6.452580673740665,-5.3406764884642,-7.29566630434053,-7.346500202750443,-8.795679738531339,-1.5514811466252814,-7.29566630434053,-8.02594731270506,-1.3924252470996268,-7.633185978446005,-7.633185978446005,1083.5,0.54175,331.0,0.18329444444444445,0.18329444444444445,0.14319444444444446,0.040100000000000004,0.3345,0.6655,1.0,0.995
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,1,-2.98220116926996,-2.98220116926996,,-2.98220116926996,-2.98220116926996,-4.219477082474458,-4.219477082474458,-3.5404028068776476,0.7296265703435334,-4.219477082474458,-5.36967586751712,0.7243888127708153,-4.458654837115061,-4.458654837115061,1017.0,0.5085,278.0,0.1535,0.1535,0.11866666666666666,0.034833333333333334,0.25816666666666666,0.7418333333333332,1.0,0.995
48,z48_a0p5_corr_pruned_top10,discounted_linucb,1,-3.0694005489383773,-3.0694005489383773,,-3.0694005489383773,-3.0694005489383773,-4.203170393646194,-4.203170393646194,-3.916932979677616,0.33190898518507356,-4.203170393646194,-4.779601766337304,-0.409178238006247,-3.7599079534130664,-3.7599079534130664,1086.0,0.543,334.0,0.19216666666666668,0.19216666666666668,0.15,0.042166666666666665,0.317,0.6829999999999999,1.0,0.995
72,z72_a0p5_corr_pruned_top10,discounted_linucb,1,-4.495127869956754,-4.495127869956754,,-4.495127869956754,-4.495127869956754,-5.650100604403748,-5.650100604403748,-6.629921029719321,-1.0302096666157705,-5.650100604403748,-6.240214350904038,-1.3065840616928504,-5.937499598187978,-5.937499598187978,1020.0,0.51,311.0,0.19199999999999998,0.19199999999999998,0.1485,0.043500000000000004,0.30766666666666664,0.6923333333333334,1.0,0.995
24,z24_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,1,-5.024396825931623,-5.024396825931623,,-5.024396825931623,-5.024396825931623,-6.8795579040578945,-6.8795579040578945,-6.295818414528753,0.5410864084471926,-6.8795579040578945,-7.1355067028813,-0.04257967642459226,-4.7878167952918105,-4.7878167952918105,1029.0,0.5145,225.0,0.15716666666666668,0.15716666666666668,0.12183333333333334,0.035333333333333335,0.2623333333333333,0.7376666666666667,1.0,0.995
48,z48_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,1,-5.159083117980673,-5.159083117980673,,-5.159083117980673,-5.159083117980673,-6.915211427394172,-6.915211427394172,-6.809846617531316,0.10930181025982089,-6.915211427394172,-7.857223271685465,0.20554955804534814,-7.559944297381415,-7.559944297381415,1048.0,0.524,199.0,0.16033333333333336,0.16033333333333336,0.12466666666666666,0.035666666666666666,0.25233333333333335,0.7476666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_linucb,1,-5.262623573553276,-5.262623573553276,,-5.262623573553276,-5.262623573553276,-6.412336741729895,-6.412336741729895,-8.098511802721653,-1.8134840690234153,-6.412336741729895,-5.901749021652858,-2.111648902356189,-5.085395772311374,-5.085395772311374,1088.0,0.544,345.0,0.18133333333333335,0.18133333333333335,0.1406666666666667,0.04066666666666666,0.32749999999999996,0.6725,1.0,0.995
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,30,-3.242449583710635,-3.3599701464251766,0.9560305418870642,-3.628448084185147,-2.918854430734192,-3.988563756356111,-4.039891056403032,-5.260643329069144,-1.2856584298899003,-3.988563756356111,-5.429264135818151,-1.558234862688218,-4.159012759228926,-4.227490415667745,948.0,0.474,255.0,0.15048333333333333,0.15048333333333333,0.11845,0.03203333333333334,0.2649,0.7351,1.0,0.995
48,z48_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,30,-4.118215761312678,-4.234218688112344,0.7251343731432776,-4.85401858163714,-3.726053794882167,-5.367055369697443,-5.449080144495994,-6.067574558625585,-0.6639977981181747,-5.367055369697443,-6.362615735668248,-0.7432908346469702,-5.848455410428393,-5.848455410428393,908.0,0.454,250.5,0.13032777777777776,0.13032777777777776,0.10313888888888889,0.027188888888888887,0.24505000000000002,0.7549499999999999,1.0,0.995
24,z24_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,30,-4.9397776020653765,-4.937627139449925,0.7741259822894349,-5.490207110069306,-4.586497221686039,-5.981567487649762,-5.912157093644849,-7.719061762834891,-2.1490407548167334,-5.981567487649762,-6.91312908197208,-2.1624653704620855,-4.817351052453207,-4.817351052453207,917.0,0.4585,263.5,0.14068333333333335,0.14068333333333335,0.11187777777777777,0.028805555555555553,0.26393333333333335,0.7360666666666666,1.0,0.995
48,z48_a0p5_corr_pruned_top10,sw_lints,30,-5.0401728868430435,-5.195883865463878,0.7547943279128964,-5.543674225188349,-4.7931622415168205,-6.06016794531439,-6.255703005733139,-8.119836920186692,-2.060515593400619,-6.06016794531439,-7.630649765107345,-2.1282520268228247,-6.257723315544533,-6.319325945059662,1090.0,0.545,355.0,0.19805,0.19805,0.15458888888888891,0.04346111111111111,0.3553666666666667,0.6446333333333333,1.0,0.995
72,z72_a0p5_corr_pruned_top10,sw_lints,30,-5.309540649418189,-5.129541294438187,0.8766372490179964,-5.712138391353198,-4.437877466428545,-6.175227927636193,-6.0397608278866635,-8.282487596351977,-2.4810343616934105,-6.175227927636193,-8.051683452582475,-2.5627890449323787,-5.990835841550735,-5.990835841550735,986.0,0.493,337.0,0.2052388888888889,0.2052388888888889,0.16274444444444444,0.04249444444444444,0.33890555555555557,0.6610944444444444,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,30,-5.683074176876595,-5.59597219574496,0.8283371690667145,-6.086815364567727,-5.044717543418029,-6.991246902343756,-6.99458447075854,-8.321120151256673,-1.2578649764268126,-6.991246902343756,-8.14760707782768,-1.2873626120813164,-7.636139421707816,-7.636139421707816,1074.5,0.53725,380.5,0.2228277777777778,0.2228277777777778,0.17723333333333333,0.04559444444444445,0.3847111111111111,0.6152888888888889,1.0,0.995
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_linucb,1,-2.245920323846331,-2.245920323846331,,-2.245920323846331,-2.245920323846331,-2.6842314993031215,-2.6842314993031215,-3.5578790267370946,-0.9309867974759597,-2.6842314993031215,-6.311490786781359,-1.4811571170373794,-4.588657971822374,-4.588657971822374,1047.0,0.5235,261.0,0.16283333333333336,0.16283333333333336,0.12783333333333333,0.035,0.25216666666666665,0.7478333333333333,1.0,0.995
72,z72_a0p5_corr_pruned_top10,sw_linucb,1,-3.6405071239195532,-3.6405071239195532,,-3.6405071239195532,-3.6405071239195532,-3.934777626989058,-3.934777626989058,-6.554301284864117,-2.757695614711038,-3.934777626989058,-8.500568488355498,-3.9281911915790557,-4.621847788325328,-4.759332996315624,1021.0,0.5105,295.0,0.19033333333333333,0.19033333333333333,0.15,0.04033333333333333,0.29216666666666663,0.7078333333333333,1.0,0.995
48,z48_a0p5_hybrid_corr5_bsstablehie5_top10,sw_linucb,1,-3.7043443854065927,-3.7043443854065927,,-3.7043443854065927,-3.7043443854065927,-5.170910723746188,-5.170910723746188,-4.5308558772808745,0.6953546296121956,-5.170910723746188,-6.484542732185394,0.17402607077281473,-6.647001287792853,-6.647001287792853,960.0,0.48,173.0,0.09500000000000001,0.09500000000000001,0.07333333333333335,0.021666666666666667,0.1738333333333333,0.8261666666666666,1.0,0.995
48,z48_a0p5_corr_pruned_top10,sw_linucb,1,-4.454814762881322,-4.454814762881322,,-4.454814762881322,-4.454814762881322,-5.385888957400009,-5.385888957400009,-6.979976519168541,-1.6615921793252626,-5.385888957400009,-5.716645050373669,-2.182828896801259,-6.214613453877893,-6.214613453877893,1089.0,0.5445,298.0,0.17616666666666667,0.17616666666666667,0.13749999999999998,0.038666666666666676,0.30166666666666664,0.6983333333333334,1.0,0.995
