z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,discounted_lints,166,BTCUSDT,-4.9650301419733704,-1.2199305361390023,-3.791351460027592,-3.791351460027592,2000,1265,0.6325,352,176,176,0.151,0.115,0.036,0.151,0.115,0.036,0.352,0.648,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,166,ETHUSDT,-11.804401067164505,-4.941514482774389,-7.219646459806562,-7.219646459806562,2000,1087,0.5435,423,212,211,0.2455,0.191,0.0545,0.2455,0.191,0.0545,0.4225,0.5775,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,166,SOLUSDT,-6.565744777331939,2.0342124375417825,-8.428503547413591,-8.428503547413591,2000,1118,0.559,367,184,183,0.171,0.135,0.036,0.171,0.135,0.036,0.3665,0.6335,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,266,BTCUSDT,-8.311079940093858,-3.028963471335533,-5.44710736096643,-5.44710736096643,2000,1181,0.5905,371,186,185,0.17,0.13,0.04,0.17,0.13,0.04,0.3715,0.6285,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,266,ETHUSDT,-8.79580446301851,-3.2376448597268515,-5.744134271260948,-5.744134271260948,2000,1123,0.5615,414,207,207,0.2395,0.187,0.0525,0.2395,0.187,0.0525,0.414,0.586,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,266,SOLUSDT,-11.349886992663727,-1.921444185258736,-9.613154199796947,-9.613154199796947,2000,1106,0.553,369,185,184,0.183,0.1445,0.0385,0.183,0.1445,0.0385,0.3685,0.6315,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,366,BTCUSDT,-2.7456803481098913,-2.5708452903429047,-0.17944839846758542,-2.5708452903429047,2000,1191,0.5955,356,178,178,0.143,0.108,0.035,0.143,0.108,0.035,0.356,0.644,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,366,ETHUSDT,-7.89586783528009,-1.4640678922500983,-6.527364998178287,-6.527364998178287,2000,1122,0.561,398,199,199,0.223,0.177,0.046,0.223,0.177,0.046,0.398,0.602,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,366,SOLUSDT,-7.232140013013377,1.4331051828418095,-8.542817633587529,-8.542817633587529,2000,1103,0.5515,358,179,179,0.1885,0.149,0.0395,0.1885,0.149,0.0395,0.358,0.642,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,466,BTCUSDT,-7.444514269690483,-1.3204782599763099,-6.205984688341182,-6.205984688341182,2000,1191,0.5955,368,184,184,0.175,0.1375,0.0375,0.175,0.1375,0.0375,0.368,0.632,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,466,ETHUSDT,-11.628713224351017,-4.3415390452853035,-7.617908657881822,-7.617908657881822,2000,1147,0.5735,395,198,197,0.2195,0.1725,0.047,0.2195,0.1725,0.047,0.3945,0.6055,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,466,SOLUSDT,-8.899553895506674,-0.8974950013590055,-8.074527373710083,-8.074527373710083,2000,1162,0.581,345,173,172,0.1705,0.1345,0.036,0.1705,0.1345,0.036,0.3455,0.6545,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,566,BTCUSDT,-7.484659644361136,-2.6699952618138845,-4.946742163938556,-4.946742163938556,2000,1169,0.5845,355,178,177,0.1615,0.1195,0.042,0.1615,0.1195,0.042,0.3555,0.6445,1.0,0.995
