feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
ADX_30_scaled,33984,15,0.013476930320150626,0.5183027306967984,0.504836732518139,7.693701294730065e-05,0.013465998178659455,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,1.0,0,entry
RSI_72_bounded,33984,15,0.01041666666666663,0.5152424670433144,0.504831125811412,8.329779825440156e-05,0.01041134123190246,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,2.0,0,entry
RSI_30_bounded,33984,15,0.00965160075329563,0.5144774011299434,0.5048319106790848,9.88669824875219e-05,0.009645490450858607,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,3.0,0,entry
ADX_72_scaled,33984,15,0.009180790960451879,0.5140065913370997,0.5048307067820722,5.558648492418357e-05,0.009175884555027491,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,4.0,0,entry
RSI_14_bounded,33984,15,0.009063088512241024,0.5138888888888888,0.5049008314925568,0.00026515858429962424,0.008988057396332017,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,5.0,0,entry
ema_spread_9_21_z,33984,15,0.008886534839924742,0.5137123352165726,0.5049320414999382,0.0002783047415872962,0.008780293716634358,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,6.0,0,entry
ema_slope_21_z,33984,15,0.00841572504708099,0.5132415254237288,0.5048706302955758,0.0002277067070281126,0.008370895128153033,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,7.0,0,entry
volatility_168_sqrt_z,33984,15,0.00818032015065917,0.513006120527307,0.5048365539362755,0.0001204284072553633,0.008169566591031518,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,8.0,0,entry
ema_slope_50_z,33984,15,0.00794491525423724,0.512770715630885,0.5049622665215756,0.0003163546839584392,0.0078084491093094455,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,9.0,0,entry
volatility_72_sqrt_z,33984,15,0.007238700564971667,0.5120645009416195,0.5048293679710577,7.685496079612425e-05,0.007235132970561775,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,10.0,0,entry
ret_accel_6_24_z,33984,15,0.006591337099811745,0.5114171374764596,0.5049094763841456,0.00027357893146186485,0.006507661092313932,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,11.0,0,entry
ema_spread_100_200_z,33984,15,0.006414783427495352,0.5112405838041432,0.50482475206603,9.52270217050713e-05,0.00641583173811322,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,12.0,0,entry
ret_accel_24_72_z,33984,15,0.005532015065913387,0.5103578154425612,0.5048842338949028,0.00022491926867111128,0.005473581547658424,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,13.0,0,entry
ema_spread_21_50_z,33984,15,0.0054143126177024214,0.5102401129943502,0.5048690140102333,0.00014372743641632464,0.005371098984116918,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,14.0,0,entry
vol_expansion_168_log1p_z,33984,15,0.004590395480225995,0.5094161958568738,0.5048505746400335,0.00012588572255371866,0.004565621216840343,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,15.0,0,entry
dist_to_high_72_sqrt_z,33984,15,0.004531544256120568,0.5093573446327684,0.5048650113394841,0.0002804420820193126,0.004492333293284245,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,16.0,0,entry
range_sqrt_z,33984,15,0.004354990583804064,0.5091807909604519,0.5048618644701703,9.430432500261507e-05,0.004318926490281538,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,17.0,0,entry
dist_ema_9_z,33984,15,0.004237288135593098,0.5090630885122409,0.5047966264917723,9.190445711989376e-05,0.004266462020468653,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,18.0,0,entry
bb_pos_20_norm,33984,15,0.004296139359698636,0.5091219397363465,0.5048874995732483,0.00028242619966035884,0.004234440163098152,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,19.0,0,entry
