feature,n_z_windows_seen,z_windows_seen,n_z_windows_in_main_top_k,best_union_rank_any_z,median_union_rank,mean_union_rank,max_best_hie_norm,mean_best_hie_norm,min_best_p_value,simple_hie_global_rank,main_top_k
volatility_168_sqrt_z,3,24|48|72,3,1,5.0,6.0,0.014219418233688996,0.01163789440898629,0.0,1,14
ADX_30_scaled,3,24|48|72,3,1,3.0,2.6666666666666665,0.013465998178659455,0.0132075422087888,0.0,2,14
ADX_72_scaled,3,24|48|72,3,2,2.0,2.3333333333333335,0.010296990554094831,0.00988725595856029,0.0,3,14
RSI_72_bounded,3,24|48|72,3,3,9.0,8.666666666666666,0.010569134950523362,0.01027409684972321,0.0,4,14
ema_spread_50_100_z,3,24|48|72,3,6,9.0,9.333333333333334,0.01121052829167779,0.006899273355806886,0.0,5,14
volatility_72_sqrt_z,3,24|48|72,3,7,7.0,8.333333333333334,0.011961320252914964,0.009774724313372896,0.0,6,14
ema_spread_100_200_z,3,24|48|72,2,1,2.0,7.333333333333333,0.015570769174840238,0.011248672208275745,0.0,7,14
bb_width_20_sqrt_z,3,24|48|72,2,4,11.0,15.666666666666666,0.008207155084143936,0.005689120536282473,0.0,8,14
volatility_24_sqrt_z,3,24|48|72,2,4,10.0,18.0,0.0061757296684267216,0.0053121775562835665,0.0,9,14
RSI_14_bounded,3,24|48|72,2,5,8.0,9.666666666666666,0.009102668818372073,0.008984757396919027,0.0,10,14
RSI_30_bounded,3,24|48|72,2,6,14.0,13.333333333333334,0.009645490450858607,0.009058627900332886,0.0,11,14
ret_accel_72_168_z,3,24|48|72,2,8,12.0,21.0,0.007145293433055533,0.0050499125785318415,0.0,12,14
dist_to_low_24_sqrt_z,3,24|48|72,1,5,18.0,20.666666666666668,0.01199743996219882,0.007074400723811158,0.0,13,14
NATR_14_z,3,24|48|72,1,6,16.0,13.0,0.00761844182225252,0.005889894557611353,0.0,14,14
dist_to_high_168_sqrt_z,3,24|48|72,1,7,27.0,20.333333333333332,0.009862741479969905,0.005791876612326015,0.0,15,14
ema_spread_9_21_z,3,24|48|72,1,8,25.0,26.333333333333332,0.008780293716634358,0.005604752810770812,0.0,16,14
ema_spread_21_50_z,3,24|48|72,1,9,22.0,20.333333333333332,0.010389418028200814,0.0061425567871307525,0.0,17,14
ema_slope_21_z,3,24|48|72,1,10,29.0,28.0,0.008370895128153033,0.0056799406395716305,0.0,18,14
ema_slope_200_z,3,24|48|72,1,10,17.0,21.666666666666668,0.007253014593953333,0.0049048711464047545,0.0,19,14
ret_accel_24_72_z,3,24|48|72,1,11,20.0,17.333333333333332,0.00923484248708517,0.007015422120575006,0.0,20,14
dist_ema_200_z,3,24|48|72,1,12,23.0,21.333333333333332,0.006261458669769238,0.005130497738130568,0.0,21,14
log_ret_6_z,3,24|48|72,1,13,38.0,34.333333333333336,0.006168829748835203,0.002731340681687622,0.0,22,14
price_pos_in_range_72_norm,3,24|48|72,1,13,19.0,20.0,0.004264015878545135,0.003933160616484244,0.0,23,14
ema_slope_50_z,3,24|48|72,1,14,43.0,34.333333333333336,0.0078084491093094455,0.004097059886358445,0.0,24,14
log_ret_24_z,3,24|48|72,0,15,49.0,38.666666666666664,0.007342163534193702,0.003275810745131724,0.0,25,14
dist_to_low_72_sqrt_z,3,24|48|72,0,15,40.0,36.333333333333336,0.006164867602037938,0.002546638214270258,0.0,26,14
price_pos_in_range_168_norm,3,24|48|72,0,15,26.0,25.666666666666668,0.0037208155259782494,0.003501404160023943,0.0,27,14
dist_ema_50_z,3,24|48|72,0,16,43.0,36.666666666666664,0.007025278628847387,0.0037091774978788386,0.0,28,14
ret_accel_6_24_z,3,24|48|72,0,17,20.0,20.333333333333332,0.006507661092313932,0.005775351021687729,0.0,29,14
dist_ema_9_z,3,24|48|72,0,18,28.0,29.333333333333332,0.008833172587075944,0.005307391284661067,0.0,30,14
ADX_14_scaled,3,24|48|72,0,18,31.0,28.666666666666668,0.0036204114763610518,0.0034429900280990764,0.0,31,14
ema_slope_100_z,3,24|48|72,0,19,29.0,29.666666666666668,0.005673341501345075,0.0045016097339802275,0.0,32,14
dist_ema_100_z,3,24|48|72,0,21,27.0,27.666666666666668,0.005939988043041633,0.004977573955075883,0.0,33,14
log_ret_168_z,3,24|48|72,0,21,44.0,39.0,0.002640143226982694,0.0017001889616441816,0.0,34,14
vol_expansion_168_log1p_z,3,24|48|72,0,22,24.0,26.666666666666668,0.0060202944976806005,0.004951786707723486,0.0,35,14
range_sqrt_z,3,24|48|72,0,22,26.0,27.666666666666668,0.0058743607401933184,0.004958368018070998,0.0,36,14
vol_expansion_24_log1p_z,3,24|48|72,0,23,40.0,38.0,0.00574981269617747,0.002315614323924242,0.0,37,14
bb_pos_20_norm,3,24|48|72,0,23,24.0,27.0,0.00450409286056741,0.004364161705319984,0.0,38,14
MOM_pct_14_z,3,24|48|72,0,25,30.0,30.333333333333332,0.00583775265487263,0.003720207919728121,0.0,39,14
dist_to_high_72_sqrt_z,3,24|48|72,0,25,33.0,37.0,0.004492333293284245,0.0023987379064032512,0.0,40,14
dist_to_low_168_sqrt_z,3,24|48|72,0,26,42.0,40.666666666666664,0.004220242301755384,0.0021549926613702586,0.0,41,14
log_ret_72_z,3,24|48|72,0,28,47.0,41.333333333333336,0.005246389514846683,0.0021078192519822236,0.0,42,14
vol_ratio_168_log1p_z,3,24|48|72,0,30,44.0,41.333333333333336,0.0028816340967777743,0.002356775511271114,0.0,43,14
