z_window,top_k,rank_within_top_k,feature
24,7,1,ADX_30_scaled
24,7,2,ADX_72_scaled
24,7,3,RSI_72_bounded
24,7,4,volatility_24_sqrt_z
24,7,5,RSI_14_bounded
24,7,6,RSI_30_bounded
24,7,7,volatility_72_sqrt_z
24,14,1,ADX_30_scaled
24,14,2,ADX_72_scaled
24,14,3,RSI_72_bounded
24,14,4,volatility_24_sqrt_z
24,14,5,RSI_14_bounded
24,14,6,RSI_30_bounded
24,14,7,volatility_72_sqrt_z
24,14,8,ema_spread_9_21_z
24,14,9,ema_spread_50_100_z
24,14,10,ema_slope_21_z
24,14,11,bb_width_20_sqrt_z
24,14,12,volatility_168_sqrt_z
24,14,13,price_pos_in_range_72_norm
24,14,14,ema_slope_50_z
24,20,1,ADX_30_scaled
24,20,2,ADX_72_scaled
24,20,3,RSI_72_bounded
24,20,4,volatility_24_sqrt_z
24,20,5,RSI_14_bounded
24,20,6,RSI_30_bounded
24,20,7,volatility_72_sqrt_z
24,20,8,ema_spread_9_21_z
24,20,9,ema_spread_50_100_z
24,20,10,ema_slope_21_z
24,20,11,bb_width_20_sqrt_z
24,20,12,volatility_168_sqrt_z
24,20,13,price_pos_in_range_72_norm
24,20,14,ema_slope_50_z
24,20,15,price_pos_in_range_168_norm
24,20,16,NATR_14_z
24,20,17,ret_accel_6_24_z
24,20,18,ADX_14_scaled
24,20,19,ema_spread_100_200_z
24,20,20,ret_accel_24_72_z
24,26,1,ADX_30_scaled
24,26,2,ADX_72_scaled
24,26,3,RSI_72_bounded
24,26,4,volatility_24_sqrt_z
24,26,5,RSI_14_bounded
24,26,6,RSI_30_bounded
24,26,7,volatility_72_sqrt_z
24,26,8,ema_spread_9_21_z
24,26,9,ema_spread_50_100_z
24,26,10,ema_slope_21_z
24,26,11,bb_width_20_sqrt_z
24,26,12,volatility_168_sqrt_z
24,26,13,price_pos_in_range_72_norm
24,26,14,ema_slope_50_z
24,26,15,price_pos_in_range_168_norm
24,26,16,NATR_14_z
24,26,17,ret_accel_6_24_z
24,26,18,ADX_14_scaled
24,26,19,ema_spread_100_200_z
24,26,20,ret_accel_24_72_z
24,26,21,log_ret_168_z
24,26,22,ema_spread_21_50_z
24,26,23,bb_pos_20_norm
24,26,24,vol_expansion_168_log1p_z
24,26,25,dist_to_high_72_sqrt_z
24,26,26,range_sqrt_z
48,7,1,ema_spread_100_200_z
48,7,2,ADX_72_scaled
48,7,3,ADX_30_scaled
48,7,4,bb_width_20_sqrt_z
48,7,5,volatility_168_sqrt_z
48,7,6,NATR_14_z
48,7,7,volatility_72_sqrt_z
48,14,1,ema_spread_100_200_z
48,14,2,ADX_72_scaled
48,14,3,ADX_30_scaled
48,14,4,bb_width_20_sqrt_z
48,14,5,volatility_168_sqrt_z
48,14,6,NATR_14_z
48,14,7,volatility_72_sqrt_z
48,14,8,RSI_14_bounded
48,14,9,RSI_72_bounded
48,14,10,volatility_24_sqrt_z
48,14,11,ret_accel_24_72_z
48,14,12,ret_accel_72_168_z
48,14,13,ema_spread_50_100_z
48,14,14,RSI_30_bounded
48,20,1,ema_spread_100_200_z
48,20,2,ADX_72_scaled
48,20,3,ADX_30_scaled
48,20,4,bb_width_20_sqrt_z
48,20,5,volatility_168_sqrt_z
48,20,6,NATR_14_z
48,20,7,volatility_72_sqrt_z
48,20,8,RSI_14_bounded
48,20,9,RSI_72_bounded
48,20,10,volatility_24_sqrt_z
48,20,11,ret_accel_24_72_z
48,20,12,ret_accel_72_168_z
48,20,13,ema_spread_50_100_z
48,20,14,RSI_30_bounded
48,20,15,log_ret_24_z
48,20,16,dist_ema_50_z
48,20,17,ema_slope_200_z
48,20,18,dist_to_low_24_sqrt_z
48,20,19,price_pos_in_range_72_norm
48,20,20,ret_accel_6_24_z
48,26,1,ema_spread_100_200_z
48,26,2,ADX_72_scaled
48,26,3,ADX_30_scaled
48,26,4,bb_width_20_sqrt_z
48,26,5,volatility_168_sqrt_z
48,26,6,NATR_14_z
48,26,7,volatility_72_sqrt_z
48,26,8,RSI_14_bounded
48,26,9,RSI_72_bounded
48,26,10,volatility_24_sqrt_z
48,26,11,ret_accel_24_72_z
48,26,12,ret_accel_72_168_z
48,26,13,ema_spread_50_100_z
48,26,14,RSI_30_bounded
48,26,15,log_ret_24_z
48,26,16,dist_ema_50_z
48,26,17,ema_slope_200_z
48,26,18,dist_to_low_24_sqrt_z
48,26,19,price_pos_in_range_72_norm
48,26,20,ret_accel_6_24_z
48,26,21,dist_ema_100_z
48,26,22,range_sqrt_z
48,26,23,dist_ema_200_z
48,26,24,bb_pos_20_norm
48,26,25,MOM_pct_14_z
48,26,26,price_pos_in_range_168_norm
72,7,1,volatility_168_sqrt_z
72,7,2,ema_spread_100_200_z
72,7,3,ADX_72_scaled
72,7,4,ADX_30_scaled
72,7,5,dist_to_low_24_sqrt_z
72,7,6,ema_spread_50_100_z
72,7,7,dist_to_high_168_sqrt_z
72,14,1,volatility_168_sqrt_z
72,14,2,ema_spread_100_200_z
72,14,3,ADX_72_scaled
72,14,4,ADX_30_scaled
72,14,5,dist_to_low_24_sqrt_z
72,14,6,ema_spread_50_100_z
72,14,7,dist_to_high_168_sqrt_z
72,14,8,ret_accel_72_168_z
72,14,9,ema_spread_21_50_z
72,14,10,ema_slope_200_z
72,14,11,volatility_72_sqrt_z
72,14,12,dist_ema_200_z
72,14,13,log_ret_6_z
72,14,14,RSI_72_bounded
72,20,1,volatility_168_sqrt_z
72,20,2,ema_spread_100_200_z
72,20,3,ADX_72_scaled
72,20,4,ADX_30_scaled
72,20,5,dist_to_low_24_sqrt_z
72,20,6,ema_spread_50_100_z
72,20,7,dist_to_high_168_sqrt_z
72,20,8,ret_accel_72_168_z
72,20,9,ema_spread_21_50_z
72,20,10,ema_slope_200_z
72,20,11,volatility_72_sqrt_z
72,20,12,dist_ema_200_z
72,20,13,log_ret_6_z
72,20,14,RSI_72_bounded
72,20,15,dist_to_low_72_sqrt_z
72,20,16,RSI_14_bounded
72,20,17,NATR_14_z
72,20,18,dist_ema_9_z
72,20,19,ema_slope_100_z
72,20,20,RSI_30_bounded
72,26,1,volatility_168_sqrt_z
72,26,2,ema_spread_100_200_z
72,26,3,ADX_72_scaled
72,26,4,ADX_30_scaled
72,26,5,dist_to_low_24_sqrt_z
72,26,6,ema_spread_50_100_z
72,26,7,dist_to_high_168_sqrt_z
72,26,8,ret_accel_72_168_z
72,26,9,ema_spread_21_50_z
72,26,10,ema_slope_200_z
72,26,11,volatility_72_sqrt_z
72,26,12,dist_ema_200_z
72,26,13,log_ret_6_z
72,26,14,RSI_72_bounded
72,26,15,dist_to_low_72_sqrt_z
72,26,16,RSI_14_bounded
72,26,17,NATR_14_z
72,26,18,dist_ema_9_z
72,26,19,ema_slope_100_z
72,26,20,RSI_30_bounded
72,26,21,ret_accel_24_72_z
72,26,22,vol_expansion_168_log1p_z
72,26,23,vol_expansion_24_log1p_z
72,26,24,ret_accel_6_24_z
72,26,25,ema_spread_9_21_z
72,26,26,dist_to_low_168_sqrt_z
