feature,entry_rank,entry_hie_norm,entry_p_value,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_rank,exit_hie_norm,exit_p_value,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,in_top_7,in_top_14,in_top_20,in_top_26
volatility_168_sqrt_z,1.0,0.014219418233688996,0.0,33696,15,2246,1123,ok,6.0,0.006987641689229607,0.0,33696,15,2246,1123,ok,1.0,3.5,0.014219418233688996,0.0,2,entry,1,True,True,True,True
ema_spread_100_200_z,4.0,0.011759415711873777,0.0,33696,15,2246,1123,ok,1.0,0.008824782555188093,0.0,33696,15,2246,1123,ok,1.0,2.5,0.011759415711873777,0.0,2,exit,2,True,True,True,True
ADX_72_scaled,7.0,0.010188892766558544,0.0,33696,15,2246,1123,ok,2.0,0.008273697457016338,0.0,33696,15,2246,1123,ok,2.0,4.5,0.010188892766558544,0.0,2,exit,3,True,True,True,True
ADX_30_scaled,2.0,0.013150770896072861,0.0,33696,15,2246,1123,ok,16.0,0.004876593192034484,0.0,33696,15,2246,1123,ok,2.0,9.0,0.013150770896072861,0.0,1,entry,4,True,True,True,True
dist_to_low_24_sqrt_z,3.0,0.01199743996219882,0.0,33696,15,2246,1123,ok,13.0,0.005399348717882335,0.0,33696,15,2246,1123,ok,3.0,8.0,0.01199743996219882,0.0,2,entry,5,True,True,True,True
ema_spread_50_100_z,5.0,0.01121052829167779,0.0,33696,15,2246,1123,ok,3.0,0.0076785829351633805,0.0,33696,15,2246,1123,ok,3.0,4.0,0.01121052829167779,0.0,2,exit,6,True,True,True,True
dist_to_high_168_sqrt_z,9.0,0.009862741479969905,0.0,33696,15,2246,1123,ok,4.0,0.0075796556703866536,0.0,33696,15,2246,1123,ok,4.0,6.5,0.009862741479969905,0.0,2,exit,7,True,True,True,True
ret_accel_72_168_z,38.0,0.002615251103822769,0.0,33696,15,2246,1123,ok,5.0,0.007145293433055533,0.0,33696,15,2246,1123,ok,5.0,21.5,0.007145293433055533,0.0,1,exit,8,False,True,True,True
ema_spread_21_50_z,6.0,0.010389418028200814,0.0,33696,15,2246,1123,ok,21.0,0.0037326972159140714,0.0,33696,15,2246,1123,ok,6.0,13.5,0.010389418028200814,0.0,1,entry,9,False,True,True,True
ema_slope_200_z,14.0,0.007253014593953333,0.0,33696,15,2246,1123,ok,7.0,0.006733989232560966,0.0,33696,15,2246,1123,ok,7.0,10.5,0.007253014593953333,0.0,2,exit,10,False,True,True,True
