run_label,bandit_name,set_name,seed,family,strategy,z_window,alpha_out,n_market_features,n_state_features,n_total_features,feature_list,update_on_validation,confidence_threshold,min_hold_bars,cooldown_bars,position_size,phase,symbol,raw_action,decision_regime,n,reward_mean,reward_std,reward_abs_p50,reward_abs_p75,reward_abs_p90,reward_abs_p95,reward_p05,reward_p95,positive_reward_ratio,future_log_ret_std,cost_applied_mean
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,BTCUSDT,0,exit,1222,-0.0027277976001243826,0.01903600416507867,0.008807167534108953,0.018876752158225773,0.03113475561269609,0.041544096304474795,-0.03299800425471609,0.026967938006071557,0.3903436988543372,0.03807200833015734,0.002503130218118477
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,BTCUSDT,0,stay_flat,1770,0.0005941440048591711,0.018893147749017597,0.00791458820048481,0.016474147974454553,0.029925357046715933,0.041432110040191004,-0.028574924284373294,0.031727592217051154,0.4977401129943503,0.037786295498035194,0.0
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,BTCUSDT,1,entry,810,-0.001459373479423651,0.03906501177423391,0.017708438442064246,0.03725099727514708,0.056853508058070344,0.07941690375073131,-0.05540504192291401,0.05903125075239682,0.4567901234567901,0.03906501177423391,0.0025031302181184774
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,BTCUSDT,1,hold_long,1862,0.0008346916803272713,0.03364646029305951,0.015526354607594398,0.03128831389084804,0.0536516866943647,0.07145026249501535,-0.05215371137907274,0.05441352527248987,0.47690655209452204,0.03364646029305951,0.0
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,DOGEUSDT,0,exit,1235,-0.001125136926699392,0.02873785762373394,0.01273154495484446,0.026506994719326472,0.04488271144739142,0.0601039548269344,-0.04576188831064187,0.04405471532626337,0.47530364372469636,0.05747571524746788,0.002503130218118477
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,DOGEUSDT,0,stay_flat,1982,-0.0004200669670143498,0.030844005530718966,0.011675672046219715,0.024341923461915202,0.044246346085840896,0.05969299506078776,-0.045698359079541555,0.04207729680375657,0.5166498486377397,0.06168801106143793,0.0
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,DOGEUSDT,1,entry,775,-0.0073427219837830775,0.05767098635092787,0.025419094555201648,0.05056785220796632,0.08411677089491443,0.11905476502995312,-0.09484322020284572,0.07375219910222361,0.4270967741935484,0.05767098635092787,0.002503130218118477
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,DOGEUSDT,1,hold_long,1672,0.0001812354006942373,0.05915776955469692,0.026892194879822175,0.05686322349758272,0.09303854954321765,0.1239086735595177,-0.08872800771666178,0.09805314196430658,0.4700956937799043,0.05915776955469692,0.0
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,ETHUSDT,0,exit,1222,-0.0015629025773955247,0.02195790016891802,0.009934149829971053,0.02118614903318187,0.036526296435817944,0.04804930032029954,-0.036985045165363654,0.03577565249331375,0.4369885433715221,0.04391580033783604,0.002503130218118477
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,ETHUSDT,0,stay_flat,1836,-0.0003533873138568005,0.025284804553507397,0.011770559733498692,0.023452578607428706,0.0390753976991227,0.05396900886983992,-0.03808386557159919,0.03920360034822785,0.47875816993464054,0.050569609107014794,0.0
