run_label,bandit_name,set_name,seed,family,strategy,z_window,alpha_out,n_market_features,n_state_features,n_total_features,feature_list,update_on_validation,confidence_threshold,min_hold_bars,cooldown_bars,position_size,phase,symbol,n,abs_edge_mean,abs_edge_p10,abs_edge_p25,abs_edge_p50,abs_edge_p75,abs_edge_p90,threshold_applied_ratio,constraint_applied_ratio,raw_action_1_ratio,executed_action_1_ratio,uncertainty_0_mean,uncertainty_1_mean,score_0_std,score_1_std,mean_0_std,mean_1_std
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,BTCUSDT,5674,0.019761270795589318,0.002557956761913026,0.006512636666993007,0.014408365529178544,0.025791848394697843,0.04053221866265079,0.0927035600986958,0.1228410292562566,0.4716249559393726,0.5444131124427212,0.3091724676773792,0.33132222585404325,0.017675799489338624,0.021944469286107996,0.009740024489903347,0.015842252920503695
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,DOGEUSDT,5674,0.02468687994013474,0.0032476616502797513,0.008404002219550576,0.018224464246841557,0.03287573702299362,0.051928507568316885,0.0787804018329221,0.1316531547409235,0.43126542121959816,0.5123369756785336,0.29862784635469813,0.3371802967822668,0.020446847461826827,0.025146498063407456,0.015418637237837141,0.021312489230841267
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,ETHUSDT,5674,0.02038894082064282,0.0023825441682791743,0.0063519159500638085,0.01430181664141087,0.02644035891181532,0.04278041692033024,0.09146986253084244,0.11949242157208319,0.45981670778991895,0.5318998942544941,0.3167305376941635,0.32117413973711256,0.01684736600991144,0.02189344159948719,0.011127334265688382,0.017485045558745037
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,SOLUSDT,5674,0.028877837197394503,0.004390537045396309,0.010474536482158745,0.02270969859540483,0.0392499806092547,0.059436601159752744,0.05216778286922806,0.15456468100105744,0.39020091646105043,0.48554811420514626,0.28939535433675073,0.375638198277533,0.018114108129785818,0.029781567349406072,0.014334715033476888,0.026917753408189422
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,train,XRPUSDT,5674,0.022564558320611786,0.002815572687134022,0.007615328612159009,0.01632883154330663,0.02979193379429526,0.04742829974426201,0.08001409940077547,0.1658442016214311,0.3970743743390906,0.49277405710257316,0.2881656173264025,0.3495061145946733,0.015896930418353602,0.02368150045088885,0.011400777171113893,0.01988870137272028
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,val,BTCUSDT,2000,0.015426509598141094,0.002077011313214494,0.005653545390919876,0.0124947722424127,0.02197960791245218,0.03256517269823078,0.1055,0.0755,0.4775,0.5335,0.2786695573614918,0.27256719225341186,0.011100199908807755,0.014318218193998427,0.007007327648105613,0.01138295831885473
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,val,DOGEUSDT,2000,0.02649370445655252,0.0044965924800729785,0.010425718382277589,0.020973102759751016,0.03734078801253121,0.05546396718868062,0.051,0.124,0.373,0.449,0.25594026668732267,0.30282500559364417,0.014321856508428044,0.026197839664856906,0.01188275895082964,0.024367630214085462
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,val,ETHUSDT,2000,0.019742391567546456,0.0028868504520921496,0.007804564088224708,0.015378837213590273,0.02784537984847632,0.04186237757514058,0.0825,0.1855,0.398,0.509,0.25798994035111045,0.29124752031053197,0.011771919674540157,0.020373721293274284,0.008551918251590624,0.017984798369195705
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,val,SOLUSDT,2000,0.018953860501899848,0.002769631665589974,0.0072402987359740075,0.015465925316508535,0.026818190426279736,0.039892115489733856,0.079,0.1135,0.4925,0.574,0.28821826166036957,0.2639105223038597,0.01586661964221476,0.017598460830291426,0.013058010479858866,0.015816060016631238
defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,val,XRPUSDT,2000,0.024134569557988768,0.003434000683871689,0.008874912972920505,0.01854367808378194,0.0330626973606558,0.05259942293467715,0.065,0.0905,0.506,0.5545,0.2876764057886595,0.2738506370724633,0.014640140185752173,0.024506948180826743,0.011732906843120425,0.022990730953503326
