symbol,mode,start_value,end_value,return_pct,max_drawdown_pct,drawdown_abs,raw_action_1_ratio,executed_action_1_ratio,executed_action_1,raw_action_1,n_decisions,threshold_applied_ratio,constraint_applied_ratio,abs_edge_mean,abs_edge_p25,abs_edge_p50,abs_edge_p75,abs_edge_p90,uncertainty_0_mean,uncertainty_1_mean,score_0_std,score_1_std,n_reward_updates,mean_reward_update,std_reward_update,reward_abs_p50,reward_abs_p90,reward_abs_p95,reward_p05,reward_p95,trades,win_rate,mean_trade_pnl,median_trade_pnl,total_trade_pnl,profit_factor,avg_holding,run_label,bandit_name,set_name,seed,family,strategy,z_window,alpha_out,n_market_features,n_state_features,n_total_features,feature_list,update_on_validation,confidence_threshold,min_hold_bars,cooldown_bars,position_size,bandit_param_bandit_type,bandit_param_discount_factor,bandit_param_lambda_prior,bandit_param_noise_std,bandit_param_reward_clip,bandit_param_seed,bandit_param_ucb_alpha,bandit_param_window_size
BTCUSDT,train,99.9500625,84.94828952663508,-15.009268226685624,-17.67227364448283,17.67227364448283,0.4716249559393726,0.5444131124427212,3089,2676,5674,0.0927035600986958,0.1228410292562566,0.019761270795589318,0.006512636666993007,0.014408365529178544,0.025791848394697843,0.04053221866265079,0.3091724676773792,0.33132222585404325,0.017675799489338624,0.021944469286107996,5664,-0.00033715225782398315,0.027960894673697636,0.011246348678910023,0.043985211626471656,0.05804199927502931,-0.04320063963407817,0.044592864434357414,406,0.35467980295566504,-0.004533487932318097,-0.004344016472034376,-1.8405961005211475,0.6550867722878769,1 days 06:26:00.591000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
BTCUSDT,val,100.0,97.4479756844309,-2.5520243155691014,-4.214332005809562,4.214332005809562,0.4775,0.5335,1067,955,2000,0.1055,0.0755,0.015426509598141094,0.005653545390919876,0.0124947722424127,0.02197960791245218,0.03256517269823078,0.2786695573614918,0.27256719225341186,0.011100199908807755,0.014318218193998427,1990,-0.0014723559183262983,0.02546219061876668,0.013255280011883353,0.04048744246358889,0.05371763448318403,-0.038195049023798874,0.04385287892500246,121,0.45454545454545453,-0.0024410449475989757,-0.004251718364877715,-0.29536643865947604,0.801666219970156,1 days 11:12:23.801000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
DOGEUSDT,train,99.9500625,82.84953263120086,-17.109073712484314,-21.056366096884695,21.056366096884695,0.43126542121959816,0.5123369756785336,2907,2447,5674,0.0787804018329221,0.1316531547409235,0.02468687994013474,0.008404002219550576,0.018224464246841557,0.03287573702299362,0.051928507568316885,0.29862784635469813,0.3371802967822668,0.020446847461826827,0.025146498063407456,5664,-0.001343520618038014,0.04478736262003806,0.01672415602126813,0.06668177382226477,0.09327665417188907,-0.06743946635580915,0.06580058216867656,408,0.3872549019607843,-0.005729153835592803,-0.0065158188348803416,-2.3374947649218636,0.6918326675962423,1 days 04:30:00,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
DOGEUSDT,val,100.0,101.76262748770216,1.7626274877021508,-5.497869741111838,5.497869741111838,0.373,0.449,898,746,2000,0.051,0.124,0.02649370445655252,0.010425718382277589,0.020973102759751016,0.03734078801253121,0.05546396718868062,0.25594026668732267,0.30282500559364417,0.014321856508428044,0.026197839664856906,1990,0.00023488484774448196,0.05400839655550727,0.022204501829702655,0.07803960846928303,0.11275127234355432,-0.07914935263592818,0.07478358154901699,123,0.42276422764227645,0.0006687585945280039,-0.004893489080041852,0.08225730712694447,1.032524440478953,1 days 05:00:29.268000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
ETHUSDT,train,99.9500625,79.22790929299444,-20.732506502440216,-22.849032241170352,22.849032241170352,0.45981670778991895,0.5318998942544941,3018,2609,5674,0.09146986253084244,0.11949242157208319,0.02038894082064282,0.0063519159500638085,0.01430181664141087,0.02644035891181532,0.04278041692033024,0.3167305376941635,0.32117413973711256,0.01684736600991144,0.02189344159948719,5664,-0.0010381925222789773,0.034078078022614575,0.014359454903385839,0.05309164626635393,0.0718337241109153,-0.053582884988762854,0.0520206628957969,424,0.41037735849056606,-0.006137043291047402,-0.004109428071101377,-2.6021063554040986,0.6065075433340551,1 days 04:28:18.113000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
ETHUSDT,val,100.0,94.74416445738957,-5.255835542610432,-7.337527938018152,7.337527938018152,0.398,0.509,1018,796,2000,0.0825,0.1855,0.019742391567546456,0.007804564088224708,0.015378837213590273,0.02784537984847632,0.04186237757514058,0.25798994035111045,0.29124752031053197,0.011771919674540157,0.020373721293274284,1990,-0.0026745339975244955,0.036610367273908546,0.015638358524035473,0.05459704961124404,0.07500715240838636,-0.05764848120695986,0.05153145411422389,173,0.4046242774566474,-0.0037350981841932423,-0.0047537832530220306,-0.6461719858654309,0.7546876853549134,0 days 23:16:59.653000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
SOLUSDT,train,100.0,90.36233005661396,-9.63766994338604,-20.12587391174925,20.12587391174925,0.39020091646105043,0.48554811420514626,2755,2214,5674,0.05216778286922806,0.15456468100105744,0.028877837197394503,0.010474536482158745,0.02270969859540483,0.0392499806092547,0.059436601159752744,0.28939535433675073,0.375638198277533,0.018114108129785818,0.029781567349406072,5664,-0.0002655014413480382,0.05351239514146727,0.023705816392532095,0.07719438761043727,0.1045961283800133,-0.07705858736988568,0.07737302999716772,403,0.4267990074441687,-0.004118014611198441,-0.007409530038036126,-1.6595598883129719,0.8113092566973052,1 days 03:17:07.295000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
SOLUSDT,val,99.9500625,84.21622547486112,-15.741698035595409,-17.938291934937133,17.938291934937133,0.4925,0.574,1148,985,2000,0.079,0.1135,0.018953860501899848,0.0072402987359740075,0.015465925316508535,0.026818190426279736,0.039892115489733856,0.28821826166036957,0.2639105223038597,0.01586661964221476,0.017598460830291426,1990,-0.005381078692556793,0.04418123693499211,0.02253882974269394,0.07263223496495146,0.0935136243120356,-0.0824444749410285,0.06450422873425692,152,0.39473684210526316,-0.012352285936922947,-0.009564438068531366,-1.8775474624122879,0.48695911678185694,1 days 06:09:28.421000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
XRPUSDT,train,100.0,81.46934432612542,-18.530655673874573,-18.802350716123918,18.802350716123918,0.3970743743390906,0.49277405710257316,2796,2253,5674,0.08001409940077547,0.1658442016214311,0.022564558320611786,0.007615328612159009,0.01632883154330663,0.02979193379429526,0.04742829974426201,0.2881656173264025,0.3495061145946733,0.015896930418353602,0.02368150045088885,5664,-0.0017027036583298935,0.0366526182046891,0.01403360268427719,0.04943690990760578,0.06882451409539632,-0.052834020276290486,0.0457467143252662,458,0.4366812227074236,-0.005098312164021351,-0.0024340587195470238,-2.3350269711217786,0.6405780171673237,1 days 00:25:09.170000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
XRPUSDT,val,99.9500625,113.3022373148103,13.358845888475845,-5.662075505109709,5.662075505109709,0.506,0.5545,1109,1012,2000,0.065,0.0905,0.024134569557988768,0.008874912972920505,0.01854367808378194,0.0330626973606558,0.05259942293467715,0.2876764057886595,0.2738506370724633,0.014640140185752173,0.024506948180826743,1990,0.0039928185257193565,0.06119442400378697,0.01929939743658319,0.08307836390624107,0.12732804545254883,-0.07469912179287977,0.09556545085562602,123,0.43902439024390244,0.005334606664580759,-0.0048827248475359,0.6561566197434333,1.2893965938860326,1 days 12:01:57.073000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,142,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
BTCUSDT,train,99.9500625,85.19334128854544,-14.764094030911245,-16.53326123303299,16.53326123303299,0.4867818117729997,0.5637997885089884,3199,2762,5674,0.08424391963341558,0.11543884384913641,0.019749621988409582,0.00665436061481377,0.014100710083109718,0.025862036586577965,0.041019348487673156,0.31236955404746697,0.32690794525245204,0.015252095236446982,0.021823647644702404,5664,-1.433978564307028e-06,0.028259264113741016,0.011693695137662472,0.044462411650915,0.05891424033082936,-0.04358562445617373,0.044930666164811395,402,0.35074626865671643,-0.004465605566129171,-0.005684285711393954,-1.795173437583927,0.6553889274264578,1 days 07:49:51.044000,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,143,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
BTCUSDT,val,100.0,100.13690921472039,0.1369092147203821,-2.9356422100767166,2.9356422100767166,0.4925,0.533,1066,985,2000,0.091,0.0825,0.01718198783125274,0.006354137062420978,0.013950406353540301,0.024262326118290753,0.036001683114353346,0.28608289369029605,0.27167307373423155,0.011669482396043904,0.015259680790475811,1990,-0.0012295915579740068,0.026504017813263718,0.012678238344357726,0.043429619560549824,0.05520323131795203,-0.04184758900034488,0.04454083356217787,120,0.39166666666666666,-0.0003533297989235513,-0.005305191483604001,-0.042399575870826156,0.9694797916749609,1 days 11:26:00,defaults_screening_alpha0p5_corr_vs_hybrid_ts20,discounted_lints,z24_a0p5_corr_pruned_top10,143,corr_pruned,corr_pruned,24,0.5,10,1,11,ret_accel_6_24_z|volatility_72_sqrt_z|vol_ratio_168_log1p_z|range_sqrt_z|MOM_pct_72_z|ret_accel_24_72_z|MOM_pct_30_z|ADX_14_scaled|NATR_14_z|volatility_168_sqrt_z,True,0.005,4,2,0.1,discounted_lints,0.9969230769230769,1.0,0.03,0.1,142,,
