feature,decision,reason,max_abs_corr_with_selected,most_correlated_selected_feature,z_window,set_type
ret_accel_6_24_z,selected,first_feature,,,24,corr_pruning_audit_top30
volatility_72_sqrt_z,selected,below_threshold,0.031382237867643166,ret_accel_6_24_z,24,corr_pruning_audit_top30
vol_ratio_168_log1p_z,selected,below_threshold,0.09068117970059808,volatility_72_sqrt_z,24,corr_pruning_audit_top30
vol_ratio_72_log1p_z,dropped,too_correlated,0.9858720689994795,vol_ratio_168_log1p_z,24,corr_pruning_audit_top30
range_sqrt_z,selected,below_threshold,0.7730660724124188,vol_ratio_168_log1p_z,24,corr_pruning_audit_top30
MOM_pct_72_z,selected,below_threshold,0.23477041932375226,ret_accel_6_24_z,24,corr_pruning_audit_top30
log_ret_72_z,dropped,too_correlated,0.9999327138193785,MOM_pct_72_z,24,corr_pruning_audit_top30
vol_expansion_168_log1p_z,dropped,too_correlated,0.9966351221658388,range_sqrt_z,24,corr_pruning_audit_top30
ret_accel_24_72_z,selected,below_threshold,0.45569445335328457,MOM_pct_72_z,24,corr_pruning_audit_top30
MOM_pct_30_z,selected,below_threshold,0.5717507670929441,ret_accel_6_24_z,24,corr_pruning_audit_top30
vol_expansion_72_log1p_z,dropped,too_correlated,0.9869491641522111,range_sqrt_z,24,corr_pruning_audit_top30
ADX_14_scaled,selected,below_threshold,0.31580230784590024,volatility_72_sqrt_z,24,corr_pruning_audit_top30
vol_ratio_24_log1p_z,dropped,too_correlated,0.9123574926707755,vol_ratio_168_log1p_z,24,corr_pruning_audit_top30
NATR_14_z,selected,below_threshold,0.4785904277543618,range_sqrt_z,24,corr_pruning_audit_top30
volatility_168_sqrt_z,selected,below_threshold,0.39063011104417233,volatility_72_sqrt_z,24,corr_pruning_audit_top30
log_ret_24_z,selected,below_threshold,0.7495714444074323,MOM_pct_30_z,24,corr_pruning_audit_top30
ema_spread_9_21_z,selected,below_threshold,0.8440239328163137,log_ret_24_z,24,corr_pruning_audit_top30
body_sqrt_z,selected,below_threshold,0.6804746548203244,range_sqrt_z,24,corr_pruning_audit_top30
ema_slope_21_z,dropped,too_correlated,0.975864521659762,ema_spread_9_21_z,24,corr_pruning_audit_top30
dist_to_low_24_sqrt_z,selected,below_threshold,0.6036475928120937,ema_spread_9_21_z,24,corr_pruning_audit_top30
MOM_pct_14_z,selected,below_threshold,0.8252214124116437,ema_spread_9_21_z,24,corr_pruning_audit_top30
ret_accel_72_168_z,selected,below_threshold,0.46104683443194394,ret_accel_24_72_z,24,corr_pruning_audit_top30
vol_expansion_24_log1p_z,dropped,too_correlated,0.9274321812858992,range_sqrt_z,24,corr_pruning_audit_top30
volatility_24_sqrt_z,selected,below_threshold,0.6889897061614639,NATR_14_z,24,corr_pruning_audit_top30
ADX_30_scaled,selected,below_threshold,0.6576295184931928,ADX_14_scaled,24,corr_pruning_audit_top30
ema_slope_50_z,dropped,too_correlated,0.9427353904355474,ema_spread_9_21_z,24,corr_pruning_audit_top30
bb_width_20_sqrt_z,selected,below_threshold,0.5735437374707183,NATR_14_z,24,corr_pruning_audit_top30
ema_spread_21_50_z,selected,below_threshold,0.7580309577743285,ema_spread_9_21_z,24,corr_pruning_audit_top30
