feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,z_window,sample,regime,alpha_out,prev_position
RSI_72_bounded,56640,15,0.011087570621469034,0.5243290960451978,0.5132432930719294,4.51051886990676e-05,0.011085802973268444,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,1.0,24,full_train,entry,0.5,0
ADX_30_scaled,56640,15,0.010840395480225973,0.5240819209039548,0.5132393238752019,4.2914072066226944e-05,0.010842597028752898,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,2.0,24,full_train,entry,0.5,0
RSI_30_bounded,56640,15,0.006073446327683696,0.5193149717514125,0.5132401016297842,4.319109365398261e-05,0.0060748701216283285,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,3.0,24,full_train,entry,0.5,0
ret_accel_24_72_z,56640,15,0.005790960451977356,0.5190324858757062,0.5132422370429588,4.60780518260988e-05,0.005790248832747369,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,4.0,24,full_train,entry,0.5,0
dist_to_high_72_sqrt_z,56640,15,0.005614406779660963,0.5188559322033898,0.5132370492406441,4.5343682375710444e-05,0.005618882962745708,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,5.0,24,full_train,entry,0.5,0
ADX_72_scaled,56640,15,0.005261299435028288,0.5185028248587571,0.5132389387891473,5.0381533100692636e-05,0.005263886069609813,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,6.0,24,full_train,entry,0.5,0
volatility_168_sqrt_z,56640,15,0.005261299435028177,0.518502824858757,0.5132536231372561,4.956045247911513e-05,0.005249201721500896,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,7.0,24,full_train,entry,0.5,0
RSI_14_bounded,56640,15,0.005049435028248506,0.5182909604519773,0.5132365206411091,4.5796447888183024e-05,0.005054439810868172,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,8.0,24,full_train,entry,0.5,0
log_ret_72_z,56640,15,0.004908192090395502,0.5181497175141243,0.5132374207017463,4.378297091661637e-05,0.004912296812378036,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,9.0,24,full_train,entry,0.5,0
MOM_pct_72_z,56640,15,0.004307909604519766,0.5175494350282486,0.5132477590944426,5.146000538775035e-05,0.004301675933805926,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,10.0,24,full_train,entry,0.5,0
ADX_14_scaled,56640,15,0.0036723163841808626,0.5169138418079097,0.5132444317133739,4.5066212282692786e-05,0.0036694100945358077,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,11.0,24,full_train,entry,0.5,0
ret_accel_6_24_z,56640,15,0.0033192090395480767,0.5165607344632769,0.5132361180352502,4.608120741527527e-05,0.0033246164280267276,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,12.0,24,full_train,entry,0.5,0
