feature,entry_rank,entry_hie_norm,entry_p_value,entry_hie_observed,entry_hie_null_mean,exit_rank,exit_hie_norm,exit_p_value,exit_hie_observed,exit_hie_null_mean,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,z_window,sample,alpha_out
RSI_72_bounded,1.0,0.011085802973268444,0.0,0.5243290960451978,0.5132432930719294,3.0,0.008642807097954008,0.0,0.49420903954802253,0.4855662324500685,1.0,2.0,0.011085802973268444,0.0,2,entry,1,24,full_train,0.5
price_pos_in_range_72_norm,16.0,0.0023013840954677622,0.0,0.5155367231638419,0.5132353390683742,1.0,0.009918938128219035,0.0,0.4954802259887006,0.4855612878604816,1.0,8.5,0.009918938128219035,0.0,1,exit,2,24,full_train,0.5
RSI_14_bounded,8.0,0.005054439810868172,0.0,0.5182909604519773,0.5132365206411091,2.0,0.009706760609152432,0.0,0.4952683615819209,0.48556160097276846,2.0,5.0,0.009706760609152432,0.0,2,exit,3,24,full_train,0.5
ADX_30_scaled,2.0,0.010842597028752898,0.0,0.5240819209039548,0.5132393238752019,30.0,0.002208510632850713,0.0,0.4877824858757062,0.4855739752428555,2.0,16.0,0.010842597028752898,0.0,1,entry,4,24,full_train,0.5
RSI_30_bounded,3.0,0.0060748701216283285,0.0,0.5193149717514125,0.5132401016297842,4.0,0.0076109243614782,0.0,0.4931850282485876,0.4855741038871094,3.0,3.5,0.0076109243614782,0.0,2,entry,5,24,full_train,0.5
ret_accel_24_72_z,4.0,0.005790248832747369,0.0,0.5190324858757062,0.5132422370429588,19.0,0.0035474200463242456,0.0,0.48912429378531064,0.4855768737389864,4.0,11.5,0.005790248832747369,0.0,1,entry,6,24,full_train,0.5
ema_spread_100_200_z,18.0,0.0022531321588254993,0.0,0.5155014124293785,0.513248280270553,5.0,0.0069192759088438915,0.0,0.49251412429378527,0.4855948483849414,5.0,11.5,0.0069192759088438915,0.0,1,exit,7,24,full_train,0.5
dist_to_high_72_sqrt_z,5.0,0.005618882962745708,0.0,0.5188559322033898,0.5132370492406441,27.0,0.0026856689715983317,0.0,0.48827683615819206,0.48559116718659373,5.0,16.0,0.005618882962745708,0.0,1,entry,8,24,full_train,0.5
ADX_72_scaled,6.0,0.005263886069609813,0.0,0.5185028248587571,0.5132389387891473,6.0,0.0068436052169330575,0.0,0.4924081920903953,0.48556458687346227,6.0,6.0,0.0068436052169330575,0.0,2,both_tie,9,24,full_train,0.5
log_ret_72_z,9.0,0.004912296812378036,0.0,0.5181497175141243,0.5132374207017463,7.0,0.006567193557998063,0.0,0.4921610169491525,0.4855938233911544,7.0,8.0,0.006567193557998063,0.0,2,exit,10,24,full_train,0.5
volatility_168_sqrt_z,7.0,0.005249201721500896,0.0,0.518502824858757,0.5132536231372561,12.0,0.004755361162162297,0.0,0.4903248587570621,0.4855694975948998,7.0,9.5,0.005249201721500896,0.0,2,entry,11,24,full_train,0.5
MOM_pct_72_z,10.0,0.004301675933805926,0.0,0.5175494350282486,0.5132477590944426,8.0,0.006521774318381746,0.0,0.492090395480226,0.48556862116184424,8.0,9.0,0.006521774318381746,0.0,2,exit,12,24,full_train,0.5
ema_spread_50_100_z,52.0,-2.9633188233235686e-06,0.53,0.5132415254237288,0.5132444887425521,9.0,0.00566606438333056,0.0,0.49124293785310724,0.4855768734697767,9.0,30.5,0.00566606438333056,0.0,1,exit,13,24,full_train,0.5
log_ret_168_z,42.0,2.744076549432428e-06,0.47,0.5132415254237288,0.5132387813471794,10.0,0.005174792668306782,0.0,0.49074858757062145,0.48557379490231467,10.0,26.0,0.005174792668306782,0.0,1,exit,14,24,full_train,0.5
volatility_72_sqrt_z,40.0,3.7985265225470854e-05,0.21,0.5132768361581921,0.5132388508929666,11.0,0.005038622027254747,0.0,0.49060734463276834,0.4855687226055136,11.0,25.5,0.005038622027254747,0.0,1,exit,15,24,full_train,0.5
ADX_14_scaled,11.0,0.0036694100945358077,0.0,0.5169138418079097,0.5132444317133739,31.0,0.00207587403567161,0.0,0.4876412429378531,0.4855653689021815,11.0,21.0,0.0036694100945358077,0.0,1,entry,16,24,full_train,0.5
ret_accel_6_24_z,12.0,0.0033246164280267276,0.0,0.5165607344632769,0.5132361180352502,34.0,0.0018077901602369661,0.0,0.4873940677966102,0.48558627763637324,12.0,23.0,0.0033246164280267276,0.0,1,entry,17,24,full_train,0.5
NATR_14_z,23.0,0.0015282688451776494,0.0,0.5147598870056498,0.5132316181604721,13.0,0.004710996730246608,0.0,0.4902895480225989,0.4855785512923523,13.0,18.0,0.004710996730246608,0.0,1,exit,18,24,full_train,0.5
bb_pos_20_norm,13.0,0.0025985998456676818,0.0,0.5158545197740113,0.5132559199283436,32.0,0.0020011153246659585,0.0,0.48757062146892655,0.4855695061442606,13.0,22.5,0.0025985998456676818,0.0,1,entry,19,24,full_train,0.5
dist_to_high_24_sqrt_z,39.0,6.6686299294072e-05,0.14,0.5133121468926554,0.5132454605933613,14.0,0.004177473579416224,0.0,0.48975988700564976,0.48558241342623354,14.0,26.5,0.004177473579416224,0.0,1,exit,20,24,full_train,0.5
