feature,entry_rank,entry_hie_norm,entry_p_value,entry_hie_observed,entry_hie_null_mean,exit_rank,exit_hie_norm,exit_p_value,exit_hie_observed,exit_hie_null_mean,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,z_window,sample,alpha_out
dist_to_high_168_sqrt_z,3.0,0.009397445455099018,0.0,0.5223646723646724,0.5129672269095734,1.0,0.025464095956474586,0.0,0.5138176638176638,0.4883535678611892,1.0,2.0,0.025464095956474586,0.0,2,exit,1,72,full_train,1.0
RSI_72_bounded,1.0,0.011037132812934725,0.0,0.5240028490028491,0.5129657161899144,2.0,0.018819679738124317,0.0,0.5073361823361824,0.48851650259805807,1.0,1.5,0.018819679738124317,0.0,2,entry,2,72,full_train,1.0
ADX_30_scaled,2.0,0.010790979227945474,0.0,0.5237535612535613,0.5129625820256158,24.0,0.012719249771311503,0.0,0.5012820512820512,0.48856280151073966,2.0,13.0,0.012719249771311503,0.0,1,entry,3,72,full_train,1.0
RSI_14_bounded,8.0,0.005095680591266971,0.0,0.5180555555555557,0.5129598749642887,3.0,0.01881680245452777,0.0,0.5073005698005698,0.48848376734604204,3.0,5.5,0.01881680245452777,0.0,2,exit,4,72,full_train,1.0
ema_spread_100_200_z,4.0,0.007153697283788341,0.0,0.5201210826210826,0.5129673853372942,4.0,0.01881109921173607,0.0,0.5074074074074075,0.48859630819567146,4.0,4.0,0.01881109921173607,0.0,2,both_tie,5,72,full_train,1.0
volatility_168_sqrt_z,10.0,0.004628344245956373,0.0,0.5175925925925926,0.5129642483466362,5.0,0.018333154918729333,0.0,0.5071225071225072,0.48878935220377784,5.0,7.5,0.018333154918729333,0.0,2,exit,6,72,full_train,1.0
ret_accel_24_72_z,5.0,0.006414033838876287,0.0,0.5193732193732195,0.5129591855343432,22.0,0.01323927252221635,0.0,0.5017094017094017,0.48847012918718535,5.0,13.5,0.01323927252221635,0.0,1,entry,7,72,full_train,1.0
ADX_72_scaled,6.0,0.005729374616669336,0.0,0.5186965811965811,0.5129672065799118,6.0,0.01826968954459751,0.0,0.5069444444444444,0.4886747548998469,6.0,6.0,0.01826968954459751,0.0,2,both_tie,8,72,full_train,1.0
RSI_30_bounded,7.0,0.005300318823293848,0.0,0.5182692307692307,0.5129689119459369,8.0,0.01769951245922996,0.0,0.5059472934472935,0.48824778098806354,7.0,7.5,0.01769951245922996,0.0,2,entry,9,72,full_train,1.0
log_ret_6_z,30.0,0.0017027290891106217,0.0,0.5146723646723645,0.5129696355832539,7.0,0.017874056596789367,0.0,0.5065527065527065,0.4886786499559171,7.0,18.5,0.017874056596789367,0.0,1,exit,10,72,full_train,1.0
dist_to_low_72_sqrt_z,9.0,0.00469891158226976,0.0,0.5176638176638176,0.5129649060815479,10.0,0.015527239739892618,0.0,0.503917378917379,0.48839013917748636,9.0,9.5,0.015527239739892618,0.0,2,entry,11,72,full_train,1.0
price_pos_in_range_72_norm,24.0,0.0022813114737052498,0.0,0.5152421652421652,0.5129608537684599,9.0,0.01733846609878703,0.0,0.5056980056980057,0.4883595395992187,9.0,16.5,0.01733846609878703,0.0,1,exit,12,72,full_train,1.0
ema_spread_21_50_z,17.0,0.0034606234564654725,0.0,0.5164173789173789,0.5129567554609135,11.0,0.015217097065435503,0.0,0.5037393162393162,0.4885222191738807,11.0,14.0,0.015217097065435503,0.0,1,exit,13,72,full_train,1.0
ema_spread_50_100_z,11.0,0.004596669766375738,0.0,0.5175569800569801,0.5129603102906044,20.0,0.013345461564017391,0.0,0.5018518518518519,0.4885063902878345,11.0,15.5,0.013345461564017391,0.0,1,entry,14,72,full_train,1.0
ema_slope_100_z,15.0,0.003952747550768687,0.0,0.5169159544159544,0.5129632068651857,12.0,0.015091101043903266,0.0,0.5036680911680912,0.4885769901241879,12.0,13.5,0.015091101043903266,0.0,1,exit,15,72,full_train,1.0
dist_ema_9_z,12.0,0.004483200503893059,0.0,0.5174501424501425,0.5129669419462495,18.0,0.01401819108858332,0.0,0.5024216524216525,0.48840346133306917,12.0,15.0,0.01401819108858332,0.0,1,entry,16,72,full_train,1.0
dist_ema_200_z,32.0,0.0013929930305905946,0.0,0.5143518518518518,0.5129588588212612,13.0,0.01508066525353724,0.0,0.5036680911680912,0.48858742591455395,13.0,22.5,0.01508066525353724,0.0,1,exit,17,72,full_train,1.0
ema_slope_200_z,13.0,0.004315757669433928,0.0,0.5172720797720797,0.5129563221026457,17.0,0.014608916567954155,0.0,0.5031695156695157,0.4885605991015616,13.0,15.0,0.014608916567954155,0.0,1,entry,18,72,full_train,1.0
price_pos_in_range_168_norm,22.0,0.002776681689907301,0.0,0.5157407407407407,0.5129640590508334,14.0,0.015069471595131334,0.0,0.503525641025641,0.4884561694305097,14.0,18.0,0.015069471595131334,0.0,1,exit,19,72,full_train,1.0
