z_window,sample,alpha_out,top_k,feature,union_rank,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,entry_rank,exit_rank,entry_hie_norm,exit_hie_norm
24,early_train,0.5,7,ADX_72_scaled,1,1.0,1.0,0.026134276242282484,0.0,2,both_tie,1.0,1.0,0.006810685474865075,0.026134276242282484
24,early_train,0.5,7,ema_spread_100_200_z,2,2.0,3.5,0.02579048110714688,0.0,2,exit,5.0,2.0,0.0035985247423506728,0.02579048110714688
24,early_train,0.5,7,dist_to_high_24_sqrt_z,3,2.0,8.5,0.012646186318781227,0.0,1,entry,2.0,15.0,0.004775278777234049,0.012646186318781227
24,early_train,0.5,7,ema_spread_50_100_z,4,3.0,5.0,0.022805065982765438,0.0,2,exit,7.0,3.0,0.0032794925395853713,0.022805065982765438
24,early_train,0.5,7,ADX_30_scaled,5,3.0,6.0,0.015484924863950922,0.0,2,entry,3.0,9.0,0.00382557617584256,0.015484924863950922
24,early_train,0.5,7,price_pos_in_range_72_norm,6,4.0,12.5,0.01821986080796556,0.0,1,exit,21.0,4.0,0.00011100656810025811,0.01821986080796556
24,early_train,0.5,7,log_ret_168_z,7,4.0,14.5,0.008314778371318554,0.0,1,entry,4.0,25.0,0.0038203958192948306,0.008314778371318554
24,early_train,0.5,14,ADX_72_scaled,1,1.0,1.0,0.026134276242282484,0.0,2,both_tie,1.0,1.0,0.006810685474865075,0.026134276242282484
24,early_train,0.5,14,ema_spread_100_200_z,2,2.0,3.5,0.02579048110714688,0.0,2,exit,5.0,2.0,0.0035985247423506728,0.02579048110714688
24,early_train,0.5,14,dist_to_high_24_sqrt_z,3,2.0,8.5,0.012646186318781227,0.0,1,entry,2.0,15.0,0.004775278777234049,0.012646186318781227
24,early_train,0.5,14,ema_spread_50_100_z,4,3.0,5.0,0.022805065982765438,0.0,2,exit,7.0,3.0,0.0032794925395853713,0.022805065982765438
24,early_train,0.5,14,ADX_30_scaled,5,3.0,6.0,0.015484924863950922,0.0,2,entry,3.0,9.0,0.00382557617584256,0.015484924863950922
24,early_train,0.5,14,price_pos_in_range_72_norm,6,4.0,12.5,0.01821986080796556,0.0,1,exit,21.0,4.0,0.00011100656810025811,0.01821986080796556
24,early_train,0.5,14,log_ret_168_z,7,4.0,14.5,0.008314778371318554,0.0,1,entry,4.0,25.0,0.0038203958192948306,0.008314778371318554
24,early_train,0.5,14,bb_width_20_sqrt_z,8,5.0,8.5,0.017402230960983256,0.0,2,exit,12.0,5.0,0.001790069252340043,0.017402230960983256
24,early_train,0.5,14,MOM_pct_14_z,9,6.0,7.5,0.017112554513644018,0.0,2,exit,9.0,6.0,0.0022219166168042648,0.017112554513644018
24,early_train,0.5,14,RSI_72_bounded,10,6.0,13.0,0.010927626024779258,0.0,1,entry,6.0,20.0,0.0035146321822165927,0.010927626024779258
