z_window,feature,stable_hie_rank_within_z,stability_count,stability_rate,median_union_rank,median_best_hie_norm,full_train_union_rank,selected_in_hybrid,source_in_hybrid,is_hie_incremental_pool,strict_excluded_by_raw_corr_filter,hie_attribution_category,corr_raw_rank,abs_spearman_corr,in_corr_pruned,corr_prune_decision_in_audit,corr_prune_reason_in_audit,corr_prune_max_corr_with_selected,corr_prune_most_correlated_selected_feature,corr_pruning_removed_hie_candidate,scenario
24,ADX_30_scaled,1,3,1.0,5.0,0.017176907089663407,4.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,25,0.02275170124897136,False,selected,below_threshold,0.6576295184931928,ADX_14_scaled,False,hybrid_top10_corr5_hie5_alpha0p5
24,dist_to_high_24_sqrt_z,2,3,1.0,7.0,0.015101017934123329,,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,29,0.017548887357739216,False,selected,below_threshold,0.6981151313049421,MOM_pct_14_z,False,hybrid_top10_corr5_hie5_alpha0p5
24,price_pos_in_range_72_norm,3,3,1.0,9.0,0.01821986080796556,2.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,37,0.010019515129290826,False,selected,below_threshold,0.5011425645264469,MOM_pct_72_z,False,hybrid_top10_corr5_hie5_alpha0p5
24,ema_spread_100_200_z,4,2,0.6666666666666666,5.5,0.01920474825036189,7.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,43,0.008623454484623557,False,selected,below_threshold,0.6955322428154284,price_pos_in_range_72_norm,False,hybrid_top10_corr5_hie5_alpha0p5
24,RSI_72_bounded,5,2,0.6666666666666666,6.5,0.015118601710488289,1.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,48,0.004122687531513821,False,not_reached_by_corr_pruning_audit,not_reached_by_corr_pruning_audit,,,False,hybrid_top10_corr5_hie5_alpha0p5
24,ema_spread_9_21_z,6,2,0.6666666666666666,8.0,0.02080431742239791,,False,,True,False,not_in_corr_pruned_raw_rank_available,17,0.026907963530283224,False,selected,below_threshold,0.8440239328163137,log_ret_24_z,False,hybrid_top10_corr5_hie5_alpha0p5
24,RSI_30_bounded,7,2,0.6666666666666666,8.5,0.016213048463183888,5.0,False,,True,False,corr_ranked_but_removed_by_pruning,40,0.009238443120227082,False,dropped,too_correlated,0.908007565242141,price_pos_in_range_72_norm,True,hybrid_top10_corr5_hie5_alpha0p5
24,ema_spread_50_100_z,8,2,0.6666666666666666,8.5,0.022543081032510737,13.0,False,,True,False,not_in_corr_pruned_raw_rank_available,47,0.004298985600582033,False,selected,below_threshold,0.756079969493327,ema_spread_21_50_z,False,hybrid_top10_corr5_hie5_alpha0p5
24,dist_ema_21_z,9,2,0.6666666666666666,14.0,0.019902679895482278,,False,,True,False,corr_ranked_but_removed_by_pruning,41,0.009211777422972682,False,dropped,too_correlated,0.8546159683677278,MOM_pct_14_z,True,hybrid_top10_corr5_hie5_alpha0p5
48,ADX_30_scaled,1,3,1.0,10.0,0.017693416365659798,1.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,27,0.0224052982746129,False,selected,below_threshold,0.6576224307444518,ADX_14_scaled,False,hybrid_top10_corr5_hie5_alpha0p5
