raw_feature,feature_col,source,phase,decision,reason,max_abs_corr_with_selected,most_correlated_selected_feature
range_sqrt_z,z72__range_sqrt_z,corr_z72,corr_core,selected,first_feature,,
vol_ratio_72_log1p_z,z72__vol_ratio_72_log1p_z,corr_z72,corr_core,selected,below_threshold,0.7123694960778235,z72__range_sqrt_z
dist_to_high_168_sqrt_z,z72__dist_to_high_168_sqrt_z,corr_z72,corr_core,selected,below_threshold,0.057042420386208784,z72__vol_ratio_72_log1p_z
body_sqrt_z,z72__body_sqrt_z,corr_z72,corr_core,selected,below_threshold,0.6941713601873714,z72__range_sqrt_z
bb_width_20_sqrt_z,z72__bb_width_20_sqrt_z,corr_z72,corr_core,selected,below_threshold,0.34037473051102235,z72__range_sqrt_z
ADX_30_scaled,z24__ADX_30_scaled,hie_z24,hie_incremental,selected,below_threshold,0.2136387236061395,z72__dist_to_high_168_sqrt_z
dist_to_high_24_sqrt_z,z24__dist_to_high_24_sqrt_z,hie_z24,hie_incremental,selected,below_threshold,0.3063402167881922,z72__bb_width_20_sqrt_z
price_pos_in_range_72_norm,z24__price_pos_in_range_72_norm,hie_z24,hie_incremental,selected,below_threshold,0.6839561742510372,z72__dist_to_high_168_sqrt_z
ema_spread_100_200_z,z24__ema_spread_100_200_z,hie_z24,hie_incremental,selected,below_threshold,0.6962423824288602,z24__price_pos_in_range_72_norm
RSI_72_bounded,z24__RSI_72_bounded,hie_z24,hie_incremental,selected,below_threshold,0.7859812792251156,z24__price_pos_in_range_72_norm
