feature_1,feature_2,spearman_corr,abs_spearman_corr,above_threshold
z24__price_pos_in_range_72_norm,z24__RSI_72_bounded,0.7859812792251156,0.7859812792251156,False
z72__range_sqrt_z,z72__vol_ratio_72_log1p_z,0.7123694960778235,0.7123694960778235,False
z24__price_pos_in_range_72_norm,z24__ema_spread_100_200_z,0.6962423824288602,0.6962423824288602,False
z72__range_sqrt_z,z72__body_sqrt_z,0.6941713601873714,0.6941713601873714,False
z72__dist_to_high_168_sqrt_z,z24__ema_spread_100_200_z,-0.6863119708973626,0.6863119708973626,False
z72__dist_to_high_168_sqrt_z,z24__price_pos_in_range_72_norm,-0.6839561742510372,0.6839561742510372,False
z24__ema_spread_100_200_z,z24__RSI_72_bounded,0.5088155517895321,0.5088155517895321,False
z72__vol_ratio_72_log1p_z,z72__body_sqrt_z,0.4453961728962912,0.4453961728962912,False
z72__dist_to_high_168_sqrt_z,z24__RSI_72_bounded,-0.4191609760048076,0.4191609760048076,False
z72__range_sqrt_z,z72__bb_width_20_sqrt_z,0.34037473051102235,0.34037473051102235,False
z72__bb_width_20_sqrt_z,z24__dist_to_high_24_sqrt_z,0.3063402167881922,0.3063402167881922,False
z72__vol_ratio_72_log1p_z,z72__bb_width_20_sqrt_z,0.28430636597114267,0.28430636597114267,False
z72__dist_to_high_168_sqrt_z,z24__dist_to_high_24_sqrt_z,0.25709457033899435,0.25709457033899435,False
z72__dist_to_high_168_sqrt_z,z24__ADX_30_scaled,0.2136387236061395,0.2136387236061395,False
z72__bb_width_20_sqrt_z,z24__ADX_30_scaled,0.19964059279535523,0.19964059279535523,False
z72__body_sqrt_z,z72__bb_width_20_sqrt_z,0.18905979222999778,0.18905979222999778,False
z72__range_sqrt_z,z24__ADX_30_scaled,0.1531442612780929,0.1531442612780929,False
z72__range_sqrt_z,z24__dist_to_high_24_sqrt_z,0.1438529526058368,0.1438529526058368,False
z24__dist_to_high_24_sqrt_z,z24__price_pos_in_range_72_norm,-0.13897969053706566,0.13897969053706566,False
z72__vol_ratio_72_log1p_z,z24__dist_to_high_24_sqrt_z,0.12268713360999108,0.12268713360999108,False
z24__ADX_30_scaled,z24__RSI_72_bounded,-0.09752379496984305,0.09752379496984305,False
z24__dist_to_high_24_sqrt_z,z24__ema_spread_100_200_z,-0.0860056203660304,0.0860056203660304,False
z72__body_sqrt_z,z24__ADX_30_scaled,0.07683852692965908,0.07683852692965908,False
z72__bb_width_20_sqrt_z,z24__price_pos_in_range_72_norm,0.07440583064076123,0.07440583064076123,False
z72__body_sqrt_z,z24__dist_to_high_24_sqrt_z,0.07041917697231335,0.07041917697231335,False
z24__dist_to_high_24_sqrt_z,z24__RSI_72_bounded,-0.06149150639587238,0.06149150639587238,False
z72__vol_ratio_72_log1p_z,z72__dist_to_high_168_sqrt_z,-0.057042420386208784,0.057042420386208784,False
z72__bb_width_20_sqrt_z,z24__ema_spread_100_200_z,0.05482878335274636,0.05482878335274636,False
z24__ADX_30_scaled,z24__ema_spread_100_200_z,-0.044529252547830314,0.044529252547830314,False
z72__range_sqrt_z,z72__dist_to_high_168_sqrt_z,0.04283543507506491,0.04283543507506491,False
z72__vol_ratio_72_log1p_z,z24__ema_spread_100_200_z,0.041606149844479884,0.041606149844479884,False
z72__vol_ratio_72_log1p_z,z24__price_pos_in_range_72_norm,0.04072511525862563,0.04072511525862563,False
z72__bb_width_20_sqrt_z,z24__RSI_72_bounded,0.03116589548763241,0.03116589548763241,False
z72__dist_to_high_168_sqrt_z,z72__body_sqrt_z,0.025823008892854146,0.025823008892854146,False
z72__vol_ratio_72_log1p_z,z24__ADX_30_scaled,-0.02291013570512013,0.02291013570512013,False
z72__range_sqrt_z,z24__price_pos_in_range_72_norm,0.022135370839718085,0.022135370839718085,False
z72__range_sqrt_z,z24__ema_spread_100_200_z,0.01939919705579178,0.01939919705579178,False
z72__range_sqrt_z,z24__RSI_72_bounded,0.01499043428300283,0.01499043428300283,False
z24__ADX_30_scaled,z24__dist_to_high_24_sqrt_z,0.013045627132569841,0.013045627132569841,False
z72__dist_to_high_168_sqrt_z,z72__bb_width_20_sqrt_z,0.010098920672069522,0.010098920672069522,False
z72__vol_ratio_72_log1p_z,z24__RSI_72_bounded,0.0070343325271001915,0.0070343325271001915,False
z72__body_sqrt_z,z24__ema_spread_100_200_z,0.0031143447348865715,0.0031143447348865715,False
z72__body_sqrt_z,z24__RSI_72_bounded,0.002171576888892656,0.002171576888892656,False
z72__body_sqrt_z,z24__price_pos_in_range_72_norm,0.0017455473201422346,0.0017455473201422346,False
z24__ADX_30_scaled,z24__price_pos_in_range_72_norm,0.0011010872575948371,0.0011010872575948371,False
