symbol,mode,start_value,end_value,return_pct,max_drawdown_pct,drawdown_abs,raw_action_1_ratio,executed_action_1_ratio,executed_action_1,raw_action_1,n_decisions,threshold_applied_ratio,constraint_applied_ratio,abs_edge_mean,abs_edge_p25,abs_edge_p50,abs_edge_p75,abs_edge_p90,uncertainty_0_mean,uncertainty_1_mean,score_0_std,score_1_std,n_reward_updates,mean_reward_update,std_reward_update,reward_abs_p50,reward_abs_p90,reward_abs_p95,reward_p05,reward_p95,trades,win_rate,mean_trade_pnl,median_trade_pnl,total_trade_pnl,profit_factor,avg_holding,run_label,bandit_name,set_name,seed,family,strategy,z_window,dataset_key,alpha_out,n_market_features,n_state_features,n_total_features,feature_list,update_on_validation,confidence_threshold,min_hold_bars,cooldown_bars,position_size,bandit_param_bandit_type,bandit_param_discount_factor,bandit_param_lambda_prior,bandit_param_noise_std,bandit_param_reward_clip,bandit_param_seed,bandit_param_ucb_alpha,bandit_param_window_size
BTCUSDT,train,99.9500625,82.60947235110302,-17.349253932579558,-20.027584831960755,20.027584831960755,0.4381443298969072,0.49875577675079985,2806,2465,5626,0.10540348382509776,0.11660149306789903,0.017074766437859074,0.0057380288795022445,0.012738127493730211,0.02260989141716259,0.035124098601520416,0.2615176734802004,0.2877247811566857,0.013899146921455227,0.018467405536612653,5616,-0.0016964168857239465,0.026672381338935798,0.010796874285110008,0.04171088862878834,0.05552825919113704,-0.04544294405025659,0.039649437595655215,399,0.3634085213032581,-0.0052342008225919005,-0.005618860179901972,-2.0884461282141684,0.5814185115150471,1 days 04:07:49.172000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
BTCUSDT,val,100.0,95.62401089722971,-4.375989102770294,-5.440318324250204,5.440318324250204,0.522,0.554,1108,1044,2000,0.1205,0.0565,0.012700425548132539,0.004573010063715583,0.010224843053473591,0.01820309047712041,0.026616342697429102,0.24383080024648865,0.20331087173850304,0.009900167535674338,0.010915859954979736,1990,-0.00040798649120736335,0.025639426514219108,0.013370355815398794,0.04076647369505321,0.05340500780669817,-0.038771216534758395,0.043336237188863494,123,0.35772357723577236,-0.003839935675912764,-0.005521461539433555,-0.47231208813727,0.7036014266627096,1 days 11:52:11.707000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
DOGEUSDT,train,100.0,77.21609243499219,-22.78390756500781,-24.94836057214682,24.94836057214682,0.4792036971205119,0.5111980092428012,2876,2696,5626,0.08691788126555279,0.09829363668681124,0.019729874802052794,0.0068000834587233355,0.014318556612686441,0.02576764411933378,0.040338659120430324,0.275378989361268,0.25759679183638123,0.017571495083915877,0.02065032855568478,5616,-0.0018858559026808514,0.044816564334460754,0.016911459684108746,0.06701242414322164,0.09583435569632245,-0.0698491549389136,0.06344892936273135,428,0.4322429906542056,-0.007097191828095979,-0.005129503430751466,-3.037598102425079,0.6219276654742169,1 days 02:52:08.971000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
DOGEUSDT,val,100.0,94.4429347368004,-5.5570652631996005,-11.181536741298203,11.181536741298203,0.3895,0.465,930,779,2000,0.0555,0.134,0.022972524885535996,0.009453655081756124,0.019277677295215404,0.032324412491560914,0.047939151825627475,0.22118008320421018,0.23827617123096484,0.013272370917825625,0.02038899765860159,1990,0.002674641733947797,0.055849751795787654,0.022874644753976735,0.0799322518286228,0.11320309537011386,-0.07488968073197466,0.08596757789097176,141,0.425531914893617,-0.004971827828986108,-0.005698678486553543,-0.7010277238870413,0.7858460942834959,1 days 02:12:45.957000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
ETHUSDT,train,99.9500625,78.79877057353974,-21.161859630113046,-22.148624580550813,22.148624580550813,0.46018485602559545,0.5161749022396018,2904,2589,5626,0.09047280483469605,0.1173124777817277,0.01819945544047552,0.005924382804611533,0.01339304737826739,0.024728914728638727,0.038215180950482215,0.26551819329423104,0.2704056331460641,0.013860358748809561,0.018673351829735486,5616,-0.0010568111859391327,0.033628431711521606,0.014134641415355361,0.052184781953294596,0.07050119844968375,-0.053988340906014946,0.05005981864868998,400,0.3975,-0.006640917006125584,-0.005496708505752728,-2.6563668024502336,0.5940429350093486,1 days 05:02:24,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
ETHUSDT,val,100.0,94.94501616663004,-5.054983833369963,-8.510383977854275,8.510383977854275,0.4805,0.5025,1005,961,2000,0.0845,0.0395,0.01573711996784364,0.006150037722634714,0.013004871760661035,0.022389321483269026,0.031663308853783295,0.23569369464271533,0.21917405860934988,0.011079669623111882,0.014699728276679156,1990,-0.0003587409095540007,0.03699374677076764,0.016067967879628865,0.0584336405146085,0.07919992388053179,-0.05650610392081071,0.05857366580389739,94,0.48936170212765956,-0.006058452229006858,-0.002012737045258159,-0.5694945095266447,0.6977996575919776,1 days 18:28:05.106000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
SOLUSDT,train,99.9500625,86.64399986688001,-13.312710668009831,-20.018214490693033,20.018214490693033,0.41734802701741913,0.4896907216494845,2755,2348,5626,0.06381087806612158,0.13722004976892996,0.02669951192949356,0.009394425871717262,0.019878803243780784,0.035323927569606776,0.05457395917074418,0.2773430382585208,0.3060429896241245,0.020918368457519508,0.027039020424464925,5616,-0.0014888155681255903,0.05578095580520024,0.02359635848093458,0.08042741254957754,0.11095239706681992,-0.08197265023349515,0.07841216269289125,362,0.39502762430939226,-0.005797889712724202,-0.006912983184746952,-2.0988360760061613,0.7403448982672055,1 days 06:26:31.160000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
SOLUSDT,val,99.9500625,91.86471749179175,-8.089384644665177,-9.902586849739537,9.902586849739537,0.4985,0.558,1116,997,2000,0.098,0.1345,0.0172412551361603,0.006255483911699882,0.013582007894695216,0.024095184922912998,0.03810211055027177,0.23895604159000572,0.20255006343519255,0.012453743710271536,0.0152820082772125,1990,-0.001665601150211008,0.04396102820150748,0.02278620583395106,0.07050287649224946,0.09547942166755946,-0.07104782693671156,0.06906713697777456,180,0.45,-0.005234876003274897,-0.002278309735858901,-0.9422776805894815,0.7036321418660603,1 days 00:40:00,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
XRPUSDT,train,100.0,78.36535303937592,-21.63464696062408,-22.392016067221466,22.392016067221466,0.40259509420547457,0.45094205474582294,2537,2265,5626,0.09491645929612513,0.11446853892641308,0.01791750907275192,0.005985059744760056,0.012691046076186045,0.023527534773087548,0.0374646752393213,0.25225674237271883,0.27665451826367266,0.013194577009407505,0.020277752716816814,5616,-0.001068431608561774,0.037448501459646184,0.014162304259655999,0.05054198969344392,0.06985434794821418,-0.052062769362621206,0.04897662508520543,436,0.3853211009174312,-0.006186717554582802,-0.004157993257229828,-2.697408853798102,0.5831419383619845,0 days 23:16:30.825000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
XRPUSDT,val,99.9500625,117.31594838989896,17.37456231195349,-4.753122122120845,4.753122122120845,0.4555,0.485,970,911,2000,0.0645,0.052,0.025857166470857784,0.009633565197100666,0.020860375435960962,0.03626632916289671,0.052691184976505365,0.262553048562254,0.24074410923760184,0.014687550962281451,0.024418883549015412,1990,0.006553362601927145,0.05895718528563476,0.01866046266586739,0.07953784194551411,0.12101817554070103,-0.06791275125919623,0.09556545085562602,73,0.5068493150684932,0.014664281157164501,0.00016539620865230024,1.0704925244730086,1.686004012398484,2 days 05:09:02.465000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,142,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
BTCUSDT,train,100.0,83.41582234369965,-16.58417765630036,-17.797555795610045,17.797555795610045,0.4454319232136509,0.4905794525417704,2760,2506,5626,0.0979381443298969,0.1114468538926413,0.016579479445744165,0.005945568120818053,0.012239106322924333,0.0217913290601924,0.03473302732412725,0.2540114507378687,0.28328391373796263,0.011727766926967847,0.017811758463436016,5616,-0.0011230765508197435,0.02724978934606908,0.010939973281844432,0.04266551763574826,0.05639803342531273,-0.043899824850990934,0.04101121138356751,406,0.3793103448275862,-0.004863606004698668,-0.005230281182505543,-1.9746240379076594,0.6143822048635771,1 days 03:11:31.625000,mixed_z72corr_z24hie_default_screening,discounted_lints,z72corr5_z24hie5_a0p5_mixed_hybrid_top10,143,mixed_hybrid_corr72_hie24,mixed_hybrid_corr72_hie24_full_procedure,z72corr_z24hie,mixed_z72corr_z24hie,0.5,10,3,13,z72__range_sqrt_z|z72__vol_ratio_72_log1p_z|z72__dist_to_high_168_sqrt_z|z72__body_sqrt_z|z72__bb_width_20_sqrt_z|z24__ADX_30_scaled|z24__dist_to_high_24_sqrt_z|z24__price_pos_in_range_72_norm|z24__ema_spread_100_200_z|z24__RSI_72_bounded,True,0.005,4,2,0.1,discounted_lints,0.998,1.0,0.03,0.1,142,,
