feature,spearman_corr,abs_spearman_corr,n_obs,corr_rank,z_window
ret_accel_6_24_z,-0.042399174828372306,0.042399174828372306,28320,1,24
volatility_72_sqrt_z,0.039009045700051745,0.039009045700051745,28320,2,24
vol_ratio_168_log1p_z,0.03646678284584101,0.03646678284584101,28320,3,24
vol_ratio_72_log1p_z,0.036392215240515516,0.036392215240515516,28320,4,24
range_sqrt_z,0.036119942995417494,0.036119942995417494,28320,5,24
MOM_pct_72_z,-0.03432281397066224,0.03432281397066224,28320,6,24
log_ret_72_z,-0.03424813498027709,0.03424813498027709,28320,7,24
vol_expansion_168_log1p_z,0.03348593198154233,0.03348593198154233,28320,8,24
ret_accel_24_72_z,0.03311863621147006,0.03311863621147006,28320,9,24
MOM_pct_30_z,0.03219530668199751,0.03219530668199751,28320,10,24
vol_expansion_72_log1p_z,0.03186073009596432,0.03186073009596432,28320,11,24
ADX_14_scaled,0.030886077187844578,0.030886077187844578,28320,12,24
vol_ratio_24_log1p_z,0.029502100431915465,0.029502100431915465,28320,13,24
NATR_14_z,0.028625207456034855,0.028625207456034855,28320,14,24
volatility_168_sqrt_z,0.02853824235350405,0.02853824235350405,28320,15,24
log_ret_24_z,0.028017148393051732,0.028017148393051732,28320,16,24
ema_spread_9_21_z,0.026907963530283224,0.026907963530283224,28320,17,24
body_sqrt_z,0.026635371657675138,0.026635371657675138,28320,18,24
ema_slope_21_z,0.026044482430271156,0.026044482430271156,28320,19,24
dist_to_low_24_sqrt_z,0.025274681816469947,0.025274681816469947,28320,20,24
MOM_pct_14_z,0.02524789787475252,0.02524789787475252,28320,21,24
ret_accel_72_168_z,-0.024935048425727722,0.024935048425727722,28320,22,24
vol_expansion_24_log1p_z,0.024461062329669804,0.024461062329669804,28320,23,24
volatility_24_sqrt_z,0.024103444689989137,0.024103444689989137,28320,24,24
ADX_30_scaled,0.02275170124897136,0.02275170124897136,28320,25,24
ema_slope_50_z,0.02066722628759524,0.02066722628759524,28320,26,24
bb_width_20_sqrt_z,0.020093572629834557,0.020093572629834557,28320,27,24
ema_spread_21_50_z,0.019045990884032457,0.019045990884032457,28320,28,24
dist_to_high_24_sqrt_z,-0.017548887357739216,0.017548887357739216,28320,29,24
MACD_hist_pct_z,0.01682657647307842,0.01682657647307842,28320,30,24
ema_slope_100_z,0.014496252496325216,0.014496252496325216,28320,31,24
ema_slope_9_z,0.014432737626070937,0.014432737626070937,28320,32,24
log_ret_6_z,-0.013661599548669953,0.013661599548669953,28320,33,24
ADX_72_scaled,0.01361718567790965,0.01361718567790965,28320,34,24
dist_to_high_72_sqrt_z,0.013519260621044284,0.013519260621044284,28320,35,24
dist_to_high_168_sqrt_z,0.012502546153676313,0.012502546153676313,28320,36,24
price_pos_in_range_72_norm,-0.010019515129290826,0.010019515129290826,28320,37,24
dist_ema_50_z,0.009514740837848326,0.009514740837848326,28320,38,24
ema_slope_200_z,0.009294387846563472,0.009294387846563472,28320,39,24
RSI_30_bounded,-0.009238443120227082,0.009238443120227082,28320,40,24
dist_ema_21_z,0.009211777422972682,0.009211777422972682,28320,41,24
RSI_14_bounded,-0.008716020893474622,0.008716020893474622,28320,42,24
ema_spread_100_200_z,0.008623454484623557,0.008623454484623557,28320,43,24
dist_ema_9_z,-0.00563774868712504,0.00563774868712504,28320,44,24
bb_pos_20_norm,-0.005258524158883005,0.005258524158883005,28320,45,24
dist_ema_100_z,0.004697051891980063,0.004697051891980063,28320,46,24
ema_spread_50_100_z,-0.004298985600582033,0.004298985600582033,28320,47,24
RSI_72_bounded,-0.004122687531513821,0.004122687531513821,28320,48,24
