z_window,top_k_stability,n_count_3,n_count_2,n_count_1,n_stable_ge_2,stable_set_ge_2,top10_stable_ranking
24,7,0,2,17,2,ADX_30_scaled|dist_to_high_24_sqrt_z,ADX_30_scaled|dist_to_high_24_sqrt_z
48,7,0,3,15,3,RSI_72_bounded|ret_accel_72_168_z|ema_spread_50_100_z,RSI_72_bounded|ret_accel_72_168_z|ema_spread_50_100_z
72,7,0,3,15,3,ret_accel_72_168_z|volatility_168_sqrt_z|ema_spread_100_200_z,ret_accel_72_168_z|volatility_168_sqrt_z|ema_spread_100_200_z
96,7,2,2,11,4,MOM_pct_72_z|log_ret_72_z|ret_accel_72_168_z|ema_spread_100_200_z,MOM_pct_72_z|log_ret_72_z|ret_accel_72_168_z|ema_spread_100_200_z
24,14,3,6,21,9,ADX_30_scaled|dist_to_high_24_sqrt_z|price_pos_in_range_72_norm|ema_spread_100_200_z|RSI_72_bounded|ema_spread_9_21_z|RSI_30_bounded|ema_spread_50_100_z|dist_ema_21_z,ADX_30_scaled|dist_to_high_24_sqrt_z|price_pos_in_range_72_norm|ema_spread_100_200_z|RSI_72_bounded|ema_spread_9_21_z|RSI_30_bounded|ema_spread_50_100_z|dist_ema_21_z
48,14,2,9,18,11,ADX_30_scaled|bb_width_20_sqrt_z|RSI_72_bounded|ret_accel_72_168_z|ema_spread_50_100_z|RSI_30_bounded|ema_spread_100_200_z|volatility_168_sqrt_z|volatility_72_sqrt_z|price_pos_in_range_72_norm|dist_to_high_168_sqrt_z,ADX_30_scaled|bb_width_20_sqrt_z|RSI_72_bounded|ret_accel_72_168_z|ema_spread_50_100_z|RSI_30_bounded|ema_spread_100_200_z|volatility_168_sqrt_z|volatility_72_sqrt_z|price_pos_in_range_72_norm
72,14,1,10,19,11,ema_spread_100_200_z|ret_accel_72_168_z|volatility_168_sqrt_z|dist_to_high_168_sqrt_z|log_ret_72_z|ema_slope_100_z|MOM_pct_72_z|ADX_30_scaled|price_pos_in_range_72_norm|ema_spread_21_50_z|MACD_hist_pct_z,ema_spread_100_200_z|ret_accel_72_168_z|volatility_168_sqrt_z|dist_to_high_168_sqrt_z|log_ret_72_z|ema_slope_100_z|MOM_pct_72_z|ADX_30_scaled|price_pos_in_range_72_norm|ema_spread_21_50_z
96,14,4,6,18,10,MOM_pct_72_z|log_ret_72_z|volatility_168_sqrt_z|ret_accel_24_72_z|ret_accel_72_168_z|ema_spread_100_200_z|dist_to_high_168_sqrt_z|MACD_hist_pct_z|dist_to_high_24_sqrt_z|price_pos_in_range_72_norm,MOM_pct_72_z|log_ret_72_z|volatility_168_sqrt_z|ret_accel_24_72_z|ret_accel_72_168_z|ema_spread_100_200_z|dist_to_high_168_sqrt_z|MACD_hist_pct_z|dist_to_high_24_sqrt_z|price_pos_in_range_72_norm
24,20,6,12,18,18,ADX_30_scaled|dist_to_high_24_sqrt_z|RSI_72_bounded|price_pos_in_range_72_norm|ema_spread_50_100_z|dist_ema_100_z|ema_spread_100_200_z|ema_spread_9_21_z|RSI_30_bounded|log_ret_168_z|price_pos_in_range_168_norm|bb_width_20_sqrt_z|dist_to_high_72_sqrt_z|dist_to_low_24_sqrt_z|ema_slope_21_z|dist_ema_50_z|dist_ema_21_z|ema_slope_50_z,ADX_30_scaled|dist_to_high_24_sqrt_z|RSI_72_bounded|price_pos_in_range_72_norm|ema_spread_50_100_z|dist_ema_100_z|ema_spread_100_200_z|ema_spread_9_21_z|RSI_30_bounded|log_ret_168_z
48,20,5,14,17,19,RSI_30_bounded|ADX_30_scaled|price_pos_in_range_72_norm|bb_width_20_sqrt_z|volatility_72_sqrt_z|RSI_72_bounded|ret_accel_72_168_z|ema_spread_50_100_z|log_ret_168_z|price_pos_in_range_168_norm|ema_spread_100_200_z|volatility_168_sqrt_z|dist_to_high_168_sqrt_z|ema_spread_9_21_z|NATR_14_z|ema_slope_100_z|dist_to_high_72_sqrt_z|MACD_hist_pct_z|dist_to_high_24_sqrt_z,RSI_30_bounded|ADX_30_scaled|price_pos_in_range_72_norm|bb_width_20_sqrt_z|volatility_72_sqrt_z|RSI_72_bounded|ret_accel_72_168_z|ema_spread_50_100_z|log_ret_168_z|price_pos_in_range_168_norm
72,20,3,18,15,21,volatility_168_sqrt_z|ema_spread_100_200_z|ADX_30_scaled|ret_accel_72_168_z|dist_to_high_168_sqrt_z|log_ret_72_z|ema_slope_100_z|MOM_pct_72_z|ret_accel_24_72_z|price_pos_in_range_72_norm|dist_to_low_72_sqrt_z|ema_spread_21_50_z|ema_slope_200_z|RSI_72_bounded|price_pos_in_range_168_norm|MACD_hist_pct_z|bb_width_20_sqrt_z|RSI_30_bounded|log_ret_168_z|volatility_72_sqrt_z|dist_ema_200_z,volatility_168_sqrt_z|ema_spread_100_200_z|ADX_30_scaled|ret_accel_72_168_z|dist_to_high_168_sqrt_z|log_ret_72_z|ema_slope_100_z|MOM_pct_72_z|ret_accel_24_72_z|price_pos_in_range_72_norm
96,20,7,12,15,19,MOM_pct_72_z|log_ret_72_z|dist_to_high_168_sqrt_z|volatility_168_sqrt_z|ret_accel_24_72_z|ADX_30_scaled|ema_spread_21_50_z|ret_accel_72_168_z|ema_spread_100_200_z|MACD_hist_pct_z|dist_to_high_24_sqrt_z|price_pos_in_range_72_norm|ema_spread_50_100_z|ADX_72_scaled|price_pos_in_range_168_norm|RSI_72_bounded|ema_slope_100_z|ema_slope_200_z|MOM_pct_14_z,MOM_pct_72_z|log_ret_72_z|dist_to_high_168_sqrt_z|volatility_168_sqrt_z|ret_accel_24_72_z|ADX_30_scaled|ema_spread_21_50_z|ret_accel_72_168_z|ema_spread_100_200_z|MACD_hist_pct_z
24,26,9,17,17,26,ADX_30_scaled|dist_to_high_24_sqrt_z|RSI_72_bounded|price_pos_in_range_72_norm|ema_spread_50_100_z|ema_slope_21_z|dist_ema_100_z|dist_ema_200_z|RSI_14_bounded|ema_spread_100_200_z|ema_spread_9_21_z|RSI_30_bounded|log_ret_72_z|log_ret_168_z|price_pos_in_range_168_norm|bb_width_20_sqrt_z|MOM_pct_72_z|dist_to_high_72_sqrt_z|ADX_72_scaled|dist_to_low_24_sqrt_z|dist_ema_50_z|dist_ema_21_z|ema_slope_50_z|ret_accel_24_72_z|log_ret_24_z|volatility_24_sqrt_z,ADX_30_scaled|dist_to_high_24_sqrt_z|RSI_72_bounded|price_pos_in_range_72_norm|ema_spread_50_100_z|ema_slope_21_z|dist_ema_100_z|dist_ema_200_z|RSI_14_bounded|ema_spread_100_200_z
48,26,9,18,15,27,RSI_72_bounded|RSI_30_bounded|ADX_30_scaled|price_pos_in_range_72_norm|bb_width_20_sqrt_z|volatility_72_sqrt_z|volatility_168_sqrt_z|NATR_14_z|ADX_72_scaled|ret_accel_72_168_z|ema_spread_50_100_z|log_ret_168_z|price_pos_in_range_168_norm|ema_spread_100_200_z|dist_to_high_168_sqrt_z|ema_spread_9_21_z|ema_slope_200_z|ema_slope_100_z|bb_pos_20_norm|RSI_14_bounded|dist_to_high_72_sqrt_z|MACD_hist_pct_z|dist_to_high_24_sqrt_z|ema_slope_21_z|dist_ema_100_z|dist_ema_21_z|ADX_14_scaled,RSI_72_bounded|RSI_30_bounded|ADX_30_scaled|price_pos_in_range_72_norm|bb_width_20_sqrt_z|volatility_72_sqrt_z|volatility_168_sqrt_z|NATR_14_z|ADX_72_scaled|ret_accel_72_168_z
72,26,8,20,14,28,volatility_168_sqrt_z|ema_spread_100_200_z|dist_to_high_168_sqrt_z|price_pos_in_range_72_norm|ADX_30_scaled|ret_accel_24_72_z|RSI_72_bounded|log_ret_168_z|ret_accel_72_168_z|log_ret_72_z|ema_slope_100_z|MOM_pct_72_z|dist_to_low_72_sqrt_z|ema_spread_21_50_z|ema_slope_200_z|price_pos_in_range_168_norm|MACD_hist_pct_z|bb_width_20_sqrt_z|ADX_72_scaled|RSI_30_bounded|dist_to_high_24_sqrt_z|volatility_72_sqrt_z|ema_spread_50_100_z|RSI_14_bounded|dist_ema_200_z|ema_spread_9_21_z|MOM_pct_30_z|range_sqrt_z,volatility_168_sqrt_z|ema_spread_100_200_z|dist_to_high_168_sqrt_z|price_pos_in_range_72_norm|ADX_30_scaled|ret_accel_24_72_z|RSI_72_bounded|log_ret_168_z|ret_accel_72_168_z|log_ret_72_z
96,26,9,17,17,26,MOM_pct_72_z|log_ret_72_z|dist_to_high_168_sqrt_z|volatility_168_sqrt_z|ret_accel_24_72_z|ADX_30_scaled|ema_spread_21_50_z|RSI_72_bounded|RSI_30_bounded|ret_accel_72_168_z|ema_spread_100_200_z|MACD_hist_pct_z|dist_to_high_24_sqrt_z|price_pos_in_range_72_norm|ema_spread_50_100_z|ADX_72_scaled|price_pos_in_range_168_norm|volatility_72_sqrt_z|bb_width_20_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_spread_9_21_z|MOM_pct_14_z|dist_ema_50_z|dist_to_low_168_sqrt_z|RSI_14_bounded,MOM_pct_72_z|log_ret_72_z|dist_to_high_168_sqrt_z|volatility_168_sqrt_z|ret_accel_24_72_z|ADX_30_scaled|ema_spread_21_50_z|RSI_72_bounded|RSI_30_bounded|ret_accel_72_168_z
