feature,global_appearance_count,n_z_windows_seen,z_windows_seen,median_union_rank_global,mean_union_rank_global,median_best_hie_norm_global,mean_best_hie_norm_global,n_entry_source_global,n_exit_source_global,n_both_tie_source_global,n_z_windows_stable_ge2,z_windows_stable_ge2,global_stable_hie_rank,stability_top_k
ADX_30_scaled,12,4,24|48|72|96,10.5,9.5,0.017074201834188507,0.0199270470098578,11,0,1,4,24|48|72|96,1,26
RSI_72_bounded,12,4,24|48|72|96,14.0,12.916666666666666,0.01764777879449292,0.015459121459107647,7,4,1,4,24|48|72|96,2,26
price_pos_in_range_72_norm,11,4,24|48|72|96,12.0,12.545454545454545,0.01818476095371946,0.019561777742050004,0,11,0,4,24|48|72|96,3,26
RSI_30_bounded,10,4,24|48|72|96,11.0,13.0,0.015750655970400512,0.016412144458120375,6,4,0,4,24|48|72|96,4,26
volatility_168_sqrt_z,10,4,24|48|72|96,11.0,10.7,0.018578124952346037,0.020155066361358092,6,4,0,3,48|72|96,5,26
ema_spread_100_200_z,9,4,24|48|72|96,7.0,6.666666666666667,0.02041854510089347,0.022001602249382468,4,5,0,4,24|48|72|96,6,26
dist_to_high_24_sqrt_z,9,4,24|48|72|96,9.0,11.444444444444445,0.01855707165017556,0.018003403531833675,5,4,0,4,24|48|72|96,7,26
ema_spread_50_100_z,9,4,24|48|72|96,13.0,11.88888888888889,0.022281096082256036,0.021536359154870104,2,7,0,4,24|48|72|96,8,26
bb_width_20_sqrt_z,9,4,24|48|72|96,13.0,12.444444444444445,0.015623581262160846,0.015173212898752848,5,4,0,4,24|48|72|96,9,26
ADX_72_scaled,9,4,24|48|72|96,20.0,13.333333333333334,0.019951977677881372,0.018944593852961617,2,3,4,4,24|48|72|96,10,26
RSI_14_bounded,9,4,24|48|72|96,23.0,19.444444444444443,0.014830028944067264,0.014956310674151017,3,6,0,4,24|48|72|96,11,26
dist_to_high_168_sqrt_z,9,4,24|48|72|96,9.0,11.0,0.017573722965963712,0.019191784887910894,2,7,0,3,48|72|96,12,26
ret_accel_24_72_z,9,4,24|48|72|96,13.0,12.444444444444445,0.015739041221991656,0.020590733068234272,8,0,1,3,24|72|96,13,26
price_pos_in_range_168_norm,8,4,24|48|72|96,9.5,9.75,0.025653991586933905,0.025301009072976055,2,6,0,4,24|48|72|96,14,26
ema_spread_9_21_z,8,4,24|48|72|96,14.5,15.25,0.013832286397479021,0.014703146474319598,3,5,0,4,24|48|72|96,15,26
MOM_pct_72_z,8,4,24|48|72|96,2.5,6.5,0.030131759806677483,0.029081625698545284,2,5,1,3,24|72|96,16,26
log_ret_72_z,8,4,24|48|72|96,3.5,6.5,0.030191355422589383,0.02922148085039763,2,4,2,3,24|72|96,17,26
volatility_72_sqrt_z,8,4,24|48|72|96,16.0,14.375,0.01427577066509958,0.018598258720461606,5,1,2,3,48|72|96,18,26
ret_accel_72_168_z,7,4,24|48|72|96,3.0,3.142857142857143,0.03636900851020625,0.034202533948519236,0,3,4,3,48|72|96,19,26
MACD_hist_pct_z,7,4,24|48|72|96,12.0,12.285714285714286,0.020500876123169698,0.020458629778364292,2,5,0,3,48|72|96,20,26
ema_slope_100_z,7,4,24|48|72|96,13.0,13.285714285714286,0.017936069061441573,0.017494867514436123,2,5,0,3,48|72|96,21,26
ema_slope_200_z,7,4,24|48|72|96,16.0,13.857142857142858,0.019330252127464365,0.019442264482127183,5,2,0,3,48|72|96,22,26
log_ret_168_z,7,3,24|48|72,15.0,13.857142857142858,0.014298449182847728,0.01368605913922696,3,4,0,3,24|48|72,23,26
dist_ema_100_z,7,4,24|48|72|96,18.0,17.142857142857142,0.014019569450744063,0.015249119353398058,5,2,0,2,24|48,24,26
dist_ema_200_z,7,4,24|48|72|96,21.0,19.428571428571427,0.01576280617208864,0.015611765765592154,3,4,0,2,24|72,25,26
ema_slope_21_z,7,4,24|48|72|96,21.0,20.285714285714285,0.011568731343668925,0.013856905069619412,2,5,0,2,24|48,26,26
dist_to_high_72_sqrt_z,6,4,24|48|72|96,12.5,12.666666666666666,0.021284396346329615,0.019826051066004786,3,3,0,2,24|48,27,26
dist_ema_21_z,6,4,24|48|72|96,14.0,14.666666666666666,0.014318138530709623,0.014212993899312826,5,0,1,2,24|48,28,26
ema_spread_21_50_z,6,3,48|72|96,14.5,13.166666666666666,0.01745416538511199,0.01975306226736991,2,4,0,2,72|96,29,26
NATR_14_z,6,4,24|48|72|96,21.0,20.5,0.013000113281310427,0.01291933338679053,1,5,0,1,48,30,26
dist_ema_50_z,5,3,24|48|96,19.0,16.2,0.01760925393938184,0.017912806610013255,3,1,1,2,24|96,31,26
bb_pos_20_norm,5,4,24|48|72|96,15.0,13.6,0.017750840248389077,0.017881068764346874,1,3,1,1,48,32,26
MOM_pct_14_z,5,4,24|48|72|96,17.0,13.6,0.016109606675602073,0.016055036619732965,0,5,0,1,96,33,26
ADX_14_scaled,5,4,24|48|72|96,23.0,22.6,0.01253742033267602,0.015530167697710628,2,3,0,1,48,34,26
dist_to_low_72_sqrt_z,4,3,48|72|96,11.5,13.75,0.016997838032127816,0.017450803108014834,1,3,0,1,72,35,26
dist_to_low_24_sqrt_z,4,3,24|48|72,13.5,13.0,0.011995836188927411,0.015674859081966933,4,0,0,1,24,36,26
ema_slope_50_z,4,3,24|48|96,18.5,17.25,0.014694711042650549,0.015633626677814635,1,3,0,1,24,37,26
MOM_pct_30_z,4,3,24|48|72,20.5,20.5,0.01148993423753511,0.011676663687361699,2,2,0,1,72,38,26
price_pos_in_range_24_norm,4,4,24|48|72|96,8.0,7.5,0.030555456549260618,0.030289758940378372,1,0,3,0,,39,26
log_ret_6_z,4,4,24|48|72|96,9.5,8.5,0.016017022908327794,0.01683112374529583,2,2,0,0,,40,26
dist_to_low_168_sqrt_z,3,2,72|96,24.0,24.0,0.014562122227792296,0.013839622320887054,0,2,1,1,96,41,26
log_ret_24_z,3,2,24|48,24.0,23.666666666666668,0.011510293630421276,0.01493875271126155,1,2,0,1,24,42,26
volatility_24_sqrt_z,3,2,24|96,25.0,23.666666666666668,0.010844091137815759,0.013987508162452367,2,1,0,1,24,43,26
ret_accel_6_24_z,3,3,24|72|96,23.0,23.0,0.009311615904889159,0.008206936040378199,3,0,0,0,,44,26
range_sqrt_z,2,1,72,25.5,25.5,0.007002692114963377,0.007002692114963377,1,1,0,1,72,45,26
dist_ema_9_z,2,2,72|96,3.5,3.5,0.017175748203360125,0.017175748203360125,2,0,0,0,,46,26
ema_slope_9_z,2,2,24|96,17.0,17.0,0.013650675766536502,0.013650675766536502,1,1,0,0,,47,26
vol_expansion_72_log1p_z,2,2,24|48,24.5,24.5,0.006893740565906831,0.006893740565906831,1,1,0,0,,48,26
vol_ratio_72_log1p_z,1,1,96,26.0,26.0,0.008575408245626415,0.008575408245626415,0,1,0,0,,49,26
