z_window,feature,stability_count,median_union_rank,mean_union_rank,min_union_rank,median_best_rank,median_mean_rank,median_best_hie_norm,mean_best_hie_norm,median_best_p_value,median_regime_coverage_topk,n_entry_source,n_exit_source,n_both_tie_source,samples_seen,full_train_union_rank,full_train_best_rank,full_train_best_hie_norm,full_train_best_p_value,full_train_regime_coverage_topk,full_train_union_rank_filled,full_train_best_rank_filled,full_train_best_hie_norm_filled,full_train_regime_coverage_topk_filled,stable_hie_rank_within_z,is_stable_ge2,stability_rate,stability_top_k
24,ADX_30_scaled,2,4.5,4.5,4,3.0,5.0,0.016330915976807164,0.016330915976807164,0.0,2.0,2,0,0,early_train|mid_train,4.0,2.0,0.010842597028752898,0.0,1.0,4.0,2.0,0.010842597028752898,1.0,1,True,0.6666666666666666,7
24,dist_to_high_24_sqrt_z,2,5.0,5.0,3,3.0,10.75,0.013873602126452278,0.013873602126452278,0.0,1.0,2,0,0,early_train|mid_train,,,,,,10000.0,10000.0,-inf,0.0,2,True,0.6666666666666666,7
24,log_ret_72_z,1,1.0,1.0,1,1.0,1.0,0.045552554052298744,0.045552554052298744,0.0,2.0,0,0,1,late_train,,,,,,10000.0,10000.0,-inf,0.0,3,False,0.3333333333333333,7
24,price_pos_in_range_168_norm,1,1.0,1.0,1,1.0,6.0,0.026298265904396656,0.026298265904396656,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,4,False,0.3333333333333333,7
24,ADX_72_scaled,1,1.0,1.0,1,1.0,1.0,0.026134276242282484,0.026134276242282484,0.0,2.0,0,0,1,early_train,,,,,,10000.0,10000.0,-inf,0.0,5,False,0.3333333333333333,7
24,dist_to_high_72_sqrt_z,1,2.0,2.0,2,1.0,3.5,0.02072485150603165,0.02072485150603165,0.0,2.0,1,0,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,6,False,0.3333333333333333,7
24,MOM_pct_72_z,1,2.0,2.0,2,2.0,2.0,0.04497344803440867,0.04497344803440867,0.0,2.0,0,0,1,late_train,,,,,,10000.0,10000.0,-inf,0.0,7,False,0.3333333333333333,7
24,ema_spread_100_200_z,1,2.0,2.0,2,2.0,3.5,0.02579048110714688,0.02579048110714688,0.0,2.0,0,1,0,early_train,7.0,5.0,0.0069192759088438915,0.0,1.0,7.0,5.0,0.0069192759088438915,1.0,8,False,0.3333333333333333,7
24,RSI_72_bounded,1,3.0,3.0,3,2.0,2.0,0.01930957739619732,0.01930957739619732,0.0,2.0,0,0,1,mid_train,1.0,1.0,0.011085802973268444,0.0,2.0,1.0,1.0,0.011085802973268444,2.0,9,False,0.3333333333333333,7
24,ret_accel_72_168_z,1,3.0,3.0,3,3.0,3.0,0.04119148872410561,0.04119148872410561,0.0,2.0,0,0,1,late_train,,,,,,10000.0,10000.0,-inf,0.0,10,False,0.3333333333333333,7
24,ema_spread_50_100_z,1,4.0,4.0,4,3.0,5.0,0.022805065982765438,0.022805065982765438,0.0,2.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,11,False,0.3333333333333333,7
24,RSI_30_bounded,1,5.0,5.0,5,3.0,17.0,0.017804715271369287,0.017804715271369287,0.0,1.0,0,1,0,mid_train,5.0,3.0,0.0076109243614782,0.0,2.0,5.0,3.0,0.0076109243614782,2.0,12,False,0.3333333333333333,7
24,ret_accel_24_72_z,1,4.0,4.0,4,4.0,5.0,0.0365724267916141,0.0365724267916141,0.0,2.0,1,0,0,late_train,6.0,4.0,0.005790248832747369,0.0,1.0,6.0,4.0,0.005790248832747369,1.0,13,False,0.3333333333333333,7
24,ema_spread_9_21_z,1,5.0,5.0,5,4.0,7.5,0.02550175379130115,0.02550175379130115,0.0,2.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,14,False,0.3333333333333333,7
24,bb_pos_20_norm,1,6.0,6.0,6,4.0,7.0,0.017450986639411914,0.017450986639411914,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,15,False,0.3333333333333333,7
24,price_pos_in_range_72_norm,1,6.0,6.0,6,4.0,12.5,0.01821986080796556,0.01821986080796556,0.0,1.0,0,1,0,early_train,2.0,1.0,0.009918938128219035,0.0,1.0,2.0,1.0,0.009918938128219035,1.0,16,False,0.3333333333333333,7
24,log_ret_168_z,1,7.0,7.0,7,4.0,14.5,0.008314778371318554,0.008314778371318554,0.0,1.0,1,0,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,17,False,0.3333333333333333,7
24,price_pos_in_range_24_norm,1,6.0,6.0,6,5.0,5.0,0.030894198539293427,0.030894198539293427,0.0,2.0,0,0,1,late_train,,,,,,10000.0,10000.0,-inf,0.0,18,False,0.3333333333333333,7
24,dist_to_low_24_sqrt_z,1,7.0,7.0,7,6.0,11.0,0.029382527648788404,0.029382527648788404,0.0,1.0,1,0,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,19,False,0.3333333333333333,7
48,RSI_72_bounded,2,3.5,3.5,2,2.0,6.5,0.013785604721568367,0.013785604721568367,0.0,1.5,2,0,0,early_train|mid_train,3.0,2.0,0.010772649327063233,0.0,2.0,3.0,2.0,0.010772649327063233,2.0,1,True,0.6666666666666666,7
48,ret_accel_72_168_z,2,3.0,3.0,3,2.5,3.25,0.028474800193008826,0.028474800193008826,0.0,2.0,0,1,1,early_train|late_train,,,,,,10000.0,10000.0,-inf,0.0,2,True,0.6666666666666666,7
48,ema_spread_50_100_z,2,6.5,6.5,6,5.0,7.5,0.027104312042832868,0.027104312042832868,0.0,2.0,1,1,0,early_train|late_train,,,,,,10000.0,10000.0,-inf,0.0,3,True,0.6666666666666666,7
48,MOM_pct_72_z,1,1.0,1.0,1,1.0,1.5,0.040865450268938674,0.040865450268938674,0.0,2.0,1,0,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,4,False,0.3333333333333333,7
48,log_ret_72_z,1,2.0,2.0,2,1.0,1.5,0.04045723635437015,0.04045723635437015,0.0,2.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,5,False,0.3333333333333333,7
48,price_pos_in_range_168_norm,1,1.0,1.0,1,1.0,5.5,0.02593181254305249,0.02593181254305249,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,6,False,0.3333333333333333,7
48,ADX_72_scaled,1,1.0,1.0,1,1.0,1.5,0.023797864841631156,0.023797864841631156,0.0,2.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,7,False,0.3333333333333333,7
48,ema_slope_200_z,1,2.0,2.0,2,1.0,2.5,0.02035203213832193,0.02035203213832193,0.0,2.0,1,0,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,8,False,0.3333333333333333,7
48,ADX_30_scaled,1,3.0,3.0,3,2.0,4.5,0.017693416365659798,0.017693416365659798,0.0,2.0,1,0,0,mid_train,1.0,1.0,0.010952555099637773,0.0,1.0,1.0,1.0,0.010952555099637773,1.0,9,False,0.3333333333333333,7
48,log_ret_168_z,1,4.0,4.0,4,2.0,12.5,0.020202226855457306,0.020202226855457306,0.0,1.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,10,False,0.3333333333333333,7
48,ema_spread_100_200_z,1,4.0,4.0,4,3.0,8.5,0.02041854510089347,0.02041854510089347,0.0,2.0,0,1,0,early_train,6.0,3.0,0.009433415602975725,0.0,1.0,6.0,3.0,0.009433415602975725,1.0,11,False,0.3333333333333333,7
48,bb_width_20_sqrt_z,1,5.0,5.0,5,3.0,12.0,0.018614339278651637,0.018614339278651637,0.0,1.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,12,False,0.3333333333333333,7
48,dist_ema_50_z,1,6.0,6.0,6,3.0,18.0,0.01760925393938184,0.01760925393938184,0.0,1.0,1,0,0,mid_train,7.0,4.0,0.0061753742143703105,0.0,1.0,7.0,4.0,0.0061753742143703105,1.0,13,False,0.3333333333333333,7
48,ret_accel_24_72_z,1,4.0,4.0,4,4.0,4.5,0.03536012554529977,0.03536012554529977,0.0,2.0,1,0,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,14,False,0.3333333333333333,7
48,volatility_168_sqrt_z,1,5.0,5.0,5,4.0,5.0,0.030548523071461886,0.030548523071461886,0.0,2.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,15,False,0.3333333333333333,7
48,RSI_14_bounded,1,7.0,7.0,7,4.0,7.0,0.014830028944067264,0.014830028944067264,0.0,2.0,1,0,0,mid_train,4.0,2.0,0.009607337343090272,0.0,2.0,4.0,2.0,0.009607337343090272,2.0,16,False,0.3333333333333333,7
48,ema_spread_21_50_z,1,6.0,6.0,6,4.0,7.0,0.013387669212129527,0.013387669212129527,0.0,2.0,1,0,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,17,False,0.3333333333333333,7
48,price_pos_in_range_72_norm,1,7.0,7.0,7,6.0,8.5,0.025517922040762975,0.025517922040762975,0.0,2.0,0,1,0,late_train,2.0,1.0,0.010024271397473361,0.0,1.0,2.0,1.0,0.010024271397473361,1.0,18,False,0.3333333333333333,7
72,ret_accel_72_168_z,2,3.5,3.5,1,2.5,4.25,0.03447298901428192,0.03447298901428192,0.0,2.0,0,1,1,early_train|late_train,,,,,,10000.0,10000.0,-inf,0.0,1,True,0.6666666666666666,7
72,volatility_168_sqrt_z,2,4.0,4.0,1,2.5,7.5,0.029092165315713236,0.029092165315713236,0.0,1.5,1,1,0,late_train|mid_train,,,,,,10000.0,10000.0,-inf,0.0,2,True,0.6666666666666666,7
72,ema_spread_100_200_z,2,5.5,5.5,4,4.0,5.25,0.026101454556789583,0.026101454556789583,0.0,2.0,0,2,0,early_train|late_train,2.0,1.0,0.011016189051620828,0.0,2.0,2.0,1.0,0.011016189051620828,2.0,3,True,0.6666666666666666,7
72,log_ret_72_z,1,2.0,2.0,2,1.0,1.5,0.036520747957352995,0.036520747957352995,0.0,2.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,4,False,0.3333333333333333,7
72,price_pos_in_range_168_norm,1,1.0,1.0,1,1.0,7.0,0.026985460031919373,0.026985460031919373,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,5,False,0.3333333333333333,7
72,dist_ema_9_z,1,2.0,2.0,2,1.0,4.0,0.017892757523676306,0.017892757523676306,0.0,2.0,1,0,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,6,False,0.3333333333333333,7
72,MOM_pct_72_z,1,3.0,3.0,3,2.0,2.5,0.03637403816908724,0.03637403816908724,0.0,2.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,7,False,0.3333333333333333,7
72,ADX_72_scaled,1,2.0,2.0,2,2.0,2.0,0.02291845702815254,0.02291845702815254,0.0,2.0,0,0,1,early_train,,,,,,10000.0,10000.0,-inf,0.0,8,False,0.3333333333333333,7
72,log_ret_6_z,1,3.0,3.0,3,2.0,4.5,0.02283212118494904,0.02283212118494904,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,9,False,0.3333333333333333,7
72,RSI_72_bounded,1,4.0,4.0,4,2.0,5.0,0.017351406726651697,0.017351406726651697,0.0,2.0,1,0,0,mid_train,1.0,1.0,0.011037132812934725,0.0,2.0,1.0,1.0,0.011037132812934725,2.0,10,False,0.3333333333333333,7
72,dist_to_high_168_sqrt_z,1,5.0,5.0,5,3.0,5.5,0.02095513845798397,0.02095513845798397,0.0,2.0,0,1,0,mid_train,3.0,2.0,0.010692175138902082,0.0,2.0,3.0,2.0,0.010692175138902082,2.0,11,False,0.3333333333333333,7
72,MOM_pct_14_z,1,3.0,3.0,3,3.0,6.0,0.02069066605258829,0.02069066605258829,0.0,2.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,12,False,0.3333333333333333,7
72,ADX_30_scaled,1,6.0,6.0,6,3.0,6.5,0.016971496578713607,0.016971496578713607,0.0,2.0,1,0,0,mid_train,4.0,2.0,0.010790979227945474,0.0,1.0,4.0,2.0,0.010790979227945474,1.0,13,False,0.3333333333333333,7
72,dist_to_low_24_sqrt_z,1,4.0,4.0,4,3.0,10.0,0.013022915875580354,0.013022915875580354,0.0,1.0,1,0,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,14,False,0.3333333333333333,7
72,ret_accel_24_72_z,1,5.0,5.0,5,4.0,8.5,0.036178150239206286,0.036178150239206286,0.0,2.0,1,0,0,late_train,7.0,5.0,0.0070547311882703245,0.0,2.0,7.0,5.0,0.0070547311882703245,2.0,15,False,0.3333333333333333,7
72,ema_slope_100_z,1,5.0,5.0,5,4.0,5.0,0.018321113607148498,0.018321113607148498,0.0,2.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,16,False,0.3333333333333333,7
72,ema_slope_200_z,1,6.0,6.0,6,4.0,7.5,0.015301651010890538,0.015301651010890538,0.0,2.0,1,0,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,17,False,0.3333333333333333,7
72,price_pos_in_range_72_norm,1,7.0,7.0,7,5.0,9.0,0.02648214226805984,0.02648214226805984,0.0,2.0,0,1,0,late_train,6.0,4.0,0.00864020802496368,0.0,1.0,6.0,4.0,0.00864020802496368,1.0,18,False,0.3333333333333333,7
96,MOM_pct_72_z,3,2.0,2.6666666666666665,1,1.0,4.0,0.029557403739627064,0.02795269759240378,0.0,2.0,0,3,0,early_train|late_train|mid_train,,,,,,10000.0,10000.0,-inf,0.0,1,True,1.0,7
96,log_ret_72_z,3,4.0,4.333333333333333,3,2.0,3.0,0.03006501339783102,0.02796525535643657,0.0,2.0,1,2,0,early_train|late_train|mid_train,,,,,,10000.0,10000.0,-inf,0.0,2,True,1.0,7
96,ret_accel_72_168_z,2,3.0,3.0,1,2.0,4.0,0.036165335250473774,0.036165335250473774,0.0,2.0,0,1,1,early_train|late_train,2.0,1.0,0.009713108455845332,0.0,2.0,2.0,1.0,0.009713108455845332,2.0,3,True,0.6666666666666666,7
96,ema_spread_100_200_z,2,4.5,4.5,2,2.5,6.75,0.02349134094476013,0.02349134094476013,0.0,2.0,1,1,0,late_train|mid_train,5.0,3.0,0.008968579836533153,0.0,1.0,5.0,3.0,0.008968579836533153,1.0,4,True,0.6666666666666666,7
96,volatility_72_sqrt_z,1,1.0,1.0,1,1.0,3.5,0.03226722895124001,0.03226722895124001,0.0,2.0,1,0,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,5,False,0.3333333333333333,7
96,ADX_30_scaled,1,3.0,3.0,3,2.0,7.5,0.03142241859362466,0.03142241859362466,0.0,2.0,1,0,0,late_train,3.0,2.0,0.010839245164116496,0.0,1.0,3.0,2.0,0.010839245164116496,1.0,6,False,0.3333333333333333,7
96,dist_to_high_168_sqrt_z,1,2.0,2.0,2,2.0,6.0,0.023895171992174224,0.023895171992174224,0.0,2.0,0,1,0,early_train,7.0,4.0,0.007776284717077364,0.0,2.0,7.0,4.0,0.007776284717077364,2.0,7,False,0.3333333333333333,7
