trial_number,study_name,bandit_name,method_group,set_name,z_window,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,objective_metric_name,constraints_values,cv_min_symbol_trades,cv_finite_objective,observed_dro_minimax_median,observed_dro_pure_min_median,dro_alpha,observed_median_max_drawdown_abs,observed_median_profit_factor,observed_median_total_trades,observed_median_min_symbol_trades,n_seeds,seeds_used,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_min,dro_minimax_max,dro_pure_min_median,dro_pure_min_mean,dro_pure_min_std,h1_mean_aggregate_median,h2_mean_aggregate_median,full_mean_aggregate_median,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_min_symbol_trades,median_holding_bars_overall,mean_holding_bars_overall,p25_holding_bars_overall,p75_holding_bars_overall,share_trades_closed_before_horizon_overall,share_trades_closed_after_horizon_overall,median_time_between_entries_overall,forced_singleton_ratio_overall,decision_point_ratio_overall,bandit_consulted_ratio_overall,pending_update_queued_ratio_overall,param_bandit_type,param_reward_clip,param_lambda_prior,param_discount_factor,param_noise_std,optuna_param_lambda_prior,optuna_param_one_minus_gamma,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha,param_window_size,optuna_param_window_size,diagnostic_rank
3,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,445.7148152690879,-3.2134059093829697,True,dro_minimax_median,"[-101.0, 0.0]",-101.0,0.0,-3.2134059093829697,-3.834590391163621,0.5,7.593931985421903,0.7613782924238575,478.0,151.0,2,3142|3143,-3.2134059093829697,-3.2134059093829697,0.8363908851657768,-3.8048235760063096,-2.62198824275963,-3.834590391163621,-3.834590391163621,0.653802139214897,-1.3498524640410163,-3.834590391163621,-5.100339133749902,7.593931985421903,0.7613782924238575,478.0,151.0,4.0,6.386877331577793,4.0,6.5,0.8524659863945578,0.1475340136054421,9.0,0.31575,0.68425,0.68425,0.6815,discounted_lints,0.1,6.892590636575401,0.9977564129220244,0.0017980330440959,6.892590636575401,0.0022435870779755,0.0017980330440959,,,,,1
0,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,325.0,-3.4200676919982205,True,dro_minimax_median,"[-138.0, 0.0]",-138.0,0.0,-3.4200676919982205,-4.071977463835657,0.5,8.394740868221373,0.7862886159685408,612.0,188.0,2,3142|3143,-3.4200676919982205,-3.4200676919982205,1.4434292607389103,-4.440726310429789,-2.399409073566652,-4.071977463835657,-4.071977463835657,1.90861057606451,-1.4643383764859093,-4.071977463835657,-5.47758404331139,8.394740868221373,0.7862886159685408,612.0,188.0,4.0,5.47559331175836,4.0,5.5,0.9240156418554476,0.0759843581445523,7.5,0.423,0.577,0.577,0.5745,discounted_lints,0.1,1.0,0.9969230769230768,0.03,1.0,0.003076923076923,0.03,,,,,2
4,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,400.9735384437913,-3.495681874799429,True,dro_minimax_median,"[-77.0, 0.0]",-77.0,0.0,-3.495681874799429,-4.476578540907292,0.5,8.515198085304672,0.7430005671068675,446.0,127.0,2,3142|3143,-3.495681874799429,-3.495681874799429,0.5329874543534144,-3.872560918060084,-3.1188028315387744,-4.476578540907292,-4.476578540907292,0.3527043884655219,-0.552991876475839,-4.476578540907292,-5.002719783509881,8.515198085304672,0.7430005671068675,446.0,127.0,4.0,6.823304840568575,4.0,7.5,0.7914665770265079,0.2085334229734921,9.75,0.28925,0.71075,0.71075,0.706,discounted_lints,0.1,12.246911350285094,0.9975060698422118,0.0012722065771341,12.246911350285094,0.0024939301577881,0.0012722065771341,,,,,3
6,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,248.9730154119576,-3.90719102923367,True,dro_minimax_median,"[-108.5, 0.0]",-108.5,0.0,-3.90719102923367,-4.855274559048478,0.5,8.865553872057674,0.7058999744726961,513.5,158.5,2,3142|3143,-3.90719102923367,-3.90719102923367,0.2551295364648359,-4.087594854548936,-3.726787203918404,-4.855274559048478,-4.855274559048478,0.7477569820811204,-1.0629404397892432,-4.855274559048478,-5.863017839729173,8.865553872057674,0.7058999744726961,513.5,158.5,4.0,6.059338908801275,4.0,6.0,0.8598087915078934,0.1401912084921067,8.0,0.34325,0.65675,0.65675,0.6545000000000001,discounted_lints,0.1,3.881977878950751,0.995983500467529,0.0029315975673219,3.881977878950751,0.0040164995324709,0.0029315975673219,,,,,4
8,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,438.2102779326347,-4.047259836404862,True,dro_minimax_median,"[-100.0, 0.0]",-100.0,0.0,-4.047259836404862,-4.889831968821812,0.5,10.104881573505017,0.6917217051077584,485.5,150.0,2,3142|3143,-4.047259836404862,-4.047259836404862,0.9222444389451472,-4.699385133094559,-3.395134539715166,-4.889831968821812,-4.889831968821812,1.0897353407244292,-1.5195434391540124,-4.889831968821812,-6.343644287342412,10.104881573505017,0.6917217051077584,485.5,150.0,4.0,6.1793719978651485,4.0,5.875,0.8498043052837574,0.1501956947162426,9.0,0.3249999999999999,0.675,0.675,0.6719999999999999,discounted_lints,0.1,9.252522586959364,0.9977179905393416,0.0034585885074762,9.252522586959364,0.0022820094606583,0.0034585885074762,,,,,5
5,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,394.99010129390905,-4.136018995514712,True,dro_minimax_median,"[-89.0, 0.0]",-89.0,0.0,-4.136018995514712,-4.917452989121044,0.5,9.23396914356523,0.6728394074821143,477.0,139.0,2,3142|3143,-4.136018995514712,-4.136018995514712,0.3063857283734411,-4.352666421706352,-3.919371569323072,-4.917452989121044,-4.917452989121044,0.152708077122717,-1.791717014695715,-4.917452989121044,-6.6232346431109885,9.23396914356523,0.6728394074821143,477.0,139.0,4.0,6.5555989728703805,4.0,6.5,0.8135722526143426,0.1864277473856574,9.0,0.3279999999999999,0.672,0.672,0.6675,discounted_lints,0.1,1.3695054194583711,0.9974682909857128,0.0023700536207239,1.3695054194583711,0.0025317090142871,0.0023700536207239,,,,,6
1,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,360.83330673168297,-4.143318086443372,True,dro_minimax_median,"[-104.5, 0.0]",-104.5,0.0,-4.143318086443372,-4.857092658149262,0.5,9.770096401623524,0.7116749671967828,524.0,154.5,2,3142|3143,-4.143318086443372,-4.143318086443372,1.1372554753449904,-4.947479145001346,-3.339157027885399,-4.857092658149262,-4.857092658149262,1.4060125275010185,-2.001994371325703,-4.857092658149262,-6.763143758206328,9.770096401623524,0.7116749671967828,524.0,154.5,4.0,5.855833120368004,4.0,6.0,0.8681539837622128,0.1318460162377872,8.0,0.354,0.646,0.646,0.643,discounted_lints,0.1,3.672477322050449,0.9972286372090824,0.0124967214738945,3.672477322050449,0.0027713627909177,0.0124967214738945,,,,,7
10,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,204.78632684902857,-4.265053221998974,True,dro_minimax_median,"[-145.5, 0.0]",-145.5,0.0,-4.265053221998974,-5.057233503601998,0.5,10.223237316872542,0.7133709563635788,603.5,195.5,2,3142|3143,-4.265053221998974,-4.265053221998974,0.5461573743833091,-4.651244805020452,-3.878861638977496,-5.057233503601998,-5.057233503601998,0.8246385479625338,-1.8885123771899028,-5.057233503601998,-6.859994888459422,10.223237316872542,0.7133709563635788,603.5,195.5,4.0,5.467014069828036,4.0,5.0,0.9095693779904306,0.0904306220095693,7.5,0.3925,0.6074999999999999,0.6074999999999999,0.605,discounted_lints,0.1,1.0633935537036452,0.9951168614849116,0.0141825635238722,1.0633935537036452,0.0048831385150885,0.0141825635238722,,,,,8
2,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,296.02642818562515,-4.275960335554455,True,dro_minimax_median,"[-120.5, 0.0]",-120.5,0.0,-4.275960335554455,-5.232641011054704,0.5,8.584117690020964,0.7830647328225608,543.0,170.5,2,3142|3143,-4.275960335554455,-4.275960335554455,0.8561146170435482,-4.881324786738872,-3.670595884370037,-5.232641011054704,-5.232641011054704,1.015694354391015,-1.405918309053705,-5.232641011054704,-6.542188615585328,8.584117690020964,0.7830647328225608,543.0,170.5,4.0,5.964013703672244,4.0,6.0,0.8720941002130221,0.1279058997869778,8.5,0.3615,0.6385000000000001,0.6385000000000001,0.636,discounted_lints,0.1,24.45058168692544,0.996621923231216,0.0195878751933235,24.45058168692544,0.0033780767687841,0.0195878751933235,,,,,9
12,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,272.80861110194985,-4.495600078551105,True,dro_minimax_median,"[-134.0, 0.0]",-134.0,0.0,-4.495600078551105,-5.06570340163112,0.5,9.895778012020545,0.6823263058553901,577.0,184.0,2,3142|3143,-4.495600078551105,-4.495600078551105,1.4300824982612232,-5.506821110727815,-3.4843790463743947,-5.06570340163112,-5.06570340163112,1.4083292706705186,-2.78529010931106,-5.06570340163112,-7.691919141275708,9.895778012020545,0.6823263058553901,577.0,184.0,4.0,5.604113438937149,4.0,5.5,0.9017049268358168,0.0982950731641831,8.5,0.385,0.615,0.615,0.61225,discounted_lints,0.1,1.261354609994546,0.9963344265565492,0.021758681000864,1.261354609994546,0.0036655734434507,0.021758681000864,,,,,10
