number,value,params_lambda_prior,params_noise_std,params_one_minus_gamma,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-3.4200676919982205,1.0,0.03,0.003076923076923077,0.577,"[-138.0, 0.0]",0.0,-138.0,0.577,0.5,-2.399409073566652,-3.4200676919982205,-3.4200676919982205,-4.440726310429789,1.4434292607389103,-4.071977463835657,-4.071977463835657,1.90861057606451,0.423,-5.47758404331139,-1.4643383764859093,-4.071977463835657,5.47559331175836,4.0,8.394740868221373,188.0,0.7862886159685408,7.5,612.0,325.0,2,dro_minimax_median,-3.4200676919982205,-3.4200676919982205,-4.071977463835657,8.394740868221373,188.0,0.7862886159685408,612.0,4.0,5.5,0.5745,3142|3143,0.07598435814455232,0.9240156418554477,True,COMPLETE
1,-4.143318086443372,3.672477322050449,0.012496721473894587,0.002771362790917757,0.646,"[-104.5, 0.0]",0.0,-104.5,0.646,0.5,-3.339157027885399,-4.143318086443372,-4.143318086443372,-4.947479145001346,1.1372554753449904,-4.857092658149262,-4.857092658149262,1.4060125275010185,0.354,-6.763143758206328,-2.001994371325703,-4.857092658149262,5.855833120368004,4.0,9.770096401623523,154.5,0.7116749671967828,8.0,524.0,360.83330673168297,2,dro_minimax_median,-4.143318086443372,-4.143318086443372,-4.857092658149262,9.770096401623523,154.5,0.7116749671967828,524.0,4.0,6.0,0.643,3142|3143,0.13184601623778724,0.8681539837622128,True,COMPLETE
2,-4.275960335554455,24.45058168692544,0.019587875193323546,0.0033780767687841165,0.6385000000000001,"[-120.5, 0.0]",0.0,-120.5,0.6385000000000001,0.5,-3.6705958843700373,-4.275960335554455,-4.275960335554455,-4.881324786738872,0.8561146170435482,-5.232641011054704,-5.232641011054704,1.015694354391015,0.3615,-6.542188615585328,-1.405918309053705,-5.232641011054704,5.964013703672244,4.0,8.584117690020964,170.5,0.7830647328225608,8.5,543.0,296.02642818562515,2,dro_minimax_median,-4.275960335554455,-4.275960335554455,-5.232641011054704,8.584117690020964,170.5,0.7830647328225608,543.0,4.0,6.0,0.636,3142|3143,0.12790589978697786,0.8720941002130221,True,COMPLETE
3,-3.2134059093829697,6.892590636575401,0.0017980330440959514,0.002243587077975584,0.68425,"[-101.0, 0.0]",0.0,-101.0,0.68425,0.5,-2.62198824275963,-3.2134059093829697,-3.2134059093829697,-3.8048235760063096,0.8363908851657768,-3.834590391163621,-3.834590391163621,0.653802139214897,0.31575,-5.100339133749902,-1.3498524640410163,-3.834590391163621,6.386877331577793,4.0,7.593931985421903,151.0,0.7613782924238575,9.0,478.0,445.71481526908786,2,dro_minimax_median,-3.2134059093829697,-3.2134059093829697,-3.834590391163621,7.593931985421903,151.0,0.7613782924238575,478.0,4.0,6.5,0.6815,3142|3143,0.14753401360544216,0.8524659863945578,True,COMPLETE
4,-3.495681874799429,12.246911350285094,0.0012722065771341776,0.0024939301577881568,0.71075,"[-77.0, 0.0]",0.0,-77.0,0.71075,0.5,-3.1188028315387744,-3.495681874799429,-3.495681874799429,-3.872560918060084,0.5329874543534144,-4.476578540907292,-4.476578540907292,0.3527043884655219,0.28925,-5.002719783509881,-0.552991876475839,-4.476578540907292,6.823304840568575,4.0,8.515198085304672,127.0,0.7430005671068675,9.75,446.0,400.9735384437913,2,dro_minimax_median,-3.495681874799429,-3.495681874799429,-4.476578540907292,8.515198085304672,127.0,0.7430005671068675,446.0,4.0,7.5,0.706,3142|3143,0.20853342297349214,0.7914665770265079,True,COMPLETE
5,-4.136018995514712,1.3695054194583711,0.002370053620723945,0.0025317090142871904,0.672,"[-89.0, 0.0]",0.0,-89.0,0.672,0.5,-3.919371569323072,-4.136018995514712,-4.136018995514712,-4.352666421706352,0.3063857283734411,-4.917452989121044,-4.917452989121044,0.15270807712271708,0.32799999999999996,-6.6232346431109885,-1.791717014695715,-4.917452989121044,6.5555989728703805,4.0,9.23396914356523,139.0,0.6728394074821143,9.0,477.0,394.99010129390905,2,dro_minimax_median,-4.136018995514712,-4.136018995514712,-4.917452989121044,9.23396914356523,139.0,0.6728394074821143,477.0,4.0,6.5,0.6675,3142|3143,0.1864277473856574,0.8135722526143426,True,COMPLETE
6,-3.90719102923367,3.881977878950751,0.00293159756732199,0.004016499532470909,0.65675,"[-108.5, 0.0]",0.0,-108.5,0.65675,0.5,-3.726787203918404,-3.90719102923367,-3.90719102923367,-4.087594854548936,0.2551295364648359,-4.855274559048478,-4.855274559048478,0.7477569820811204,0.34325,-5.863017839729173,-1.0629404397892432,-4.855274559048478,6.059338908801275,4.0,8.865553872057674,158.5,0.7058999744726961,8.0,513.5,248.97301541195756,2,dro_minimax_median,-3.90719102923367,-3.90719102923367,-4.855274559048478,8.865553872057674,158.5,0.7058999744726961,513.5,4.0,6.0,0.6545000000000001,3142|3143,0.1401912084921067,0.8598087915078934,True,COMPLETE
7,-4.570818928735388,26.83651039728718,0.0030827229826808676,0.0033351958654280777,0.6839999999999999,"[-98.5, 0.0]",0.0,-98.5,0.6839999999999999,0.5,-4.466535411958647,-4.570818928735388,-4.570818928735388,-4.675102445512129,0.14747916375762943,-5.552920188284606,-5.552920188284606,0.25789212706155845,0.316,-7.089137368493237,-1.6245151500877333,-5.552920188284606,6.379350649350649,4.0,8.781113584552013,148.5,0.6937260435539074,9.0,484.0,299.83246572286345,2,dro_minimax_median,-4.570818928735388,-4.570818928735388,-5.552920188284606,8.781113584552013,148.5,0.6937260435539074,484.0,4.0,6.5,0.6799999999999999,3142|3143,0.161986661986662,0.838013338013338,True,COMPLETE
8,-4.047259836404862,9.252522586959365,0.003458588507476259,0.002282009460658356,0.675,"[-100.0, 0.0]",0.0,-100.0,0.675,0.5,-3.395134539715166,-4.047259836404862,-4.047259836404862,-4.699385133094559,0.9222444389451472,-4.889831968821812,-4.889831968821812,1.0897353407244292,0.32499999999999996,-6.3436442873424115,-1.5195434391540124,-4.889831968821812,6.1793719978651485,4.0,10.104881573505015,150.0,0.6917217051077584,9.0,485.5,438.2102779326347,2,dro_minimax_median,-4.047259836404862,-4.047259836404862,-4.889831968821812,10.104881573505015,150.0,0.6917217051077584,485.5,4.0,5.875,0.6719999999999999,3142|3143,0.15019569471624267,0.8498043052837574,True,COMPLETE
9,-4.504134703639872,0.5518655471519581,0.0043422597619205555,0.0035830175717200237,0.63725,"[-118.5, 0.0]",0.0,-118.5,0.63725,0.5,-3.771581601064693,-4.504134703639872,-4.504134703639872,-5.236687806215052,1.0359865328203077,-5.351561377684977,-5.351561377684977,1.9292609173942943,0.36275,-7.231018214778958,-1.9618546815045599,-5.351561377684977,5.639481555333997,4.0,8.953190408177175,168.5,0.6545191965148296,8.0,536.5,279.09436110299373,2,dro_minimax_median,-4.504134703639872,-4.504134703639872,-5.351561377684977,8.953190408177175,168.5,0.6545191965148296,536.5,4.0,5.5,0.6355,3142|3143,0.10626453971419077,0.8937354602858092,True,COMPLETE
10,-4.265053221998974,1.0633935537036452,0.0141825635238722,0.004883138515088531,0.6074999999999999,"[-145.5, 0.0]",0.0,-145.5,0.6074999999999999,0.5,-3.8788616389774964,-4.265053221998974,-4.265053221998974,-4.651244805020452,0.5461573743833091,-5.057233503601998,-5.057233503601998,0.8246385479625338,0.3925,-6.859994888459422,-1.8885123771899028,-5.057233503601998,5.467014069828036,4.0,10.223237316872542,195.5,0.7133709563635788,7.5,603.5,204.78632684902857,2,dro_minimax_median,-4.265053221998974,-4.265053221998974,-5.057233503601998,10.223237316872542,195.5,0.7133709563635788,603.5,4.0,5.0,0.605,3142|3143,0.09043062200956938,0.9095693779904306,True,COMPLETE
11,-5.0472060755478765,0.6158670898160412,0.025032063297279243,0.0028115033943557936,0.59475,"[-129.5, 0.0]",0.0,-129.5,0.59475,0.5,-4.758344845896578,-5.0472060755478765,-5.0472060755478765,-5.336067305199176,0.4085114686166364,-5.758407214420361,-5.758407214420361,0.6479360229309845,0.40525,-8.532763251492135,-2.9136026589304276,-5.758407214420361,5.3532637904920115,4.0,9.8677290332299,179.5,0.6789102274162112,7.75,600.5,355.681590855462,2,dro_minimax_median,-5.0472060755478765,-5.0472060755478765,-5.758407214420361,9.8677290332299,179.5,0.6789102274162112,600.5,4.0,5.0,0.59075,3142|3143,0.08214442761518542,0.9178555723848145,True,COMPLETE
12,-4.495600078551105,1.261354609994546,0.021758681000864026,0.003665573443450784,0.615,"[-134.0, 0.0]",0.0,-134.0,0.615,0.5,-3.4843790463743947,-4.495600078551105,-4.495600078551105,-5.506821110727815,1.4300824982612232,-5.06570340163112,-5.06570340163112,1.4083292706705186,0.385,-7.691919141275708,-2.78529010931106,-5.06570340163112,5.604113438937149,4.0,9.895778012020545,184.0,0.6823263058553901,8.5,577.0,272.80861110194985,2,dro_minimax_median,-4.495600078551105,-4.495600078551105,-5.06570340163112,9.895778012020545,184.0,0.6823263058553901,577.0,4.0,5.5,0.61225,3142|3143,0.09829507316418312,0.9017049268358168,True,COMPLETE
13,-4.862935390362428,2.4153255317850553,0.03830241180132438,0.0025262850113882407,0.6032500000000001,"[-138.5, 0.0]",0.0,-138.5,0.6032500000000001,0.5,-4.847663785213795,-4.862935390362428,-4.862935390362428,-4.878206995511061,0.021597311120403286,-5.415392167923842,-5.415392167923842,0.09488365596285286,0.39675,-8.432068283891212,-3.2055650576781893,-5.415392167923842,6.055145830656559,4.5,9.316235741919055,188.5,0.6645470720436613,8.5,602.5,395.8381558264803,2,dro_minimax_median,-4.862935390362428,-4.862935390362428,-5.415392167923842,9.316235741919055,188.5,0.6645470720436613,602.5,4.0,6.5,0.5994999999999999,3142|3143,0.11873385012919896,0.881266149870801,True,COMPLETE
14,-5.466092446126298,6.9560000702029505,0.03588930392339075,0.005569527630936552,0.5660000000000001,"[-157.5, 0.0]",0.0,-157.5,0.5660000000000001,0.5,-4.422233512465125,-5.466092446126298,-5.466092446126298,-6.509951379787472,1.4762394611879484,-6.74252561993668,-6.74252561993668,2.231785872222507,0.434,-8.273179190822535,-1.6367929246951536,-6.74252561993668,5.456794425087107,4.0,10.927337249770968,207.5,0.7148074761490185,8.0,657.0,179.54844041806894,2,dro_minimax_median,-5.466092446126298,-5.466092446126298,-6.74252561993668,10.927337249770968,207.5,0.7148074761490185,657.0,4.0,5.875,0.563,3142|3143,0.07961672473867595,0.9203832752613241,True,COMPLETE
15,-4.957107773528068,3.7586010294627967,0.0380474835574948,0.003530506865752777,0.5725,"[-156.5, 0.0]",0.0,-156.5,0.5725,0.5,-4.484951131092945,-4.957107773528068,-4.957107773528068,-5.429264415963191,0.6677303272962948,-6.022696232562842,-6.022696232562842,0.913422157180867,0.4275,-7.691780607957082,-1.7603423964237472,-6.022696232562842,5.489204808136847,4.5,10.566618122658088,206.5,0.6964768050388379,8.0,645.5,283.2454483236869,2,dro_minimax_median,-4.957107773528068,-4.957107773528068,-6.022696232562842,10.566618122658088,206.5,0.6964768050388379,645.5,4.0,6.0,0.569,3142|3143,0.07949607027276931,0.9205039297272307,True,COMPLETE
