number,value,params_lambda_prior,params_one_minus_gamma,params_ucb_alpha,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.313726568942774,1.0,0.003076923076923077,0.1,0.61,"[-137.0, 0.0]",0.0,-137.0,0.61,0.5,-4.313726568942774,-4.313726568942774,-4.313726568942774,-4.313726568942774,0.0,-4.913518418278126,-4.913518418278126,0.0,0.39,-7.305285931571966,-2.5143510209367186,-4.913518418278126,5.8,4.0,9.203409235355842,187.0,0.7315657272977509,7.0,579.0,325.0,1,dro_minimax_median,-4.313726568942774,-4.313726568942774,-4.913518418278126,9.203409235355842,187.0,0.7315657272977509,579.0,4.0,5.0,0.608,3142,0.11282051282051282,0.8871794871794871,True,COMPLETE
1,-3.638733362039941,10.849298953354761,0.0030642138437545026,0.04743552925961268,0.6615,"[-112.0, 0.0]",0.0,-112.0,0.6615,0.5,-3.638733362039941,-3.638733362039941,-3.638733362039941,-3.638733362039941,0.0,-4.502988443741821,-4.502988443741821,0.0,0.3385,-5.495067993347732,-1.0459681169343,-4.502988443741821,6.165680473372781,4.0,7.54424114155775,162.0,0.7719580906066801,9.0,515.0,326.34798058830177,1,dro_minimax_median,-3.638733362039941,-3.638733362039941,-4.502988443741821,7.54424114155775,162.0,0.7719580906066801,515.0,4.0,6.0,0.657,3142,0.15976331360946747,0.8402366863905325,True,COMPLETE
2,-5.437968352749664,1.391787756481205,0.003938698768606472,0.005020523174778083,0.618,"[-137.0, 0.0]",0.0,-137.0,0.618,0.5,-5.437968352749664,-5.437968352749664,-5.437968352749664,-5.437968352749664,0.0,-6.567885298171006,-6.567885298171006,0.0,0.382,-8.488822006250237,-2.048217516485636,-6.567885298171006,5.059701492537314,4.0,9.829331284130905,187.0,0.674102679213409,7.0,579.0,253.89095707712733,1,dro_minimax_median,-5.437968352749664,-5.437968352749664,-6.567885298171006,9.829331284130905,187.0,0.674102679213409,579.0,4.0,5.0,0.6155,3142,0.06951871657754011,0.93048128342246,True,COMPLETE
3,-6.061415356981197,6.117025522674068,0.002964161000843622,0.011290461803700183,0.666,"[-91.0, 0.0]",0.0,-91.0,0.666,0.5,-6.061415356981197,-6.061415356981197,-6.061415356981197,-6.061415356981197,0.0,-7.673176147990865,-7.673176147990865,0.0,0.33399999999999996,-8.81907612267897,-1.2261329839521957,-7.673176147990865,5.910179640718563,4.0,11.253168068855334,141.0,0.6420562421851883,8.0,503.0,337.36359115290725,1,dro_minimax_median,-6.061415356981197,-6.061415356981197,-7.673176147990865,11.253168068855334,141.0,0.6420562421851883,503.0,4.0,6.0,0.6625,3142,0.1377245508982036,0.8622754491017964,True,COMPLETE
4,-5.179658204479433,9.083768330114676,0.0035427475845511733,0.14729544932820213,0.614,"[-128.0, 0.0]",0.0,-128.0,0.614,0.5,-5.179658204479433,-5.179658204479433,-5.179658204479433,-5.179658204479433,0.0,-6.2074120564982,-6.2074120564982,0.0,0.386,-8.193105025952427,-2.0963966484231342,-6.2074120564982,5.937823834196891,4.0,9.475213670183091,178.0,0.6637427895314595,7.0,568.0,282.26679325410896,1,dro_minimax_median,-5.179658204479433,-5.179658204479433,-6.2074120564982,9.475213670183091,178.0,0.6637427895314595,568.0,4.0,6.0,0.6115,3142,0.11917098445595854,0.8808290155440415,True,COMPLETE
5,-3.293043250669236,24.65495034413727,0.002513636103355032,0.05157440628995548,0.688,"[-97.0, 0.0]",0.0,-97.0,0.688,0.5,-3.293043250669236,-3.293043250669236,-3.293043250669236,-3.293043250669236,0.0,-4.195970796135957,-4.195970796135957,0.0,0.31200000000000006,-4.75230369013356,-0.584260614269072,-4.195970796135957,6.705128205128205,4.0,8.738859882729777,147.0,0.7284153557378611,10.0,481.0,397.830059277581,1,dro_minimax_median,-3.293043250669236,-3.293043250669236,-4.195970796135957,8.738859882729777,147.0,0.7284153557378611,481.0,4.0,7.0,0.683,3142,0.16326530612244897,0.8367346938775511,True,COMPLETE
6,-3.5479445116558512,12.395534255081989,0.002310301538253526,0.19603068042782174,0.638,"[-128.0, 0.0]",0.0,-128.0,0.638,0.5,-3.5479445116558512,-3.5479445116558512,-3.5479445116558512,-3.5479445116558512,0.0,-4.427220053726203,-4.427220053726203,0.0,0.362,-5.311403446630484,-0.9101178854447944,-4.427220053726203,5.928176795580111,4.0,7.542311194916918,178.0,0.7854280466575593,8.5,558.0,432.8439311675093,1,dro_minimax_median,-3.5479445116558512,-3.5479445116558512,-4.427220053726203,7.542311194916918,178.0,0.7854280466575593,558.0,4.0,6.0,0.635,3142,0.13812154696132597,0.861878453038674,True,COMPLETE
7,-3.592477011620526,24.36861883015971,0.004266485258811688,0.006552940772165069,0.674,"[-107.0, 0.0]",0.0,-107.0,0.674,0.5,-3.592477011620526,-3.592477011620526,-3.592477011620526,-3.592477011620526,0.0,-4.422510843325289,-4.422510843325289,0.0,0.32599999999999996,-5.465331070395937,-1.1023755165062377,-4.422510843325289,6.423312883435583,4.0,11.301241281872654,157.0,0.7610004503019792,9.0,489.0,234.38496545480214,1,dro_minimax_median,-3.592477011620526,-3.592477011620526,-4.422510843325289,11.301241281872654,157.0,0.7610004503019792,489.0,4.0,6.0,0.672,3142,0.16560509554140126,0.8343949044585988,True,COMPLETE
8,-3.6296656802150737,1.0945369323299512,0.004466174672201554,0.031321195184572555,0.632,"[-112.0, 0.0]",0.0,-112.0,0.632,0.5,-3.6296656802150737,-3.6296656802150737,-3.6296656802150737,-3.6296656802150737,0.0,-4.583607987399955,-4.583607987399955,0.0,0.368,-5.335272942115051,-0.7678387586604293,-4.583607987399955,5.967391304347826,4.0,8.793702026921013,162.0,0.7685231473144548,7.0,539.0,223.90525973473862,1,dro_minimax_median,-3.6296656802150737,-3.6296656802150737,-4.583607987399955,8.793702026921013,162.0,0.7685231473144548,539.0,4.0,6.0,0.63,3142,0.13043478260869565,0.8695652173913043,True,COMPLETE
9,-3.6503004298832336,17.884705297399734,0.0023207678406280087,0.023183366511948786,0.672,"[-81.0, 0.0]",0.0,-81.0,0.672,0.5,-3.6503004298832336,-3.6503004298832336,-3.6503004298832336,-3.6503004298832336,0.0,-4.331746652691167,-4.331746652691167,0.0,0.32799999999999996,-5.861122625995534,-1.6059617614594328,-4.331746652691167,6.585365853658536,4.0,9.378567808444293,131.0,0.7034808457686058,8.0,471.0,430.89187229059337,1,dro_minimax_median,-3.6503004298832336,-3.6503004298832336,-4.331746652691167,9.378567808444293,131.0,0.7034808457686058,471.0,4.0,7.0,0.6695,3142,0.17073170731707318,0.8292682926829268,True,COMPLETE
10,-6.282166791610498,21.62359315060289,0.004652460872329772,0.05844301090077387,0.664,"[-100.0, 0.0]",0.0,-100.0,0.664,0.5,-6.282166791610498,-6.282166791610498,-6.282166791610498,-6.282166791610498,0.0,-7.935245983959779,-7.935245983959779,0.0,0.33599999999999997,-9.122065415688427,-1.3229292145626588,-7.935245983959779,6.541666666666667,4.0,12.389440940521224,150.0,0.6493404144360004,9.0,490.0,214.94001291820402,1,dro_minimax_median,-6.282166791610498,-6.282166791610498,-7.935245983959779,12.389440940521224,150.0,0.6493404144360004,490.0,4.0,7.0,0.662,3142,0.15476190476190477,0.8452380952380952,True,COMPLETE
11,-3.584917773201828,28.37537704438988,0.002622457940674275,0.1172279573627483,0.668,"[-112.0, 0.0]",0.0,-112.0,0.668,0.5,-3.584917773201828,-3.584917773201828,-3.584917773201828,-3.584917773201828,0.0,-4.712340850533258,-4.712340850533258,0.0,0.33199999999999996,-4.888602910152159,-0.20264854120753592,-4.712340850533258,6.325301204819277,4.0,9.303872697550652,162.0,0.6925984320469313,9.0,518.0,381.32165419701045,1,dro_minimax_median,-3.584917773201828,-3.584917773201828,-4.712340850533258,9.303872697550652,162.0,0.6925984320469313,518.0,4.0,7.0,0.663,3142,0.15060240963855423,0.8493975903614458,True,COMPLETE
12,-5.055265044277245,9.427166079276995,0.002405903493126127,0.07652660489472932,0.6595,"[-110.0, 0.0]",0.0,-110.0,0.6595,0.5,-5.055265044277245,-5.055265044277245,-5.055265044277245,-5.055265044277245,0.0,-6.225953930262267,-6.225953930262267,0.0,0.3405,-7.640604775957047,-1.5431983863221792,-6.225953930262267,6.15934065934066,4.0,9.17495107127857,160.0,0.7174773505409868,8.0,512.0,415.64426954659064,1,dro_minimax_median,-5.055265044277245,-5.055265044277245,-6.225953930262267,9.17495107127857,160.0,0.7174773505409868,512.0,4.0,6.0,0.657,3142,0.15,0.85,True,COMPLETE
13,-3.5085561276487827,27.79450110861754,0.0031761485972510366,0.025293138679614243,0.668,"[-80.0, 0.0]",0.0,-80.0,0.668,0.5,-3.5085561276487827,-3.5085561276487827,-3.5085561276487827,-3.5085561276487827,0.0,-4.776996764878572,-4.776996764878572,0.0,0.33199999999999996,-4.488343818158787,0.2967657840405831,-4.776996764878572,6.475903614457831,4.0,8.183578324783126,130.0,0.7716750377536136,9.0,462.0,314.84673005082385,1,dro_minimax_median,-3.5085561276487827,-3.5085561276487827,-4.776996764878572,8.183578324783126,130.0,0.7716750377536136,462.0,4.0,7.0,0.6655,3142,0.18674698795180722,0.8132530120481928,True,COMPLETE
14,-3.790929943907555,19.461638556354135,0.0034022340117793146,0.037725677914276355,0.662,"[-94.0, 0.0]",0.0,-94.0,0.662,0.5,-3.790929943907555,-3.790929943907555,-3.790929943907555,-3.790929943907555,0.0,-4.690666365293694,-4.690666365293694,0.0,0.33799999999999997,-5.7079139501154765,-1.0917206797491381,-4.690666365293694,6.0,4.0,9.180603037169021,144.0,0.7428675026413405,8.0,500.0,293.9245203409791,1,dro_minimax_median,-3.790929943907555,-3.790929943907555,-4.690666365293694,9.180603037169021,144.0,0.7428675026413405,500.0,4.0,6.0,0.659,3142,0.13609467455621302,0.863905325443787,True,COMPLETE
