number,value,params_lambda_prior,params_one_minus_gamma,params_ucb_alpha,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.015739433676508,1.0,0.003076923076923077,0.1,0.7005,"[-94.0, 0.0]",0.0,-94.0,0.7005,0.5,-4.015739433676508,-4.015739433676508,-4.015739433676508,-4.015739433676508,0.0,-4.835319826065269,-4.835319826065269,0.0,0.2995,-6.358071805536954,-1.5569982565102265,-4.835319826065269,6.113333333333333,4.0,8.269851538161122,144.0,0.6424358184890782,8.0,474.0,325.0,1,dro_minimax_median,-4.015739433676508,-4.015739433676508,-4.835319826065269,8.269851538161122,144.0,0.6424358184890782,474.0,4.0,5.0,0.699,3142,0.15333333333333332,0.8466666666666667,True,COMPLETE
1,-4.368475279414914,7.81704884789038,0.002847451917166893,0.00702157848922566,0.7885,"[-37.0, 0.0]",0.0,-37.0,0.7885,0.5,-4.368475279414914,-4.368475279414914,-4.368475279414914,-4.368475279414914,0.0,-5.731625762799482,-5.731625762799482,0.0,0.21150000000000002,-5.993965969166903,-0.279023829261212,-5.731625762799482,7.481132075471698,4.0,8.537562870333348,87.0,0.6433433957957323,10.5,354.0,351.19118042736335,1,dro_minimax_median,-4.368475279414914,-4.368475279414914,-5.731625762799482,8.537562870333348,87.0,0.6433433957957323,354.0,4.0,7.0,0.7835,3142,0.16981132075471697,0.8301886792452831,True,COMPLETE
2,-5.076483726176397,2.590090864414888,0.003745408351713363,0.09949317499572201,0.7125,"[-92.0, 0.0]",0.0,-92.0,0.7125,0.5,-5.076483726176397,-5.076483726176397,-5.076483726176397,-5.076483726176397,0.0,-6.270888869322906,-6.270888869322906,0.0,0.2875,-7.688148364070268,-1.4932682967368678,-6.270888869322906,6.333333333333333,4.0,10.646250215200103,142.0,0.6510174567108641,8.0,469.0,266.99358416887793,1,dro_minimax_median,-5.076483726176397,-5.076483726176397,-6.270888869322906,10.646250215200103,142.0,0.6510174567108641,469.0,4.0,5.0,0.711,3142,0.1597222222222222,0.8402777777777778,True,COMPLETE
3,-2.170078695218176,0.5284870869571748,0.003089870527825383,0.008990555046899766,0.8565,"[-14.0, 0.0]",0.0,-14.0,0.8565,0.5,-2.170078695218176,-2.170078695218176,-2.170078695218176,-2.170078695218176,0.0,-2.513162737189449,-2.513162737189449,0.0,0.14349999999999996,-3.632214005278019,-1.1408265693043578,-2.513162737189449,6.796875,4.0,5.984277284554529,64.0,0.6576826480638313,11.5,224.0,323.63815603101955,1,dro_minimax_median,-2.170078695218176,-2.170078695218176,-2.513162737189449,5.984277284554529,64.0,0.6576826480638313,224.0,4.0,6.0,0.8515,3142,0.1875,0.8125,True,COMPLETE
4,-3.518173404531766,0.8550008245851656,0.002798964676574372,0.005529809358610238,0.8405,"[-28.0, 0.0]",0.0,-28.0,0.8405,0.5,-3.518173404531766,-3.518173404531766,-3.518173404531766,-3.518173404531766,0.0,-4.449530135678148,-4.449530135678148,0.0,0.15949999999999998,-5.1563049978458695,-0.7241032110926193,-4.449530135678148,6.942622950819672,4.0,7.462338443893268,78.0,0.6960912080345429,11.0,280.0,357.2749625493277,1,dro_minimax_median,-3.518173404531766,-3.518173404531766,-4.449530135678148,7.462338443893268,78.0,0.6960912080345429,280.0,4.0,6.0,0.837,3142,0.15,0.85,True,COMPLETE
5,-2.5621459600867924,0.794013557465884,0.003823985035472257,0.01728246248948247,0.8145,"[-42.0, 0.0]",0.0,-42.0,0.8145,0.5,-2.5621459600867924,-2.5621459600867924,-2.5621459600867924,-2.5621459600867924,0.0,-3.0526115551268718,-3.0526115551268718,0.0,0.1855,-4.1515404364100466,-1.0907491749665545,-3.0526115551268718,7.086021505376344,4.0,6.19487861419471,92.0,0.6900632095160286,10.0,297.0,261.5072995118302,1,dro_minimax_median,-2.5621459600867924,-2.5621459600867924,-3.0526115551268718,6.19487861419471,92.0,0.6900632095160286,297.0,4.0,7.0,0.8095,3142,0.17391304347826086,0.8260869565217391,True,COMPLETE
6,-3.6668416217730666,0.8576227141400418,0.0024736393299004448,0.027064385619619095,0.77,"[-47.0, 0.0]",0.0,-47.0,0.77,0.5,-3.6668416217730666,-3.6668416217730666,-3.6668416217730666,-3.6668416217730666,0.0,-4.551471196099551,-4.551471196099551,0.0,0.22999999999999998,-5.518447984907919,-1.012952898793614,-4.551471196099551,6.4,4.0,8.016887615912516,97.0,0.7240643324081528,10.0,367.0,404.26265377994554,1,dro_minimax_median,-3.6668416217730666,-3.6668416217730666,-4.551471196099551,8.016887615912516,97.0,0.7240643324081528,367.0,4.0,5.0,0.7655,3142,0.10434782608695652,0.8956521739130435,True,COMPLETE
7,-5.57400640872493,5.992910162312421,0.004707610191627692,0.006518015809119705,0.7125,"[-77.0, 0.0]",0.0,-77.0,0.7125,0.5,-5.57400640872493,-5.57400640872493,-5.57400640872493,-5.57400640872493,0.0,-6.546148815174757,-6.546148815174757,0.0,0.2875,-9.026385103905492,-2.657579189375451,-6.546148815174757,5.881889763779528,4.0,10.548067517238557,127.0,0.5142909324222167,8.0,428.0,212.42200592106425,1,dro_minimax_median,-5.57400640872493,-5.57400640872493,-6.546148815174757,10.548067517238557,127.0,0.5142909324222167,428.0,4.0,5.0,0.7075,3142,0.11464968152866242,0.8853503184713376,True,COMPLETE
8,-4.963215214787578,6.603258770682774,0.002425981197608498,0.049420204147644885,0.7305,"[-74.0, 0.0]",0.0,-74.0,0.7305,0.5,-4.963215214787578,-4.963215214787578,-4.963215214787578,-4.963215214787578,0.0,-6.486890890443249,-6.486890890443249,0.0,0.26949999999999996,-6.888332201531824,-0.39218818782056725,-6.486890890443249,6.837037037037037,4.0,9.516895738573371,124.0,0.6609203001148894,8.0,434.0,412.2043488984117,1,dro_minimax_median,-4.963215214787578,-4.963215214787578,-6.486890890443249,9.516895738573371,124.0,0.6609203001148894,434.0,4.0,6.0,0.729,3142,0.15555555555555556,0.8444444444444444,True,COMPLETE
9,-4.052713583665824,2.5022491932776565,0.005567857473993681,0.029469842445472315,0.7325,"[-77.0, 0.0]",0.0,-77.0,0.7325,0.5,-4.052713583665824,-4.052713583665824,-4.052713583665824,-4.052713583665824,0.0,-4.929888725532957,-4.929888725532957,0.0,0.26749999999999996,-6.308742714180194,-1.4211881580644237,-4.929888725532957,6.075187969924812,4.0,8.578182323795625,127.0,0.6632195654952522,7.0,431.0,179.60229849107932,1,dro_minimax_median,-4.052713583665824,-4.052713583665824,-4.929888725532957,8.578182323795625,127.0,0.6632195654952522,431.0,4.0,4.0,0.729,3142,0.13385826771653545,0.8661417322834646,True,COMPLETE
