number,value,params_lambda_prior,params_noise_std,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-3.6314090517319597,1.0,0.03,325,0.5785,"[-150.5, 0.0]",0.0,-150.5,0.5785,0.5,-3.0444274286811432,-3.6314090517319597,-3.6314090517319597,-4.218390674782777,0.8301173721822367,-4.090418401776381,-4.090418401776381,1.2723404250072088,0.4215,-6.263827190989295,-2.2543810015986985,-4.090418401776381,5.14594513323464,4.0,8.346361974307476,200.5,0.7145868033217915,7.0,637.5,325.0,2,dro_minimax_median,-3.6314090517319597,-3.6314090517319597,-4.090418401776381,8.346361974307476,200.5,0.7145868033217915,637.5,4.0,4.5,0.577,3142|3143,0.053565985979884184,0.9464340140201157,True,COMPLETE
1,-4.204015168140712,2.2077460784719025,0.0031017958555315532,450,0.6699999999999999,"[-106.5, 0.0]",0.0,-106.5,0.6699999999999999,0.5,-4.020677913011064,-4.204015168140712,-4.204015168140712,-4.387352423270361,0.259278032692605,-5.267520575594274,-5.267520575594274,0.3708619404385117,0.33,-6.2329874644980725,-1.013498945780028,-5.267520575594274,6.02294477112879,4.0,8.810174756184018,156.5,0.7152805157582379,8.5,517.5,450.0,2,dro_minimax_median,-4.204015168140712,-4.204015168140712,-5.267520575594274,8.810174756184018,156.5,0.7152805157582379,517.5,4.0,6.0,0.6659999999999999,3142|3143,0.12291018102156118,0.8770898189784389,True,COMPLETE
2,-4.4089447905494605,3.45412671442085,0.002029244778557403,200,0.6995,"[-93.0, 0.0]",0.0,-93.0,0.6995,0.5,-4.186450837766311,-4.4089447905494605,-4.4089447905494605,-4.63143874333261,0.3146539655719288,-5.608135799629007,-5.608135799629007,0.844892567658181,0.3005,-6.386839165741943,-0.8113717633108215,-5.608135799629007,7.376206339097633,4.0,10.332242607769599,143.0,0.7159410272321935,7.75,470.5,200.0,2,dro_minimax_median,-4.4089447905494605,-4.4089447905494605,-5.608135799629007,10.332242607769599,143.0,0.7159410272321935,470.5,4.0,5.5,0.6955,3142|3143,0.14819517504081264,0.8518048249591874,True,COMPLETE
3,-5.655487618873652,0.6548980993605484,0.03537352499256439,250,0.5825,"[-142.5, 0.0]",0.0,-142.5,0.5825,0.5,-5.122477942179838,-5.655487618873652,-5.655487618873652,-6.1884972955674655,0.7537895136564899,-6.788389014988531,-6.788389014988531,0.6767848213377317,0.4175,-8.85837905089519,-2.2567834305290155,-6.788389014988531,5.470554834523037,4.0,9.13791899091858,192.5,0.6802188427319771,8.0,617.5,250.0,2,dro_minimax_median,-5.655487618873652,-5.655487618873652,-6.788389014988531,9.13791899091858,192.5,0.6802188427319771,617.5,4.0,5.5,0.5795,3142|3143,0.07061161583387411,0.9293883841661259,True,COMPLETE
4,-5.024575738039513,1.0633842421893567,0.03950676940179653,450,0.5815,"[-128.5, 0.0]",0.0,-128.5,0.5815,0.5,-4.284305969754669,-5.024575738039513,-5.024575738039513,-5.764845506324356,1.046899546123214,-5.557878112637178,-5.557878112637178,1.201055967349035,0.4185,-8.771125121331059,-3.424668614246516,-5.557878112637178,5.628117941369344,4.0,12.307806916599084,178.5,0.6604878875832529,8.0,603.5,450.0,2,dro_minimax_median,-5.024575738039513,-5.024575738039513,-5.557878112637178,12.307806916599084,178.5,0.6604878875832529,603.5,4.0,6.0,0.58,3142|3143,0.08373205741626794,0.9162679425837321,True,COMPLETE
5,-5.1552638404499564,5.097223954365923,0.02332291138089192,275,0.6065,"[-130.0, 0.0]",0.0,-130.0,0.6065,0.5,-3.8526235850214086,-5.1552638404499564,-5.1552638404499564,-6.457904095878504,1.842211516120205,-5.587354123980665,-5.587354123980665,2.1260169998460774,0.39349999999999996,-9.216927020001135,-3.8589929898578323,-5.587354123980665,5.664264329145961,4.0,10.476409602824782,180.0,0.603569591700525,7.5,578.5,275.0,2,dro_minimax_median,-5.1552638404499564,-5.1552638404499564,-5.587354123980665,10.476409602824782,180.0,0.603569591700525,578.5,4.0,5.0,0.6025,3142|3143,0.09174665884749529,0.9082533411525047,True,COMPLETE
6,-4.156087420173202,0.8168822293425141,0.011401322426701976,350,0.636,"[-108.0, 0.0]",0.0,-108.0,0.636,0.5,-3.8066762288664124,-4.156087420173202,-4.156087420173202,-4.505498611479991,0.4941420455910017,-5.190467398182134,-5.190467398182134,0.31726859096469723,0.364,-6.178853767320256,-1.052947486146405,-5.190467398182134,5.3167652859960555,4.0,9.259091389911028,158.0,0.7444137659274381,7.5,527.0,350.0,2,dro_minimax_median,-4.156087420173202,-4.156087420173202,-5.190467398182134,9.259091389911028,158.0,0.7444137659274381,527.0,4.0,4.5,0.633,3142|3143,0.08185404339250493,0.918145956607495,True,COMPLETE
7,-5.531512094019081,18.23395742524652,0.01177611127861031,375,0.66125,"[-93.5, 0.0]",0.0,-93.5,0.66125,0.5,-5.210533446793191,-5.531512094019081,-5.531512094019081,-5.852490741244971,0.45393235613902283,-6.833468448564455,-6.833468448564455,0.6735849870094751,0.33875,-8.319132827051622,-1.625643030382956,-6.833468448564455,5.817067307692307,4.0,10.495538233440744,143.5,0.6309662722555982,7.5,499.0,375.0,2,dro_minimax_median,-5.531512094019081,-5.531512094019081,-6.833468448564455,10.495538233440744,143.5,0.6309662722555982,499.0,4.0,5.0,0.6595,3142|3143,0.11157280219780219,0.8884271978021978,True,COMPLETE
8,-5.102004022853592,28.965353467011248,0.0029257580233497766,175,0.73325,"[-75.5, 0.0]",0.0,-75.5,0.73325,0.5,-4.732935206564214,-5.102004022853592,-5.102004022853592,-5.47107283914297,0.5219421254454224,-5.702559649108348,-5.702559649108348,0.8046945314416689,0.26675,-8.839672723791558,-3.3003371440893234,-5.702559649108348,7.9707462686567165,4.0,11.849990440124541,125.5,0.5903274927311124,10.0,400.0,175.0,2,dro_minimax_median,-5.102004022853592,-5.102004022853592,-5.702559649108348,11.849990440124541,125.5,0.5903274927311124,400.0,4.0,7.875,0.7302500000000001,3142|3143,0.20964749536178107,0.7903525046382189,True,COMPLETE
9,-4.550160162614816,0.5544936742103987,0.001537836544859914,225,0.6725,"[-93.0, 0.0]",0.0,-93.0,0.6725,0.5,-3.595421276323119,-4.550160162614816,-4.550160162614816,-5.504899048906513,1.3502046815187019,-5.46010946333006,-5.46010946333006,1.697336417263141,0.3275,-7.174616529366595,-1.8203122604690831,-5.46010946333006,6.274010872848082,4.0,11.612630352955605,143.0,0.6625077722947066,8.5,477.5,225.0,2,dro_minimax_median,-4.550160162614816,-4.550160162614816,-5.46010946333006,11.612630352955605,143.0,0.6625077722947066,477.5,4.0,5.0,0.671,3142|3143,0.13700190398476814,0.8629980960152319,True,COMPLETE
