number,value,params_lambda_prior,params_noise_std,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.494391557966617,1.0,0.03,325,0.6555,"[-113.0, 0.0]",0.0,-113.0,0.6555,0.5,-3.363815400687158,-4.494391557966617,-4.494391557966617,-5.6249677152460755,1.598876134920268,-5.395075759978604,-5.395075759978604,1.4795650205380397,0.34450000000000003,-7.079509062559756,-1.7923389519306534,-5.395075759978604,5.820745481927711,4.0,10.359148470546447,163.0,0.6433306736117715,8.0,512.0,325.0,2,dro_minimax_median,-4.494391557966617,-4.494391557966617,-5.395075759978604,10.359148470546447,163.0,0.6433306736117715,512.0,4.0,5.0,0.6515,3142|3143,0.07365929597153387,0.9263407040284661,True,COMPLETE
1,-2.9702351161915703,0.9390975243671386,0.006041956882932531,375,0.7995,"[-36.5, 0.0]",0.0,-36.5,0.7995,0.5,-2.9295526599809776,-2.9702351161915703,-2.9702351161915703,-3.010917572402163,0.05753368132366981,-3.5174618176009163,-3.5174618176009163,0.6652862705929767,0.2005,-4.797015165305499,-1.328555011963532,-3.5174618176009163,8.863695937090434,4.0,7.684306301430055,86.5,0.7208245446668803,9.5,318.0,375.0,2,dro_minimax_median,-2.9702351161915703,-2.9702351161915703,-3.5174618176009163,7.684306301430055,86.5,0.7208245446668803,318.0,4.0,7.0,0.7969999999999999,3142|3143,0.20550458715596331,0.7944954128440367,True,COMPLETE
2,-3.6106222684072256,3.356822122236401,0.0019026369418768177,425,0.8155,"[-28.0, 0.0]",0.0,-28.0,0.8155,0.5,-3.4663242786837145,-3.6106222684072256,-3.6106222684072256,-3.754920258130737,0.20406817409016312,-4.740181176615384,-4.740181176615384,0.011888816232323572,0.1845,-4.969191011120481,-0.22194554378274964,-4.740181176615384,7.067901234567901,4.0,8.25984034021847,78.0,0.7048868724254367,8.25,308.5,425.0,2,dro_minimax_median,-3.6106222684072256,-3.6106222684072256,-4.740181176615384,8.25984034021847,78.0,0.7048868724254367,308.5,4.0,5.5,0.8140000000000001,3142|3143,0.14937343358395988,0.8506265664160402,True,COMPLETE
3,-2.461239538230191,1.1317377903866686,0.002062042774732093,325,0.7865,"[-36.0, 0.0]",0.0,-36.0,0.7865,0.5,-1.6755082399724825,-2.461239538230191,-2.461239538230191,-3.2469708364879,1.111191858377071,-3.115503256621229,-3.115503256621229,1.5804761896479074,0.21350000000000002,-3.5988206184196274,-0.4984483830570781,-3.115503256621229,8.552882960413081,4.0,6.8478643405498305,86.0,0.7175899239454722,9.0,311.5,325.0,2,dro_minimax_median,-2.461239538230191,-2.461239538230191,-3.115503256621229,6.8478643405498305,86.0,0.7175899239454722,311.5,4.0,6.25,0.7815,3142|3143,0.17066869300911852,0.8293313069908814,True,COMPLETE
4,-3.4839075737316008,0.5051356293193028,0.0011786525205233895,275,0.8125,"[-22.0, 0.0]",0.0,-22.0,0.8125,0.5,-2.8167270134955613,-3.4839075737316008,-3.4839075737316008,-4.15108813396764,0.9435357968374867,-3.9435104810673103,-3.9435104810673103,1.451350643439076,0.1875,-5.9665516432870565,-2.105098851724472,-3.9435104810673103,8.159813628421666,4.0,8.248708643540848,72.0,0.7081409347164581,9.5,317.5,275.0,2,dro_minimax_median,-3.4839075737316008,-3.4839075737316008,-3.9435104810673103,8.248708643540848,72.0,0.7081409347164581,317.5,4.0,6.0,0.8075,3142|3143,0.1792079207920792,0.8207920792079209,True,COMPLETE
5,-3.0306251464900456,3.7796225913224775,0.0038832983043363945,225,0.7555000000000001,"[-61.0, 0.0]",0.0,-61.0,0.7555000000000001,0.5,-2.7489134530026016,-3.0306251464900456,-3.0306251464900456,-3.3123368399774895,0.39840049760903556,-3.4486281833517562,-3.4486281833517562,0.8106137091080556,0.2445,-5.188893576833488,-1.7766160359049137,-3.4486281833517562,6.919266714593817,4.0,8.83344187816864,111.0,0.6925620362071374,8.75,362.0,225.0,2,dro_minimax_median,-3.0306251464900456,-3.0306251464900456,-3.4486281833517562,8.83344187816864,111.0,0.6925620362071374,362.0,4.0,5.0,0.7522500000000001,3142|3143,0.157700121901666,0.842299878098334,True,COMPLETE
6,-4.532619463878087,13.37517191314726,0.00830296084844622,350,0.7365,"[-40.5, 0.0]",0.0,-40.5,0.7365,0.5,-4.132753936069272,-4.532619463878087,-4.532619463878087,-4.932484991686902,0.5654952525527022,-5.606384705963805,-5.606384705963805,0.8274298266876338,0.26349999999999996,-6.80800691751006,-1.3113237376209324,-5.606384705963805,7.302941735576466,4.0,8.543404956838668,90.5,0.6221199599911804,8.75,373.5,350.0,2,dro_minimax_median,-4.532619463878087,-4.532619463878087,-5.606384705963805,8.543404956838668,90.5,0.6221199599911804,373.5,4.0,6.0,0.73325,3142|3143,0.1599756690997567,0.8400243309002433,True,COMPLETE
7,-3.6774249537697346,19.7734513588305,0.014542319345539872,175,0.7202500000000001,"[-77.0, 0.0]",0.0,-77.0,0.7202500000000001,0.5,-3.6755775766896637,-3.6774249537697346,-3.6774249537697346,-3.679272330849805,0.0026125857214531283,-4.223619224960723,-4.223619224960723,0.26926906389917415,0.27975,-6.176298097591847,-2.038842140196769,-4.223619224960723,7.03535457348407,4.0,8.953481615560005,127.0,0.6279054765171797,8.0,420.5,175.0,2,dro_minimax_median,-3.6774249537697346,-3.6774249537697346,-4.223619224960723,8.953481615560005,127.0,0.6279054765171797,420.5,4.0,5.0,0.717,3142|3143,0.1326923076923077,0.8673076923076923,True,COMPLETE
8,-3.818858533080237,8.858539150012609,0.03592151706552089,450,0.6735,"[-105.0, 0.0]",0.0,-105.0,0.6735,0.5,-3.613027854540338,-3.818858533080237,-3.818858533080237,-4.024689211620136,0.2910885371435821,-4.742482878691318,-4.742482878691318,0.07622359474396045,0.3265,-5.74596687740019,-1.047985496246993,-4.742482878691318,5.54614936065642,4.0,7.880927196117677,155.0,0.7002938646185124,8.5,512.5,450.0,2,dro_minimax_median,-3.818858533080237,-3.818858533080237,-4.742482878691318,7.880927196117677,155.0,0.7002938646185124,512.5,4.0,5.5,0.6705,3142|3143,0.09717189387313091,0.902828106126869,True,COMPLETE
9,-1.8882237073030883,0.567355813211897,0.005842245301838032,250,0.7745,"[-49.0, 0.0]",0.0,-49.0,0.7745,0.5,-0.9367769725353562,-1.8882237073030883,-1.8882237073030883,-2.8396704420708203,1.3455488761841237,-2.0335868900873613,-2.0335868900873613,1.3444685738868163,0.22550000000000003,-3.435039793017101,-1.7413327463585,-1.74438830267913,6.6349842767295595,4.0,7.128377256679681,99.0,0.7154280898495492,9.0,326.0,250.0,2,dro_minimax_median,-1.8882237073030883,-1.8882237073030883,-2.0335868900873613,7.128377256679681,99.0,0.7154280898495492,326.0,4.0,5.0,0.7705,3142|3143,0.13632075471698113,0.8636792452830189,True,COMPLETE
