number,value,params_lambda_prior,params_ucb_alpha,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.29650281762491,1.0,0.1,325,0.6745,"[-102.0, 0.0]",0.0,-102.0,0.6745,0.5,-4.29650281762491,-4.29650281762491,-4.29650281762491,-4.29650281762491,0.0,-5.583395602615575,-5.583395602615575,0.0,0.3255,-6.022379762334033,-0.43582446265291913,-5.583395602615575,6.631578947368421,4.0,10.217098523029255,152.0,0.7104841890035424,8.0,528.0,325.0,1,dro_minimax_median,-4.29650281762491,-4.29650281762491,-5.583395602615575,10.217098523029255,152.0,0.7104841890035424,528.0,4.0,5.0,0.673,3142,0.1513157894736842,0.8486842105263158,True,COMPLETE
1,-4.544212816528774,0.7418163222986026,0.0064785300220337565,225,0.6865,"[-104.0, 0.0]",0.0,-104.0,0.6865,0.5,-4.544212816528774,-4.544212816528774,-4.544212816528774,-4.544212816528774,0.0,-5.819192677277996,-5.819192677277996,0.0,0.3135,-6.536465514057103,-0.7192732342811111,-5.819192677277996,6.818181818181818,4.0,11.680470147849443,154.0,0.6689392909365008,7.5,489.0,225.0,1,dro_minimax_median,-4.544212816528774,-4.544212816528774,-5.819192677277996,11.680470147849443,154.0,0.6689392909365008,489.0,4.0,5.0,0.6835,3142,0.1346153846153846,0.8653846153846154,True,COMPLETE
2,-4.119214163612572,24.982227450451614,0.009667557077050182,175,0.7365,"[-69.0, 0.0]",0.0,-69.0,0.7365,0.5,-4.119214163612572,-4.119214163612572,-4.119214163612572,-4.119214163612572,0.0,-4.531993730238281,-4.531993730238281,0.0,0.26349999999999996,-7.276319504333055,-2.880875463735444,-4.531993730238281,7.7368421052631575,4.0,10.708102241499862,119.0,0.6728207836044511,10.0,384.0,175.0,1,dro_minimax_median,-4.119214163612572,-4.119214163612572,-4.531993730238281,10.708102241499862,119.0,0.6728207836044511,384.0,4.0,8.0,0.7335,3142,0.21804511278195488,0.7819548872180451,True,COMPLETE
3,-4.500697505363508,1.2939715255710602,0.005495493069575564,225,0.6865,"[-100.0, 0.0]",0.0,-100.0,0.6865,0.5,-4.500697505363508,-4.500697505363508,-4.500697505363508,-4.500697505363508,0.0,-5.363443917443903,-5.363443917443903,0.0,0.3135,-7.168955773480559,-1.9124582691223229,-5.363443917443903,6.333333333333333,4.0,12.842303338436201,150.0,0.6920916410358741,8.0,477.0,225.0,1,dro_minimax_median,-4.500697505363508,-4.500697505363508,-5.363443917443903,12.842303338436201,150.0,0.6920916410358741,477.0,4.0,5.25,0.685,3142,0.1346153846153846,0.8653846153846154,True,COMPLETE
4,-5.573103732855493,17.293793770089763,0.008037887611202277,175,0.708,"[-78.0, 0.0]",0.0,-78.0,0.708,0.5,-5.573103732855493,-5.573103732855493,-5.573103732855493,-5.573103732855493,0.0,-6.69258747177803,-6.69258747177803,0.0,0.29200000000000004,-8.719215064281471,-2.214652516087886,-6.69258747177803,6.698630136986301,4.0,11.537047692877012,128.0,0.6922228643315949,10.0,443.0,175.0,1,dro_minimax_median,-5.573103732855493,-5.573103732855493,-6.69258747177803,11.537047692877012,128.0,0.6922228643315949,443.0,4.0,7.0,0.706,3142,0.1780821917808219,0.821917808219178,True,COMPLETE
5,-4.564696858237678,13.52387383597425,0.051878227564304075,225,0.6865,"[-92.0, 0.0]",0.0,-92.0,0.6865,0.5,-4.564696858237678,-4.564696858237678,-4.564696858237678,-4.564696858237678,0.0,-5.480258920727217,-5.480258920727217,0.0,0.3135,-7.2174210746845375,-1.8180106707690584,-5.480258920727217,6.743589743589744,4.0,10.917808944837514,142.0,0.6412145324215696,8.0,483.0,225.0,1,dro_minimax_median,-4.564696858237678,-4.564696858237678,-5.480258920727217,10.917808944837514,142.0,0.6412145324215696,483.0,4.0,5.0,0.685,3142,0.14102564102564102,0.8589743589743589,True,COMPLETE
6,-2.858418673795969,24.589445111390273,0.006952674516500429,325,0.7285,"[-85.0, 0.0]",0.0,-85.0,0.7285,0.5,-2.858418673795969,-2.858418673795969,-2.858418673795969,-2.858418673795969,0.0,-3.9223647193295847,-3.9223647193295847,0.0,0.27149999999999996,-3.6233070010295525,0.3334194628048775,-3.9223647193295847,7.466666666666667,4.0,8.16195418656045,135.0,0.9187187611127302,9.0,410.0,325.0,1,dro_minimax_median,-2.858418673795969,-2.858418673795969,-3.9223647193295847,8.16195418656045,135.0,0.9187187611127302,410.0,4.0,6.0,0.7255,3142,0.18571428571428572,0.8142857142857143,True,COMPLETE
7,-3.4296592841757714,15.873746311885863,0.010495888020070688,350,0.6625,"[-79.0, 0.0]",0.0,-79.0,0.6625,0.5,-3.4296592841757714,-3.4296592841757714,-3.4296592841757714,-3.4296592841757714,0.0,-3.9709670558612777,-3.9709670558612777,0.0,0.3375,-5.694163461446844,-1.8057359691192525,-3.9709670558612777,6.101190476190476,4.0,8.320824830589347,129.0,0.7139853369074726,7.0,473.0,350.0,1,dro_minimax_median,-3.4296592841757714,-3.4296592841757714,-3.9709670558612777,8.320824830589347,129.0,0.7139853369074726,473.0,4.0,5.0,0.661,3142,0.11904761904761904,0.8809523809523809,True,COMPLETE
8,-4.122497286804572,4.261216143460054,0.005164343197442521,450,0.702,"[-80.0, 0.0]",0.0,-80.0,0.702,0.5,-4.122497286804572,-4.122497286804572,-4.122497286804572,-4.122497286804572,0.0,-4.5896548736172695,-4.5896548736172695,0.0,0.29800000000000004,-7.187622164056092,-2.721024526366478,-4.5896548736172695,7.033557046979865,4.0,10.079858605562519,130.0,0.6513635826361986,9.0,451.0,450.0,1,dro_minimax_median,-4.122497286804572,-4.122497286804572,-4.5896548736172695,10.079858605562519,130.0,0.6513635826361986,451.0,4.0,6.0,0.699,3142,0.16778523489932887,0.8322147651006712,True,COMPLETE
9,-4.424304376300066,29.136857996222066,0.009410216243537906,450,0.696,"[-76.0, 0.0]",0.0,-76.0,0.696,0.5,-4.424304376300066,-4.424304376300066,-4.424304376300066,-4.424304376300066,0.0,-5.326282539965899,-5.326282539965899,0.0,0.30400000000000005,-6.899106545479987,-1.7183698853025693,-5.326282539965899,6.348684210526316,4.0,11.450930069015353,126.0,0.6172863525223611,8.0,454.0,450.0,1,dro_minimax_median,-4.424304376300066,-4.424304376300066,-5.326282539965899,11.450930069015353,126.0,0.6172863525223611,454.0,4.0,5.25,0.691,3142,0.14473684210526316,0.8552631578947368,True,COMPLETE
