number,value,params_lambda_prior,params_ucb_alpha,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.205368956975946,1.0,0.1,325,0.7825,"[-53.0, 0.0]",0.0,-53.0,0.7825,0.5,-4.205368956975946,-4.205368956975946,-4.205368956975946,-4.205368956975946,0.0,-5.929193661056764,-5.929193661056764,0.0,0.21750000000000003,-5.0010881640533835,0.9661051552665093,-5.929193661056764,8.815533980582524,4.0,9.926758465168284,103.0,0.7406979103103831,9.0,357.0,325.0,1,dro_minimax_median,-4.205368956975946,-4.205368956975946,-5.929193661056764,9.926758465168284,103.0,0.7406979103103831,357.0,4.0,8.0,0.7775,3142,0.2222222222222222,0.7777777777777778,True,COMPLETE
1,-2.6619392463668996,4.438612461780386,0.007900847242344019,200,0.7965,"[-50.0, 0.0]",0.0,-50.0,0.7965,0.5,-2.6619392463668996,-2.6619392463668996,-2.6619392463668996,-2.6619392463668996,0.0,-3.2365878159168027,-3.2365878159168027,0.0,0.20350000000000001,-4.164509356525662,-0.9379935377171892,-3.2365878159168027,9.11,4.0,8.713778359620328,100.0,0.717307235337726,10.0,320.0,200.0,1,dro_minimax_median,-2.6619392463668996,-2.6619392463668996,-3.2365878159168027,8.713778359620328,100.0,0.717307235337726,320.0,4.0,7.0,0.7915,3142,0.18811881188118812,0.8118811881188119,True,COMPLETE
2,-3.930887522943296,2.566185013595979,0.04291985819706917,350,0.7425,"[-64.0, 0.0]",0.0,-64.0,0.7425,0.5,-3.930887522943296,-3.930887522943296,-3.930887522943296,-3.930887522943296,0.0,-5.2272988201629405,-5.2272988201629405,0.0,0.25749999999999995,-5.247286043251147,-0.041653631284362724,-5.2272988201629405,7.515625,4.0,7.404897278904398,114.0,0.7319573790724763,9.0,375.0,350.0,1,dro_minimax_median,-3.930887522943296,-3.930887522943296,-5.2272988201629405,7.404897278904398,114.0,0.7319573790724763,375.0,4.0,6.0,0.7375,3142,0.171875,0.828125,True,COMPLETE
3,-2.7734639479922047,6.093425498161314,0.07594101311846696,300,0.7525,"[-66.0, 0.0]",0.0,-66.0,0.7525,0.5,-2.7734639479922047,-2.7734639479922047,-2.7734639479922047,-2.7734639479922047,0.0,-4.01365278960352,-4.01365278960352,0.0,0.24750000000000005,-3.127241172150626,0.9471025768417407,-4.01365278960352,8.017241379310345,4.0,8.451497146257713,116.0,0.8493559213510261,7.5,417.0,300.0,1,dro_minimax_median,-2.7734639479922047,-2.7734639479922047,-4.01365278960352,8.451497146257713,116.0,0.8493559213510261,417.0,4.0,7.0,0.7475,3142,0.17073170731707318,0.8292682926829268,True,COMPLETE
4,-2.8070741320724304,4.963601825711827,0.0077595249621499225,200,0.7985,"[-50.0, 0.0]",0.0,-50.0,0.7985,0.5,-2.8070741320724304,-2.8070741320724304,-2.8070741320724304,-2.8070741320724304,0.0,-3.5183429002334248,-3.5183429002334248,0.0,0.2015,-4.198802691275361,-0.6732678275894485,-3.5183429002334248,7.76,4.0,10.934445654298452,100.0,0.6942861733143258,7.0,342.0,200.0,1,dro_minimax_median,-2.8070741320724304,-2.8070741320724304,-3.5183429002334248,10.934445654298452,100.0,0.6942861733143258,342.0,4.0,5.0,0.7935,3142,0.16,0.84,True,COMPLETE
5,-4.0565793159541705,22.268303110702465,0.028975189250583726,175,0.7745,"[-48.0, 0.0]",0.0,-48.0,0.7745,0.5,-4.0565793159541705,-4.0565793159541705,-4.0565793159541705,-4.0565793159541705,0.0,-5.4632799149381315,-5.4632799149381315,0.0,0.22550000000000003,-5.305744894298307,0.16352248099771316,-5.4632799149381315,8.061946902654867,4.0,7.992417548883801,98.0,0.736121854140923,8.5,331.0,175.0,1,dro_minimax_median,-4.0565793159541705,-4.0565793159541705,-5.4632799149381315,7.992417548883801,98.0,0.736121854140923,331.0,4.0,5.25,0.773,3142,0.18584070796460178,0.8141592920353983,True,COMPLETE
6,-3.0308467853319874,0.7586550978649171,0.006883551165325333,275,0.7205,"[-65.0, 0.0]",0.0,-65.0,0.7205,0.5,-3.0308467853319874,-3.0308467853319874,-3.0308467853319874,-3.0308467853319874,0.0,-3.801225556780785,-3.801225556780785,0.0,0.27949999999999997,-4.54029122021008,-0.7197104709855943,-3.801225556780785,6.086330935251799,4.0,8.425034867613457,115.0,0.7531454106251368,6.0,432.0,275.0,1,dro_minimax_median,-3.0308467853319874,-3.0308467853319874,-3.801225556780785,8.425034867613457,115.0,0.7531454106251368,432.0,4.0,4.0,0.7155,3142,0.1079136690647482,0.8920863309352518,True,COMPLETE
7,-3.321932474417885,6.981247445464785,0.007185197060603837,325,0.7545,"[-54.0, 0.0]",0.0,-54.0,0.7545,0.5,-3.321932474417885,-3.321932474417885,-3.321932474417885,-3.321932474417885,0.0,-3.8123965942488085,-3.8123965942488085,0.0,0.24550000000000005,-5.591577821296042,-1.8505401149251144,-3.8123965942488085,6.884615384615385,4.0,8.608662598618377,104.0,0.7129275482758619,8.0,380.0,325.0,1,dro_minimax_median,-3.321932474417885,-3.321932474417885,-3.8123965942488085,8.608662598618377,104.0,0.7129275482758619,380.0,4.0,5.0,0.7495,3142,0.17307692307692307,0.8269230769230769,True,COMPLETE
8,-2.952412343310288,0.8601410926050502,0.01537750029990204,450,0.8005,"[-39.0, 0.0]",0.0,-39.0,0.8005,0.5,-2.952412343310288,-2.952412343310288,-2.952412343310288,-2.952412343310288,0.0,-3.155435090118541,-3.155435090118541,0.0,0.1995,-5.39874249209078,-2.343344102885529,-3.155435090118541,7.393939393939394,4.0,6.258912091470004,89.0,0.5805876982990974,9.0,322.0,450.0,1,dro_minimax_median,-2.952412343310288,-2.952412343310288,-3.155435090118541,6.258912091470004,89.0,0.5805876982990974,322.0,4.0,5.0,0.7955,3142,0.13432835820895522,0.8656716417910447,True,COMPLETE
9,-4.45975578067949,25.70447477822603,0.031235447383482502,450,0.7205,"[-66.0, 0.0]",0.0,-66.0,0.7205,0.5,-4.45975578067949,-4.45975578067949,-4.45975578067949,-4.45975578067949,0.0,-6.1148820401091335,-6.1148820401091335,0.0,0.27949999999999997,-5.668253392480408,0.5056229976094376,-6.1148820401091335,6.575539568345324,4.0,7.429279340689865,116.0,0.6837332948895432,8.0,417.0,450.0,1,dro_minimax_median,-4.45975578067949,-4.45975578067949,-6.1148820401091335,7.429279340689865,116.0,0.6837332948895432,417.0,4.0,5.25,0.719,3142,0.14388489208633093,0.8561151079136691,True,COMPLETE
10,-3.9266618201028436,1.4033027984890232,0.02599040689113641,200,0.7485,"[-51.0, 0.0]",0.0,-51.0,0.7485,0.5,-3.9266618201028436,-3.9266618201028436,-3.9266618201028436,-3.9266618201028436,0.0,-4.772364506010888,-4.772364506010888,0.0,0.25149999999999995,-6.113269946153455,-1.3895537623787109,-4.772364506010888,7.464,4.0,10.316820770382352,101.0,0.6591788854526834,8.0,355.0,200.0,1,dro_minimax_median,-3.9266618201028436,-3.9266618201028436,-4.772364506010888,10.316820770382352,101.0,0.6591788854526834,355.0,4.0,6.0,0.7435,3142,0.14728682170542637,0.8527131782945736,True,COMPLETE
11,-4.487369251069881,12.882474070620471,0.16623847605053424,300,0.7265,"[-74.0, 0.0]",0.0,-74.0,0.7265,0.5,-4.487369251069881,-4.487369251069881,-4.487369251069881,-4.487369251069881,0.0,-6.1671045226304555,-6.1671045226304555,0.0,0.27349999999999997,-5.672489604646944,0.5518365636118442,-6.1671045226304555,7.814516129032258,4.0,10.695843049094334,124.0,0.7802752618172295,7.0,443.0,300.0,1,dro_minimax_median,-4.487369251069881,-4.487369251069881,-6.1671045226304555,10.695843049094334,124.0,0.7802752618172295,443.0,4.0,5.0,0.723,3142,0.15441176470588236,0.8455882352941176,True,COMPLETE
12,-3.3533197688902074,4.081649672838172,0.07520170921468193,200,0.7445,"[-74.0, 0.0]",0.0,-74.0,0.7445,0.5,-3.3533197688902074,-3.3533197688902074,-3.3533197688902074,-3.3533197688902074,0.0,-4.1740451650876915,-4.1740451650876915,0.0,0.25549999999999995,-5.065471912545639,-0.8911435802977558,-4.1740451650876915,7.21259842519685,4.0,9.831096785344162,124.0,0.7284138519272864,7.0,410.0,200.0,1,dro_minimax_median,-3.3533197688902074,-3.3533197688902074,-4.1740451650876915,9.831096785344162,124.0,0.7284138519272864,410.0,4.0,5.0,0.743,3142,0.14960629921259844,0.8503937007874016,True,COMPLETE
