bandit_name,method_group,set_name,trial_number,seed,symbol,mode,n_decisions,return_pct,drawdown_abs,trades,profit_factor,is_active,executed_action_1_ratio,constraint_applied_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio,median_time_between_entries,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val,2000.0,-8.111562607197254,8.514579010080292,191,0.6254487787514835,True,0.5915,0.382,0.382,0.618,0.618,0.615,9.0,5.0,6.193717277486911,4.0,7.0,0.8900523560209425,0.1099476439790576
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val_first,,-1.8636679448951643,4.132859925635534,94,0.7982595038692418,True,,,,,,,9.0,5.0,6.25531914893617,4.0,7.0,0.8936170212765957,0.10638297872340426
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val_second,,-6.366545938148382,6.609570025492328,96,0.4622877913297337,True,,,,,,,9.0,4.0,6.072916666666667,4.0,7.0,0.8958333333333334,0.10416666666666667
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,ETHUSDT,val,2000.0,-5.9571239725131,9.78782505100375,206,0.7593759999745182,True,0.584,0.4135,0.4135,0.5865,0.5865,0.5845,8.0,4.0,5.645631067961165,4.0,6.0,0.9174757281553398,0.0825242718446602
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,ETHUSDT,val_first,,-1.2356653859170397,4.6122266774772385,105,0.8561664215191024,True,,,,,,,8.0,4.0,5.647619047619048,4.0,6.0,0.9238095238095239,0.0761904761904762
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,ETHUSDT,val_second,,-4.780529940332146,8.70477121477613,101,0.6950061861161707,True,,,,,,,8.0,4.0,5.643564356435643,4.0,6.0,0.9108910891089109,0.0891089108910891
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,SOLUSDT,val,2000.0,-6.441488492522307,8.903743167511792,207,0.7565017082958009,True,0.5475,0.415,0.41500000000000004,0.585,0.585,0.581,8.0,4.0,5.27536231884058,4.0,5.0,0.9371980676328503,0.06280193236714976
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,SOLUSDT,val_first,,-1.3952618910081482,4.64071844700843,102,0.8505783445016254,True,,,,,,,8.0,4.0,5.588235294117647,4.0,6.0,0.9117647058823529,0.08823529411764706
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3142,SOLUSDT,val_second,,-5.11763095596518,7.618061773916985,105,0.6859538092010083,True,,,,,,,7.0,4.0,4.9714285714285715,4.0,5.0,0.9619047619047619,0.0380952380952381
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,BTCUSDT,val,2000.0,-2.977354657063813,4.450898707957107,185,0.8179442168554976,True,0.63,0.37,0.37,0.63,0.63,0.627,9.5,5.0,6.8108108108108105,4.0,8.0,0.8432432432432433,0.15675675675675677
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,BTCUSDT,val_first,,-1.3081292371970976,4.402258744508025,90,0.8384086561926616,True,,,,,,,10.0,5.0,7.0,4.0,8.0,0.8555555555555555,0.14444444444444443
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,BTCUSDT,val_second,,-1.691350469866515,3.3646312380517407,95,0.796354843564876,True,,,,,,,9.0,5.0,6.631578947368421,4.0,7.5,0.8315789473684211,0.16842105263157894
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,ETHUSDT,val,2000.0,-4.45599587654375,7.885738568930956,216,0.7948551749955545,True,0.574,0.4325,0.4325,0.5675,0.5675,0.5645,7.0,4.0,5.305555555555555,4.0,5.0,0.9305555555555556,0.06944444444444445
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,ETHUSDT,val_first,,-2.266431602148833,5.3282657879459965,107,0.7926294403117466,True,,,,,,,8.0,4.0,5.411214953271028,4.0,5.5,0.9252336448598131,0.07476635514018691
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,ETHUSDT,val_second,,-2.240340049267109,6.011677370009306,108,0.8059453094157779,True,,,,,,,7.0,4.0,5.212962962962963,4.0,5.0,0.9351851851851852,0.06481481481481481
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,SOLUSDT,val,2000.0,-4.9219786540281145,7.927566958884147,219,0.8160755236412808,True,0.557,0.439,0.43899999999999995,0.561,0.561,0.5585,7.0,4.0,5.073059360730594,4.0,5.0,0.9315068493150684,0.0684931506849315
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,SOLUSDT,val_first,,-0.7168741977491733,5.358527469056373,102,0.9065443871286034,True,,,,,,,8.0,4.0,5.607843137254902,4.0,5.0,0.8823529411764706,0.11764705882352941
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3143,SOLUSDT,val_second,,-4.235467429434614,7.2697153953880544,117,0.7584695980269708,True,,,,,,,7.0,4.0,4.6068376068376065,4.0,5.0,0.9743589743589743,0.02564102564102564
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,BTCUSDT,val,2000.0,-7.969231039963843,8.085333667611428,191,0.6130295150094693,True,0.5955,0.3835,0.38349999999999995,0.6165,0.6165,0.615,9.0,5.0,6.209424083769633,4.0,6.0,0.8638743455497382,0.13612565445026178
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,BTCUSDT,val_first,,-1.4755196516202274,3.519515382101168,94,0.8260398839476498,True,,,,,,,9.0,5.0,6.212765957446808,4.0,6.0,0.8617021276595744,0.13829787234042554
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,BTCUSDT,val_second,,-6.590962332794891,6.686612315773588,96,0.43445604065786103,True,,,,,,,8.5,5.0,6.125,4.0,6.25,0.875,0.125
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,ETHUSDT,val,2000.0,-3.946616127775604,6.729760735607737,208,0.8075942423249717,True,0.555,0.416,0.41600000000000004,0.584,0.584,0.5805,8.0,4.0,5.336538461538462,4.0,5.0,0.9278846153846154,0.07211538461538461
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,ETHUSDT,val_first,,1.8434322850613638,1.6265742650338977,103,1.1335012538086757,True,,,,,,,8.0,4.0,5.436893203883495,4.0,5.0,0.912621359223301,0.08737864077669903
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,ETHUSDT,val_second,,-5.6852447751667645,6.729760735607737,105,0.606691960981284,True,,,,,,,8.0,4.0,5.238095238095238,4.0,5.0,0.9428571428571428,0.05714285714285714
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,SOLUSDT,val,2000.0,-8.703394281122822,9.959394163693746,196,0.7118073971373252,True,0.5345,0.393,0.393,0.607,0.607,0.605,8.0,4.0,5.438775510204081,4.0,5.0,0.9183673469387755,0.08163265306122448
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,SOLUSDT,val_first,,-1.4473159189076878,3.874282537057938,90,0.8578318755821942,True,,,,,,,9.0,4.0,5.866666666666666,4.0,6.75,0.8888888888888888,0.1111111111111111
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,SOLUSDT,val_second,,-7.3626390086388716,8.356728377569434,106,0.6023368970814269,True,,,,,,,7.0,4.0,5.0754716981132075,4.0,5.0,0.9433962264150944,0.05660377358490566
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,BTCUSDT,val,2000.0,-2.5383069408555614,4.225931441728492,202,0.8368397180393427,True,0.6075,0.4035,0.40349999999999997,0.5965,0.5965,0.595,8.0,4.0,6.014851485148514,4.0,6.0,0.8712871287128713,0.12871287128712872
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,BTCUSDT,val_first,,0.2089988030437473,2.97350959213476,99,0.9523626769547738,True,,,,,,,8.0,4.0,5.707070707070707,4.0,5.5,0.9090909090909091,0.09090909090909091
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,BTCUSDT,val_second,,-2.741575883119063,4.225931441728492,102,0.6978829731853093,True,,,,,,,9.0,4.0,6.107843137254902,4.0,6.0,0.8431372549019608,0.1568627450980392
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,ETHUSDT,val,2000.0,-8.092236973353184,10.614020100130439,206,0.7037254133255697,True,0.563,0.412,0.41200000000000003,0.588,0.588,0.585,8.0,4.0,5.466019417475728,4.0,5.0,0.9029126213592233,0.0970873786407767
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,ETHUSDT,val_first,,-3.8828068455028952,6.595383643554287,103,0.6955434698286489,True,,,,,,,8.0,4.0,5.504854368932039,4.0,5.0,0.9029126213592233,0.0970873786407767
