number,value,params_lambda_prior,params_noise_std,params_one_minus_gamma,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.950275651367226,1.0,0.03,0.003076923076923077,0.6165,"[-116.0, 0.0]",0.0,-116.0,0.6165,0.5,-4.6856539540922055,-4.914305469596604,-4.950275651367226,-5.173287602610655,0.18323892407437675,-5.894623484050012,-6.078454319236999,0.34485965522691153,0.38349999999999995,-7.5662357759136,-2.002497037616069,-6.078454319236999,5.535294117647059,4.0,9.917922150571478,166.0,0.6840153361693837,8.0,556.0,325.0,5,dro_minimax_median,-4.950275651367226,-4.950275651367226,-6.078454319236999,9.917922150571478,166.0,0.6840153361693837,556.0,4.0,5.0,0.6135,3142|3143|3144|3145|3146,0.06896551724137931,0.9310344827586207,True,COMPLETE
1,-3.7939605658602997,0.7630340364993864,0.03288600341424091,0.0044566066404837686,0.6025,"[-136.0, 0.0]",0.0,-136.0,0.6025,0.5,-3.3606971982711835,-4.306629166560542,-3.7939605658602997,-6.39135747301183,1.2088016190724378,-5.1488160479849245,-4.5348996744400925,1.523524936633143,0.39749999999999996,-6.773780300366949,-2.088755344354387,-4.5348996744400925,5.317204301075269,4.0,9.33447872112495,186.0,0.7286825630748771,8.0,608.0,224.38596911740208,5,dro_minimax_median,-3.7939605658602997,-3.7939605658602997,-4.5348996744400925,9.33447872112495,186.0,0.7286825630748771,608.0,4.0,5.0,0.5995,3142|3143|3144|3145|3146,0.05913978494623656,0.9408602150537635,True,COMPLETE
2,-5.457388692510542,2.078420280073592,0.03200610675779633,0.0039641174874371545,0.6065,"[-121.0, 0.0]",0.0,-121.0,0.6065,0.5,-3.658878754651192,-5.277902239472542,-5.457388692510542,-6.234035527696781,0.9889978151135046,-6.092864485169821,-6.478462476274132,1.1573778830942751,0.39349999999999996,-8.72694222213737,-2.3941673412197733,-6.478462476274132,5.3619047619047615,4.0,10.258524158869054,171.0,0.6014850575145152,8.0,572.0,252.26295718256094,5,dro_minimax_median,-5.457388692510542,-5.457388692510542,-6.478462476274132,10.258524158869054,171.0,0.6014850575145152,572.0,4.0,5.0,0.6035,3142|3143|3144|3145|3146,0.057692307692307696,0.9423076923076923,True,COMPLETE
3,-4.123662469899245,2.138870492726761,0.00975423826382478,0.005213461445188799,0.712,"[-75.0, 0.0]",0.0,-75.0,0.712,0.5,-2.6368270643909333,-3.970774973880558,-4.123662469899245,-4.906801492677236,0.8235565453385801,-4.640085670900409,-4.771971301173602,0.8520240713400347,0.28800000000000003,-6.84262102333183,-2.1787359760761738,-4.771971301173602,5.772413793103448,4.0,9.449092142442872,125.0,0.6453005834794757,8.0,435.0,191.8111432324568,5,dro_minimax_median,-4.123662469899245,-4.123662469899245,-4.771971301173602,9.449092142442872,125.0,0.6453005834794757,435.0,4.0,5.0,0.7075,3142|3143|3144|3145|3146,0.09722222222222222,0.9027777777777778,True,COMPLETE
4,-3.586422694447176,3.5214433218841976,0.0030261592016370457,0.0035674338815791314,0.7765,"[-49.0, 0.0]",0.0,-49.0,0.7765,0.5,-2.9124716508832424,-3.8707100094931954,-3.586422694447176,-5.414757732895069,1.0240266862288623,-4.68344777936214,-3.9650709845195435,1.4605922872769077,0.22350000000000003,-6.112842722405287,-1.2863010118579228,-3.9650709845195435,6.08080808080808,4.0,6.761101848187434,99.0,0.6800835093919768,8.0,389.0,280.31353437652166,5,dro_minimax_median,-3.586422694447176,-3.586422694447176,-3.9650709845195435,6.761101848187434,99.0,0.6800835093919768,389.0,4.0,5.0,0.7735,3142|3143|3144|3145|3146,0.10285714285714286,0.8971428571428571,True,COMPLETE
5,-4.683088945152668,15.69541975891441,0.0012327337848189793,0.00535737993175704,0.7545,"[-54.0, 0.0]",0.0,-54.0,0.7545,0.5,-3.10486978020443,-4.448294524749814,-4.683088945152668,-5.490873274246923,0.8904126334779744,-5.448922862845568,-5.4654527525619905,1.185989830193145,0.24550000000000005,-6.862929882794167,-1.3405720567500594,-5.4654527525619905,6.745454545454545,4.0,8.877989109202666,104.0,0.6417134545693266,9.0,367.0,186.65840629899728,5,dro_minimax_median,-4.683088945152668,-4.683088945152668,-5.4654527525619905,8.877989109202666,104.0,0.6417134545693266,367.0,4.0,5.25,0.7495,3142|3143|3144|3145|3146,0.13934426229508196,0.860655737704918,True,COMPLETE
6,-3.8127889538903306,0.9619122909945217,0.001502251055102193,0.0054082228054294175,0.8065,"[-32.0, 0.0]",0.0,-32.0,0.8065,0.5,-2.6755890710959926,-3.7436229168470243,-3.8127889538903306,-4.615610127310557,0.6967320783348884,-4.556870915828841,-4.6290960156699015,0.7738488936335542,0.1935,-5.942756467435014,-1.3638677685516187,-4.6290960156699015,6.880952380952381,4.0,7.076455823219563,82.0,0.6380069007496441,9.0,330.0,184.90362471680734,5,dro_minimax_median,-3.8127889538903306,-3.8127889538903306,-4.6290960156699015,7.076455823219563,82.0,0.6380069007496441,330.0,4.0,6.0,0.805,3142|3143|3144|3145|3146,0.16666666666666666,0.8333333333333334,True,COMPLETE
7,-4.074819123692818,20.412398403780916,0.0024423499165259037,0.0022855449318913367,0.7565,"[-61.0, 0.0]",0.0,-61.0,0.7565,0.5,-2.9880868681629345,-3.8829353034372773,-4.074819123692818,-4.617525521824375,0.6244599120935789,-5.186769374379063,-4.865956522143695,0.722272645818228,0.24350000000000005,-5.436569053276474,0.19438122853699205,-4.865956522143695,6.84375,4.0,8.842407273109876,111.0,0.6912353973564183,9.0,389.0,437.5324177820818,5,dro_minimax_median,-4.074819123692818,-4.074819123692818,-4.865956522143695,8.842407273109876,111.0,0.6912353973564183,389.0,4.0,6.0,0.755,3142|3143|3144|3145|3146,0.1557377049180328,0.8442622950819673,True,COMPLETE
8,-4.090750586872961,2.452159774456762,0.0013954426460853785,0.005237446966338156,0.7905,"[-47.0, 0.0]",0.0,-47.0,0.7905,0.5,-3.730203540396209,-4.121388239005521,-4.090750586872961,-4.518006294046786,0.33684572173709104,-5.0194533082561,-4.968620438022875,0.44240092265690834,0.20950000000000002,-6.267319035147415,-0.9972778929071927,-4.968620438022875,6.0,4.0,8.72077777664273,97.0,0.667734824827293,9.0,369.0,190.93272092818265,5,dro_minimax_median,-4.090750586872961,-4.090750586872961,-4.968620438022875,8.72077777664273,97.0,0.667734824827293,369.0,4.0,5.0,0.789,3142|3143|3144|3145|3146,0.11214953271028037,0.8878504672897196,True,COMPLETE
9,-4.4034598558761315,5.916295194021042,0.002426932299776966,0.003180906177265568,0.7845,"[-46.0, 0.0]",0.0,-46.0,0.7845,0.5,-3.576941947473884,-4.558498457213358,-4.4034598558761315,-5.560385019025275,0.7268383708849758,-5.819922128775871,-5.766284712271172,0.9576154515042749,0.21550000000000002,-6.586073829500549,-0.7215950536976582,-5.766284712271172,6.556213017751479,4.0,9.004185838399847,96.0,0.6388522779728523,8.0,367.0,314.3758238288057,5,dro_minimax_median,-4.4034598558761315,-4.4034598558761315,-5.766284712271172,9.004185838399847,96.0,0.6388522779728523,367.0,4.0,5.0,0.7795,3142|3143|3144|3145|3146,0.1242603550295858,0.8757396449704142,True,COMPLETE
