number,value,params_lambda_prior,params_one_minus_gamma,params_ucb_alpha,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.313726568942774,1.0,0.003076923076923077,0.1,0.61,"[-137.0, 0.0]",0.0,-137.0,0.61,0.5,-4.313726568942774,-4.313726568942774,-4.313726568942774,-4.313726568942774,0.0,-4.913518418278126,-4.913518418278126,0.0,0.39,-7.305285931571966,-2.5143510209367186,-4.913518418278126,5.8,4.0,9.203409235355842,187.0,0.7315657272977509,7.0,579.0,325.0,1,dro_minimax_median,-4.313726568942774,-4.313726568942774,-4.913518418278126,9.203409235355842,187.0,0.7315657272977509,579.0,4.0,5.0,0.608,3142,0.11282051282051282,0.8871794871794871,True,COMPLETE
1,-3.638733362039941,10.849298953354761,0.0030642138437545026,0.04743552925961268,0.6615,"[-112.0, 0.0]",0.0,-112.0,0.6615,0.5,-3.638733362039941,-3.638733362039941,-3.638733362039941,-3.638733362039941,0.0,-4.502988443741821,-4.502988443741821,0.0,0.3385,-5.495067993347732,-1.0459681169343,-4.502988443741821,6.165680473372781,4.0,7.54424114155775,162.0,0.7719580906066801,9.0,515.0,326.34798058830177,1,dro_minimax_median,-3.638733362039941,-3.638733362039941,-4.502988443741821,7.54424114155775,162.0,0.7719580906066801,515.0,4.0,6.0,0.657,3142,0.15976331360946747,0.8402366863905325,True,COMPLETE
2,-5.437968352749664,1.391787756481205,0.003938698768606472,0.005020523174778083,0.618,"[-137.0, 0.0]",0.0,-137.0,0.618,0.5,-5.437968352749664,-5.437968352749664,-5.437968352749664,-5.437968352749664,0.0,-6.567885298171006,-6.567885298171006,0.0,0.382,-8.488822006250237,-2.048217516485636,-6.567885298171006,5.059701492537314,4.0,9.829331284130905,187.0,0.674102679213409,7.0,579.0,253.89095707712733,1,dro_minimax_median,-5.437968352749664,-5.437968352749664,-6.567885298171006,9.829331284130905,187.0,0.674102679213409,579.0,4.0,5.0,0.6155,3142,0.06951871657754011,0.93048128342246,True,COMPLETE
3,-6.061415356981197,6.117025522674068,0.002964161000843622,0.011290461803700183,0.666,"[-91.0, 0.0]",0.0,-91.0,0.666,0.5,-6.061415356981197,-6.061415356981197,-6.061415356981197,-6.061415356981197,0.0,-7.673176147990865,-7.673176147990865,0.0,0.33399999999999996,-8.81907612267897,-1.2261329839521957,-7.673176147990865,5.910179640718563,4.0,11.253168068855334,141.0,0.6420562421851883,8.0,503.0,337.36359115290725,1,dro_minimax_median,-6.061415356981197,-6.061415356981197,-7.673176147990865,11.253168068855334,141.0,0.6420562421851883,503.0,4.0,6.0,0.6625,3142,0.1377245508982036,0.8622754491017964,True,COMPLETE
4,-6.351302696099958,2.825279658780465,0.005549829143785145,0.005577587269233879,0.616,"[-102.0, 0.0]",0.0,-102.0,0.616,0.5,-6.351302696099958,-6.351302696099958,-6.351302696099958,-6.351302696099958,0.0,-8.010233034842619,-8.010233034842619,0.0,0.384,-9.24109344128959,-1.3745116798719739,-8.010233034842619,5.479166666666667,4.0,13.844640124701558,152.0,0.6111584578747581,8.0,544.0,180.18572718041744,1,dro_minimax_median,-6.351302696099958,-6.351302696099958,-8.010233034842619,13.844640124701558,152.0,0.6111584578747581,544.0,4.0,5.0,0.614,3142,0.08854166666666667,0.9114583333333334,True,COMPLETE
5,-5.247326846048658,2.068236356427619,0.002782356838882368,0.04988514469775409,0.6355,"[-100.0, 0.0]",0.0,-100.0,0.6355,0.5,-5.247326846048658,-5.247326846048658,-5.247326846048658,-5.247326846048658,0.0,-6.1629546975372,-6.1629546975372,0.0,0.36450000000000005,-8.502877003689044,-2.5004432915830357,-6.1629546975372,6.102702702702703,4.0,11.247409527228914,150.0,0.6633628286104195,8.0,517.0,359.4075303445569,1,dro_minimax_median,-5.247326846048658,-5.247326846048658,-6.1629546975372,11.247409527228914,150.0,0.6633628286104195,517.0,4.0,6.0,0.6325,3142,0.15384615384615385,0.8461538461538461,True,COMPLETE
6,-6.414978257981641,2.1146024497025016,0.004701851255990697,0.006235003999783108,0.636,"[-116.0, 0.0]",0.0,-116.0,0.636,0.5,-6.414978257981641,-6.414978257981641,-6.414978257981641,-6.414978257981641,0.0,-7.2647176171489,-7.2647176171489,0.0,0.364,-10.821381015903958,-3.865760180479864,-7.2647176171489,5.873626373626373,4.0,11.051938621431667,166.0,0.5832918966636844,7.0,552.0,212.6821852830596,1,dro_minimax_median,-6.414978257981641,-6.414978257981641,-7.2647176171489,11.051938621431667,166.0,0.5832918966636844,552.0,4.0,5.0,0.634,3142,0.12087912087912088,0.8791208791208791,True,COMPLETE
7,-4.443556375351813,10.570638336996952,0.0041043442058153745,0.02372545702135237,0.648,"[-111.0, 0.0]",0.0,-111.0,0.648,0.5,-4.443556375351813,-4.443556375351813,-4.443556375351813,-4.443556375351813,0.0,-5.287512585868625,-5.287512585868625,0.0,0.352,-7.0778663498567385,-1.9116877438013749,-5.287512585868625,6.051136363636363,4.0,9.126992133667933,161.0,0.7048830632803088,8.0,518.0,243.6442827049245,1,dro_minimax_median,-4.443556375351813,-4.443556375351813,-5.287512585868625,9.126992133667933,161.0,0.7048830632803088,518.0,4.0,6.0,0.645,3142,0.1534090909090909,0.8465909090909091,True,COMPLETE
8,-3.8852416634802474,4.95612888468418,0.0025078424756698682,0.021074635636296444,0.6855,"[-83.0, 0.0]",0.0,-83.0,0.6855,0.5,-3.8852416634802474,-3.8852416634802474,-3.8852416634802474,-3.8852416634802474,0.0,-4.62187473008235,-4.62187473008235,0.0,0.3145,-6.234321818400857,-1.675342463673938,-4.62187473008235,6.819277108433735,4.0,9.273845270787739,133.0,0.6776350848179347,9.0,456.0,398.7491278665302,1,dro_minimax_median,-3.8852416634802474,-3.8852416634802474,-4.62187473008235,9.273845270787739,133.0,0.6776350848179347,456.0,4.0,7.0,0.683,3142,0.1910828025477707,0.8089171974522293,True,COMPLETE
9,-3.080952348457029,4.967208533643981,0.0038214070313964924,0.018175600264839935,0.632,"[-103.0, 0.0]",0.0,-103.0,0.632,0.5,-3.080952348457029,-3.080952348457029,-3.080952348457029,-3.080952348457029,0.0,-3.917624122036186,-3.917624122036186,0.0,0.368,-4.4709393752740745,-0.5709370277195572,-3.917624122036186,5.880434782608695,4.0,6.489939379269516,153.0,0.7725939963837094,7.0,526.0,261.68371800858927,1,dro_minimax_median,-3.080952348457029,-3.080952348457029,-3.917624122036186,6.489939379269516,153.0,0.7725939963837094,526.0,4.0,5.0,0.63,3142,0.125,0.875,True,COMPLETE
10,-5.840330331668863,29.079954423066432,0.005489920117545557,0.013150035712541036,0.6835,"[-82.0, 0.0]",0.0,-82.0,0.6835,0.5,-5.840330331668863,-5.840330331668863,-5.840330331668863,-5.840330331668863,0.0,-7.937631916972738,-7.937631916972738,0.0,0.3165,-7.552385899927457,0.4515744242427622,-7.937631916972738,6.19620253164557,4.0,10.911063805459575,132.0,0.6517313384554081,9.0,466.0,182.15201288704392,1,dro_minimax_median,-5.840330331668863,-5.840330331668863,-7.937631916972738,10.911063805459575,132.0,0.6517313384554081,466.0,4.0,6.0,0.681,3142,0.14556962025316456,0.8544303797468354,True,COMPLETE
11,-3.474360479399799,24.712969264636598,0.0025316682809664384,0.05353001093108912,0.662,"[-97.0, 0.0]",0.0,-97.0,0.662,0.5,-3.474360479399799,-3.474360479399799,-3.474360479399799,-3.474360479399799,0.0,-4.280198340640691,-4.280198340640691,0.0,0.33799999999999997,-5.294889260423171,-1.0568468956771215,-4.280198340640691,6.384615384615385,4.0,9.753490880903215,147.0,0.7718454371744595,9.0,492.0,394.9964564940002,1,dro_minimax_median,-3.474360479399799,-3.474360479399799,-4.280198340640691,9.753490880903215,147.0,0.7718454371744595,492.0,4.0,7.0,0.6595,3142,0.13609467455621302,0.863905325443787,True,COMPLETE
12,-3.9685610983593698,15.141697034252298,0.002298929668810476,0.19511341450062492,0.6255,"[-112.0, 0.0]",0.0,-112.0,0.6255,0.5,-3.9685610983593698,-3.9685610983593698,-3.9685610983593698,-3.9685610983593698,0.0,-4.904143520364412,-4.904143520364412,0.0,0.37450000000000006,-6.006977380264471,-1.1618138323442422,-4.904143520364412,5.754010695187166,4.0,8.481207464278462,162.0,0.7475038879321109,7.0,550.0,434.9850339342591,1,dro_minimax_median,-3.9685610983593698,-3.9685610983593698,-4.904143520364412,8.481207464278462,162.0,0.7475038879321109,550.0,4.0,5.5,0.621,3142,0.12834224598930483,0.8716577540106952,True,COMPLETE
13,-4.77346764894386,24.663802392907797,0.002716432224580882,0.014678910718641365,0.71,"[-84.0, 0.0]",0.0,-84.0,0.71,0.5,-4.77346764894386,-4.77346764894386,-4.77346764894386,-4.77346764894386,0.0,-6.268631438765538,-6.268631438765538,0.0,0.29000000000000004,-6.539782009817967,-0.28797627947882615,-6.268631438765538,7.13103448275862,4.0,10.629346982634225,134.0,0.7108903696088817,10.0,450.0,368.1299282754201,1,dro_minimax_median,-4.77346764894386,-4.77346764894386,-6.268631438765538,10.629346982634225,134.0,0.7108903696088817,450.0,4.0,8.0,0.705,3142,0.20689655172413793,0.7931034482758621,True,COMPLETE
14,-5.563885436829645,2.8643621860105903,0.004591135446303195,0.05113972358059198,0.628,"[-128.0, 0.0]",0.0,-128.0,0.628,0.5,-5.563885436829645,-5.563885436829645,-5.563885436829645,-5.563885436829645,0.0,-6.833951877525602,-6.833951877525602,0.0,0.372,-8.462937104408763,-1.7536861147417742,-6.833951877525602,5.989247311827957,4.0,12.158692413314064,178.0,0.6793172648051455,7.0,569.0,217.81104297526335,1,dro_minimax_median,-5.563885436829645,-5.563885436829645,-6.833951877525602,12.158692413314064,178.0,0.6793172648051455,569.0,4.0,6.0,0.6255,3142,0.13440860215053763,0.8655913978494624,True,COMPLETE
