number,value,params_lambda_prior,params_one_minus_gamma,params_ucb_alpha,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.015739433676508,1.0,0.003076923076923077,0.1,0.7005,"[-94.0, 0.0]",0.0,-94.0,0.7005,0.5,-4.015739433676508,-4.015739433676508,-4.015739433676508,-4.015739433676508,0.0,-4.835319826065269,-4.835319826065269,0.0,0.2995,-6.358071805536954,-1.5569982565102265,-4.835319826065269,6.113333333333333,4.0,8.269851538161122,144.0,0.6424358184890782,8.0,474.0,325.0,1,dro_minimax_median,-4.015739433676508,-4.015739433676508,-4.835319826065269,8.269851538161122,144.0,0.6424358184890782,474.0,4.0,5.0,0.699,3142,0.15333333333333332,0.8466666666666667,True,COMPLETE
1,-4.368475279414914,7.81704884789038,0.002847451917166893,0.00702157848922566,0.7885,"[-37.0, 0.0]",0.0,-37.0,0.7885,0.5,-4.368475279414914,-4.368475279414914,-4.368475279414914,-4.368475279414914,0.0,-5.731625762799482,-5.731625762799482,0.0,0.21150000000000002,-5.993965969166903,-0.279023829261212,-5.731625762799482,7.481132075471698,4.0,8.537562870333348,87.0,0.6433433957957323,10.5,354.0,351.19118042736335,1,dro_minimax_median,-4.368475279414914,-4.368475279414914,-5.731625762799482,8.537562870333348,87.0,0.6433433957957323,354.0,4.0,7.0,0.7835,3142,0.16981132075471697,0.8301886792452831,True,COMPLETE
2,-5.076483726176397,2.590090864414888,0.003745408351713363,0.09949317499572201,0.7125,"[-92.0, 0.0]",0.0,-92.0,0.7125,0.5,-5.076483726176397,-5.076483726176397,-5.076483726176397,-5.076483726176397,0.0,-6.270888869322906,-6.270888869322906,0.0,0.2875,-7.688148364070268,-1.4932682967368678,-6.270888869322906,6.333333333333333,4.0,10.646250215200103,142.0,0.6510174567108641,8.0,469.0,266.99358416887793,1,dro_minimax_median,-5.076483726176397,-5.076483726176397,-6.270888869322906,10.646250215200103,142.0,0.6510174567108641,469.0,4.0,5.0,0.711,3142,0.1597222222222222,0.8402777777777778,True,COMPLETE
3,-2.170078695218176,0.5284870869571748,0.003089870527825383,0.008990555046899766,0.8565,"[-14.0, 0.0]",0.0,-14.0,0.8565,0.5,-2.170078695218176,-2.170078695218176,-2.170078695218176,-2.170078695218176,0.0,-2.513162737189449,-2.513162737189449,0.0,0.14349999999999996,-3.632214005278019,-1.1408265693043578,-2.513162737189449,6.796875,4.0,5.984277284554529,64.0,0.6576826480638313,11.5,224.0,323.63815603101955,1,dro_minimax_median,-2.170078695218176,-2.170078695218176,-2.513162737189449,5.984277284554529,64.0,0.6576826480638313,224.0,4.0,6.0,0.8515,3142,0.1875,0.8125,True,COMPLETE
4,-5.3450052598961495,28.740722242299118,0.0022629914502750744,0.10555184813338764,0.7005,"[-78.0, 0.0]",0.0,-78.0,0.7005,0.5,-5.3450052598961495,-5.3450052598961495,-5.3450052598961495,-5.3450052598961495,0.0,-6.70718047442251,-6.70718047442251,0.0,0.2995,-7.877995396182906,-1.2584796163170653,-6.70718047442251,6.433333333333334,4.0,9.15415112566661,128.0,0.6387466262096614,7.0,449.0,441.89296423477276,1,dro_minimax_median,-5.3450052598961495,-5.3450052598961495,-6.70718047442251,9.15415112566661,128.0,0.6387466262096614,449.0,4.0,5.0,0.6955,3142,0.14666666666666667,0.8533333333333334,True,COMPLETE
5,-4.250625617117707,0.7139044928825661,0.0034067657393192243,0.030296681370239158,0.7805,"[-59.0, 0.0]",0.0,-59.0,0.7805,0.5,-4.250625617117707,-4.250625617117707,-4.250625617117707,-4.250625617117707,0.0,-5.436353928921392,-5.436353928921392,0.0,0.21950000000000003,-6.100522701753293,-0.6934406817066511,-5.436353928921392,6.587155963302752,4.0,8.554023549032285,109.0,0.6485436464219884,10.0,385.0,293.5335378240097,1,dro_minimax_median,-4.250625617117707,-4.250625617117707,-5.436353928921392,8.554023549032285,109.0,0.6485436464219884,385.0,4.0,6.0,0.779,3142,0.14678899082568808,0.8532110091743119,True,COMPLETE
6,-4.80626374345519,2.17612266083751,0.004485790240303859,0.18186660645231062,0.6725,"[-111.0, 0.0]",0.0,-111.0,0.6725,0.5,-4.80626374345519,-4.80626374345519,-4.80626374345519,-4.80626374345519,0.0,-6.244358990159285,-6.244358990159285,0.0,0.3275,-6.718889818036196,-0.49197800334290404,-6.244358990159285,6.211180124223603,4.0,9.10347163312336,161.0,0.6864281209026248,7.0,512.0,222.92616159695015,1,dro_minimax_median,-4.80626374345519,-4.80626374345519,-6.244358990159285,9.10347163312336,161.0,0.6864281209026248,512.0,4.0,5.0,0.669,3142,0.13043478260869565,0.8695652173913043,True,COMPLETE
7,-4.704509562299723,23.022867216257907,0.004545808231066923,0.007975385916005766,0.7085,"[-58.0, 0.0]",0.0,-58.0,0.7085,0.5,-4.704509562299723,-4.704509562299723,-4.704509562299723,-4.704509562299723,0.0,-5.7354313529022605,-5.7354313529022605,0.0,0.2915,-7.251064029671224,-1.611744190492111,-5.7354313529022605,6.36,4.0,9.392193320457354,108.0,0.5677621031910679,7.0,403.0,219.98288294825304,1,dro_minimax_median,-4.704509562299723,-4.704509562299723,-5.7354313529022605,9.392193320457354,108.0,0.5677621031910679,403.0,4.0,5.0,0.7035,3142,0.13333333333333333,0.8666666666666667,True,COMPLETE
8,-2.1191818583388713,0.6439637565109974,0.002326440398553068,0.01849983452420057,0.8225,"[-29.0, 0.0]",0.0,-29.0,0.8225,0.5,-2.1191818583388713,-2.1191818583388713,-2.1191818583388713,-2.1191818583388713,0.0,-2.5031849693523163,-2.5031849693523163,0.0,0.1775,-3.4717977128613833,-0.9671725252985356,-2.5031849693523163,7.550561797752809,4.0,5.379186094101862,79.0,0.7405702681333093,12.0,272.0,429.8412289530181,1,dro_minimax_median,-2.1191818583388713,-2.1191818583388713,-2.5031849693523163,5.379186094101862,79.0,0.7405702681333093,272.0,4.0,8.5,0.819,3142,0.21518987341772153,0.7848101265822784,True,COMPLETE
9,-5.788218220296628,7.5575562191217465,0.005296647490352715,0.08740299821425777,0.7205,"[-90.0, 0.0]",0.0,-90.0,0.7205,0.5,-5.788218220296628,-5.788218220296628,-5.788218220296628,-5.788218220296628,0.0,-7.181142866535983,-7.181142866535983,0.0,0.27949999999999997,-8.665391064453296,-1.6094442815785612,-7.181142866535983,6.764285714285714,4.0,9.112330969430927,140.0,0.6451514326662335,8.0,456.0,188.79866969085532,1,dro_minimax_median,-5.788218220296628,-5.788218220296628,-7.181142866535983,9.112330969430927,140.0,0.6451514326662335,456.0,4.0,5.0,0.7155,3142,0.15714285714285714,0.8428571428571429,True,COMPLETE
