seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,trial_number,bandit_name,method_group,set_name,z_window
3142,3,-4.440726310429789,0.5,-5.4215689448152355,-1.4981984072734509,-5.4215689448152355,-6.836725024077555,-6.441488492522307,8.903743167511792,9.78782505100375,0.7565017082958009,604,191,0.5743333333333333,0.40349999999999997,0.4135,0.5865,0.5865,0.5845,4.0,5.645631067961165,4.0,6.0,0.9174757281553398,0.0825242718446602,8.0,0,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-2.399409073566652,0.5,-2.7223859828560797,-1.4304783456983678,-2.7223859828560797,-4.118443062545226,-4.45599587654375,7.885738568930956,7.927566958884147,0.8160755236412808,620,185,0.5870000000000001,0.41383333333333333,0.4325,0.5675,0.5675,0.5645,4.0,5.305555555555555,4.0,5.0,0.9305555555555556,0.06944444444444445,7.0,0,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3144,3,-4.999661802939011,0.5,-6.546282038866843,-0.3598010951555171,-6.546282038866843,-6.87308048295409,-7.969231039963843,8.085333667611428,9.959394163693746,0.7118073971373252,595,191,0.5616666666666666,0.39749999999999996,0.393,0.607,0.607,0.605,4.0,5.438775510204081,4.0,5.0,0.9183673469387755,0.08163265306122448,8.0,0,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3145,3,-3.9534715525713757,0.5,-4.681337481235318,-1.7698737665795476,-4.681337481235318,-6.358690095593322,-8.092236973353184,9.925549859221139,10.614020100130439,0.7132643042348905,595,187,0.5920000000000001,0.397,0.40349999999999997,0.5965,0.5965,0.595,4.0,6.014851485148514,4.0,6.0,0.8712871287128713,0.12871287128712872,8.0,0,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3146,3,-5.715618270570234,0.5,-7.4423998957460435,-0.5352733950428049,-7.4423998957460435,-7.961377188485437,-8.274806683582536,10.439725521703158,12.725816807529455,0.6801750410052972,601,182,0.5775,0.40166666666666667,0.41400000000000003,0.586,0.586,0.5815,4.0,5.555555555555555,4.0,6.0,0.9082125603864735,0.09178743961352658,8.0,0,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-3.339157027885399,0.5,-3.862891665520055,-1.7679531149814316,-3.862891665520055,-5.58264499346753,-6.197126500748751,8.89210116850444,9.103428574356231,0.7643770078655465,537,169,0.5063333333333334,0.3578333333333334,0.364,0.636,0.636,0.6325,4.0,5.65934065934066,4.0,6.0,0.8816568047337278,0.11834319526627218,8.0,1,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-4.947479145001346,0.5,-5.851293650778469,-2.2360356276699744,-5.851293650778469,-7.943642522945127,-7.481064298501961,10.648091634742606,12.088449820022484,0.6589729265280192,511,140,0.5191666666666667,0.3406666666666667,0.344,0.656,0.656,0.6535,4.0,6.0523255813953485,4.0,6.0,0.8546511627906976,0.14534883720930233,8.0,1,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3144,3,-4.667699813045301,0.5,-5.684572382219918,-1.6170821055214502,-5.684572382219918,-7.202534664287345,-7.072866996697025,8.02320915535979,12.680029630480583,0.6848623753997383,502,152,0.5398333333333333,0.33466666666666667,0.3165,0.6835,0.6835,0.681,4.0,6.886075949367089,4.0,7.0,0.8164556962025317,0.18354430379746836,9.0,1,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3145,3,-4.0384638642617805,0.5,-5.186906290590998,-0.5931365852741269,-5.186906290590998,-5.750774792303755,-6.229540310228199,8.934514213412603,9.761881104504388,0.722859182082146,533,168,0.5425,0.3555,0.35250000000000004,0.6475,0.6475,0.643,4.0,5.767045454545454,4.0,5.0,0.9034090909090909,0.09659090909090909,8.0,1,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3146,3,-4.765336944301762,0.5,-5.581610225614205,-2.3165171003644307,-5.581610225614205,-7.770537876843574,-7.243344584327216,9.623954885442743,10.624366911413418,0.630292245216531,545,148,0.5436666666666666,0.363,0.38549999999999995,0.6145,0.6145,0.611,4.0,5.740932642487047,4.0,6.0,0.9119170984455959,0.08808290155440414,8.0,1,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
