trial_number,study_name,bandit_name,method_group,set_name,z_window,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,objective_metric_name,constraints_values,cv_min_symbol_trades,cv_finite_objective,observed_dro_minimax_median,observed_dro_pure_min_median,dro_alpha,observed_median_max_drawdown_abs,observed_median_profit_factor,observed_median_total_trades,observed_median_min_symbol_trades,n_seeds,seeds_used,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_min,dro_minimax_max,dro_pure_min_median,dro_pure_min_mean,dro_pure_min_std,h1_mean_aggregate_median,h2_mean_aggregate_median,full_mean_aggregate_median,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_min_symbol_trades,median_holding_bars_overall,mean_holding_bars_overall,p25_holding_bars_overall,p75_holding_bars_overall,share_trades_closed_before_horizon_overall,share_trades_closed_after_horizon_overall,median_time_between_entries_overall,forced_singleton_ratio_overall,decision_point_ratio_overall,bandit_consulted_ratio_overall,pending_update_queued_ratio_overall,param_bandit_type,param_reward_clip,param_lambda_prior,param_discount_factor,param_noise_std,optuna_param_lambda_prior,optuna_param_one_minus_gamma,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha,diagnostic_rank
41,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,441.3620095863024,-2.1004449023106986,True,dro_minimax_median,"[-44.0, 0.0]",-44.0,0.0,-2.1004449023106986,-3.1782976298454577,0.5,7.990496930022251,0.7804922660928212,406.0,94.0,5,3142|3143|3144|3145|3146,-2.1004449023106986,-2.2227413076933376,0.2389587916047379,-2.486717939866975,-1.987160212166028,-3.1782976298454577,-3.195653430383649,0.4527976977366403,0.8551918091416236,-3.1782976298454577,-2.628936512769468,7.990496930022251,0.7804922660928212,406.0,94.0,4.0,6.622516556291391,4.0,6.0,0.852760736196319,0.147239263803681,9.0,0.302,0.698,1.0,0.995,discounted_lints,0.1,0.5993939882325746,0.9977342861907456,0.0025940445198464,0.5993939882325746,0.0022657138092544,0.0025940445198464,,,1
14,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,449.1673104242337,-2.238763111301713,True,dro_minimax_median,"[-44.0, 0.0]",-44.0,0.0,-2.238763111301713,-3.3354158100680245,0.5,7.3292510761933105,0.7716024779427723,413.0,94.0,5,3142|3143|3144|3145|3146,-2.238763111301713,-2.4536036528330563,0.317605102499099,-2.868737692843152,-2.209290014093611,-3.3354158100680245,-3.4031800872128857,0.3933376799631585,0.2874638326662682,-3.3354158100680245,-3.0031078644589315,7.3292510761933105,0.7716024779427723,413.0,94.0,4.0,6.369426751592357,4.0,6.0,0.8622754491017964,0.1377245508982036,9.0,0.31,0.69,1.0,0.995,discounted_lints,0.1,0.7890133017610734,0.9977736581073644,0.0028973262654707,0.7890133017610734,0.0022263418926357,0.0028973262654707,,,2
40,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,447.1080146910394,-2.343976971676416,True,dro_minimax_median,"[-46.0, 0.0]",-46.0,0.0,-2.343976971676416,-3.3249256551030952,0.5,7.765402118081854,0.7522849890647041,410.0,96.0,5,3142|3143|3144|3145|3146,-2.343976971676416,-2.517666177425733,0.31213033468694,-2.9500813285778595,-2.2678591707645985,-3.3249256551030952,-3.5852986284821045,0.4602786279458267,0.7869454019470626,-3.3249256551030952,-2.743790323579668,7.765402118081854,0.7522849890647041,410.0,96.0,4.0,6.61437908496732,4.0,6.0,0.8404907975460123,0.1595092024539877,9.0,0.3055,0.6945,1.0,0.995,discounted_lints,0.1,0.60425844975987,0.9977634039937956,0.0031120036514668,0.60425844975987,0.0022365960062044,0.0031120036514668,,,3
17,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,346.801718078674,-2.398793444631141,True,dro_minimax_median,"[-56.0, 0.0]",-56.0,0.0,-2.398793444631141,-3.1806690202852543,0.5,8.518537416506,0.7569892428186439,429.0,106.0,5,3142|3143|3144|3145|3146,-2.398793444631141,-2.5788426992793263,0.5978880164652735,-3.40469279282799,-1.94440927452294,-3.1806690202852543,-3.5615179048897176,0.6128614632771483,0.2154313255652777,-3.1806690202852543,-3.309618713572408,8.518537416506,0.7569892428186439,429.0,106.0,4.0,6.3625,4.0,6.0,0.8490566037735849,0.1509433962264151,8.5,0.3195,0.6805,1.0,0.995,discounted_lints,0.1,0.5527612612987765,0.9971165079413674,0.0067858991602957,0.5527612612987765,0.0028834920586326,0.0067858991602957,,,4
16,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,435.70941343929496,-2.4075105017250467,True,dro_minimax_median,"[-47.0, 0.0]",-47.0,0.0,-2.4075105017250467,-3.472045272615251,0.5,7.720371850722241,0.7489685333531486,407.0,97.0,5,3142|3143|3144|3145|3146,-2.4075105017250467,-2.494604213790189,0.2745692695694926,-2.888350670495196,-2.164199383718097,-3.472045272615251,-3.6262832890540615,0.4664367099712992,0.7860938109455651,-3.472045272615251,-2.685479746907079,7.720371850722241,0.7489685333531486,407.0,97.0,4.0,6.56687898089172,4.0,6.0,0.8471337579617835,0.1528662420382165,9.0,0.304,0.696,1.0,0.995,discounted_lints,0.1,0.603144624246731,0.9977048923682724,0.0028093178008403,0.603144624246731,0.0022951076317274,0.0028093178008403,,,5
39,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,415.26576752547686,-2.44024211193696,True,dro_minimax_median,"[-43.0, 0.0]",-43.0,0.0,-2.44024211193696,-3.445869087324079,0.5,8.178971579958748,0.7682661466227908,408.0,93.0,5,3142|3143|3144|3145|3146,-2.44024211193696,-2.360142170691417,0.4782370020455024,-2.9299640904656536,-1.7624208416923326,-3.445869087324079,-3.519653143143905,0.675606403613067,1.3859487188430182,-3.445869087324079,-2.6676208426183123,8.178971579958748,0.7682661466227908,408.0,93.0,4.0,6.415584415584416,4.0,6.0,0.8571428571428571,0.1428571428571428,9.0,0.304,0.696,1.0,0.995,discounted_lints,0.1,0.654086499888152,0.9975919035995696,0.0020428023276655,0.654086499888152,0.0024080964004302,0.0020428023276655,,,6
21,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,407.8409373664503,-2.559553517580598,True,dro_minimax_median,"[-47.0, 0.0]",-47.0,0.0,-2.559553517580598,-3.591317126939934,0.5,7.700592492978298,0.7532044477746751,410.0,97.0,5,3142|3143|3144|3145|3146,-2.559553517580598,-2.7148261872126964,0.3366050410698811,-3.1215934466465214,-2.396833839987337,-3.591317126939934,-3.81289266451164,0.356215836521784,0.5801580172070405,-3.591317126939934,-3.073687766517471,7.700592492978298,0.7532044477746751,410.0,97.0,4.0,6.329032258064516,4.0,6.0,0.8571428571428571,0.1428571428571428,9.0,0.31,0.69,1.0,0.995,discounted_lints,0.1,0.5081409822261863,0.9975480636974372,0.0015178225611478,0.5081409822261863,0.0024519363025627,0.0015178225611478,,,7
48,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,439.56045396839886,-2.600479600522005,True,dro_minimax_median,"[-45.0, 0.0]",-45.0,0.0,-2.600479600522005,-3.667773395528503,0.5,8.763938322751263,0.7700714445793791,412.0,95.0,5,3142|3143|3144|3145|3146,-2.600479600522005,-2.603494768938956,0.4097883717555577,-3.0551803004768825,-1.9992914861919475,-3.667773395528503,-3.7195078377603137,0.4164941184730521,1.0633333708379156,-3.667773395528503,-3.012076240033135,8.763938322751263,0.7700714445793791,412.0,95.0,4.0,6.516339869281046,4.0,6.0,0.863905325443787,0.136094674556213,9.0,0.304,0.696,1.0,0.995,discounted_lints,0.1,1.0476430142302595,0.9977250000745702,0.002155385904788,1.0476430142302595,0.0022749999254298,0.002155385904788,,,8
13,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,444.90047048854416,-2.61296353092653,True,dro_minimax_median,"[-43.0, 0.0]",-43.0,0.0,-2.61296353092653,-3.315768814905873,0.5,8.53189706926366,0.778596941960028,403.0,93.0,5,3142|3143|3144|3145|3146,-2.61296353092653,-2.600882182178203,0.4069353367579345,-3.053521207740671,-2.148563813102615,-3.315768814905873,-3.6611357621856486,0.6535012081575289,0.478010228048246,-3.315768814905873,-2.9222556605903933,8.53189706926366,0.778596941960028,403.0,93.0,4.0,6.610738255033557,4.0,6.0,0.8543046357615894,0.1456953642384106,9.0,0.298,0.702,1.0,0.995,discounted_lints,0.1,0.993749507752598,0.9977523062654848,0.0039300971821477,0.993749507752598,0.0022476937345152,0.0039300971821477,,,9
18,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,358.4180466612352,-2.65049289921552,True,dro_minimax_median,"[-52.0, 0.0]",-52.0,0.0,-2.65049289921552,-3.694559366419796,0.5,8.412203990281263,0.8152971888582181,435.0,102.0,5,3142|3143|3144|3145|3146,-2.65049289921552,-2.5961925986964625,0.5300617612655123,-3.196024024226535,-1.7385635872819256,-3.694559366419796,-3.64280784451058,0.5668256104352937,0.5083743071562452,-3.694559366419796,-3.203475496920568,8.412203990281263,0.8152971888582181,435.0,102.0,4.0,6.198757763975156,4.0,6.0,0.8571428571428571,0.1428571428571428,9.0,0.312,0.688,1.0,0.995,discounted_lints,0.1,0.7750126168297041,0.997209961916496,0.006738105078115,0.7750126168297041,0.0027900380835041,0.006738105078115,,,10
