number,value,params_lambda_prior,params_noise_std,params_one_minus_gamma,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.557447932469279,1.0,0.03,0.003076923076923077,1.0,"[-129.0, 0.0]",0.0,-129.0,0.6275,0.5,-3.6162574017112576,-4.6650278109990975,-4.557447932469279,-5.728290377174888,0.8138601276226234,-5.817686289666689,-5.425552060035188,1.184844768941203,0.37250000000000005,-7.278245565771627,-1.044203486651459,-5.425552060035188,5.85,4.0,9.687291389195273,179.0,0.7037739404202519,8.0,558.0,325.0,5,dro_minimax_median,-4.557447932469279,-4.557447932469279,-5.425552060035188,9.687291389195273,179.0,0.7037739404202519,558.0,4.0,5.0,0.995,3142|3143|3144|3145|3146,0.12154696132596685,0.8784530386740331,True,COMPLETE
1,-3.446870938789453,3.672477322050449,0.012496721473894587,0.002771362790917757,1.0,"[-74.0, 0.0]",0.0,-74.0,0.676,0.5,-3.0840605962497376,-3.4170575390428013,-3.446870938789453,-3.7150733079532103,0.24738872954196775,-4.460942177415776,-4.408176044621929,0.5718061772622075,0.32399999999999995,-4.901856561566768,-0.5629556212920236,-4.408176044621929,6.293413173652695,4.0,9.181938419181968,124.0,0.7682558206241703,8.0,455.0,360.83330673168297,5,dro_minimax_median,-3.446870938789453,-3.446870938789453,-4.408176044621929,9.181938419181968,124.0,0.7682558206241703,455.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.13333333333333333,0.8666666666666667,True,COMPLETE
2,-5.099951894236899,24.45058168692544,0.019587875193323546,0.0033780767687841165,1.0,"[-104.0, 0.0]",0.0,-104.0,0.6665,0.5,-4.171146986936281,-5.152161216044006,-5.099951894236899,-6.127381386067384,0.8996580734648648,-6.525564107777155,-6.487370077523416,1.2249654847971363,0.3335,-7.347354999867517,-0.9376973443773454,-6.487370077523416,6.209302325581396,4.0,10.99263709979823,154.0,0.6477498552943466,8.0,492.0,296.02642818562515,5,dro_minimax_median,-5.099951894236899,-5.099951894236899,-6.487370077523416,10.99263709979823,154.0,0.6477498552943466,492.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.13580246913580246,0.8641975308641975,True,COMPLETE
3,-3.3200165345420785,6.892590636575401,0.0017980330440959514,0.002243587077975584,1.0,"[-43.0, 0.0]",0.0,-43.0,0.7025,0.5,-2.640767453200873,-3.2702007996247984,-3.3200165345420785,-3.657113567523652,0.42029116293229807,-4.372187277731581,-4.384914220224078,0.47041515984207516,0.2975,-4.436883444827581,-0.1253234774960791,-4.384914220224078,6.527027027027027,4.0,9.406801331500446,93.0,0.7012321518200234,9.0,402.0,445.71481526908786,5,dro_minimax_median,-3.3200165345420785,-3.3200165345420785,-4.384914220224078,9.406801331500446,93.0,0.7012321518200234,402.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.15436241610738255,0.8456375838926175,True,COMPLETE
4,-3.7999565079893247,4.605578395334537,0.013618834376629212,0.0034166677234581918,1.0,"[-85.0, 0.0]",0.0,-85.0,0.6765,0.5,-3.4131782707505285,-3.9315914961022584,-3.7999565079893247,-4.431786726824643,0.4538730339365295,-5.1166289499225845,-5.19015483444291,0.692351097565805,0.3235,-5.9032888877102225,-0.13960818435614733,-5.19015483444291,6.173913043478261,4.0,9.858740581059255,135.0,0.7081921402561165,8.0,472.0,292.68283630105145,5,dro_minimax_median,-3.7999565079893247,-3.7999565079893247,-5.19015483444291,9.858740581059255,135.0,0.7081921402561165,472.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.13125,0.86875,True,COMPLETE
5,-4.414991111249236,5.884459269971612,0.013297964459332606,0.003545546739499743,1.0,"[-88.0, 0.0]",0.0,-88.0,0.6835,0.5,-4.107157233735508,-4.429296801426338,-4.414991111249236,-4.713855125772787,0.2408291748316897,-5.481526832009322,-5.663726428537257,0.41930248634542017,0.3165,-6.875871068387103,-1.4344082507782296,-5.663726428537257,6.1847133757961785,4.0,10.285752367618773,138.0,0.7259619135261414,8.0,475.0,282.0439479359662,5,dro_minimax_median,-4.414991111249236,-4.414991111249236,-5.663726428537257,10.285752367618773,138.0,0.7259619135261414,475.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.14556962025316456,0.8544303797468354,True,COMPLETE
6,-4.502934302017606,1.650846287730074,0.0018760743185387708,0.0056752810541746785,1.0,"[-76.0, 0.0]",0.0,-76.0,0.7025,0.5,-3.958979136939562,-4.54079676435623,-4.502934302017606,-5.089253871714735,0.49137087551063086,-5.887699404428322,-5.76411865800646,0.6459571155525314,0.2975,-6.443204266030956,-0.4929558753375011,-5.76411865800646,6.351351351351352,4.0,9.546722075671077,126.0,0.744775655262811,8.5,443.0,176.2027273106431,5,dro_minimax_median,-4.502934302017606,-4.502934302017606,-5.76411865800646,9.546722075671077,126.0,0.744775655262811,443.0,4.0,5.0,0.995,3142|3143|3144|3145|3146,0.1554054054054054,0.8445945945945946,True,COMPLETE
7,-3.118237546377162,1.4429230661432635,0.002963670928442278,0.003135886999746117,1.0,"[-52.0, 0.0]",0.0,-52.0,0.6925,0.5,-2.4756773188376076,-3.0777735113095828,-3.118237546377162,-3.4934045497130475,0.4415701963172588,-4.259661420352253,-4.319606323336182,0.6532834792043983,0.3075,-3.833760713448035,0.4858687844998988,-4.319606323336182,6.38562091503268,4.0,8.734709078712743,102.0,0.7922339097972124,8.0,417.0,318.8890416271251,5,dro_minimax_median,-3.118237546377162,-3.118237546377162,-4.319606323336182,8.734709078712743,102.0,0.7922339097972124,417.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.16352201257861634,0.8364779874213837,True,COMPLETE
8,-5.682802607062502,0.7021639484127451,0.021127526447375734,0.0038687460139625275,1.0,"[-110.0, 0.0]",0.0,-110.0,0.6545,0.5,-4.6227729286760875,-5.647273180465619,-5.682802607062502,-6.552998541794228,0.773927523285427,-7.1557167963277735,-7.690271481335169,0.8958767366715499,0.34550000000000003,-7.379916052392147,-1.033777091006786,-7.690271481335169,5.9714285714285715,4.0,9.704304505886086,160.0,0.6247814909599714,8.0,523.0,258.4816879658014,5,dro_minimax_median,-5.682802607062502,-5.682802607062502,-7.690271481335169,9.704304505886086,160.0,0.6247814909599714,523.0,4.0,5.0,0.995,3142|3143|3144|3145|3146,0.12,0.88,True,COMPLETE
9,-4.219361376751818,11.424454836885744,0.006813071239863482,0.004297712225153598,1.0,"[-76.0, 0.0]",0.0,-76.0,0.7105,0.5,-3.879774706431353,-4.246537548438252,-4.219361376751818,-4.55168027878474,0.2783215766657072,-5.3772803548432435,-5.421105752607269,0.37104681495326747,0.2895,-6.455338559113585,-0.9526248844933066,-5.421105752607269,6.73943661971831,4.0,9.38020346802112,126.0,0.7162637651491032,8.5,428.0,232.681935786024,5,dro_minimax_median,-4.219361376751818,-4.219361376751818,-5.421105752607269,9.38020346802112,126.0,0.7162637651491032,428.0,4.0,5.75,0.995,3142|3143|3144|3145|3146,0.1724137931034483,0.8275862068965517,True,COMPLETE
