trial_number,study_name,bandit_name,method_group,set_name,z_window,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,objective_metric_name,constraints_values,cv_min_symbol_trades,cv_finite_objective,observed_dro_minimax_median,observed_dro_pure_min_median,dro_alpha,observed_median_max_drawdown_abs,observed_median_profit_factor,observed_median_total_trades,observed_median_min_symbol_trades,n_seeds,seeds_used,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_min,dro_minimax_max,dro_pure_min_median,dro_pure_min_mean,dro_pure_min_std,h1_mean_aggregate_median,h2_mean_aggregate_median,full_mean_aggregate_median,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_min_symbol_trades,median_holding_bars_overall,mean_holding_bars_overall,p25_holding_bars_overall,p75_holding_bars_overall,share_trades_closed_before_horizon_overall,share_trades_closed_after_horizon_overall,median_time_between_entries_overall,forced_singleton_ratio_overall,decision_point_ratio_overall,bandit_consulted_ratio_overall,pending_update_queued_ratio_overall,param_bandit_type,param_reward_clip,param_lambda_prior,param_discount_factor,param_noise_std,optuna_param_lambda_prior,optuna_param_one_minus_gamma,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha
0,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,325.0,-4.557447932469279,True,dro_minimax_median,"[-129.0, 0.0]",-129.0,0.0,-4.557447932469279,-5.425552060035188,0.5,9.687291389195273,0.7037739404202519,558.0,179.0,5,3142|3143|3144|3145|3146,-4.557447932469279,-4.6650278109990975,0.8138601276226234,-5.728290377174888,-3.6162574017112576,-5.425552060035188,-5.817686289666689,1.184844768941203,-1.044203486651459,-5.425552060035188,-7.278245565771627,9.687291389195273,0.7037739404202519,558.0,179.0,4.0,5.85,4.0,5.0,0.8784530386740331,0.12154696132596685,8.0,0.37250000000000005,0.6275,1.0,0.995,discounted_lints,0.1,1.0,0.9969230769230769,0.03,1.0,0.003076923076923077,0.03,,
1,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,360.83330673168297,-3.446870938789453,True,dro_minimax_median,"[-74.0, 0.0]",-74.0,0.0,-3.446870938789453,-4.408176044621929,0.5,9.181938419181968,0.7682558206241703,455.0,124.0,5,3142|3143|3144|3145|3146,-3.446870938789453,-3.4170575390428013,0.24738872954196775,-3.7150733079532103,-3.0840605962497376,-4.408176044621929,-4.460942177415776,0.5718061772622075,-0.5629556212920236,-4.408176044621929,-4.901856561566768,9.181938419181968,0.7682558206241703,455.0,124.0,4.0,6.293413173652695,4.0,6.0,0.8666666666666667,0.13333333333333333,8.0,0.32399999999999995,0.676,1.0,0.995,discounted_lints,0.1,3.672477322050449,0.9972286372090823,0.012496721473894587,3.672477322050449,0.002771362790917757,0.012496721473894587,,
2,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,296.02642818562515,-5.099951894236899,True,dro_minimax_median,"[-104.0, 0.0]",-104.0,0.0,-5.099951894236899,-6.487370077523416,0.5,10.99263709979823,0.6477498552943466,492.0,154.0,5,3142|3143|3144|3145|3146,-5.099951894236899,-5.152161216044006,0.8996580734648648,-6.127381386067384,-4.171146986936281,-6.487370077523416,-6.525564107777155,1.2249654847971363,-0.9376973443773454,-6.487370077523416,-7.347354999867517,10.99263709979823,0.6477498552943466,492.0,154.0,4.0,6.209302325581396,4.0,6.0,0.8641975308641975,0.13580246913580246,8.0,0.3335,0.6665,1.0,0.995,discounted_lints,0.1,24.45058168692544,0.9966219232312159,0.019587875193323546,24.45058168692544,0.0033780767687841165,0.019587875193323546,,
3,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,445.71481526908786,-3.3200165345420785,True,dro_minimax_median,"[-43.0, 0.0]",-43.0,0.0,-3.3200165345420785,-4.384914220224078,0.5,9.406801331500446,0.7012321518200234,402.0,93.0,5,3142|3143|3144|3145|3146,-3.3200165345420785,-3.2702007996247984,0.42029116293229807,-3.657113567523652,-2.640767453200873,-4.384914220224078,-4.372187277731581,0.47041515984207516,-0.1253234774960791,-4.384914220224078,-4.436883444827581,9.406801331500446,0.7012321518200234,402.0,93.0,4.0,6.527027027027027,4.0,6.0,0.8456375838926175,0.15436241610738255,9.0,0.2975,0.7025,1.0,0.995,discounted_lints,0.1,6.892590636575401,0.9977564129220244,0.0017980330440959514,6.892590636575401,0.002243587077975584,0.0017980330440959514,,
4,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,292.68283630105145,-3.7999565079893247,True,dro_minimax_median,"[-85.0, 0.0]",-85.0,0.0,-3.7999565079893247,-5.19015483444291,0.5,9.858740581059255,0.7081921402561165,472.0,135.0,5,3142|3143|3144|3145|3146,-3.7999565079893247,-3.9315914961022584,0.4538730339365295,-4.431786726824643,-3.4131782707505285,-5.19015483444291,-5.1166289499225845,0.692351097565805,-0.13960818435614733,-5.19015483444291,-5.9032888877102225,9.858740581059255,0.7081921402561165,472.0,135.0,4.0,6.173913043478261,4.0,6.0,0.86875,0.13125,8.0,0.3235,0.6765,1.0,0.995,discounted_lints,0.1,4.605578395334537,0.9965833322765418,0.013618834376629212,4.605578395334537,0.0034166677234581918,0.013618834376629212,,
5,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,282.0439479359662,-4.414991111249236,True,dro_minimax_median,"[-88.0, 0.0]",-88.0,0.0,-4.414991111249236,-5.663726428537257,0.5,10.285752367618773,0.7259619135261414,475.0,138.0,5,3142|3143|3144|3145|3146,-4.414991111249236,-4.429296801426338,0.2408291748316897,-4.713855125772787,-4.107157233735508,-5.663726428537257,-5.481526832009322,0.41930248634542017,-1.4344082507782296,-5.663726428537257,-6.875871068387103,10.285752367618773,0.7259619135261414,475.0,138.0,4.0,6.1847133757961785,4.0,6.0,0.8544303797468354,0.14556962025316456,8.0,0.3165,0.6835,1.0,0.995,discounted_lints,0.1,5.884459269971612,0.9964544532605003,0.013297964459332606,5.884459269971612,0.003545546739499743,0.013297964459332606,,
6,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,176.2027273106431,-4.502934302017606,True,dro_minimax_median,"[-76.0, 0.0]",-76.0,0.0,-4.502934302017606,-5.76411865800646,0.5,9.546722075671077,0.744775655262811,443.0,126.0,5,3142|3143|3144|3145|3146,-4.502934302017606,-4.54079676435623,0.49137087551063086,-5.089253871714735,-3.958979136939562,-5.76411865800646,-5.887699404428322,0.6459571155525314,-0.4929558753375011,-5.76411865800646,-6.443204266030956,9.546722075671077,0.744775655262811,443.0,126.0,4.0,6.351351351351352,4.0,5.0,0.8445945945945946,0.1554054054054054,8.5,0.2975,0.7025,1.0,0.995,discounted_lints,0.1,1.650846287730074,0.9943247189458253,0.0018760743185387708,1.650846287730074,0.0056752810541746785,0.0018760743185387708,,
7,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,318.8890416271251,-3.118237546377162,True,dro_minimax_median,"[-52.0, 0.0]",-52.0,0.0,-3.118237546377162,-4.319606323336182,0.5,8.734709078712743,0.7922339097972124,417.0,102.0,5,3142|3143|3144|3145|3146,-3.118237546377162,-3.0777735113095828,0.4415701963172588,-3.4934045497130475,-2.4756773188376076,-4.319606323336182,-4.259661420352253,0.6532834792043983,0.4858687844998988,-4.319606323336182,-3.833760713448035,8.734709078712743,0.7922339097972124,417.0,102.0,4.0,6.38562091503268,4.0,6.0,0.8364779874213837,0.16352201257861634,8.0,0.3075,0.6925,1.0,0.995,discounted_lints,0.1,1.4429230661432635,0.9968641130002539,0.002963670928442278,1.4429230661432635,0.003135886999746117,0.002963670928442278,,
8,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,258.4816879658014,-5.682802607062502,True,dro_minimax_median,"[-110.0, 0.0]",-110.0,0.0,-5.682802607062502,-7.690271481335169,0.5,9.704304505886086,0.6247814909599714,523.0,160.0,5,3142|3143|3144|3145|3146,-5.682802607062502,-5.647273180465619,0.773927523285427,-6.552998541794228,-4.6227729286760875,-7.690271481335169,-7.1557167963277735,0.8958767366715499,-1.033777091006786,-7.690271481335169,-7.379916052392147,9.704304505886086,0.6247814909599714,523.0,160.0,4.0,5.9714285714285715,4.0,5.0,0.88,0.12,8.0,0.34550000000000003,0.6545,1.0,0.995,discounted_lints,0.1,0.7021639484127451,0.9961312539860375,0.021127526447375734,0.7021639484127451,0.0038687460139625275,0.021127526447375734,,
9,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,232.681935786024,-4.219361376751818,True,dro_minimax_median,"[-76.0, 0.0]",-76.0,0.0,-4.219361376751818,-5.421105752607269,0.5,9.38020346802112,0.7162637651491032,428.0,126.0,5,3142|3143|3144|3145|3146,-4.219361376751818,-4.246537548438252,0.2783215766657072,-4.55168027878474,-3.879774706431353,-5.421105752607269,-5.3772803548432435,0.37104681495326747,-0.9526248844933066,-5.421105752607269,-6.455338559113585,9.38020346802112,0.7162637651491032,428.0,126.0,4.0,6.73943661971831,4.0,5.75,0.8275862068965517,0.1724137931034483,8.5,0.2895,0.7105,1.0,0.995,discounted_lints,0.1,11.424454836885744,0.9957022877748464,0.006813071239863482,11.424454836885744,0.004297712225153598,0.006813071239863482,,
10,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,351.5237025423119,-2.677575119267055,True,dro_minimax_median,"[-50.0, 0.0]",-50.0,0.0,-2.677575119267055,-3.6392903108447485,0.5,8.06363401877549,0.7575622808337844,423.0,100.0,5,3142|3143|3144|3145|3146,-2.677575119267055,-2.719081006761485,0.42458646785125126,-3.3420420601930374,-2.191150227893415,-3.6392903108447485,-3.8030509669741277,0.6396304923316006,0.44174937139456566,-3.6392903108447485,-3.4183253077239875,8.06363401877549,0.7575622808337844,423.0,100.0,4.0,6.2594936708860756,4.0,6.0,0.8580246913580247,0.1419753086419753,8.5,0.31799999999999995,0.682,1.0,0.995,discounted_lints,0.1,1.4585413466636183,0.9971552416159487,0.0031904523613835176,1.4585413466636183,0.0028447583840513083,0.0031904523613835176,,
11,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,317.2937407212953,-3.4569702108761726,True,dro_minimax_median,"[-59.0, 0.0]",-59.0,0.0,-3.4569702108761726,-4.77290640804537,0.5,9.019696786631847,0.7306409502380118,425.0,109.0,5,3142|3143|3144|3145|3146,-3.4569702108761726,-3.364949297432658,0.24226139057404433,-3.5668035698919063,-3.0045668645609878,-4.77290640804537,-4.608209868296686,0.3028789023368645,0.4444287865719339,-4.77290640804537,-4.3644747018221155,9.019696786631847,0.7306409502380118,425.0,109.0,4.0,6.153846153846154,4.0,6.0,0.8653846153846154,0.1346153846153846,8.0,0.3155,0.6845,1.0,0.995,discounted_lints,0.1,0.6330431132136766,0.9968483462745696,0.002324492301853607,0.6330431132136766,0.0031516537254303438,0.002324492301853607,,
12,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,276.2534235208599,-3.121925311985681,True,dro_minimax_median,"[-65.0, 0.0]",-65.0,0.0,-3.121925311985681,-4.013801299873432,0.5,8.80824909282827,0.7965443502814675,437.0,115.0,5,3142|3143|3144|3145|3146,-3.121925311985681,-3.016734301445618,0.1935354906487951,-3.1917140643062263,-2.733911527182048,-4.013801299873432,-3.9583058478824045,0.2992122279133887,-0.331719306331076,-4.013801299873432,-4.1056425475169265,8.80824909282827,0.7965443502814675,437.0,115.0,4.0,6.2578616352201255,4.0,6.0,0.8490566037735849,0.1509433962264151,8.0,0.31799999999999995,0.682,1.0,0.995,discounted_lints,0.1,2.94851607683243,0.9963801353581253,0.002468217695545228,2.94851607683243,0.0036198646418747096,0.002468217695545228,,
13,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,444.90047048854416,-2.61296353092653,True,dro_minimax_median,"[-43.0, 0.0]",-43.0,0.0,-2.61296353092653,-3.315768814905873,0.5,8.53189706926366,0.778596941960028,403.0,93.0,5,3142|3143|3144|3145|3146,-2.61296353092653,-2.600882182178203,0.4069353367579345,-3.053521207740671,-2.148563813102615,-3.315768814905873,-3.6611357621856486,0.6535012081575289,0.47801022804824606,-3.315768814905873,-2.9222556605903933,8.53189706926366,0.778596941960028,403.0,93.0,4.0,6.610738255033557,4.0,6.0,0.8543046357615894,0.1456953642384106,9.0,0.29800000000000004,0.702,1.0,0.995,discounted_lints,0.1,0.9937495077525981,0.9977523062654847,0.003930097182147716,0.9937495077525981,0.002247693734515278,0.003930097182147716,,
14,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,449.16731042423373,-2.2387631113017132,True,dro_minimax_median,"[-44.0, 0.0]",-44.0,0.0,-2.2387631113017132,-3.3354158100680245,0.5,7.3292510761933105,0.7716024779427723,413.0,94.0,5,3142|3143|3144|3145|3146,-2.2387631113017132,-2.4536036528330563,0.317605102499099,-2.8687376928431516,-2.209290014093611,-3.3354158100680245,-3.4031800872128857,0.39333767996315855,0.2874638326662682,-3.3354158100680245,-3.0031078644589315,7.3292510761933105,0.7716024779427723,413.0,94.0,4.0,6.369426751592357,4.0,6.0,0.8622754491017964,0.1377245508982036,9.0,0.31000000000000005,0.69,1.0,0.995,discounted_lints,0.1,0.7890133017610734,0.9977736581073643,0.0028973262654707053,0.7890133017610734,0.0022263418926357545,0.0028973262654707053,,
15,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,430.8457047892298,-2.8536258690798686,True,dro_minimax_median,"[-46.0, 0.0]",-46.0,0.0,-2.8536258690798686,-4.144470420160558,0.5,8.845492990511927,0.7908239159614301,403.0,96.0,5,3142|3143|3144|3145|3146,-2.8536258690798686,-2.7276479831268956,0.47533444283697984,-3.316006522451992,-2.0255839892920204,-4.144470420160558,-4.020733774333327,0.43162551562554824,1.3085803125137445,-4.144470420160558,-2.759017365776506,8.845492990511927,0.7908239159614301,403.0,96.0,4.0,6.635761589403973,4.0,6.0,0.847682119205298,0.152317880794702,9.0,0.29400000000000004,0.706,1.0,0.995,discounted_lints,0.1,1.2563977855684068,0.9976789834762558,0.001155045597134131,1.2563977855684068,0.0023210165237441583,0.001155045597134131,,
16,discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,435.70941343929496,-2.4075105017250467,True,dro_minimax_median,"[-47.0, 0.0]",-47.0,0.0,-2.4075105017250467,-3.472045272615251,0.5,7.720371850722241,0.7489685333531486,407.0,97.0,5,3142|3143|3144|3145|3146,-2.4075105017250467,-2.494604213790189,0.2745692695694926,-2.8883506704951962,-2.164199383718097,-3.472045272615251,-3.6262832890540615,0.46643670997129927,0.7860938109455651,-3.472045272615251,-2.685479746907079,7.720371850722241,0.7489685333531486,407.0,97.0,4.0,6.56687898089172,4.0,6.0,0.8471337579617835,0.15286624203821655,9.0,0.30400000000000005,0.696,1.0,0.995,discounted_lints,0.1,0.603144624246731,0.9977048923682725,0.002809317800840308,0.603144624246731,0.002295107631727412,0.002809317800840308,,
