trial_number,study_name,bandit_name,method_group,set_name,z_window,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,objective_metric_name,constraints_values,cv_min_symbol_trades,cv_finite_objective,observed_dro_minimax_median,observed_dro_pure_min_median,dro_alpha,observed_median_max_drawdown_abs,observed_median_profit_factor,observed_median_total_trades,observed_median_min_symbol_trades,n_seeds,seeds_used,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_min,dro_minimax_max,dro_pure_min_median,dro_pure_min_mean,dro_pure_min_std,h1_mean_aggregate_median,h2_mean_aggregate_median,full_mean_aggregate_median,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_min_symbol_trades,median_holding_bars_overall,mean_holding_bars_overall,p25_holding_bars_overall,p75_holding_bars_overall,share_trades_closed_before_horizon_overall,share_trades_closed_after_horizon_overall,median_time_between_entries_overall,forced_singleton_ratio_overall,decision_point_ratio_overall,bandit_consulted_ratio_overall,pending_update_queued_ratio_overall,param_bandit_type,param_reward_clip,param_lambda_prior,param_window_size,param_noise_std,optuna_param_lambda_prior,optuna_param_window_size,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha,diagnostic_rank
32,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,350.0,-2.8744648846932144,True,dro_minimax_median,"[-88.0, 0.0]",-88.0,0.0,-2.8744648846932144,-3.928845709954313,0.5,7.943349691951229,0.7580416415992098,436.0,138.0,5,3142|3143|3144|3145|3146,-2.8744648846932144,-3.064585795669532,0.7227002110436194,-3.8329915980481215,-2.062856912744348,-3.928845709954313,-4.141098820067851,0.7875912085650728,0.2886775910900807,-3.928845709954313,-3.646345812853983,7.943349691951229,0.7580416415992098,436.0,138.0,4.0,6.957446808510638,4.0,6.0,0.8503401360544217,0.1496598639455782,8.0,0.282,0.718,0.718,0.715,sw_lints,0.1,27.540420347774912,350,0.0017271887272571,27.540420347774912,350,0.0017271887272571,,,1
45,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,325.0,-3.2538354090596124,True,dro_minimax_median,"[-81.0, 0.0]",-81.0,0.0,-3.2538354090596124,-4.296519097138026,0.5,8.377505814579678,0.7637467853575562,428.0,131.0,5,3142|3143|3144|3145|3146,-3.2538354090596124,-3.3613271437330794,0.7140978660433044,-4.5460256126672105,-2.6114388798100108,-4.296519097138026,-4.282469403218277,0.8399799158567234,-0.6764925487814377,-4.296519097138026,-4.437469489606471,8.377505814579678,0.7637467853575562,428.0,131.0,4.0,7.412213740458015,4.0,6.25,0.8201438848920863,0.1798561151079136,9.0,0.2714999999999999,0.7285,0.7285,0.7255,sw_lints,0.1,29.398408440183594,325,0.0020615100800243,29.398408440183594,325,0.0020615100800243,,,2
29,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,375.0,-3.28728359133426,True,dro_minimax_median,"[-83.0, 0.0]",-83.0,0.0,-3.28728359133426,-3.871387274939172,0.5,8.88379748257353,0.7091941634806853,449.0,133.0,5,3142|3143|3144|3145|3146,-3.28728359133426,-3.6189401063712894,1.005728016434113,-4.993209134976641,-2.5580840177011788,-3.871387274939172,-4.444727857091771,1.31272886015095,-0.799009790395829,-3.871387274939172,-5.8896480891587615,8.88379748257353,0.7091941634806853,449.0,133.0,4.0,7.355072463768116,4.0,5.75,0.8424657534246576,0.1575342465753424,8.0,0.3,0.7,0.7,0.697,sw_lints,0.1,27.09056814665411,375,0.0041919567346091,27.09056814665411,375,0.0041919567346091,,,3
35,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,325.0,-3.390245174784332,True,dro_minimax_median,"[-85.0, 0.0]",-85.0,0.0,-3.390245174784332,-4.314926627293503,0.5,8.059267430531047,0.759114876793474,419.0,135.0,5,3142|3143|3144|3145|3146,-3.390245174784332,-3.3130666082563622,0.2291195809771619,-3.567166719729073,-3.053981207417568,-4.314926627293503,-4.228727401593705,0.3972087977669556,-0.650658549105602,-4.314926627293503,-4.53880681794712,8.059267430531047,0.759114876793474,419.0,135.0,4.0,7.416058394160584,4.0,6.0,0.8270676691729323,0.1729323308270676,9.0,0.274,0.726,0.726,0.7235,sw_lints,0.1,28.549546065891963,325,0.0010098388232961,28.549546065891963,325,0.0010098388232961,,,4
47,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,275.0,-3.464129682179895,True,dro_minimax_median,"[-83.0, 0.0]",-83.0,0.0,-3.464129682179895,-4.46392921840915,0.5,8.682183833728374,0.7358758775485521,427.0,133.0,5,3142|3143|3144|3145|3146,-3.464129682179895,-3.330390242314787,0.6354779562367217,-3.933860153386126,-2.2688517184929977,-4.46392921840915,-4.158713749711302,0.7792496084279085,-0.8851774586210004,-4.46392921840915,-5.488596167832552,8.682183833728374,0.7358758775485521,427.0,133.0,4.0,7.293233082706767,4.0,6.75,0.8301886792452831,0.1698113207547169,9.0,0.2815,0.7185,0.7185,0.717,sw_lints,0.1,27.76773020588103,275,0.0026038879064124,27.76773020588103,275,0.0026038879064124,,,5
27,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,325.0,-3.5191054938372943,True,dro_minimax_median,"[-86.0, 0.0]",-86.0,0.0,-3.5191054938372943,-4.35462150016023,0.5,8.49351659026084,0.7177553368342251,431.0,136.0,5,3142|3143|3144|3145|3146,-3.5191054938372943,-3.2631343876357723,0.6006416927046956,-3.866646252053166,-2.5617553382802343,-4.35462150016023,-4.133559508728494,0.4870247195747162,-0.5385189006460825,-4.35462150016023,-5.033860448948087,8.49351659026084,0.7177553368342251,431.0,136.0,4.0,7.417910447761194,4.0,6.0,0.8231292517006803,0.1768707482993197,9.0,0.2734999999999999,0.7265,0.7265,0.7235,sw_lints,0.1,24.25635820050377,325,0.0015988608716747,24.25635820050377,325,0.0015988608716747,,,6
25,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,425.0,-3.53668173777352,True,dro_minimax_median,"[-82.0, 0.0]",-82.0,0.0,-3.53668173777352,-4.817193083831779,0.5,8.768039315631471,0.719095087588888,466.0,132.0,5,3142|3143|3144|3145|3146,-3.53668173777352,-3.8854491458144302,0.5124445859761193,-4.5068578850509535,-3.477218305000849,-4.817193083831779,-4.914107995266217,0.6259415631213806,-1.2540395909915552,-4.817193083831779,-5.992267750840985,8.768039315631471,0.719095087588888,466.0,132.0,4.0,6.229299363057325,4.0,5.0,0.88125,0.11875,8.0,0.3179999999999999,0.682,0.682,0.679,sw_lints,0.1,28.48144686541584,425,0.0016631962948267,28.48144686541584,425,0.0016631962948267,,,7
49,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,350.0,-3.570535648081424,True,dro_minimax_median,"[-90.0, 0.0]",-90.0,0.0,-3.570535648081424,-4.40452452384883,0.5,7.904510283243926,0.7472317452359819,436.0,140.0,5,3142|3143|3144|3145|3146,-3.570535648081424,-3.725744758304523,0.6383139013704007,-4.574886592778515,-2.951255864161202,-4.40452452384883,-4.622563042326561,0.7708372944257331,-1.068569020779205,-4.40452452384883,-5.391618243490403,7.904510283243926,0.7472317452359819,436.0,140.0,4.0,6.810457516339869,4.0,6.0,0.8300653594771242,0.1699346405228758,9.0,0.286,0.714,0.714,0.711,sw_lints,0.1,28.59244679747564,350,0.002705978347349,28.59244679747564,350,0.002705978347349,,,8
46,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,300.0,-3.633145116617357,True,dro_minimax_median,"[-90.0, 0.0]",-90.0,0.0,-3.633145116617357,-4.743149880668121,0.5,9.557795432612014,0.7233110062701775,453.0,140.0,5,3142|3143|3144|3145|3146,-3.633145116617357,-3.8554229225167935,0.6483640616501871,-4.61511362497969,-3.221137881737823,-4.743149880668121,-4.804873900707927,1.1480694905562585,-0.4008189836152143,-4.743149880668121,-6.10517639936979,9.557795432612014,0.7233110062701775,453.0,140.0,4.0,6.804878048780488,4.0,5.0,0.8506493506493507,0.1493506493506493,8.5,0.3035,0.6965,0.6965,0.6915,sw_lints,0.1,11.238215327211512,300,0.0010906293278075,11.238215327211512,300,0.0010906293278075,,,9
17,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,400.0,-3.652110712911603,True,dro_minimax_median,"[-96.0, 0.0]",-96.0,0.0,-3.652110712911603,-4.4497362424005695,0.5,8.64579302334506,0.7492776674588728,521.0,146.0,5,3142|3143|3144|3145|3146,-3.652110712911603,-3.718476801948317,0.7294039270898043,-4.751110291485437,-3.0183378649911115,-4.4497362424005695,-4.522455137890373,0.8351316430174651,-1.2592341244447045,-4.4497362424005695,-5.6215086642361385,8.64579302334506,0.7492776674588728,521.0,146.0,4.0,5.2513089005235605,4.0,5.0,0.9123711340206184,0.0876288659793814,7.0,0.3595,0.6405,0.6405,0.639,sw_lints,0.1,0.7554421593651547,400,0.0035214409362788,0.7554421593651547,400,0.0035214409362788,,,10
