number,value,params_lambda_prior,params_noise_std,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-4.303217463561156,1.0,0.03,325,0.6045,"[-142.0, 0.0]",0.0,-142.0,0.6045,0.5,-3.0444274286811432,-4.235336088275565,-4.303217463561156,-5.073624953197417,0.7444628633651048,-5.155368339753354,-5.039320082410381,1.4454907797445788,0.39549999999999996,-6.526451993771354,-1.9032658663008517,-5.039320082410381,5.528497409326425,4.0,8.960074076192715,192.0,0.7214534465705323,8.0,603.0,325.0,5,dro_minimax_median,-4.303217463561156,-4.303217463561156,-5.039320082410381,8.960074076192715,192.0,0.7214534465705323,603.0,4.0,5.0,0.603,3142|3143|3144|3145|3146,0.07772020725388601,0.9222797927461139,True,COMPLETE
1,-5.15336033886153,3.672477322050449,0.012496721473894587,225,0.6665,"[-112.0, 0.0]",0.0,-112.0,0.6665,0.5,-3.6212881036104356,-5.2043632381143,-5.15336033886153,-6.534513161551416,1.148473436628364,-6.564532568634587,-6.340941140976234,1.3998961559136243,0.3335,-7.848653547413143,-1.2845538573330262,-6.340941140976234,6.482954545454546,4.0,11.525520898776442,162.0,0.6379053800533419,8.0,513.0,225.0,5,dro_minimax_median,-5.15336033886153,-5.15336033886153,-6.340941140976234,11.525520898776442,162.0,0.6379053800533419,513.0,4.0,5.0,0.6635,3142|3143|3144|3145|3146,0.13636363636363635,0.8636363636363636,True,COMPLETE
2,-4.547156433748338,24.45058168692544,0.019587875193323546,300,0.664,"[-113.0, 0.0]",0.0,-113.0,0.664,0.5,-4.485488310365822,-4.7698466607306695,-4.547156433748338,-5.672774090853936,0.506511684272744,-5.746506703393302,-5.53468399408943,0.7190870086816309,0.33599999999999997,-7.4147905424231935,-1.8140456332415011,-5.53468399408943,6.029411764705882,4.0,10.371621270650888,163.0,0.7293375243005319,8.0,514.0,300.0,5,dro_minimax_median,-4.547156433748338,-4.547156433748338,-5.53468399408943,10.371621270650888,163.0,0.7293375243005319,514.0,4.0,6.0,0.661,3142|3143|3144|3145|3146,0.11764705882352941,0.8823529411764706,True,COMPLETE
3,-4.7597523665387405,6.892590636575401,0.0017980330440959514,175,0.702,"[-85.0, 0.0]",0.0,-85.0,0.702,0.5,-3.41635375466508,-4.6220477420341926,-4.7597523665387405,-5.588066198525124,0.7934173758781082,-5.616555811507389,-5.587029675919756,1.0498780351012977,0.29800000000000004,-7.821997687482647,-1.6383928637050549,-5.587029675919756,6.910344827586207,4.0,10.500715873920342,135.0,0.683946138837726,9.0,441.0,175.0,5,dro_minimax_median,-4.7597523665387405,-4.7597523665387405,-5.587029675919756,10.500715873920342,135.0,0.683946138837726,441.0,4.0,6.0,0.6995,3142|3143|3144|3145|3146,0.16551724137931034,0.8344827586206897,True,COMPLETE
4,-4.337581333704973,4.605578395334537,0.013618834376629212,300,0.6565,"[-120.0, 0.0]",0.0,-120.0,0.6565,0.5,-2.563424051970778,-4.218120024186263,-4.337581333704973,-5.54179606607733,1.0738309178534338,-5.169398609315854,-5.429358167830082,1.2613914824754104,0.3435,-6.5610392957299455,-1.0622508313296475,-5.429358167830082,5.988235294117647,4.0,10.194318625638022,170.0,0.7075901538458932,7.0,535.0,300.0,5,dro_minimax_median,-4.337581333704973,-4.337581333704973,-5.429358167830082,10.194318625638022,170.0,0.7075901538458932,535.0,4.0,5.0,0.6535,3142|3143|3144|3145|3146,0.1164021164021164,0.8835978835978836,True,COMPLETE
5,-5.0731207389031665,5.884459269971612,0.013297964459332606,300,0.6505,"[-116.0, 0.0]",0.0,-116.0,0.6505,0.5,-4.277024013660758,-5.082169788303863,-5.0731207389031665,-5.692730798842055,0.5223139009476029,-6.666861182024432,-6.784637229915144,0.5956798123136857,0.34950000000000003,-6.855656783036589,-0.007084705519215066,-6.784637229915144,5.97093023255814,4.0,10.375742288411093,166.0,0.7312216875131908,8.0,524.0,300.0,5,dro_minimax_median,-5.0731207389031665,-5.0731207389031665,-6.784637229915144,10.375742288411093,166.0,0.7312216875131908,524.0,4.0,5.0,0.647,3142|3143|3144|3145|3146,0.10240963855421686,0.8975903614457831,True,COMPLETE
6,-5.106335374861684,1.650846287730074,0.0018760743185387708,450,0.6625,"[-85.0, 0.0]",0.0,-85.0,0.6625,0.5,-4.44133989857786,-5.05184390995357,-5.106335374861684,-5.8191246055508445,0.5730679110336226,-6.46935867053554,-6.20721816324816,0.6948680484530467,0.3375,-6.956648373981911,-0.5266678835470199,-6.20721816324816,5.603550295857988,4.0,9.727317069593377,135.0,0.6641508687237638,8.0,497.0,450.0,5,dro_minimax_median,-5.106335374861684,-5.106335374861684,-6.20721816324816,9.727317069593377,135.0,0.6641508687237638,497.0,4.0,5.0,0.661,3142|3143|3144|3145|3146,0.10059171597633136,0.8994082840236687,True,COMPLETE
7,-4.63635925612472,1.4429230661432635,0.002963670928442278,275,0.6545,"[-95.0, 0.0]",0.0,-95.0,0.6545,0.5,-2.9580574817964767,-4.2630385573610425,-4.63635925612472,-5.226053550686025,0.9579115826077366,-5.297220820099999,-5.588415748878769,1.1380562047623284,0.34550000000000003,-6.7861734879973525,-0.8036143227466891,-5.588415748878769,5.899408284023669,4.0,9.845933319976197,145.0,0.7119887294903281,8.0,511.0,275.0,5,dro_minimax_median,-4.63635925612472,-4.63635925612472,-5.588415748878769,9.845933319976197,145.0,0.7119887294903281,511.0,4.0,4.0,0.653,3142|3143|3144|3145|3146,0.10982658959537572,0.8901734104046243,True,COMPLETE
8,-4.871859906638149,0.7021639484127451,0.021127526447375734,350,0.608,"[-138.0, 0.0]",0.0,-138.0,0.608,0.5,-3.300886087189696,-4.72604601712573,-4.871859906638149,-5.729957321065456,0.9184747801319127,-5.657129257899971,-6.084846902139719,1.31831933497054,0.392,-7.579093242059419,-2.1350647378795293,-6.084846902139719,5.1708542713567835,4.0,9.011885930722274,188.0,0.65641991994397,7.0,586.0,350.0,5,dro_minimax_median,-4.871859906638149,-4.871859906638149,-6.084846902139719,9.011885930722274,188.0,0.65641991994397,586.0,4.0,5.0,0.605,3142|3143|3144|3145|3146,0.07142857142857142,0.9285714285714286,True,COMPLETE
9,-4.675620190297979,11.424454836885744,0.006813071239863482,375,0.662,"[-88.0, 0.0]",0.0,-88.0,0.662,0.5,-3.590511516360378,-4.527117097371053,-4.675620190297979,-5.382111414382639,0.8237304503858618,-5.497315652310486,-6.259075283106981,1.1884972379197565,0.33799999999999997,-6.3736940348074205,-1.4829953013022514,-6.259075283106981,5.632530120481928,4.0,9.892498416421391,138.0,0.6822999050687669,8.0,494.0,375.0,5,dro_minimax_median,-4.675620190297979,-4.675620190297979,-6.259075283106981,9.892498416421391,138.0,0.6822999050687669,494.0,4.0,5.0,0.66,3142|3143|3144|3145|3146,0.10843373493975904,0.891566265060241,True,COMPLETE
