trial_number,study_name,bandit_name,method_group,set_name,z_window,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,objective_metric_name,constraints_values,cv_min_symbol_trades,cv_finite_objective,observed_dro_minimax_median,observed_dro_pure_min_median,dro_alpha,observed_median_max_drawdown_abs,observed_median_profit_factor,observed_median_total_trades,observed_median_min_symbol_trades,n_seeds,seeds_used,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_min,dro_minimax_max,dro_pure_min_median,dro_pure_min_mean,dro_pure_min_std,h1_mean_aggregate_median,h2_mean_aggregate_median,full_mean_aggregate_median,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_min_symbol_trades,median_holding_bars_overall,mean_holding_bars_overall,p25_holding_bars_overall,p75_holding_bars_overall,share_trades_closed_before_horizon_overall,share_trades_closed_after_horizon_overall,median_time_between_entries_overall,forced_singleton_ratio_overall,decision_point_ratio_overall,bandit_consulted_ratio_overall,pending_update_queued_ratio_overall,param_bandit_type,param_reward_clip,param_lambda_prior,param_window_size,param_noise_std,optuna_param_lambda_prior,optuna_param_window_size,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha
0,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,325.0,-4.303217463561156,True,dro_minimax_median,"[-142.0, 0.0]",-142.0,0.0,-4.303217463561156,-5.039320082410381,0.5,8.960074076192715,0.7214534465705323,603.0,192.0,5,3142|3143|3144|3145|3146,-4.303217463561156,-4.235336088275565,0.7444628633651048,-5.073624953197417,-3.0444274286811432,-5.039320082410381,-5.155368339753354,1.4454907797445788,-1.9032658663008517,-5.039320082410381,-6.526451993771354,8.960074076192715,0.7214534465705323,603.0,192.0,4.0,5.528497409326425,4.0,5.0,0.9222797927461139,0.07772020725388601,8.0,0.39549999999999996,0.6045,0.6045,0.603,sw_lints,0.1,1.0,325,0.03,1.0,325,0.03,,
1,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,225.0,-5.15336033886153,True,dro_minimax_median,"[-112.0, 0.0]",-112.0,0.0,-5.15336033886153,-6.340941140976234,0.5,11.525520898776442,0.6379053800533419,513.0,162.0,5,3142|3143|3144|3145|3146,-5.15336033886153,-5.2043632381143,1.148473436628364,-6.534513161551416,-3.6212881036104356,-6.340941140976234,-6.564532568634587,1.3998961559136243,-1.2845538573330262,-6.340941140976234,-7.848653547413143,11.525520898776442,0.6379053800533419,513.0,162.0,4.0,6.482954545454546,4.0,5.0,0.8636363636363636,0.13636363636363635,8.0,0.3335,0.6665,0.6665,0.6635,sw_lints,0.1,3.672477322050449,225,0.012496721473894587,3.672477322050449,225,0.012496721473894587,,
2,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,300.0,-4.547156433748338,True,dro_minimax_median,"[-113.0, 0.0]",-113.0,0.0,-4.547156433748338,-5.53468399408943,0.5,10.371621270650888,0.7293375243005319,514.0,163.0,5,3142|3143|3144|3145|3146,-4.547156433748338,-4.7698466607306695,0.506511684272744,-5.672774090853936,-4.485488310365822,-5.53468399408943,-5.746506703393302,0.7190870086816309,-1.8140456332415011,-5.53468399408943,-7.4147905424231935,10.371621270650888,0.7293375243005319,514.0,163.0,4.0,6.029411764705882,4.0,6.0,0.8823529411764706,0.11764705882352941,8.0,0.33599999999999997,0.664,0.664,0.661,sw_lints,0.1,24.45058168692544,300,0.019587875193323546,24.45058168692544,300,0.019587875193323546,,
3,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,175.0,-4.7597523665387405,True,dro_minimax_median,"[-85.0, 0.0]",-85.0,0.0,-4.7597523665387405,-5.587029675919756,0.5,10.500715873920342,0.683946138837726,441.0,135.0,5,3142|3143|3144|3145|3146,-4.7597523665387405,-4.6220477420341926,0.7934173758781082,-5.588066198525124,-3.41635375466508,-5.587029675919756,-5.616555811507389,1.0498780351012977,-1.6383928637050549,-5.587029675919756,-7.821997687482647,10.500715873920342,0.683946138837726,441.0,135.0,4.0,6.910344827586207,4.0,6.0,0.8344827586206897,0.16551724137931034,9.0,0.29800000000000004,0.702,0.702,0.6995,sw_lints,0.1,6.892590636575401,175,0.0017980330440959514,6.892590636575401,175,0.0017980330440959514,,
4,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,300.0,-4.337581333704973,True,dro_minimax_median,"[-120.0, 0.0]",-120.0,0.0,-4.337581333704973,-5.429358167830082,0.5,10.194318625638022,0.7075901538458932,535.0,170.0,5,3142|3143|3144|3145|3146,-4.337581333704973,-4.218120024186263,1.0738309178534338,-5.54179606607733,-2.563424051970778,-5.429358167830082,-5.169398609315854,1.2613914824754104,-1.0622508313296475,-5.429358167830082,-6.5610392957299455,10.194318625638022,0.7075901538458932,535.0,170.0,4.0,5.988235294117647,4.0,5.0,0.8835978835978836,0.1164021164021164,7.0,0.3435,0.6565,0.6565,0.6535,sw_lints,0.1,4.605578395334537,300,0.013618834376629212,4.605578395334537,300,0.013618834376629212,,
5,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,300.0,-5.0731207389031665,True,dro_minimax_median,"[-116.0, 0.0]",-116.0,0.0,-5.0731207389031665,-6.784637229915144,0.5,10.375742288411093,0.7312216875131908,524.0,166.0,5,3142|3143|3144|3145|3146,-5.0731207389031665,-5.082169788303863,0.5223139009476029,-5.692730798842055,-4.277024013660758,-6.784637229915144,-6.666861182024432,0.5956798123136857,-0.007084705519215066,-6.784637229915144,-6.855656783036589,10.375742288411093,0.7312216875131908,524.0,166.0,4.0,5.97093023255814,4.0,5.0,0.8975903614457831,0.10240963855421686,8.0,0.34950000000000003,0.6505,0.6505,0.647,sw_lints,0.1,5.884459269971612,300,0.013297964459332606,5.884459269971612,300,0.013297964459332606,,
6,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,450.0,-5.106335374861684,True,dro_minimax_median,"[-85.0, 0.0]",-85.0,0.0,-5.106335374861684,-6.20721816324816,0.5,9.727317069593377,0.6641508687237638,497.0,135.0,5,3142|3143|3144|3145|3146,-5.106335374861684,-5.05184390995357,0.5730679110336226,-5.8191246055508445,-4.44133989857786,-6.20721816324816,-6.46935867053554,0.6948680484530467,-0.5266678835470199,-6.20721816324816,-6.956648373981911,9.727317069593377,0.6641508687237638,497.0,135.0,4.0,5.603550295857988,4.0,5.0,0.8994082840236687,0.10059171597633136,8.0,0.3375,0.6625,0.6625,0.661,sw_lints,0.1,1.650846287730074,450,0.0018760743185387708,1.650846287730074,450,0.0018760743185387708,,
7,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,275.0,-4.63635925612472,True,dro_minimax_median,"[-95.0, 0.0]",-95.0,0.0,-4.63635925612472,-5.588415748878769,0.5,9.845933319976197,0.7119887294903281,511.0,145.0,5,3142|3143|3144|3145|3146,-4.63635925612472,-4.2630385573610425,0.9579115826077366,-5.226053550686025,-2.9580574817964767,-5.588415748878769,-5.297220820099999,1.1380562047623284,-0.8036143227466891,-5.588415748878769,-6.7861734879973525,9.845933319976197,0.7119887294903281,511.0,145.0,4.0,5.899408284023669,4.0,4.0,0.8901734104046243,0.10982658959537572,8.0,0.34550000000000003,0.6545,0.6545,0.653,sw_lints,0.1,1.4429230661432635,275,0.002963670928442278,1.4429230661432635,275,0.002963670928442278,,
8,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,350.0,-4.871859906638149,True,dro_minimax_median,"[-138.0, 0.0]",-138.0,0.0,-4.871859906638149,-6.084846902139719,0.5,9.011885930722274,0.65641991994397,586.0,188.0,5,3142|3143|3144|3145|3146,-4.871859906638149,-4.72604601712573,0.9184747801319127,-5.729957321065456,-3.300886087189696,-6.084846902139719,-5.657129257899971,1.31831933497054,-2.1350647378795293,-6.084846902139719,-7.579093242059419,9.011885930722274,0.65641991994397,586.0,188.0,4.0,5.1708542713567835,4.0,5.0,0.9285714285714286,0.07142857142857142,7.0,0.392,0.608,0.608,0.605,sw_lints,0.1,0.7021639484127451,350,0.021127526447375734,0.7021639484127451,350,0.021127526447375734,,
9,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,375.0,-4.675620190297979,True,dro_minimax_median,"[-88.0, 0.0]",-88.0,0.0,-4.675620190297979,-6.259075283106981,0.5,9.892498416421391,0.6822999050687669,494.0,138.0,5,3142|3143|3144|3145|3146,-4.675620190297979,-4.527117097371053,0.8237304503858618,-5.382111414382639,-3.590511516360378,-6.259075283106981,-5.497315652310486,1.1884972379197565,-1.4829953013022514,-6.259075283106981,-6.3736940348074205,9.892498416421391,0.6822999050687669,494.0,138.0,4.0,5.632530120481928,4.0,5.0,0.891566265060241,0.10843373493975904,8.0,0.33799999999999997,0.662,0.662,0.66,sw_lints,0.1,11.424454836885744,375,0.006813071239863482,11.424454836885744,375,0.006813071239863482,,
10,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,350.0,-6.7186657572342625,True,dro_minimax_median,"[-148.0, 0.0]",-148.0,0.0,-6.7186657572342625,-8.533080622479298,0.5,12.480636378414477,0.624863673042485,613.0,198.0,5,3142|3143|3144|3145|3146,-6.7186657572342625,-6.686914737542912,0.5340352972759458,-7.341215175826248,-6.042834617815364,-8.533080622479298,-8.189642218160289,0.6530325519161253,-2.0101094070537138,-8.533080622479298,-9.758519498501313,12.480636378414477,0.624863673042485,613.0,198.0,4.0,5.497584541062802,4.0,5.0,0.9183673469387755,0.08163265306122448,8.0,0.403,0.597,0.597,0.595,sw_lints,0.1,2.952033805206527,350,0.03497205471936148,2.952033805206527,350,0.03497205471936148,,
11,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,250.0,-6.295595749260774,True,dro_minimax_median,"[-143.0, 0.0]",-143.0,0.0,-6.295595749260774,-7.590750712799799,0.5,11.313259058765034,0.6683768512239406,617.0,193.0,5,3142|3143|3144|3145|3146,-6.295595749260774,-5.874147832877781,1.3337495008080802,-7.315425885631861,-4.132487441607545,-7.590750712799799,-7.1480959665276105,1.6328180821501808,-2.2791412644916424,-7.590750712799799,-9.804694777854472,11.313259058765034,0.6683768512239406,617.0,193.0,4.0,5.288461538461538,4.0,5.0,0.9246231155778895,0.07537688442211055,8.0,0.4155,0.5845,0.5845,0.5815,sw_lints,0.1,0.8097077455373448,250,0.03356491674142316,0.8097077455373448,250,0.03356491674142316,,
12,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,450.0,-5.0059228371443005,True,dro_minimax_median,"[-105.0, 0.0]",-105.0,0.0,-5.0059228371443005,-6.458851122159488,0.5,9.08850448116798,0.6679346669934213,517.0,155.0,5,3142|3143|3144|3145|3146,-5.0059228371443005,-5.09533929924684,0.5787061757662765,-5.99135031310749,-4.507968025592525,-6.458851122159488,-6.548569075994644,1.0020164160235652,-0.647137982098737,-6.458851122159488,-7.474499320667031,9.08850448116798,0.6679346669934213,517.0,155.0,4.0,6.154320987654321,4.0,5.0,0.9047619047619048,0.09523809523809523,8.0,0.3355,0.6645,0.6645,0.663,sw_lints,0.1,1.4552400113047865,450,0.012674995999641763,1.4552400113047865,450,0.012674995999641763,,
13,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,350.0,-3.665468973322297,True,dro_minimax_median,"[-94.0, 0.0]",-94.0,0.0,-3.665468973322297,-4.891697970952365,0.5,8.278491589613923,0.7691103384749728,507.0,144.0,5,3142|3143|3144|3145|3146,-3.665468973322297,-3.761178289976994,0.9788064020898392,-5.328814599894061,-2.8614851903790317,-4.891697970952365,-4.807261302751468,1.2785620127551456,-0.4116417821697027,-4.891697970952365,-5.47030575855532,8.278491589613923,0.7691103384749728,507.0,144.0,4.0,6.36144578313253,4.0,5.0,0.8874172185430463,0.11258278145695365,7.0,0.3335,0.6665,0.6665,0.665,sw_lints,0.1,0.5110761693197321,350,0.004003318678222682,0.5110761693197321,350,0.004003318678222682,,
14,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,300.0,-4.892954264463128,True,dro_minimax_median,"[-104.0, 0.0]",-104.0,0.0,-4.892954264463128,-5.811556549323908,0.5,10.028683149604657,0.6854744986996453,515.0,154.0,5,3142|3143|3144|3145|3146,-4.892954264463128,-4.243003822310506,1.6974157289654928,-5.957414924152454,-1.7744992687271466,-5.811556549323908,-5.522704838195368,2.1074119137366543,-0.29894810701460717,-5.811556549323908,-7.594178934385421,10.028683149604657,0.6854744986996453,515.0,154.0,4.0,6.0271739130434785,4.0,4.5,0.8830409356725146,0.11695906432748537,7.0,0.33199999999999996,0.668,0.668,0.6655,sw_lints,0.1,0.5699221356371406,300,0.007315703873822048,0.5699221356371406,300,0.007315703873822048,,
15,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,350.0,-4.286370865595584,True,dro_minimax_median,"[-96.0, 0.0]",-96.0,0.0,-4.286370865595584,-4.711889194602585,0.5,10.417511103561539,0.7320895077305087,490.0,146.0,5,3142|3143|3144|3145|3146,-4.286370865595584,-3.9987266348030905,0.45313082399923804,-4.369925249945659,-3.409868498361309,-4.711889194602585,-4.806342483536243,0.530145056939536,-1.5330175479080406,-4.711889194602585,-6.269862702817463,10.417511103561539,0.7320895077305087,490.0,146.0,4.0,6.253246753246753,4.0,5.0,0.8961038961038961,0.1038961038961039,8.0,0.3315,0.6685,0.6685,0.667,sw_lints,0.1,0.5231964844437598,350,0.002810230495343637,0.5231964844437598,350,0.002810230495343637,,
16,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,350.0,-4.512912379644595,True,dro_minimax_median,"[-91.0, 0.0]",-91.0,0.0,-4.512912379644595,-5.562489835067519,0.5,7.893847374780282,0.7607156340574999,486.0,141.0,5,3142|3143|3144|3145|3146,-4.512912379644595,-4.175233395500127,0.6403375106346532,-4.750298830083365,-3.4485787904053558,-5.562489835067519,-5.272967199468063,0.856001598018973,-0.5882092344283348,-5.562489835067519,-6.2382815259695095,7.893847374780282,0.7607156340574999,486.0,141.0,4.0,6.072727272727272,4.0,5.0,0.8869047619047619,0.1130952380952381,8.0,0.3315,0.6685,0.6685,0.667,sw_lints,0.1,0.5221331318917237,350,0.001111504571991188,0.5221331318917237,350,0.001111504571991188,,
17,sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,10,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z,400.0,-3.652110712911603,True,dro_minimax_median,"[-96.0, 0.0]",-96.0,0.0,-3.652110712911603,-4.4497362424005695,0.5,8.64579302334506,0.7492776674588728,521.0,146.0,5,3142|3143|3144|3145|3146,-3.652110712911603,-3.7184768019483174,0.7294039270898043,-4.751110291485437,-3.0183378649911115,-4.4497362424005695,-4.522455137890373,0.8351316430174651,-1.2592341244447043,-4.4497362424005695,-5.6215086642361385,8.64579302334506,0.7492776674588728,521.0,146.0,4.0,5.2513089005235605,4.0,5.0,0.9123711340206185,0.08762886597938144,7.0,0.35950000000000004,0.6405,0.6405,0.639,sw_lints,0.1,0.7554421593651547,400,0.0035214409362788524,0.7554421593651547,400,0.0035214409362788524,,
